amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.4,,,,0.4,sell,64306.5,BTC-13SEP24-61000-C,51.39,,0.07696913,0.077,1,1724630379217,315447387,104
0.1,,,,0.1,buy,64321.0,BTC-28AUG24-63500-P,47.7,,0.0096979,0.0095,3,1724630377574,315447353,25
0.1,,,,0.1,sell,64356.85,BTC-13SEP24-62000-P,50.88,,0.02764699,0.0275,2,1724630361691,315447345,409
4.1,,,,4.1,sell,64369.68,BTC-27DEC24-300000-C,84.34,T,0.00042471,0.0003,0,1724630359199,315447250,1292
0.1,,,,0.1,sell,64359.98,BTC-30AUG24-64000-P,49.41,,0.01853323,0.0185,0,1724630350442,315447248,1123
0.1,,,,0.1,buy,64359.98,BTC-28AUG24-66000-C,49.97,,0.00665104,0.0065,1,1724630350360,315447233,30
0.1,,,,0.1,buy,64359.98,BTC-28AUG24-65500-C,49.04,,0.00866113,0.0085,0,1724630350358,315447232,39
1.0,,,,1.0,buy,64333.85,BTC-13SEP24-70000-C,51.53,,0.01710883,0.017,3,1724630331144,315447213,233
0.2,,,,0.2,sell,64328.91,BTC-30AUG24-64000-C,49.85,,0.02428972,0.0245,0,1724630328424,315447209,3358
1.0,,,,1.0,buy,64324.8,BTC-6SEP24-61000-C,49.56,,0.06714321,0.067,2,1724630308661,315447201,396
0.3,,,,0.3,sell,64310.57,BTC-13SEP24-60000-C,51.83,,0.08814648,0.088,1,1724630247593,315447188,89
0.1,,,,0.1,buy,64279.07,BTC-13SEP24-74000-C,53.63,,0.00804638,0.008,2,1724630187764,315447124,364
0.1,,,,0.1,buy,64269.51,BTC-8NOV24-72000-C,62.3,,0.0732717,0.074,3,1724630130576,315447094,201
2.0,,,,2.0,sell,64294.44,BTC-27DEC24-180000-C,73.5,T,0.00254127,0.0023,1,1724630111297,315447055,1001
2.0,,,,2.0,buy,64294.44,BTC-27DEC24-100000-C,67.13,T,0.03549889,0.036,0,1724630109844,315447054,5272
1.0,,,,1.0,buy,64302.28,BTC-27SEP24-60000-C,52.33,,0.10293848,0.1025,3,1724630046172,315447007,2475
1.0,,,,1.0,buy,64298.76,BTC-30AUG24-64500-C,48.88,,0.02014431,0.02,0,1724630019690,315447002,10
0.5,,,,0.5,buy,64299.96,BTC-26AUG24-64000-P,42.28,,0.00328666,0.0031,0,1724630018757,315447001,79
0.1,,,,0.1,buy,64282.21,BTC-6SEP24-65000-C,48.96,,0.03004546,0.03,2,1724629982713,315446984,311
0.1,,,,0.1,sell,64281.71,BTC-6SEP24-72000-C,54.16,,0.0057751,0.006,2,1724629976442,315446959,151
1.0,,,,1.0,sell,64298.4,BTC-6SEP24-62000-C,49.64,,0.05587485,0.056,3,1724629921903,315446933,386
1.0,,,,1.0,buy,64320.13,BTC-6SEP24-63000-P,48.75,,0.02419885,0.024,1,1724629904899,315446912,98
0.1,,,,0.1,sell,64345.44,BTC-13SEP24-68000-C,50.61,,0.02486696,0.0245,2,1724629884641,315446889,425
0.1,,,,0.1,buy,64344.88,BTC-28AUG24-64000-P,47.7,,0.01263179,0.0125,0,1724629859510,315446851,13
1.0,,,,1.0,sell,64286.22,BTC-30AUG24-57000-P,64.77,,0.00110382,0.0012,2,1724629756343,315446682,2065
1.1,,,,1.1,sell,64286.83,BTC-30AUG24-66000-C,50.41,,0.0114456,0.0115,2,1724629756252,315446681,2545
3.2,,,,3.2,sell,64285.47,BTC-27DEC24-65000-C,63.5,,0.15590737,0.156,1,1724629756134,315446677,1703
0.1,,,,0.1,sell,64285.47,BTC-26AUG24-65000-C,48.71,,0.00183297,0.002,2,1724629754791,315446656,132
0.1,,,,0.1,buy,64309.97,BTC-27DEC24-110000-C,67.51,,0.02380394,0.0235,2,1724629721168,315446605,1294
0.1,,,,0.1,buy,64334.32,BTC-26AUG24-63500-P,50.5,,0.00120831,0.0016,0,1724629675831,315446466,94
1.2,,,,1.2,buy,64358.79,BTC-30AUG24-51000-P,91.77,,0.0003394,0.0003,2,1724629668059,315446427,730
1.0,,,,1.0,buy,64428.26,BTC-27AUG24-62000-P,52.41,,0.00149013,0.0017,0,1724629624576,315446340,34
1.2,,,,1.2,sell,64428.26,BTC-30AUG24-67000-P,53.52,M,0.04748473,0.0485,2,1724629622475,315446329,721
1.0,,,,1.0,buy,64437.91,BTC-27AUG24-63000-P,49.81,,0.00354818,0.0039,0,1724629610756,315446313,77
0.1,,,,0.1,sell,64448.86,BTC-27SEP24-55000-P,56.52,,0.0134228,0.0135,1,1724629590739,315446300,2473
4.5,,,,4.5,sell,64425.88,BTC-30AUG24-74000-C,69.48,,0.00114647,0.0011,3,1724629566447,315446251,1964
0.1,,,,0.1,buy,64414.6,BTC-28AUG24-66500-C,50.03,,0.005152,0.005,2,1724629536220,315446224,14
2.1,,,,2.1,sell,64431.01,BTC-30AUG24-79000-C,79.23,,0.00032678,0.0003,3,1724629520285,315446214,1211
0.1,,,,0.1,buy,64418.35,BTC-28AUG24-63000-P,47.76,,0.00665285,0.0065,0,1724629504236,315446194,48
0.3,,,,0.3,buy,64408.46,BTC-30AUG24-63500-P,48.58,,0.01468254,0.0145,0,1724629471969,315446162,19
1.0,,,,1.0,buy,64404.53,BTC-27AUG24-58000-P,71.0,,0.00012298,0.0001,3,1724629454760,315446128,12
0.1,,,,0.1,sell,64407.4,BTC-8NOV24-60000-C,61.07,,0.15272354,0.153,3,1724629454016,315446121,420
0.5,,,,0.5,buy,64311.05,BTC-26AUG24-63000-P,47.61,,0.00071278,0.0005,3,1724629374084,315445879,246
