amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.8,,,,,0.8,buy,60552.67,BTC-4OCT24-48000-P,62.69,0.00333519,0.0031,3,1726271985806,317556005,37
0.2,,,,,0.2,buy,60559.14,BTC-27SEP24-52000-P,59.09,0.00421791,0.0041,3,1726271972568,317555978,2420
0.1,,,,,0.1,buy,60561.16,BTC-16SEP24-59500-P,35.6,0.00472682,0.0045,3,1726271966939,317555975,58
0.1,,,,,0.1,buy,60561.34,BTC-27SEP24-57000-P,50.5,0.01470222,0.0145,0,1726271963763,317555974,1808
0.5,,,,,0.5,buy,60564.33,BTC-27DEC24-48000-P,59.96,0.0340595,0.034,3,1726271957439,317555969,410
3.0,,,,,3.0,buy,60576.12,BTC-27SEP24-58000-C,49.52,0.06385535,0.0635,0,1726271916127,317555946,1524
0.1,,,,,0.1,buy,60572.7,BTC-15SEP24-60500-P,31.89,0.00694583,0.007,1,1726271883608,317555921,41
0.1,,,,,0.1,buy,60590.94,BTC-27JUN25-65000-P,63.92,0.22734408,0.2255,2,1726271869550,317555894,147
0.3,,,,,0.3,buy,60607.18,BTC-25OCT24-73000-C,53.43,0.0166268,0.0165,0,1726271844884,317555858,485
0.1,,,,,0.1,sell,60616.92,BTC-15SEP24-62500-C,34.67,0.00080426,0.0007,2,1726271785687,317555842,14
0.1,,,,,0.1,sell,60624.65,BTC-20SEP24-58000-P,50.29,0.00971776,0.0095,2,1726271738172,317555824,488
0.1,,,,,0.1,sell,60615.81,BTC-25OCT24-51000-P,54.61,0.01475185,0.0145,3,1726271686924,317555805,368
0.5,,,,,0.5,sell,60641.45,BTC-14SEP24-56500-C,0.0,0.06837447,0.068,1,1726271648406,317555657,21
2.0,,,,,2.0,buy,60625.83,BTC-27SEP24-68000-C,50.08,0.00583895,0.006,1,1726271633318,317555650,1147
0.1,,,,,0.1,buy,60625.83,BTC-27SEP24-65000-C,48.28,0.01316662,0.013,3,1726271633231,317555644,5498
2.0,,,,,2.0,buy,60625.83,BTC-16SEP24-62000-C,37.11,0.00398947,0.004,1,1726271633225,317555642,32
0.1,,,,,0.1,buy,60625.83,BTC-27SEP24-66000-C,48.7,0.01009949,0.01,0,1726271632981,317555639,1111
6.6,,,,,6.6,buy,60625.83,BTC-14SEP24-59000-C,0.0,0.0269996,0.0265,0,1726271632949,317555634,349
0.5,,,,,0.5,buy,60618.69,BTC-20SEP24-58000-C,50.85,0.05400661,0.054,1,1726271625325,317555594,685
0.3,,,,,0.3,sell,60614.79,BTC-27SEP24-62000-C,48.4,0.02781771,0.028,1,1726271588852,317555583,2235
