amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,,1.0,buy,42593.45,BTC-12JAN24-45000-C,64.7,0.03224525,0.032,2,1703807992068,277039121,625
0.1,,,,0.1,sell,42604.47,BTC-12JAN24-48000-C,67.19,0.0160556,0.016,1,1703807944020,277039105,637
0.2,,,,0.2,sell,42604.66,BTC-29DEC23-42500-C,35.8,0.00626613,0.006,2,1703807937664,277039098,966
0.1,,,,0.1,buy,42620.89,BTC-29DEC23-45000-C,78.56,0.00011016,0.0001,3,1703807865241,277039045,11981
1.0,,,,1.0,buy,42619.79,BTC-29DEC23-43500-C,44.0,0.00040892,0.0004,3,1703807837754,277038996,1442
0.1,,,,0.1,sell,42615.47,BTC-30DEC23-40000-P,66.6,0.00092744,0.0009,2,1703807786075,277038966,41
0.1,,,,0.1,buy,42622.87,BTC-29DEC23-43000-C,43.99,0.00184853,0.0022,2,1703807690488,277038862,4753
0.1,,,,0.1,sell,42644.95,BTC-29DEC23-44500-C,63.24,8.242e-05,0.0001,3,1703807543246,277038680,1511
0.1,,,,0.1,sell,42658.07,BTC-31DEC23-38500-P,69.05,0.0005819,0.0006,2,1703807496546,277038642,14
0.2,,,,0.2,buy,42651.4,BTC-5JAN24-43000-C,47.55,0.02519288,0.0255,2,1703807491636,277038625,256
2.7,,,,2.7,buy,42708.31,BTC-5JAN24-42500-P,46.72,0.02151924,0.0215,0,1703807295246,277038482,282
0.4,,,,0.4,sell,42723.48,BTC-29DEC23-42500-P,35.57,0.0025461,0.0021,3,1703807209678,277038369,1588
0.3,,,,0.3,buy,42727.71,BTC-28JUN24-51000-P,60.88,0.24824294,0.248,2,1703807145003,277038272,6
0.4,,,,0.4,buy,42744.27,BTC-30DEC23-43000-P,47.15,0.01422153,0.014,2,1703807114175,277038123,201
0.6,,,,0.6,sell,42749.02,BTC-30DEC23-42750-C,47.3,0.01211629,0.012,2,1703807111470,277038122,91
1.6,,,,1.6,sell,42748.68,BTC-30DEC23-39500-P,73.18,0.00066014,0.0006,2,1703807107177,277038121,14
2.5,,,,2.5,buy,42752.05,BTC-19JAN24-47000-C,64.49,0.0307127,0.0305,0,1703806977189,277038054,67
2.0,,,,2.0,buy,42740.51,BTC-23FEB24-50000-C,61.4,0.04705346,0.047,0,1703806963788,277038027,392
0.2,,,,0.2,buy,42730.6,BTC-28JUN24-50000-P,60.65,0.23275532,0.2325,2,1703806928997,277038009,118
0.2,,,,0.2,buy,42722.3,BTC-28JUN24-49000-P,60.43,0.21792043,0.2175,2,1703806905381,277037989,3
0.2,,,,0.2,buy,42735.74,BTC-28JUN24-48000-P,60.21,0.20306742,0.2025,0,1703806888606,277037972,2
0.1,,,,0.1,buy,42769.97,BTC-29DEC23-41500-C,59.78,0.03040886,0.0305,0,1703806700942,277037831,268
0.2,,,,0.2,sell,42758.45,BTC-5JAN24-39000-P,55.52,0.00392491,0.0039,3,1703806610258,277037774,266
0.1,,,,0.1,sell,42753.25,BTC-19JAN24-49000-C,65.92,0.02110286,0.021,0,1703806606387,277037769,11
0.1,,,,0.1,sell,42727.53,BTC-29DEC23-44000-C,54.41,0.00025571,0.0003,1,1703806560716,277037700,5675
0.3,,,,0.3,buy,42762.09,BTC-29DEC23-60000-C,386.6,0.0,0.0001,3,1703806502019,277037617,3697
