amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,,,0.2,sell,68128.62,BTC-10MAR26-69000-C,48.82,,0.01295922,0.013,3,1772841598924,419111426,10
0.1,,,,,,0.1,buy,68127.95,BTC-7MAR26-69500-P,42.96,,0.02036559,0.0205,0,1772841592472,419111383,201
0.4,,,,,,0.4,sell,68133.02,BTC-9MAR26-67500-P,44.5,,0.00993466,0.01,3,1772841504217,419111284,59
0.2,,,,,,0.2,sell,68128.09,BTC-20MAR26-71000-C,54.22,,0.02467212,0.0245,3,1772841477975,419111260,238
0.2,,,,,,0.2,sell,68110.27,BTC-13MAR26-75000-C,53.53,,0.00308846,0.0029,3,1772841416628,419111177,972
0.1,,,,,,0.1,sell,68101.97,BTC-24APR26-88000-C,51.4,,0.00847929,0.0085,0,1772841411568,419111173,831
0.2,,,,,,0.2,buy,68100.49,BTC-7MAR26-68500-C,34.64,,0.00182753,0.0019,0,1772841409543,419111171,155
0.1,,,,,,0.1,sell,68108.43,BTC-8MAR26-69000-C,32.48,,0.00296491,0.003,3,1772841401244,419111168,73
0.1,,,,,,0.1,buy,68108.43,BTC-8MAR26-68000-P,32.14,,0.00696966,0.007,1,1772841401227,419111166,196
0.1,,,,,,0.1,sell,68115.09,BTC-7MAR26-69000-C,35.34,,0.0005671,0.0006,3,1772841368207,419111157,231
0.1,,,,,,0.1,sell,68115.98,BTC-13MAR26-71000-C,53.9,,0.01265563,0.0125,2,1772841357150,419111149,428
1.0,,,,,,1.0,sell,68136.28,BTC-25DEC26-40000-P,60.97,,0.03187094,0.032,0,1772841313661,419111107,469
0.1,,,,,,0.1,buy,68129.56,BTC-7MAR26-68000-P,38.57,,0.00357474,0.0038,1,1772841302047,419111007,323
135.0,,BLOCK-265250,2,BTC-CDIAG-10MAR26_8MAR26-79000_76000,,135.0,buy,68126.57,BTC-10MAR26-79000-C,74.0,,0.00015495,0.0005,0,1772841296759,419111001,13
135.0,,BLOCK-265250,2,BTC-CDIAG-10MAR26_8MAR26-79000_76000,,135.0,sell,68126.57,BTC-8MAR26-76000-C,72.96,,3.639e-05,0.0001,3,1772841296759,419111000,37
0.1,,,,,,0.1,buy,68150.42,BTC-7MAR26-67000-P,46.77,,0.00068963,0.0008,2,1772841202075,419110876,193
0.1,,,,,,0.1,sell,68150.85,BTC-27MAR26-88000-C,56.94,,0.00171379,0.0017,3,1772841165663,419110869,1480
0.1,,,,,,0.1,sell,68169.1,BTC-27MAR26-82000-C,53.04,,0.00435894,0.0043,2,1772841148108,419110844,1621
0.3,,,,,,0.3,buy,68168.55,BTC-8MAR26-67000-P,37.47,,0.00280219,0.0029,1,1772841148107,419110843,194
0.2,,,,,,0.2,buy,68175.18,BTC-25SEP26-78000-C,50.11,,0.10203012,0.102,2,1772841131929,419110819,107
0.1,,,,,,0.1,sell,68176.76,BTC-7MAR26-68000-C,33.62,,0.00587585,0.0055,2,1772841131040,419110818,86
0.1,,,,,,0.1,buy,68183.85,BTC-24APR26-64000-P,54.2,,0.04860163,0.0485,0,1772841110203,419110797,496
1.0,,,,,,1.0,buy,68220.43,BTC-27MAR26-95000-C,63.99,,0.00079479,0.0009,3,1772841001266,419110710,3700
0.1,,,,,,0.1,buy,68216.19,BTC-29MAY26-86000-C,49.36,,0.02397864,0.0235,3,1772841000101,419110706,95
0.4,,,,,,0.4,buy,68236.67,BTC-27MAR26-68000-P,55.44,,0.04988331,0.05,1,1772840967374,419110671,1867
0.7,,,,,,0.7,buy,68220.82,BTC-10MAR26-77000-C,60.38,,0.0002805,0.0004,1,1772840857701,419110643,14
0.1,,,,,,0.1,buy,68220.82,BTC-8MAR26-66000-P,43.47,,0.00118405,0.0013,1,1772840857663,419110639,69
0.9,,,,,,0.9,buy,68238.08,BTC-27MAR26-85000-C,54.04,,0.00254245,0.0025,3,1772840824714,419110619,5676
2.4,,,,,,2.4,buy,68223.11,BTC-20MAR26-82000-C,55.66,,0.00200922,0.002,3,1772840778649,419110616,162
15.0,,,,,,15.0,buy,68225.94,BTC-10MAR26-78000-C,59.85,,0.00014612,0.0002,3,1772840723702,419110612,7
0.1,,,,,,0.1,sell,68228.79,BTC-27MAR26-84000-C,53.68,,0.00309838,0.003,2,1772840719902,419110611,1383
0.9,,,,,,0.9,buy,68178.58,BTC-13MAR26-65000-P,58.84,,0.01248026,0.0125,1,1772840621804,419110479,739
0.1,,,,,,0.1,sell,68183.65,BTC-13MAR26-63000-P,62.03,,0.00719626,0.007,3,1772840607671,419110452,645
15.0,,,,,,15.0,buy,68175.52,BTC-13MAR26-85000-C,70.38,,0.00025569,0.0003,2,1772840601811,419110446,94
0.2,,,,,,0.2,buy,68176.56,BTC-27MAR26-68000-C,55.17,,0.05369625,0.0535,2,1772840596581,419110434,1355
1.0,,,,,,1.0,sell,68183.67,BTC-25SEP26-75000-C,50.55,,0.11754294,0.1175,0,1772840588020,419110431,1570
0.1,,,,,,0.1,sell,68193.85,BTC-8MAR26-70000-C,34.75,,0.00100892,0.0011,2,1772840558305,419110417,62
0.1,,,,,,0.1,buy,68227.52,BTC-29MAY26-50000-P,60.9,,0.01755632,0.0175,0,1772840259712,419110270,67
0.3,,,,,,0.3,sell,68225.91,BTC-25DEC26-92000-C,50.08,,0.08566627,0.085,2,1772840256268,419110268,23
0.1,,,,,,0.1,buy,68251.91,BTC-9MAR26-66000-P,47.14,,0.00396693,0.0038,0,1772840202911,419110239,99
0.1,,,,,,0.1,sell,68263.52,BTC-25DEC26-68000-C,52.01,,0.19780525,0.1975,2,1772840200124,419110235,70
0.1,,,,,,0.1,sell,68263.52,BTC-24APR26-85000-C,50.59,,0.01237585,0.012,2,1772840199807,419110233,773
4.3,,,,,,4.3,sell,68265.33,BTC-13MAR26-72000-C,53.81,,0.00955408,0.0095,1,1772840198917,419110223,755
0.1,,,,,,0.1,buy,68289.61,BTC-24APR26-54000-P,61.88,,0.01504465,0.015,3,1772840153164,419110175,213
0.9,,,,,,0.9,buy,68308.56,BTC-27MAR26-94000-C,62.97,,0.00089786,0.001,3,1772840139938,419110157,940
2.0,,,,,,2.0,buy,68327.35,BTC-20MAR26-58000-P,68.34,,0.0059952,0.006,3,1772840097791,419110122,354
0.1,,,,,,0.1,sell,68292.54,BTC-13MAR26-69000-C,53.85,,0.02380139,0.0235,2,1772840071899,419110058,506
0.5,,,,,,0.5,sell,68290.03,BTC-20MAR26-55000-P,73.73,,0.00352152,0.0034,2,1772840071038,419110054,257
1.8,,,,,,1.8,buy,68316.22,BTC-20MAR26-62000-P,61.85,,0.01287516,0.013,1,1772840042381,419110041,404
2.7,,,,,,2.7,sell,68318.77,BTC-20MAR26-50000-P,84.53,,0.00154605,0.0014,2,1772839913709,419109989,178
0.2,,,,,,0.2,buy,68314.16,BTC-27MAR26-78000-C,52.95,,0.00998693,0.01,1,1772839860628,419109978,2007
0.1,,,,,,0.1,buy,68337.51,BTC-26JUN26-95000-C,49.42,,0.01891701,0.0185,1,1772839655728,419109840,1865
0.1,,,,,,0.1,buy,68337.51,BTC-26JUN26-90000-C,49.03,,0.02653263,0.026,1,1772839655722,419109839,4179
0.5,,,,,,0.5,sell,68336.26,BTC-25DEC26-140000-C,50.86,,0.01848722,0.018,2,1772839598756,419109827,326
0.7,,,,BTC-CS-8MAR26-69500_70500,419109733,0.7,buy,68339.74,BTC-8MAR26-70500-C,38.26,,0.00075218,0.001,3,1772839565327,419109734,52
0.7,,,,BTC-CS-8MAR26-69500_70500,419109733,0.7,sell,68339.74,BTC-8MAR26-69500-C,31.94,,0.00220149,0.0021,2,1772839565327,419109735,88
0.1,,,,,,0.1,buy,68322.77,BTC-24APR26-55000-P,61.09,,0.01706047,0.017,2,1772839474312,419109720,969
0.1,,,,,,0.1,buy,68337.95,BTC-10MAR26-67000-P,50.74,,0.01108036,0.011,2,1772839446132,419109705,10
0.4,,,,,,0.4,sell,68361.43,BTC-7MAR26-66500-P,52.01,,0.00034111,0.0003,2,1772839401178,419109674,149
0.1,,,,,,0.1,buy,68344.11,BTC-25SEP26-40000-P,62.9,,0.02049382,0.0205,0,1772839344571,419109660,625
0.2,,,,,,0.2,sell,68355.28,BTC-20MAR26-76000-C,52.58,,0.00848602,0.008,3,1772839301138,419109652,237
0.9,,,,,,0.9,sell,68364.67,BTC-7MAR26-65000-P,72.1,,0.00012756,0.0001,3,1772839253647,419109627,145
1.0,,,,,,1.0,sell,68365.75,BTC-7MAR26-71000-C,55.9,,0.00015081,0.0001,2,1772839239694,419109624,168
0.6,,,,,,0.6,buy,68361.15,BTC-8MAR26-68000-C,31.36,,0.01071078,0.0105,3,1772839226034,419109620,127
0.2,,,,,,0.2,buy,68340.92,BTC-20MAR26-80000-C,54.33,,0.0031973,0.0032,0,1772839127056,419109581,268
0.1,,,,,,0.1,buy,68319.53,BTC-26JUN26-50000-P,59.03,,0.02400616,0.024,3,1772839051904,419109550,1848
0.1,,,,,,0.1,sell,68330.21,BTC-20MAR26-85000-C,58.37,,0.00120013,0.0012,3,1772838934169,419109497,182
0.2,,,,,,0.2,buy,68277.81,BTC-8MAR26-67500-P,35.92,,0.00405265,0.0042,1,1772838666153,419109346,96
0.1,,,,,,0.1,buy,68305.03,BTC-10MAR26-69500-C,48.01,,0.0110281,0.011,2,1772838600373,419109256,12
0.1,,,,,,0.1,sell,68291.1,BTC-7MAR26-64000-P,88.72,,5.236e-05,0.0001,2,1772838569712,419109201,96
3.4,,,,,,3.4,sell,68300.3,BTC-13MAR26-58000-P,75.02,,0.00208753,0.0019,2,1772838497587,419109146,642
0.1,,,,,,0.1,sell,68300.82,BTC-27MAR26-80000-C,52.49,,0.00670129,0.0065,0,1772838477391,419109135,3023
0.2,,,,,,0.2,sell,68290.74,BTC-27MAR26-75000-C,52.47,,0.0174668,0.017,3,1772838170461,419108979,2789
0.1,,,,,,0.1,sell,68292.91,BTC-8MAR26-68500-C,29.99,,0.00636922,0.006,2,1772838043660,419108859,127
0.1,,,,,,0.1,sell,68292.91,BTC-7MAR26-67500-P,39.8,,0.00127823,0.0012,1,1772838043555,419108855,215
0.1,,,,,,0.1,buy,68377.8,BTC-8MAR26-66500-P,39.97,,0.00142808,0.0015,1,1772837986565,419108648,1
0.3,,,,,,0.3,buy,68407.69,BTC-20MAR26-70000-P,54.96,,0.05421924,0.055,3,1772837986104,419108618,89
0.1,,,,,,0.1,buy,68377.8,BTC-7MAR26-69000-P,43.85,,0.01010634,0.011,0,1772837986088,419108617,193
0.1,,,,,,0.1,buy,68377.8,BTC-27MAR26-71000-P,54.23,,0.07205033,0.073,2,1772837986085,419108616,216
0.9,,,,,,0.9,buy,68377.8,BTC-24APR26-68000-P,52.45,,0.07169687,0.072,3,1772837986048,419108614,642
0.1,,,,,,0.1,sell,68407.69,BTC-20MAR26-68000-C,55.03,,0.04547864,0.045,0,1772837985967,419108610,198
0.1,,,,,,0.1,buy,68407.69,BTC-24APR26-65000-P,53.92,,0.05271589,0.053,2,1772837985803,419108606,965
0.1,,,,,,0.1,buy,68407.69,BTC-24APR26-70000-P,51.86,,0.08665021,0.087,1,1772837985802,419108605,1003
0.1,,,,,,0.1,buy,68407.69,BTC-24APR26-61000-P,56.17,,0.03406098,0.034,2,1772837985708,419108601,278
0.1,,,,,,0.1,buy,68407.69,BTC-24APR26-58000-P,58.4,,0.02404727,0.024,2,1772837985578,419108596,224
2.2,,,,,,2.2,buy,68407.69,BTC-20MAR26-64000-P,59.52,,0.01878697,0.019,2,1772837985574,419108595,273
0.1,,,,,,0.1,buy,68407.69,BTC-26JUN26-40000-P,68.21,,0.00949481,0.0095,1,1772837985570,419108594,1434
0.9,,,,,,0.9,buy,68407.69,BTC-29MAY26-75000-P,50.12,,0.15190577,0.152,0,1772837985476,419108586,14
0.1,,,,,,0.1,buy,68421.37,BTC-26JUN26-84000-C,48.96,,0.04046462,0.04,0,1772837964263,419108509,249
0.1,,,,,,0.1,buy,68421.37,BTC-26JUN26-45000-P,63.09,,0.01495369,0.015,3,1772837964255,419108508,524
0.6,,,,,,0.6,buy,68421.37,BTC-26JUN26-120000-C,53.68,,0.00446825,0.0046,2,1772837964236,419108506,1707
9.0,,,,,,9.0,buy,68433.34,BTC-13MAR26-76000-C,53.72,,0.00236006,0.0023,1,1772837878405,419108461,431
0.2,,,,,,0.2,sell,68423.56,BTC-25SEP26-55000-P,54.73,,0.06323582,0.063,1,1772837867321,419108447,235
1.8,,,,,,1.8,buy,68419.43,BTC-20MAR26-61000-P,63.36,,0.0105122,0.0105,3,1772837815833,419108417,182
0.3,,,,,,0.3,sell,68416.39,BTC-20MAR26-75000-C,52.8,,0.0109375,0.0105,0,1772837715817,419108397,366
0.5,,,,,,0.5,buy,68409.78,BTC-25DEC26-100000-C,49.99,,0.06504287,0.065,2,1772837585736,419108366,1025
0.6,,,,,,0.6,buy,68382.19,BTC-20MAR26-65000-C,61.79,,0.07258082,0.075,0,1772837517792,419108343,35
0.2,,,,,,0.2,buy,68382.19,BTC-13MAR26-70000-C,54.13,,0.01826696,0.0185,0,1772837517324,419108340,551
0.4,,,,,,0.4,sell,68382.19,BTC-13MAR26-66000-C,62.29,,0.05032585,0.0525,1,1772837517089,419108339,202
0.1,,,,,,0.1,buy,68399.84,BTC-24APR26-63000-P,54.82,,0.04258516,0.0425,0,1772837463066,419108327,309
2.0,,,,,,2.0,buy,68404.17,BTC-7MAR26-70000-C,46.07,,0.00024985,0.0004,0,1772837225199,419108006,199
4.9,,,,,,4.9,sell,68389.18,BTC-27MAR26-45000-P,86.27,,0.00132741,0.0012,2,1772837173007,419107959,278
1.0,,,,,,1.0,buy,68387.04,BTC-8MAR26-72500-C,48.69,,0.00015744,0.0003,0,1772837148656,419107956,95
0.1,,,,,,0.1,buy,68366.61,BTC-8MAR26-74000-C,54.11,,0.00010064,0.0001,3,1772837066980,419107897,89
1.0,,,,,,1.0,buy,68395.32,BTC-27MAR26-71000-C,53.69,,0.03480724,0.035,0,1772837033956,419107735,155
0.1,,,,,,0.1,buy,68396.98,BTC-8MAR26-68500-P,31.47,,0.00843429,0.0085,3,1772837029798,419107727,276
25.0,,,,,,25.0,sell,68378.94,BTC-25DEC26-55000-P,54.58,,0.08464193,0.084,0,1772836998130,419107662,261
0.1,,,,,,0.1,sell,68366.36,BTC-27MAR26-95000-P,76.32,,0.38943026,0.3915,0,1772836976468,419107650,3615
0.1,,,,,,0.1,buy,68361.75,BTC-24APR26-82000-C,50.54,,0.01753594,0.0175,0,1772836957255,419107645,795
0.1,,,,,,0.1,buy,68371.52,BTC-24APR26-86000-C,50.87,,0.0110565,0.011,0,1772836935073,419107604,1218
0.9,,,,,,0.9,sell,68374.05,BTC-13MAR26-80000-C,59.13,,0.00079372,0.0007,3,1772836929668,419107603,691
2.0,,,,,,2.0,buy,68348.41,BTC-13MAR26-55000-P,87.25,,0.00107067,0.0012,0,1772836897347,419107584,1018
0.1,,,,,,0.1,buy,68341.5,BTC-20MAR26-69000-C,54.73,,0.0374818,0.0375,0,1772836886688,419107577,225
0.4,,,,,,0.4,buy,68301.59,BTC-25SEP26-50000-P,56.52,,0.043788,0.044,3,1772836783451,419107496,1377
0.1,,,,,,0.1,buy,68253.6,BTC-29MAY26-45000-P,65.64,,0.01050552,0.0105,3,1772836613340,419107445,76
0.1,,,,,,0.1,sell,68243.87,BTC-7MAR26-71500-C,64.07,,0.00011603,0.0001,2,1772836450050,419107303,105
0.1,,,,,,0.1,sell,68286.92,BTC-20MAR26-73000-C,52.82,,0.01660205,0.016,2,1772836298745,419107164,345
0.1,,,,,,0.1,sell,68287.32,BTC-20MAR26-66000-P,56.86,,0.02812738,0.028,2,1772836290934,419107163,396
