amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
7.4,,,,,sell,30079.78,BTC-28JUL23-30000-C,44.06,0.05390464,0.0535,2,1687996781615,259651634,2321
0.8,,,,,sell,30092.49,BTC-29JUN23-30500-C,42.46,0.00118529,0.001,2,1687996621718,259651570,442
0.2,,,,,buy,30091.09,BTC-28JUL23-35000-C,51.46,0.01271926,0.013,0,1687996593270,259651568,910
0.1,,,,,buy,30083.1,BTC-29JUN23-30250-C,43.51,0.00280414,0.003,3,1687996486053,259651538,387
0.1,,,,,buy,30094.93,BTC-29JUN23-29500-C,50.4,0.02052265,0.0205,2,1687996393578,259651483,7
1.8,,,,,sell,30099.63,BTC-29JUN23-30000-C,42.24,0.00694922,0.007,3,1687996289563,259651464,156
1.0,,,,,sell,30104.52,BTC-29JUN23-30750-C,48.06,0.00053401,0.0005,3,1687996201780,259651415,327
1.0,,,,,buy,30099.96,BTC-29JUN23-29250-P,61.18,0.00028093,0.0005,3,1687996105402,259651387,244
1.3,,,,,sell,30099.96,BTC-29JUN23-30000-P,41.15,0.00356061,0.0035,3,1687996105388,259651386,337
0.1,,,,,buy,30099.96,BTC-29DEC23-28000-C,49.37,0.18420083,0.1835,2,1687996105199,259651379,296
0.4,,,,,sell,30099.95,BTC-1JUL23-31250-C,45.59,0.00314851,0.003,2,1687996102964,259651367,10
0.1,,,,,sell,30098.71,BTC-30JUN23-30000-P,40.03,0.00862481,0.008,2,1687996094068,259651327,2539
28.0,BLOCK-82112,2,BTC-REV-29DEC23-30000,,buy,30097.94,BTC-29DEC23-30000-C,49.7,0.1517045,0.1519,2,1687996086213,259651301,1069
28.0,BLOCK-82112,2,BTC-REV-29DEC23-30000,,sell,30097.94,BTC-29DEC23-30000-P,49.17,0.12458324,0.1233,2,1687996086213,259651300,152
