amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,sell,26511.1,BTC-20JUN23-28000-C,44.12,0.00119499,0.001,1,1687046267221,258354786,17
0.6,,,buy,26513.5,BTC-28JUL23-18000-P,67.42,0.0027464,0.003,3,1687046037619,258354750,319
0.6,,,sell,26516.46,BTC-28JUL23-33000-C,46.61,0.00687057,0.0065,3,1687045961624,258354735,473
1.0,,,sell,26516.72,BTC-18JUN23-26500-P,19.36,0.00253498,0.002,2,1687045950117,258354733,335
0.1,,,sell,26516.06,BTC-18JUN23-26750-C,25.18,0.00091263,0.0005,3,1687045924264,258354731,100
1.0,,,sell,26509.1,BTC-7JUL23-30000-C,41.73,0.00506315,0.005,0,1687045323113,258354586,123
1.0,,,sell,26508.68,BTC-30JUN23-26500-C,36.9,0.02799388,0.028,2,1687045285709,258354584,606
4.0,,,sell,26508.44,BTC-7JUL23-23500-P,45.82,0.0060268,0.006,3,1687045284441,258354583,32
0.1,,,sell,26495.86,BTC-7JUL23-24500-P,41.19,0.01014715,0.01,1,1687045084851,258354559,94
0.1,,,buy,26495.6,BTC-7JUL23-28500-C,38.34,0.01109544,0.011,3,1687045038209,258354554,31
0.1,,,sell,26491.7,BTC-7JUL23-31000-C,45.52,0.00340704,0.0035,1,1687044901042,258354499,84
0.1,,,sell,26496.38,BTC-23JUN23-25000-P,42.5,0.00360297,0.003,2,1687044888464,258354479,1084
0.4,,,sell,26495.72,BTC-18JUN23-26250-P,26.31,0.00062575,0.0005,1,1687044815816,258354463,350
0.1,,,buy,26502.83,BTC-28JUL23-28000-C,38.96,0.03115626,0.031,2,1687044582257,258354413,1084
0.1,,,sell,26504.9,BTC-28JUL23-24000-P,43.45,0.0188697,0.019,0,1687044530628,258354409,936
2.5,,,sell,26537.86,BTC-30JUN23-27000-C,36.56,0.0203881,0.02,2,1687044052777,258354259,4210
1.0,,,sell,26538.89,BTC-19JUN23-26250-C,31.02,0.01461844,0.0145,0,1687044040702,258354257,177
1.0,,,buy,26539.99,BTC-19JUN23-25500-P,40.15,0.00048771,0.0005,3,1687043803509,258354216,72
0.3,,,sell,26549.66,BTC-18JUN23-26500-C,18.39,0.00416785,0.0035,0,1687043780860,258354206,317
0.2,,,sell,26566.88,BTC-20JUN23-25500-P,40.43,0.00172925,0.0015,2,1687043486506,258354163,17
3.4,,,buy,26567.45,BTC-20JUN23-25000-P,42.93,0.000902,0.0005,3,1687043370784,258354156,7
0.5,,,buy,26564.34,BTC-7JUL23-39000-C,68.62,0.00044073,0.0005,1,1687042713336,258354107,1
3.0,,,sell,26555.4,BTC-30JUN23-29000-C,39.69,0.0050318,0.0045,3,1687042620223,258354099,3915
0.1,,,sell,26554.56,BTC-7JUL23-33000-C,49.68,0.00174614,0.0015,2,1687042550846,258354096,38
0.8,,,buy,26558.84,BTC-23JUN23-23500-P,57.72,0.00080879,0.001,1,1687042482453,258354085,616
0.9,,,sell,26561.95,BTC-7JUL23-29000-C,39.64,0.00903501,0.009,3,1687042477405,258354080,67
0.5,,,sell,26554.65,BTC-19JUN23-26500-P,29.37,0.00627642,0.006,2,1687042159061,258354028,150
3.7,,,sell,26545.87,BTC-29SEP23-60000-C,68.25,0.00296039,0.0025,2,1687041630509,258353922,875
0.4,,,sell,26544.79,BTC-19JUN23-27500-C,35.07,0.00071833,0.0005,3,1687041539519,258353886,32
0.3,,,sell,26542.4,BTC-23JUN23-28000-C,39.19,0.00366281,0.0035,3,1687040867627,258353838,986
5.1,,,buy,26541.21,BTC-23JUN23-24000-P,53.4,0.00124335,0.0015,0,1687040813529,258353826,703
0.1,,,buy,26552.03,BTC-30JUN23-25500-P,39.01,0.01176913,0.012,3,1687040675225,258353800,368
0.2,,,sell,26557.57,BTC-23JUN23-26500-P,35.23,0.01517555,0.015,3,1687040485159,258353762,458
0.1,,,buy,26551.75,BTC-18JUN23-27000-C,44.72,0.00071791,0.001,1,1687040280394,258353741,256
0.1,,,sell,26577.31,BTC-30JUN23-30000-C,43.2,0.00287044,0.0025,2,1687039945527,258353667,6834
0.1,,,sell,26565.28,BTC-30JUN23-22000-P,61.71,0.00208588,0.002,3,1687039904000,258353634,2390
0.1,,,sell,26568.53,BTC-19JUN23-26500-C,29.12,0.00916571,0.009,0,1687039889432,258353620,121
0.3,,,buy,26551.04,BTC-18JUN23-25500-C,73.07,0.03951437,0.04,2,1687039883550,258353539,121
0.6,,,sell,26543.68,BTC-30JUN23-25000-P,40.07,0.00829689,0.008,2,1687039844805,258353380,3599
0.5,BTC-PCOND-18JUN23-26000_26250_26500_26750,258353373,sell,26543.39,BTC-18JUN23-26750-P,32.44,0.00871696,0.0092,2,1687039798405,258353377,66
0.5,BTC-PCOND-18JUN23-26000_26250_26500_26750,258353373,sell,26543.39,BTC-18JUN23-26000-P,41.38,0.00010532,0.0004,2,1687039798405,258353374,176
2.6,,,buy,26539.09,BTC-23JUN23-26500-C,35.56,0.01904651,0.019,0,1687039488943,258353322,1662
0.8,,,sell,26543.73,BTC-28JUL23-23000-P,45.79,0.01281097,0.0125,2,1687039455928,258353316,674
0.1,,,sell,26541.36,BTC-29SEP23-22000-P,46.95,0.02704094,0.0275,2,1687039438444,258353300,447
0.2,,,sell,26525.31,BTC-28JUL23-27000-C,38.58,0.04523636,0.045,1,1687039341030,258353230,988
0.2,,,buy,26510.39,BTC-29MAR24-28000-C,47.24,0.15328513,0.1535,0,1687038751051,258353097,69
0.1,,,buy,26510.77,BTC-18JUN23-28500-C,114.04,2.72e-06,0.0005,1,1687038495798,258353069,4
0.2,,,sell,26501.95,BTC-28JUL23-28000-P,39.23,0.08336885,0.0835,0,1687038100727,258353042,195
0.2,,,sell,26500.55,BTC-30JUN23-24000-P,45.71,0.00450858,0.0045,3,1687038094651,258353038,3460
0.1,,,buy,26477.96,BTC-28JUL23-31000-C,43.38,0.01102737,0.0115,3,1687037794652,258353019,1057
0.6,,,buy,26478.14,BTC-28JUL23-25000-P,40.46,0.02783575,0.0275,3,1687037789826,258353017,1276
1.0,,,buy,26478.23,BTC-20JUN23-24500-P,51.78,0.00030643,0.0005,1,1687037778583,258353014,5
0.3,,,sell,26482.6,BTC-28JUL23-26000-P,38.87,0.04112334,0.0405,3,1687037737509,258352993,892
0.2,,,sell,26491.88,BTC-30JUN23-32000-C,51.74,0.00122662,0.001,3,1687037477000,258352959,2833
0.1,,,buy,26513.54,BTC-29SEP23-30000-C,41.95,0.04674676,0.046,2,1687036588213,258352836,1499
0.1,,,buy,26535.76,BTC-28JUL23-30000-C,41.6,0.01577335,0.016,1,1687035532926,258352661,1562
0.1,,,sell,26536.09,BTC-23JUN23-31000-C,59.55,0.00074412,0.0005,3,1687035505804,258352660,365
1.0,,,sell,26533.04,BTC-30JUN23-28000-C,37.65,0.00996471,0.0095,3,1687035487360,258352645,4576
1.5,,,sell,26527.57,BTC-29SEP23-34000-C,45.58,0.02330715,0.0235,2,1687035375326,258352642,343
