amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,,,1.0,sell,101442.06,BTC-28FEB25-112000-C,55.72,,0.0240746,0.0235,2,1738627193636,346107930,832
1.0,,,,,1.0,sell,101418.05,BTC-4FEB25-102000-P,47.03,,0.00939201,0.009,0,1738627185155,346107917,201
1.0,,,,,1.0,sell,101415.16,BTC-28FEB25-125000-C,58.72,,0.00767936,0.007,2,1738627177132,346107898,1464
0.1,,,,,0.1,sell,101413.36,BTC-7FEB25-103000-P,54.62,,0.02941937,0.0295,0,1738627155756,346107848,489
1.9,,,,,1.9,sell,101403.18,BTC-14FEB25-88000-P,64.63,,0.00442018,0.0044,3,1738627107699,346107841,133
1.1,,,,,1.1,buy,101396.33,BTC-28MAR25-80000-P,58.42,,0.01251726,0.0125,1,1738627057166,346107815,3228
0.1,,,,,0.1,buy,101396.33,BTC-21FEB25-80000-P,67.65,,0.0029145,0.0028,0,1738627057164,346107814,111
0.1,,,,,0.1,sell,101390.18,BTC-28MAR25-220000-C,82.48,,0.00115559,0.0011,2,1738627052981,346107812,2499
0.1,,,,,0.1,buy,101415.23,BTC-26SEP25-75000-P,58.45,,0.04802997,0.048,0,1738627002955,346107722,396
0.1,,,,,0.1,buy,101415.23,BTC-26SEP25-65000-P,60.07,,0.02737823,0.0275,0,1738627002954,346107721,352
0.1,,,,,0.1,buy,101415.23,BTC-25APR25-75000-P,59.52,,0.01463822,0.0145,3,1738627002874,346107711,46
0.1,,,,,0.1,sell,101420.99,BTC-4FEB25-100000-C,56.57,,0.01568796,0.016,2,1738626993845,346107703,418
0.1,,,,,0.1,buy,101422.6,BTC-26SEP25-70000-P,59.05,,0.03645708,0.0365,2,1738626988059,346107702,460
1.0,,,,,1.0,sell,101430.36,BTC-4FEB25-95000-C,114.13,,0.06360786,0.064,3,1738626983572,346107700,101
0.6,,,,,0.6,sell,101470.53,BTC-4FEB25-106000-C,65.44,,0.0001247,0.0001,2,1738626975857,346107681,222
0.2,,,,,0.2,buy,101470.76,BTC-4FEB25-101000-C,48.65,,0.00855119,0.0085,2,1738626965108,346107626,304
0.8,,,,,0.8,buy,101470.76,BTC-28FEB25-105000-C,54.82,,0.04431802,0.044,3,1738626965006,346107625,870
0.1,,,,,0.1,buy,101498.02,BTC-28MAR25-85000-P,56.79,,0.02010672,0.02,0,1738626901090,346107509,2528
1.0,,,,,1.0,sell,101498.4,BTC-28MAR25-250000-C,89.27,,0.00075764,0.0007,3,1738626900102,346107468,1962
0.3,,,,,0.3,buy,101498.4,BTC-28MAR25-100000-P,55.66,,0.06922398,0.0695,0,1738626900031,346107459,2227
0.1,,,,,0.1,buy,101498.4,BTC-26SEP25-85000-P,57.86,,0.07799342,0.078,2,1738626899988,346107419,224
0.2,,,,,0.2,buy,101498.59,BTC-28MAR25-130000-C,59.48,,0.01946281,0.0195,3,1738626897294,346107352,4008
5.8,,,,,5.8,buy,101498.73,BTC-7FEB25-92000-P,68.4,,0.00183115,0.0018,2,1738626891358,346107348,933
1.0,,,,,1.0,buy,101515.51,BTC-14FEB25-101000-C,54.48,,0.04018661,0.04,3,1738626845933,346107258,274
2.2,,,,,2.2,buy,101522.01,BTC-7FEB25-118000-C,69.66,,0.00029255,0.0003,2,1738626821380,346107210,328
0.1,,,,,0.1,sell,101521.04,BTC-14FEB25-120000-C,61.39,,0.00255109,0.0026,0,1738626816818,346107201,475
0.5,,,,,0.5,sell,101550.97,BTC-28FEB25-96000-P,55.02,,0.02986774,0.03,0,1738626755640,346107025,870
3.0,,,,,3.0,buy,101559.26,BTC-7FEB25-120000-C,72.36,,0.00018066,0.0002,3,1738626679828,346106969,889
0.3,,,,,0.3,buy,101558.04,BTC-28MAR25-80000-C,58.17,,0.23524684,0.235,0,1738626674339,346106968,4655
0.4,,,,,0.4,sell,101556.22,BTC-28FEB25-100000-C,54.81,,0.06690483,0.067,1,1738626637641,346106952,1484
2.7,,,,,2.7,sell,101551.22,BTC-5FEB25-106000-C,58.5,,0.0022294,0.002,2,1738626626649,346106948,41
0.1,,,,,0.1,sell,101552.37,BTC-4FEB25-104000-C,52.7,,0.00065938,0.0005,2,1738626597813,346106946,397
1.0,,,,,1.0,buy,101600.9,BTC-6FEB25-88000-P,88.05,,0.00055075,0.0005,3,1738626523195,346106716,10
0.4,,,,,0.4,sell,101636.39,BTC-5FEB25-88000-P,108.19,,0.00030172,0.0003,2,1738626472452,346106663,101
0.3,,,,,0.3,sell,101660.41,BTC-21FEB25-116000-C,55.35,,0.01018446,0.0095,3,1738626445839,346106633,121
0.1,,,,,0.1,sell,101659.94,BTC-14FEB25-103000-C,54.7,,0.03175888,0.0315,3,1738626435364,346106631,244
