amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,,0.1,buy,112078.53,BTC-31OCT25-116000-C,36.2,0.04344266,0.0435,3,1757375874252,384022989,1800
0.1,,,,,,0.1,buy,112101.06,BTC-26SEP25-108000-P,37.94,0.01651213,0.0165,0,1757375733778,384022931,3382
0.1,,,,,,0.1,buy,112097.63,BTC-31OCT25-114000-C,36.49,0.05171433,0.0515,2,1757375727341,384022925,444
0.1,,,,,,0.1,sell,112076.94,BTC-11SEP25-112000-P,32.7,0.00979492,0.01,1,1757375670720,384022879,39
0.1,,,,,,0.1,sell,112046.76,BTC-28NOV25-120000-C,37.91,0.04843764,0.0485,2,1757375654880,384022860,332
0.1,,,,,,0.1,sell,112039.72,BTC-31OCT25-112000-P,36.98,0.05108497,0.051,1,1757375649552,384022771,875
0.2,,,,,,0.2,sell,112037.81,BTC-11SEP25-108000-P,37.79,0.00173675,0.0016,3,1757375582130,384022743,27
0.1,,,,,,0.1,sell,112032.33,BTC-19SEP25-107000-P,38.28,0.00873047,0.0085,0,1757375537931,384022660,221
0.1,,,,,,0.1,sell,112020.44,BTC-28NOV25-130000-C,37.76,0.02468107,0.0245,3,1757375532124,384022517,205
0.1,,,,,,0.1,sell,112023.21,BTC-28NOV25-140000-C,38.16,0.0119286,0.012,3,1757375492742,384022483,395
0.2,,,,,,0.2,buy,112023.21,BTC-31OCT25-100000-P,39.68,0.01651836,0.0165,0,1757375492723,384022482,1441
5.0,,,,,,5.0,sell,112023.21,BTC-12SEP25-114000-C,34.82,0.00657876,0.0065,2,1757375492211,384022470,750
0.1,,,,,,0.1,buy,112029.65,BTC-26SEP25-110000-P,36.85,0.02239178,0.0225,0,1757375481603,384022459,5464
0.1,,,,,,0.1,sell,112029.65,BTC-9SEP25-113000-C,26.52,0.00059416,0.0006,2,1757375481559,384022458,514
0.2,,,,,,0.2,buy,112031.17,BTC-26SEP25-100000-P,42.25,0.00431533,0.0043,1,1757375472855,384022450,5544
0.1,,,,,,0.1,buy,112046.98,BTC-19SEP25-100000-P,43.95,0.00181497,0.0018,0,1757375462689,384022445,667
4.9,,,,,,4.9,sell,112065.82,BTC-12SEP25-116000-C,34.88,0.00272429,0.0027,1,1757375444930,384022405,797
0.1,,,,,,0.1,sell,112064.29,BTC-12SEP25-108000-P,38.76,0.00321577,0.003,2,1757375396193,384022391,1742
3.4,,,,,,3.4,sell,112062.36,BTC-26SEP25-118000-C,33.96,0.01172192,0.0115,3,1757375278567,384022359,2170
0.5,,,,,,0.5,buy,112044.76,BTC-11SEP25-112000-C,31.76,0.01060833,0.0105,3,1757375192904,384022343,30
50.0,14643,BLOCK-223463,2,BTC-CSR12-31OCT25-122000_130000,,50.0,sell,112048.79,BTC-31OCT25-130000-C,35.55,0.01166786,0.0112,2,1757375149989,384022327,1295
25.0,14643,BLOCK-223463,2,BTC-CSR12-31OCT25-122000_130000,,25.0,buy,112048.79,BTC-31OCT25-122000-C,35.74,0.0255253,0.0252,2,1757375149989,384022326,815
0.1,,,,,,0.1,buy,112082.1,BTC-26SEP25-122000-C,33.61,0.00541666,0.005,1,1757374974812,384022253,2210
1.0,,,,,,1.0,sell,112080.15,BTC-26SEP25-130000-C,34.45,0.00092313,0.0008,2,1757374946275,384022252,7353
25.0,,BLOCK-223462,2,BTC-RR-26SEP25-110000_116000,,25.0,sell,112091.66,BTC-26SEP25-116000-C,34.21,0.01696866,0.0168,2,1757374890915,384022230,2868
0.9,,,,,,0.9,sell,112124.98,BTC-9SEP25-114000-C,28.27,0.00010028,0.0001,3,1757374533893,384022124,166
0.3,,,,,,0.3,sell,112112.79,BTC-10SEP25-102000-P,64.65,0.00014898,0.0001,3,1757374352208,384022059,35
0.3,,,,,,0.3,buy,112119.52,BTC-19SEP25-116000-C,34.43,0.01060064,0.0105,2,1757374301432,384022022,518
0.3,,,,,,0.3,sell,112154.19,BTC-12SEP25-109000-P,37.71,0.00447349,0.0043,0,1757374279226,384021969,636
0.1,,,,,,0.1,buy,112153.99,BTC-31OCT25-120000-C,35.71,0.03093439,0.0305,3,1757374159612,384021950,3319
5.0,,,,,,5.0,buy,112152.54,BTC-11SEP25-106000-P,45.2,0.00070965,0.0009,0,1757374128362,384021932,23
0.3,,,,,,0.3,sell,112148.24,BTC-10SEP25-104000-P,52.9,0.00015098,0.0001,2,1757374080009,384021904,31
0.2,,,,,,0.2,buy,112149.06,BTC-26JUN26-80000-P,47.13,0.03187742,0.032,1,1757374060114,384021897,271
0.5,,,,,,0.5,sell,112165.77,BTC-27MAR26-150000-C,43.18,0.04401429,0.044,3,1757374042117,384021872,1257
0.1,,,,,,0.1,sell,112175.9,BTC-28NOV25-90000-P,43.28,0.01102106,0.011,1,1757374039391,384021868,533
0.1,,,,,,0.1,buy,112212.86,BTC-27MAR26-155000-C,43.28,0.03740903,0.0375,3,1757373956075,384021776,210
0.1,,,,,,0.1,sell,112215.65,BTC-12SEP25-115000-C,33.0,0.00455333,0.0041,2,1757373806807,384021716,1382
0.6,,,,,,0.6,sell,112218.03,BTC-11SEP25-114000-C,31.02,0.00401842,0.0041,1,1757373694404,384021675,37
0.1,,,,,,0.1,sell,112256.88,BTC-28NOV25-122000-C,37.7,0.04314351,0.043,1,1757373682958,384021649,86
1.0,,,,,,1.0,sell,112257.48,BTC-26SEP25-120000-C,32.85,0.00802568,0.0075,1,1757373674577,384021626,9632
0.3,,,,,,0.3,sell,112277.52,BTC-19SEP25-117000-C,33.2,0.00855479,0.008,2,1757373648470,384021584,418
0.1,,,,,,0.1,buy,112277.08,BTC-26DEC25-160000-C,41.79,0.00852793,0.0085,3,1757373556934,384021542,2684
0.1,,,,,,0.1,buy,112264.74,BTC-27MAR26-80000-P,47.34,0.02067882,0.0205,0,1757373555155,384021540,827
1.1,,,,,,1.1,buy,112234.87,BTC-26SEP25-115000-C,34.45,0.02063992,0.0205,3,1757373467031,384021437,5026
3.0,,,,,,3.0,buy,112236.91,BTC-12SEP25-104000-P,49.18,0.00076386,0.001,0,1757373451130,384021432,1209
0.1,,,,,,0.1,sell,112225.07,BTC-26JUN26-120000-C,44.05,0.1509117,0.151,1,1757373303675,384021366,283
