amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.4,,,1.4,buy,103203.0,BTC-27JUN25-150000-C,58.29,,0.00234388,0.0026,1,1747526284170,366912225,3014
0.1,,,0.1,sell,103200.31,BTC-27JUN25-220000-C,83.07,,0.00046307,0.0004,2,1747526253676,366912223,1621
0.4,,,0.4,buy,103189.32,BTC-25JUL25-100000-C,44.68,,0.09828869,0.0985,3,1747526251748,366912222,960
0.5,,,0.5,sell,103188.83,BTC-18MAY25-104000-C,21.9,,0.00044626,0.0004,3,1747526244432,366912213,447
0.1,,,0.1,sell,103185.85,BTC-23MAY25-107000-C,35.21,,0.00512783,0.005,2,1747526146833,366912193,552
0.9,,,0.9,sell,103219.95,BTC-27JUN25-85000-P,45.81,,0.0059104,0.006,1,1747525964840,366912139,5592
0.1,,,0.1,buy,103223.24,BTC-30MAY25-100000-P,38.3,,0.01396173,0.014,2,1747525956477,366912135,900
1.2,,,1.2,buy,103228.27,BTC-26SEP25-85000-P,48.17,,0.03257984,0.0335,0,1747525938679,366912134,1219
0.5,,,0.5,sell,103226.16,BTC-23MAY25-100000-P,33.64,,0.00508043,0.0047,2,1747525873812,366912130,686
0.5,,,0.5,sell,103226.16,BTC-23MAY25-101000-P,33.3,,0.00738195,0.007,3,1747525873800,366912129,532
2.7,,,2.7,buy,103229.37,BTC-27JUN25-45000-P,92.61,,0.00015325,0.0002,2,1747525797221,366912126,628
0.1,,,0.1,sell,103231.92,BTC-27JUN25-75000-P,53.63,,0.00203122,0.002,2,1747525779307,366912124,4648
4.0,,,4.0,sell,103211.12,BTC-27JUN25-70000-P,59.61,,0.00144702,0.0014,2,1747525750747,366912110,4909
0.1,,,0.1,sell,103208.67,BTC-18MAY25-103500-C,18.18,,0.00117812,0.0011,0,1747525692115,366912077,46
9.6,,,9.6,buy,103228.84,BTC-27JUN25-120000-C,46.23,,0.01533644,0.0155,1,1747525667348,366912040,5769
1.0,,,1.0,buy,103228.84,BTC-27JUN25-140000-C,53.77,,0.00379148,0.0041,0,1747525667311,366912036,3848
0.4,,,0.4,buy,103229.19,BTC-26SEP25-80000-P,49.12,,0.02264886,0.0235,3,1747525663634,366912030,1991
4.0,,,4.0,buy,103225.98,BTC-30MAY25-120000-C,48.84,,0.00186842,0.002,0,1747525657516,366912024,3068
2.0,,,2.0,buy,103227.5,BTC-30MAY25-115000-C,44.46,,0.00387222,0.004,0,1747525654282,366912022,2909
4.0,,,4.0,buy,103228.64,BTC-6JUN25-140000-C,60.71,,0.00073436,0.0009,0,1747525650957,366912019,8
5.0,,,5.0,buy,103226.14,BTC-6JUN25-135000-C,56.94,,0.00100772,0.0012,0,1747525623570,366912003,23
1.0,,,1.0,buy,103223.97,BTC-6JUN25-130000-C,53.18,,0.00153088,0.0017,0,1747525616663,366911988,28
9.6,,,9.6,buy,103203.47,BTC-26SEP25-75000-P,50.2,,0.01549805,0.016,1,1747525598923,366911981,1875
2.0,,,2.0,buy,103221.64,BTC-27JUN25-115000-C,44.71,,0.02297838,0.023,0,1747525543061,366911961,3331
0.1,,,0.1,buy,103204.95,BTC-19MAY25-94000-P,64.26,,2.096e-05,0.0001,3,1747525523595,366911943,42
12.0,,,12.0,sell,103195.9,BTC-26SEP25-170000-C,54.17,,0.01299382,0.013,3,1747525458394,366911936,406
0.3,,,0.3,sell,103195.9,BTC-26DEC25-200000-C,55.52,,0.02028341,0.02,2,1747525458216,366911935,950
0.1,,,0.1,sell,103224.93,BTC-6JUN25-95000-P,39.6,,0.00823913,0.008,2,1747525341927,366911905,46
0.1,,,0.1,sell,103219.67,BTC-23MAY25-98000-P,35.62,,0.00243352,0.0022,3,1747525337138,366911903,522
0.2,,,0.2,buy,103208.94,BTC-18MAY25-103000-P,17.88,,0.00112969,0.0013,2,1747525152658,366911814,623
0.1,,,0.1,sell,103193.87,BTC-26DEC25-60000-P,54.38,,0.0119022,0.012,3,1747525084175,366911777,1090
0.1,,,0.1,buy,103184.35,BTC-23MAY25-99000-P,34.55,,0.00349697,0.0033,2,1747525052042,366911773,589
0.2,,,0.2,sell,103200.68,BTC-30MAY25-96000-P,39.45,,0.00563313,0.0055,2,1747524589471,366911666,1028
0.1,,,0.1,sell,103215.31,BTC-20MAY25-106000-C,31.42,,0.00189781,0.002,3,1747524541327,366911654,27
0.1,,,0.1,buy,103209.8,BTC-19MAY25-107000-C,30.59,,0.0001638,0.0002,3,1747524479839,366911606,69
0.2,,,0.2,sell,103180.79,BTC-20MAY25-102000-P,29.17,,0.00437122,0.0045,0,1747524474811,366911596,46
0.1,BTC-PS-27JUN25-90000_80000,366911552,0.1,sell,103166.0,BTC-27JUN25-90000-P,43.49,,0.01146516,0.0114,2,1747524458985,366911554,3503
0.1,BTC-PS-27JUN25-90000_80000,366911552,0.1,buy,103166.0,BTC-27JUN25-80000-P,49.62,,0.00339263,0.0035,0,1747524458985,366911553,5726
0.1,,,0.1,buy,103167.84,BTC-30MAY25-60000-P,104.53,,0.00010185,0.0001,3,1747524454690,366911551,2104
0.2,,,0.2,sell,103166.6,BTC-20MAY25-105000-C,30.28,,0.00332854,0.0035,0,1747524443204,366911550,31
0.1,,,0.1,sell,103162.77,BTC-26SEP25-200000-C,57.68,,0.00639464,0.006,3,1747524434359,366911541,3166
