amount,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
6.0,6.0,buy,42121.2,BTC-29MAR24-33000-P,49.57,0.00827986,0.0085,3,1706399931955,281789457,509
0.1,0.1,buy,42124.49,BTC-28JUN24-42000-P,49.42,0.10621818,0.105,0,1706399922291,281789456,221
0.1,0.1,buy,42117.04,BTC-29JAN24-42000-C,24.51,0.00735425,0.0075,1,1706399869138,281789448,146
0.1,0.1,buy,42114.65,BTC-29JAN24-42500-C,26.46,0.00266691,0.0029,2,1706399796606,281789445,103
0.1,0.1,sell,42136.37,BTC-9FEB24-41000-P,39.15,0.01643533,0.016,2,1706399513366,281789405,287
0.1,0.1,buy,42124.5,BTC-9FEB24-39000-P,42.42,0.00611214,0.006,0,1706399251043,281789401,361
0.1,0.1,buy,42130.79,BTC-29MAR24-41000-C,43.22,0.09239536,0.092,3,1706399194920,281789378,1079
0.1,0.1,sell,42106.74,BTC-29MAR24-24000-P,65.33,0.0013191,0.0011,2,1706398837502,281789352,846
0.2,0.2,sell,42100.87,BTC-28JAN24-40000-C,0.0,0.04995088,0.0495,2,1706398779506,281789327,69
0.1,0.1,buy,42100.81,BTC-28JAN24-42000-P,23.24,0.00173899,0.0018,0,1706398768644,281789275,256
0.1,0.1,sell,42103.66,BTC-23FEB24-42000-C,39.92,0.04671964,0.047,0,1706398610880,281789247,913
0.1,0.1,sell,42123.29,BTC-2FEB24-42000-C,39.69,0.02056662,0.021,0,1706398369382,281789190,1132
0.1,0.1,sell,42124.91,BTC-16FEB24-46000-C,40.02,0.00966683,0.0095,2,1706398060307,281789151,158
0.1,0.1,sell,42117.81,BTC-2FEB24-42500-C,37.96,0.0147892,0.0145,2,1706398041547,281789136,50
6.9,6.9,sell,42118.23,BTC-30JAN24-38500-P,51.26,0.00032676,0.0002,3,1706397907951,281789126,10
0.8,0.8,sell,42118.73,BTC-30JAN24-37000-P,64.81,8.479e-05,0.0001,3,1706397891857,281789122,5
