amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,,sell,34090.43,BTC-30OCT23-33750-P,30.44,,0.00347388,0.0032,2,1698537502957,269079377,71
0.2,,,,,sell,34090.3,BTC-30OCT23-37000-C,65.37,,0.00027668,0.0003,2,1698537469417,269079376,25
1.5,,,,,sell,34091.18,BTC-29OCT23-35000-C,54.32,,0.00039023,0.0004,1,1698537405047,269079374,209
3.9,,,,,sell,34091.93,BTC-29OCT23-35250-C,57.84,,0.00023401,0.0002,3,1698537388728,269079373,69
0.2,,,,,sell,34098.25,BTC-31OCT23-34000-C,37.4,,0.0140519,0.014,3,1698537193482,269079347,18
0.1,,,,,sell,34098.02,BTC-31OCT23-34000-P,34.08,,0.01007885,0.009,2,1698537146117,269079345,14
0.2,,,,,buy,34098.39,BTC-31OCT23-34750-C,42.38,,0.00601508,0.0065,0,1698537015008,269079342,9
0.5,,,,,buy,34107.2,BTC-31OCT23-34500-C,40.67,,0.00806634,0.0085,2,1698536975098,269079331,11
3.6,,,,,sell,34094.87,BTC-29OCT23-34500-C,32.41,,0.00077753,0.0006,3,1698536543962,269079256,223
1.2,,,,,sell,34095.52,BTC-31OCT23-33500-P,34.51,,0.00452613,0.0041,2,1698536362077,269079252,17
0.3,,,,,buy,34089.65,BTC-17NOV23-36000-C,47.6,,0.02428753,0.024,2,1698536295936,269079230,117
0.1,,,,,sell,34087.15,BTC-30OCT23-33000-P,37.02,,0.00084984,0.0007,0,1698536290064,269079216,76
0.5,,,,,buy,34093.51,BTC-26JAN24-70000-C,75.07,,0.0055926,0.006,3,1698536115121,269079197,17
0.5,,,,,buy,34093.51,BTC-26JAN24-75000-C,77.87,,0.00440448,0.0048,1,1698536115114,269079196,12
0.1,,,,,sell,34094.03,BTC-30OCT23-34500-C,32.86,,0.00396523,0.0036,2,1698536028870,269079170,40
0.3,,,,,sell,34084.05,BTC-3NOV23-34000-C,43.7,,0.02355457,0.0235,2,1698536000706,269079138,1030
1.0,,,,,sell,34089.93,BTC-30OCT23-36000-C,55.29,,0.00065706,0.0008,1,1698535931311,269079125,25
1.0,,,,,sell,34090.69,BTC-29DEC23-50000-C,62.71,,0.01096454,0.0105,2,1698535926440,269079123,2793
1.7,,,,,buy,34103.32,BTC-30OCT23-36500-C,62.37,,0.00043021,0.0006,1,1698535916109,269079070,63
0.1,,,,,sell,34104.0,BTC-30OCT23-35000-C,39.93,,0.00181408,0.0019,0,1698535576095,269079065,39
2.0,,,,,sell,34104.52,BTC-31OCT23-31500-P,51.7,,0.00053167,0.0004,1,1698535522793,269079064,6
1.0,,,,,sell,34104.95,BTC-30OCT23-32500-P,46.85,,0.00055005,0.0005,1,1698535510579,269079062,32
0.2,,,,,sell,34095.25,BTC-30OCT23-34750-C,36.63,,0.00259054,0.0026,0,1698535389462,269079033,33
14.0,BLOCK-105388,2,BTC-CSR12-29DEC23-34000_39000,,sell,34093.41,BTC-29DEC23-34000-C,50.08,,0.09113102,0.0901,2,1698535350862,269079031,2445
28.0,BLOCK-105388,2,BTC-CSR12-29DEC23-34000_39000,,buy,34093.41,BTC-29DEC23-39000-C,53.79,,0.0432743,0.0432,2,1698535350862,269079030,1315
0.1,,,,,buy,34095.84,BTC-29OCT23-34250-P,22.14,,0.00599963,0.0055,1,1698534956671,269078937,134
1.1,,,,,buy,34090.72,BTC-24NOV23-37000-P,49.09,,0.10257478,0.1025,0,1698534938658,269078927,70
1.0,,,,,buy,34092.81,BTC-3NOV23-35500-P,48.05,,0.04799385,0.048,1,1698534904542,269078880,100
0.1,,,,,buy,34093.98,BTC-31OCT23-37500-C,65.26,,0.00082449,0.0008,0,1698534851794,269078852,6
0.1,,,,,sell,34098.44,BTC-30OCT23-33250-P,34.36,,0.00115683,0.0011,0,1698534752324,269078818,116
0.3,,,,,sell,34095.28,BTC-31OCT23-33750-C,38.03,,0.01800964,0.0185,1,1698534495829,269078695,15
0.1,,,,,buy,34081.9,BTC-17NOV23-32500-P,44.76,,0.01969208,0.0195,3,1698534419441,269078665,95
12.6,,,,,sell,34090.14,BTC-29OCT23-34250-C,30.26,,0.0017812,0.002,3,1698534363868,269078626,299
1.2,,,,,sell,34112.36,BTC-29OCT23-33750-P,19.36,,0.00024752,0.0001,2,1698534048556,269078482,206
1.0,,,,,buy,34114.79,BTC-31OCT23-35000-C,41.79,,0.00468287,0.0046,0,1698533814724,269078448,38
0.1,,,,,buy,34115.35,BTC-29OCT23-33500-P,41.3,,0.00012991,0.0005,1,1698533755701,269078431,203
