amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,buy,36591.25,BTC-29DEC23-34000-P,52.19,0.0339519,0.034,3,1700351981992,271875154,1209
0.3,,,,buy,36591.25,BTC-24NOV23-36500-P,45.16,0.01997556,0.02,1,1700351981777,271875148,287
10.0,,,,buy,36585.65,BTC-29MAR24-100000-C,85.58,0.00853987,0.009,3,1700351854944,271875060,341
3.6,,,,sell,36589.22,BTC-19NOV23-36500-C,29.84,0.00507642,0.005,1,1700351833601,271875059,386
0.4,,,,sell,36585.19,BTC-21NOV23-36750-P,38.59,0.01464162,0.0145,1,1700351587350,271875055,6
0.3,,,,buy,36585.19,BTC-1DEC23-35000-P,46.73,0.0150719,0.0155,0,1700351577327,271875054,460
1.2,,,,sell,36585.87,BTC-24NOV23-36000-P,44.74,0.01423182,0.014,2,1700351503287,271875052,1961
2.0,,,,sell,36586.15,BTC-21NOV23-36250-C,36.45,0.01775867,0.017,1,1700351494831,271875045,1
0.2,,,,sell,36586.37,BTC-26JAN24-35000-C,56.25,0.12554385,0.126,0,1700351312140,271875041,102
0.2,,,,buy,36586.57,BTC-20NOV23-36750-P,35.98,0.01098018,0.011,1,1700351296388,271875040,40
0.3,,,,sell,36586.35,BTC-1DEC23-39500-C,49.45,0.01106055,0.011,3,1700351187319,271874994,242
0.1,,,,buy,36589.24,BTC-24NOV23-39000-C,52.32,0.00551853,0.0055,3,1700351067479,271874936,2030
0.1,,,,sell,36588.62,BTC-26JAN24-36000-P,56.3,0.08109948,0.0805,2,1700351025509,271874928,158
4.0,,,,buy,36585.58,BTC-24NOV23-35000-P,47.73,0.00696668,0.007,2,1700350905317,271874880,2426
4.0,,,,buy,36585.65,BTC-8DEC23-46000-C,61.57,0.00384301,0.0038,3,1700350901695,271874879,56
0.3,,,,buy,36586.91,BTC-29DEC23-60000-C,75.79,0.00304778,0.0033,0,1700350835165,271874870,2377
0.2,,,,sell,36576.11,BTC-20NOV23-36500-C,36.3,0.01013798,0.01,1,1700350555462,271874834,87
0.1,,,,sell,36576.02,BTC-24NOV23-23000-P,137.14,0.00012403,0.0001,3,1700350532730,271874833,1319
0.3,,,,sell,36582.54,BTC-19NOV23-36750-P,26.3,0.00635512,0.006,1,1700350456219,271874798,130
0.1,,,,buy,36576.88,BTC-8DEC23-44000-C,58.18,0.00606903,0.006,1,1700350438758,271874790,108
0.8,,,,buy,36571.43,BTC-20NOV23-36000-P,35.73,0.00331606,0.0029,0,1700350413500,271874784,85
7.5,,,,buy,36571.42,BTC-20NOV23-36500-P,35.27,0.00805693,0.0075,2,1700350412818,271874782,83
0.8,,,,buy,36571.42,BTC-20NOV23-37000-C,37.77,0.00510203,0.0046,3,1700350412496,271874780,178
0.9,,,,buy,36571.44,BTC-20NOV23-37250-C,39.72,0.0035263,0.0032,2,1700350407033,271874775,60
0.9,,,,buy,36571.59,BTC-8DEC23-45000-C,60.06,0.00484962,0.0048,2,1700350402409,271874769,96
3.5,,,,buy,36571.45,BTC-20NOV23-36250-P,36.36,0.00530365,0.005,2,1700350396035,271874768,85
0.2,,,,sell,36566.63,BTC-20NOV23-40000-C,60.83,0.00025682,0.0001,2,1700350368136,271874767,24
2.9,,,,buy,36545.19,BTC-21NOV23-36500-C,39.55,0.01336871,0.0135,2,1700350344598,271874753,27
3.0,,,,sell,36547.25,BTC-29DEC23-40000-C,54.94,0.04116366,0.041,2,1700350304756,271874625,7641
0.1,,,,sell,36546.32,BTC-24NOV23-42000-C,64.57,0.00129677,0.0013,3,1700350262209,271874598,3306
0.1,,,,buy,36551.84,BTC-21NOV23-35500-P,42.17,0.00346664,0.0035,3,1700350243911,271874591,19
