amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,sell,33915.64,BTC-10NOV23-41000-C,55.87,,0.00212194,0.0019,2,1698451040818,269026742,162
0.1,,,,,sell,33913.25,BTC-3NOV23-38000-C,55.04,,0.00219083,0.002,3,1698451028485,269026738,676
0.1,,,,,sell,33909.39,BTC-29OCT23-33750-C,25.71,,0.00882515,0.009,1,1698451011839,269026737,66
0.1,,,,,buy,33922.4,BTC-24NOV23-28000-P,51.42,,0.00448379,0.0047,2,1698450975591,269026724,1456
3.2,,,,,sell,33913.63,BTC-29OCT23-33000-P,33.51,,0.00078104,0.0008,3,1698450791007,269026680,153
0.4,,,,,sell,33927.05,BTC-17NOV23-37000-C,45.98,,0.01505528,0.0145,2,1698450583670,269026598,42
0.1,,,,,sell,33902.46,BTC-10NOV23-40000-C,53.71,,0.00300033,0.0027,2,1698450546646,269026579,308
0.4,,,,,buy,33914.14,BTC-10NOV23-36000-C,45.73,,0.01349481,0.014,0,1698450485982,269026552,307
0.1,,,,,buy,33926.36,BTC-30OCT23-34000-P,30.15,,0.01070708,0.0105,2,1698450454181,269026537,10
0.1,,,,,buy,33926.48,BTC-24NOV23-44000-C,57.06,,0.00375495,0.0038,2,1698450442941,269026533,381
0.1,,,,,sell,33925.0,BTC-24NOV23-40000-C,51.06,,0.00952256,0.0095,0,1698450430469,269026529,1572
0.1,,,,,sell,33917.97,BTC-3NOV23-34500-C,39.53,,0.01440271,0.014,0,1698450351478,269026503,318
0.1,,,,,buy,33926.07,BTC-10NOV23-33000-P,40.25,,0.0175405,0.0175,2,1698450324728,269026496,186
0.1,,,,,sell,33927.1,BTC-10NOV23-35000-C,42.44,,0.02073567,0.0205,2,1698450320896,269026494,383
0.1,,,,,buy,33924.17,BTC-29DEC23-36000-C,50.5,,0.06345161,0.0635,0,1698450201064,269026405,3125
0.6,,,,,buy,33927.38,BTC-29DEC23-34000-P,49.4,,0.07528314,0.0755,3,1698450194557,269026404,363
7.1,,,,,buy,33929.36,BTC-24NOV23-36000-C,44.62,,0.02764825,0.027,3,1698450082134,269026297,1874
0.1,,,,,buy,33929.08,BTC-24NOV23-34000-P,43.47,,0.04565326,0.046,2,1698450078821,269026294,464
0.1,,,,,buy,33922.39,BTC-17NOV23-38000-C,48.63,,0.01110894,0.011,3,1698450060379,269026237,48
0.3,,,,,sell,33904.93,BTC-29OCT23-34000-P,25.42,,0.00794249,0.0075,3,1698450049417,269026218,79
0.1,,,,,sell,33908.71,BTC-29OCT23-38000-C,75.1,,0.00020109,0.0001,3,1698449989654,269026151,52
0.1,,,,,sell,33928.93,BTC-28OCT23-35000-C,53.56,,0.00025712,0.0002,3,1698449824544,269025887,367
50.0,BLOCK-105354,2,BTC-CDIAG-24NOV23_10NOV23-38000_34500,,sell,33929.85,BTC-24NOV23-38000-C,48.09,,0.01658196,0.016,0,1698449813088,269025869,1409
50.0,BLOCK-105354,2,BTC-CDIAG-24NOV23_10NOV23-38000_34500,,buy,33929.85,BTC-10NOV23-34500-C,42.36,,0.02539192,0.026,0,1698449813087,269025870,130
0.2,,,,,sell,33910.31,BTC-29OCT23-33750-P,24.39,,0.00386927,0.0037,2,1698449782373,269025780,97
0.2,,,,,sell,33923.88,BTC-30OCT23-34000-C,30.76,,0.00892094,0.009,0,1698449765075,269025752,24
1.1,,,,,sell,33931.61,BTC-29DEC23-45000-C,58.68,,0.01917846,0.0185,3,1698449739154,269025728,3231
0.1,,,,,sell,33931.61,BTC-10NOV23-30500-P,45.14,,0.00397581,0.004,3,1698449738933,269025727,190
0.3,,,,,sell,33942.92,BTC-28OCT23-33750-P,24.16,,0.00126239,0.001,2,1698449719594,269025599,555
1.1,,,,,sell,33922.09,BTC-24NOV23-32000-P,43.01,,0.021583,0.0215,3,1698449714287,269025499,561
1.4,,,,,buy,33899.42,BTC-28OCT23-34000-C,29.35,,0.00236044,0.0023,1,1698449713850,269025466,147
0.1,,,,,buy,33899.42,BTC-29DEC23-35000-C,49.87,,0.07345379,0.0735,1,1698449713673,269025459,3824
0.1,,,,,sell,33893.3,BTC-24NOV23-30000-P,45.67,,0.00941696,0.0095,1,1698449712018,269025379,989
0.2,,,,,sell,33873.45,BTC-29DEC23-28000-P,51.63,,0.01743624,0.0175,2,1698449687315,269025308,1896
0.1,,,,,sell,33857.89,BTC-24NOV23-50000-C,66.04,,0.00132894,0.0013,2,1698449655127,269025221,213
0.1,,,,,sell,33859.29,BTC-24NOV23-48000-C,64.34,,0.00198594,0.002,2,1698449457697,269025172,136
2.7,,,,,sell,33859.54,BTC-24NOV23-46000-C,60.92,,0.00290962,0.0027,2,1698449455839,269025171,157
0.4,,,,,sell,33856.63,BTC-24NOV23-42000-C,55.81,,0.00657188,0.0065,3,1698449453983,269025167,733
1.0,,,,,buy,33858.71,BTC-29MAR24-34000-P,54.54,,0.12668203,0.1265,2,1698449253117,269025064,59
0.4,,,,,buy,33858.47,BTC-24NOV23-35000-C,44.75,,0.03646452,0.0365,1,1698449222305,269025061,606
0.5,,,,,sell,33858.81,BTC-28OCT23-33500-P,30.19,,0.00049505,0.0006,2,1698449181844,269025054,381
0.4,,,,,buy,33858.68,BTC-30OCT23-33750-P,30.38,,0.00784148,0.008,3,1698449151291,269025052,14
0.6,,,,,buy,33857.77,BTC-29DEC23-21000-P,67.37,,0.00337707,0.0034,2,1698449099521,269025048,1467
1.4,,,,,sell,33857.72,BTC-28OCT23-33000-P,40.53,,0.00015281,0.0001,2,1698448979929,269024979,296
1.7,,,,,buy,33858.5,BTC-3NOV23-35000-P,42.03,,0.04270903,0.0425,2,1698448946271,269024947,102
0.2,,,,,buy,33858.02,BTC-3NOV23-34500-P,40.17,,0.03167982,0.0315,2,1698448943331,269024874,229
0.6,,,,,buy,33857.42,BTC-26JAN24-30000-P,51.75,,0.04484361,0.0445,3,1698448928508,269024793,22
0.2,,,,,sell,33857.0,BTC-26JAN24-35000-C,53.19,,0.09866712,0.0985,0,1698448911865,269024787,23
15.0,,,,,buy,33852.82,BTC-29MAR24-55000-C,63.84,,0.03419965,0.035,0,1698448875748,269024763,620
0.1,,,,,buy,33853.26,BTC-3NOV23-35000-C,42.47,,0.01004693,0.01,1,1698448856126,269024760,820
1.0,,,,,buy,33852.71,BTC-28OCT23-33750-C,25.62,,0.00509779,0.005,0,1698448713738,269024716,100
2.7,,,,,buy,33851.75,BTC-3NOV23-33000-P,38.35,,0.00948711,0.0095,3,1698448662266,269024704,441
0.7,,,,,sell,33851.34,BTC-17NOV23-33000-P,41.54,,0.02587195,0.026,2,1698448569832,269024675,57
0.1,,,,,sell,33849.32,BTC-17NOV23-31000-P,41.71,,0.00946448,0.009,2,1698448371572,269024607,28
0.2,,,,,sell,33842.74,BTC-28OCT23-34000-P,29.7,,0.0066122,0.0065,2,1698448286170,269024595,297
0.1,,,,,sell,33842.62,BTC-24NOV23-31000-P,43.12,,0.01442819,0.014,2,1698448285392,269024589,666
0.3,,,,,sell,33842.03,BTC-26JAN24-37000-C,54.42,,0.07885123,0.0785,0,1698448267450,269024584,15
0.2,,,,,sell,33835.42,BTC-30OCT23-33500-P,28.93,,0.00532221,0.005,3,1698448247806,269024565,30
0.1,,,,,sell,33831.98,BTC-29DEC23-27000-P,52.22,,0.01349138,0.013,2,1698448235191,269024564,2645
0.1,,,,,sell,33831.5,BTC-29DEC23-26000-P,53.89,,0.01048976,0.01,0,1698448235145,269024563,2718
0.1,,,,,buy,33835.7,BTC-10NOV23-34000-C,40.92,,0.02980454,0.03,2,1698448092102,269024537,462
0.1,,,,,sell,33837.58,BTC-30OCT23-32750-P,32.0,,0.00147116,0.0012,2,1698448071286,269024536,9
0.1,,,,,buy,33832.05,BTC-3NOV23-32000-P,40.64,,0.00396761,0.0039,3,1698447950945,269024504,354
0.3,,,,,sell,33825.68,BTC-3NOV23-39000-C,61.15,,0.0015203,0.0014,3,1698447851346,269024480,289
0.1,,,,,sell,33824.81,BTC-30OCT23-36500-C,55.94,,0.0008491,0.0009,3,1698447833694,269024476,39
0.1,,,,,sell,33824.57,BTC-3NOV23-41000-C,69.76,,0.00082602,0.0007,3,1698447824035,269024472,143
0.1,,,,,sell,33826.52,BTC-28OCT23-34250-C,34.09,,0.00082258,0.0007,3,1698447798885,269024468,207
0.1,,,,,sell,33813.69,BTC-3NOV23-30500-P,49.72,,0.00158422,0.0015,3,1698447740455,269024434,448
0.1,,,,,sell,33818.74,BTC-26JAN24-20000-P,63.0,,0.00443852,0.004,2,1698447665912,269024366,61
1.0,,,,,buy,33827.74,BTC-29DEC23-14000-P,97.85,,0.0009915,0.0012,1,1698447610994,269024312,241
0.1,,,,,sell,33822.66,BTC-28OCT23-35500-C,67.6,,0.00012731,0.0001,3,1698447548415,269024272,138
0.1,,,,,sell,33820.83,BTC-3NOV23-31000-P,46.5,,0.00199847,0.002,3,1698447535871,269024259,427
1.3,,,,,buy,33819.1,BTC-17NOV23-35000-C,43.16,,0.02762505,0.0275,3,1698447531335,269024256,59
1.5,,,,,buy,33822.52,BTC-29OCT23-33500-P,25.56,,0.00259104,0.0025,0,1698447524965,269024248,131
0.2,,,,,buy,33841.86,BTC-3NOV23-36000-C,46.88,,0.00537466,0.0055,1,1698447407865,269024181,610
6.0,,,,,sell,33838.8,BTC-26JAN24-22000-P,59.18,,0.00720787,0.0065,3,1698447372317,269024170,8
0.1,,,,,buy,33840.68,BTC-26JAN24-52000-C,65.02,,0.01939539,0.019,2,1698447341436,269024142,7
0.2,,,,,sell,33828.91,BTC-29OCT23-35500-C,47.1,,0.00066628,0.0006,2,1698447293029,269024114,74
0.1,,,,,sell,33827.65,BTC-17NOV23-29500-P,45.73,,0.00477605,0.0046,2,1698447287015,269024113,40
1.0,,,,,sell,33830.58,BTC-28OCT23-34500-C,40.75,,0.00044485,0.0004,2,1698447266264,269024108,222
0.2,,,,,buy,33840.44,BTC-30OCT23-33250-P,31.26,,0.0033417,0.0035,2,1698447220931,269024085,97
2.0,,,,,sell,33844.1,BTC-26JAN24-32000-P,52.45,,0.0680369,0.0685,0,1698447208691,269024083,26
0.2,,,,,sell,33853.6,BTC-10NOV23-37500-C,48.48,,0.00712785,0.007,3,1698447050784,269024019,127
0.1,,,,,sell,33853.59,BTC-27SEP24-34000-C,55.7,,0.23364425,0.2325,2,1698447035317,269024000,37
0.2,,,,,buy,33845.31,BTC-29DEC23-37000-C,51.8,,0.05384733,0.0545,0,1698446925533,269023965,1389
0.2,,,,,buy,33845.91,BTC-29DEC23-33000-P,49.36,,0.06217477,0.0625,0,1698446924262,269023956,489
1.9,,,,,buy,33839.3,BTC-26JAN24-32000-C,51.87,,0.1387444,0.1385,3,1698446900812,269023946,22
0.1,,,,,sell,33842.11,BTC-30OCT23-35250-C,42.76,,0.00202029,0.0021,3,1698446816757,269023918,12
0.5,,,,,buy,33841.78,BTC-29OCT23-36000-C,53.39,,0.00048226,0.0004,3,1698446807487,269023916,82
1.4,,,,,sell,33833.83,BTC-17NOV23-30500-P,43.54,,0.00747311,0.0075,3,1698446769858,269023908,26
0.1,,,,,sell,33821.02,BTC-17NOV23-34500-C,42.39,,0.03270195,0.0325,2,1698446644496,269023868,41
0.3,,,,,sell,33846.61,BTC-17NOV23-35500-C,43.97,,0.02370953,0.0235,3,1698446576455,269023752,58
