amount,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,sell,30246.28,BTC-4AUG23-30500-C,37.65,0.03189357,0.0315,0,1689551884844,261146595,157
1.0,sell,30220.29,BTC-28JUL23-30000-C,38.86,0.03229352,0.0325,0,1689551834024,261146508,3568
1.0,sell,30246.06,BTC-18JUL23-30500-C,34.69,0.00538643,0.005,3,1689551543438,261146367,87
0.1,sell,30237.5,BTC-21JUL23-32500-C,46.28,0.00206675,0.0019,3,1689551505261,261146349,510
0.2,sell,30247.06,BTC-19JUL23-28500-P,45.14,0.00080189,0.0007,3,1689551466178,261146336,7
0.3,sell,30244.35,BTC-19JUL23-31250-C,39.97,0.00280192,0.0027,3,1689551436961,261146309,32
0.1,sell,30254.1,BTC-17JUL23-30000-P,31.71,0.00120892,0.001,2,1689551414666,261146298,176
0.2,sell,30242.33,BTC-4AUG23-32500-C,39.35,0.0119087,0.0115,2,1689551243136,261146258,103
0.1,buy,30252.88,BTC-19JUL23-28000-P,52.46,0.0004086,0.0005,0,1689551173163,261146242,4
0.2,buy,30251.45,BTC-29DEC23-30000-P,48.05,0.10988086,0.1095,2,1689551131473,261146228,359
1.0,buy,30263.42,BTC-25AUG23-31000-C,39.94,0.04461185,0.0445,0,1689551100983,261146214,1748
0.5,buy,30252.81,BTC-21JUL23-30000-P,37.67,0.01192522,0.012,0,1689551081444,261146184,925
0.1,sell,30260.86,BTC-21JUL23-30500-P,38.64,0.02043757,0.0205,0,1689551022131,261146157,638
0.3,buy,30260.09,BTC-29DEC23-29000-P,47.93,0.09363532,0.093,2,1689551007952,261146154,177
0.1,sell,30265.41,BTC-29DEC23-25000-P,48.63,0.0446913,0.044,0,1689551000195,261146151,602
0.2,sell,30235.55,BTC-17JUL23-30500-C,40.24,0.00159305,0.0018,1,1689550826582,261146013,364
1.1,sell,30235.51,BTC-17JUL23-31000-C,44.81,0.00028607,0.0002,3,1689550805896,261145988,313
0.6,buy,30231.27,BTC-25AUG23-33000-C,41.79,0.0245866,0.0245,2,1689550769605,261145978,977
0.1,sell,30228.18,BTC-18JUL23-30250-C,35.77,0.00854383,0.0085,2,1689550730577,261145955,40
3.2,buy,30197.19,BTC-25AUG23-29000-P,40.12,0.03138453,0.0315,1,1689550567056,261145875,635
1.0,buy,30188.21,BTC-29SEP23-21000-P,51.42,0.00443131,0.0042,2,1689550542254,261145850,920
8.9,sell,30198.99,BTC-4AUG23-30000-C,38.28,0.03951314,0.0395,2,1689550527330,261145846,12
0.4,sell,30206.0,BTC-29SEP23-27000-P,44.28,0.02980828,0.03,0,1689550523358,261145825,751
0.1,sell,30200.28,BTC-18JUL23-30250-P,36.44,0.00935474,0.0095,0,1689550491680,261145817,61
0.1,sell,30206.06,BTC-4AUG23-29500-P,38.36,0.02204909,0.022,2,1689550418300,261145720,58
1.0,buy,30173.57,BTC-21JUL23-30500-C,38.75,0.01230951,0.0125,2,1689550373787,261145681,737
0.4,buy,30169.21,BTC-17JUL23-30250-P,32.34,0.00544093,0.0055,0,1689550361036,261145670,221
4.0,buy,30166.76,BTC-29SEP23-38000-C,48.0,0.01958622,0.02,2,1689550353902,261145669,733
5.0,sell,30156.92,BTC-28JUL23-28000-C,43.19,0.07960644,0.08,3,1689550345587,261145636,1540
0.5,sell,30159.71,BTC-18JUL23-30750-C,38.34,0.00257834,0.0028,2,1689550341776,261145634,70
0.2,buy,30166.88,BTC-19JUL23-30500-P,37.48,0.01771371,0.018,0,1689550339394,261145611,5
0.1,sell,30168.06,BTC-17JUL23-31250-C,52.62,5.23e-05,0.0001,3,1689550292466,261145468,114
1.0,buy,30181.75,BTC-19JUL23-29500-P,37.5,0.00382554,0.0037,0,1689550275969,261145344,21
0.1,sell,30195.35,BTC-28JUL23-29000-P,38.31,0.01112605,0.0105,2,1689550269373,261145279,1952
0.1,sell,30195.07,BTC-29DEC23-20000-C,52.87,0.36982772,0.37,2,1689550266286,261145257,112
0.2,buy,30237.53,BTC-28JUL23-32000-C,41.35,0.00975157,0.01,3,1689550219785,261145140,3219
4.5,sell,30248.15,BTC-25AUG23-42000-C,54.77,0.00310411,0.0031,3,1689550187759,261145042,372
2.8,sell,30263.17,BTC-21JUL23-32000-C,45.05,0.00331617,0.0034,3,1689550186971,261145016,958
0.2,buy,30270.03,BTC-4AUG23-28000-P,40.92,0.00864367,0.009,0,1689550061052,261144799,67
0.1,sell,30279.22,BTC-4AUG23-31500-C,38.74,0.01998361,0.02,2,1689549912088,261144650,71
1.0,sell,30314.56,BTC-21JUL23-31000-C,38.86,0.00872246,0.0085,3,1689549622406,261144414,1009
0.1,sell,30328.05,BTC-18JUL23-29750-P,35.24,0.00221504,0.0021,0,1689548867508,261144211,23
0.2,sell,30325.51,BTC-29DEC23-40000-C,50.98,0.0531147,0.0525,3,1689548817946,261144207,2022
0.1,sell,30331.82,BTC-29SEP23-33000-C,43.89,0.05037696,0.0505,3,1689548637429,261144187,1179
0.2,buy,30347.91,BTC-17JUL23-30250-C,31.82,0.00590758,0.006,1,1689547597791,261144019,178
0.1,sell,30326.32,BTC-25AUG23-28000-P,40.34,0.02018502,0.0195,2,1689547363517,261143915,775
1.0,sell,30325.85,BTC-29SEP23-36000-C,45.62,0.02891428,0.0285,3,1689546894512,261143842,632
1.0,sell,30332.26,BTC-19JUL23-30250-P,34.46,0.00993617,0.0095,3,1689546635525,261143821,18
1.0,sell,30332.59,BTC-19JUL23-30250-C,34.74,0.01334637,0.013,3,1689546624952,261143820,19
0.2,buy,30352.79,BTC-28JUL23-33000-C,43.37,0.00581974,0.006,1,1689546219663,261143765,2498
