amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.6,,,,buy,39473.02,BTC-27SEP24-40000-C,59.0,0.23252789,0.233,2,1701561593119,273476796,299
0.6,,,,buy,39474.13,BTC-3DEC23-39500-P,36.71,0.00446971,0.0047,3,1701561584287,273476743,57
0.5,,,,buy,39472.99,BTC-27SEP24-45000-C,59.64,0.18852512,0.189,0,1701561575182,273476742,225
2.0,,,,sell,39473.18,BTC-26JAN24-30000-C,61.52,0.26224818,0.263,0,1701561560960,273476739,22
1.0,,,,buy,39473.38,BTC-27SEP24-50000-C,60.65,0.15525896,0.1555,2,1701561558342,273476736,265
0.1,,,,sell,39478.78,BTC-29DEC23-36000-P,47.0,0.01485568,0.0145,2,1701561546892,273476730,1912
1.0,,,,buy,39479.3,BTC-26JAN24-44000-C,57.79,0.05173225,0.0525,1,1701561541703,273476707,601
0.2,,,,sell,39479.32,BTC-3DEC23-41500-C,81.28,0.0002708,0.0002,3,1701561533121,273476698,119
0.1,,,,sell,39482.51,BTC-29DEC23-32000-P,54.47,0.00375449,0.0039,2,1701561512014,273476696,2232
0.4,,,,buy,39483.65,BTC-26JAN24-38000-P,55.7,0.05906565,0.0595,3,1701561509401,273476695,219
1.7,,,,sell,39483.65,BTC-26JAN24-40000-C,55.72,0.08735201,0.087,3,1701561509390,273476694,791
0.1,,,,sell,39468.42,BTC-15DEC23-47000-C,60.56,0.0035307,0.0033,2,1701561491074,273476669,117
4.4,,,,sell,39466.41,BTC-4DEC23-40000-C,39.73,0.00496843,0.0045,2,1701561450805,273476666,171
0.1,,,,sell,39470.28,BTC-29DEC23-43000-C,50.05,0.02500735,0.0245,2,1701561401110,273476655,1429
0.2,,,,sell,39474.1,BTC-15DEC23-36000-P,48.38,0.00622511,0.006,2,1701561381414,273476636,232
0.1,,,,buy,39478.53,BTC-8DEC23-34000-P,58.91,0.00035953,0.0004,0,1701561354574,273476613,332
0.5,,,,sell,39478.77,BTC-3DEC23-39500-C,35.57,0.00398952,0.0041,0,1701561340201,273476611,433
2.0,,,,sell,39478.38,BTC-26JAN24-38000-C,55.48,0.11177723,0.112,0,1701561263961,273476574,556
0.2,,,,sell,39477.51,BTC-15DEC23-29000-P,75.53,0.00052424,0.0005,3,1701561247041,273476569,102
1.3,,,,sell,39476.02,BTC-5DEC23-37500-P,41.43,0.00096362,0.0008,2,1701561209331,273476564,22
0.2,,,,buy,39478.39,BTC-3DEC23-40000-C,47.98,0.00140591,0.0015,1,1701561185513,273476545,322
0.1,,,,sell,39479.24,BTC-8DEC23-39000-P,46.5,0.01637403,0.016,2,1701561155715,273476511,158
0.2,,,,sell,39477.16,BTC-8DEC23-38000-P,45.87,0.00776351,0.0075,0,1701561144254,273476508,654
0.3,,,,buy,39477.13,BTC-26JAN24-39000-P,55.57,0.07092689,0.071,2,1701561142105,273476503,116
0.1,,,,buy,39475.03,BTC-22DEC23-50000-C,61.26,0.00352273,0.0034,0,1701561135140,273476494,32
0.2,,,,sell,39470.57,BTC-15DEC23-39000-P,47.39,0.02694877,0.027,1,1701561134256,273476492,156
0.7,,,,sell,39470.57,BTC-8DEC23-31000-P,75.84,0.0001252,0.0001,2,1701561134118,273476489,151
2.6,,,,sell,39468.51,BTC-8DEC23-32500-P,67.51,0.0002497,0.0002,3,1701561065880,273476471,211
0.4,,,,sell,39469.24,BTC-8DEC23-30500-P,80.42,7.863e-05,0.0001,2,1701561040294,273476447,124
0.2,,,,sell,39469.24,BTC-8DEC23-35000-P,53.53,0.00080617,0.0007,3,1701561039531,273476446,737
0.5,,,,sell,39469.39,BTC-3DEC23-39000-P,39.61,0.00104014,0.001,0,1701561035430,273476445,141
0.2,,,,buy,39463.72,BTC-5DEC23-37000-P,45.27,0.00054659,0.0005,3,1701560997544,273476428,16
1.0,,,,sell,39463.72,BTC-29DEC23-24000-P,87.27,0.00108764,0.001,2,1701560996941,273476426,2502
12.5,BLOCK-113239,2,BTC-CS-8DEC23-39000_40000,sell,39465.88,BTC-8DEC23-39000-C,46.33,0.03015487,0.0297,2,1701560945184,273476418,1106
12.5,BLOCK-113239,2,BTC-CS-8DEC23-39000_40000,buy,39465.88,BTC-8DEC23-40000-C,48.96,0.0184648,0.0184,2,1701560945184,273476417,1349
0.2,,,,sell,39464.78,BTC-8DEC23-34500-P,55.67,0.00055358,0.0005,3,1701560929179,273476415,396
0.1,,,,sell,39465.86,BTC-3DEC23-38750-P,41.24,0.00043867,0.0004,1,1701560921341,273476413,402
0.1,,,,buy,39462.93,BTC-5DEC23-36500-P,48.7,0.00032886,0.0003,2,1701560900626,273476405,16
0.1,,,,sell,39466.18,BTC-8DEC23-47000-C,74.08,0.00113544,0.001,2,1701560833013,273476394,218
0.1,,,,buy,39464.1,BTC-29DEC23-35000-P,48.58,0.01042084,0.0105,1,1701560758366,273476384,2093
0.1,,,,sell,39473.71,BTC-5DEC23-38500-P,41.39,0.00404043,0.0041,2,1701560741885,273476357,66
0.1,,,,buy,39470.17,BTC-4DEC23-38250-P,40.4,0.00093134,0.0011,2,1701560720132,273476356,129
0.4,,,,buy,39473.45,BTC-29DEC23-44000-C,51.6,0.02003052,0.02,3,1701560709323,273476351,1404
0.9,,,,sell,39478.37,BTC-26JAN24-43000-C,56.82,0.05871291,0.059,0,1701560706128,273476350,209
0.1,,,,sell,39479.71,BTC-3DEC23-40500-C,59.67,0.00074091,0.0007,1,1701560703607,273476348,124
0.4,,,,buy,39478.21,BTC-26JAN24-37000-P,55.26,0.04838002,0.0485,2,1701560696288,273476346,356
0.1,,,,buy,39476.22,BTC-26JAN24-36000-P,55.39,0.03938773,0.0395,3,1701560692708,273476345,285
1.0,,,,buy,39471.2,BTC-4DEC23-41000-C,51.64,0.00167085,0.0018,2,1701560675461,273476335,35
2.8,,,,sell,39466.85,BTC-3DEC23-41000-C,68.4,0.00033656,0.0003,3,1701560630087,273476331,166
0.1,,,,sell,39467.38,BTC-4DEC23-38750-P,35.8,0.00261506,0.0023,2,1701560587567,273476327,157
0.5,,,,buy,39455.68,BTC-22DEC23-39500-P,47.45,0.04148501,0.041,3,1701560541559,273476321,56
0.7,,,,buy,39459.28,BTC-29DEC23-45000-C,52.79,0.01596199,0.016,3,1701560521386,273476312,6395
0.1,,,,sell,39448.86,BTC-3DEC23-39250-P,33.24,0.00223831,0.002,2,1701560513415,273476277,47
0.5,,,,sell,39439.22,BTC-5DEC23-38750-C,42.41,0.0244049,0.0245,3,1701560479665,273476238,37
2.3,,,,buy,39447.49,BTC-5DEC23-40000-C,43.77,0.00874606,0.0085,3,1701560403619,273476215,57
