amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,0.1,buy,42650.17,BTC-29DEC23-33000-P,75.08,,0.00074374,0.0008,3,1702943997098,275888691,2791
0.2,,,,0.2,sell,42649.99,BTC-29DEC23-41500-P,45.94,,0.01738613,0.0175,3,1702943994931,275888690,292
0.1,,,,0.1,buy,42648.68,BTC-5JAN24-56000-C,64.53,,0.00170624,0.0018,1,1702943990747,275888689,44
1.1,,,,1.1,sell,42653.39,BTC-5JAN24-46000-C,49.5,,0.01706543,0.0175,0,1702943981742,275888673,140
1.1,,,,1.1,sell,42653.56,BTC-26JAN24-52000-C,58.43,,0.01774952,0.018,1,1702943981019,275888672,780
4.3,,,,4.3,buy,42653.56,BTC-26JAN24-44000-C,53.89,,0.06100262,0.0615,1,1702943980902,275888668,1373
0.8,,,,0.8,buy,42653.56,BTC-26JAN24-46000-C,54.61,,0.04445903,0.045,1,1702943980898,275888666,1197
2.5,,,,2.5,buy,42656.46,BTC-12JAN24-47000-C,56.09,,0.02464323,0.025,1,1702943980233,275888664,99
12.5,,,,12.5,sell,42656.46,BTC-5JAN24-45000-C,48.95,,0.02270465,0.0235,1,1702943980093,275888662,139
1.5,,,,1.5,sell,42646.31,BTC-29DEC23-47000-C,54.02,,0.00750193,0.0075,2,1702943964528,275888637,826
0.3,,,,0.3,sell,42627.33,BTC-19DEC23-42750-C,33.49,,0.00315996,0.0028,2,1702943938104,275888623,270
1.0,,,,1.0,sell,42623.35,BTC-19DEC23-42500-P,32.62,,0.00293801,0.0026,2,1702943926462,275888596,56
1.7,,,,1.7,sell,42637.35,BTC-29DEC23-47500-C,55.46,,0.00647192,0.0065,0,1702943909813,275888589,196
0.1,,,,0.1,buy,42620.19,BTC-12JAN24-36000-P,57.03,,0.00751351,0.0075,3,1702943849889,275888546,57
4.0,,,,4.0,buy,42638.62,BTC-26JAN24-56000-C,61.93,,0.01058943,0.0105,1,1702943835507,275888528,474
0.1,,,,0.1,sell,42636.47,BTC-29DEC23-36000-P,58.95,,0.00162814,0.0015,3,1702943828183,275888521,2987
2.8,,,,2.8,buy,42635.39,BTC-20DEC23-40000-P,61.02,,0.00059549,0.0006,2,1702943816858,275888498,83
0.1,,,,0.1,buy,42636.25,BTC-20DEC23-40500-P,55.78,,0.00087299,0.0009,3,1702943815938,275888497,120
0.2,,,,0.2,buy,42636.25,BTC-20DEC23-40750-P,52.95,,0.00106225,0.0011,3,1702943815787,275888493,42
0.8,,,,0.8,buy,42636.95,BTC-21DEC23-40500-P,51.49,,0.0019104,0.002,0,1702943809558,275888492,19
0.2,,,,0.2,buy,42633.85,BTC-20DEC23-40250-P,59.46,,0.00068558,0.0008,2,1702943802136,275888491,13
4.0,,,,4.0,buy,42647.86,BTC-12JAN24-50000-C,58.37,,0.01383521,0.0135,1,1702943789385,275888472,97
0.2,,,,0.2,sell,42659.49,BTC-20DEC23-43000-C,45.08,,0.00731667,0.0075,0,1702943760732,275888458,56
0.1,,,,0.1,buy,42670.1,BTC-19DEC23-42000-C,33.4,,0.01635645,0.016,0,1702943733637,275888451,247
0.2,,,,0.2,buy,42700.19,BTC-29MAR24-47000-C,55.63,,0.0887188,0.0895,0,1702943588646,275888322,164
0.1,,,,0.1,buy,42697.7,BTC-29DEC23-39000-C,48.87,,0.09507904,0.095,1,1702943568049,275888315,3483
0.3,,,,0.3,buy,42682.58,BTC-22DEC23-41500-P,45.39,,0.00635081,0.0065,3,1702943545197,275888292,615
0.1,,,,0.1,buy,42676.45,BTC-29MAR24-45000-C,55.32,,0.10518412,0.106,0,1702943534343,275888287,2312
0.1,,,,0.1,buy,42669.73,BTC-19DEC23-41500-C,0.0,,0.02766789,0.0275,2,1702943503775,275888259,191
1.5,,,,1.5,buy,42680.46,BTC-29DEC23-40000-P,46.74,,0.00801856,0.008,2,1702943454736,275888241,3252
0.1,,,,0.1,buy,42677.87,BTC-19DEC23-42500-C,33.8,,0.00666542,0.0065,1,1702943408616,275888196,231
2.0,,,,2.0,sell,42649.06,BTC-19DEC23-43750-C,52.75,,0.00040741,0.0004,2,1702943347169,275888098,54
0.5,,,,0.5,sell,42652.19,BTC-19DEC23-44000-C,54.28,,0.00019052,0.0002,2,1702943316593,275888052,57
4.5,,,,4.5,buy,42625.44,BTC-26JAN24-60000-C,67.56,,0.00722487,0.0075,1,1702943125044,275887952,608
1.0,,,,1.0,sell,42624.77,BTC-20DEC23-44000-C,47.17,,0.00226099,0.002,0,1702943123511,275887950,259
1.8,,,,1.8,sell,42626.92,BTC-5JAN24-38500-P,49.48,,0.00864824,0.0085,1,1702943043654,275887905,44
1.0,,,,1.0,buy,42623.26,BTC-22DEC23-45000-C,52.96,,0.00369378,0.0039,0,1702943026339,275887893,1173
0.1,,,,0.1,buy,42583.31,BTC-20DEC23-37000-P,92.2,,7.067e-05,0.0001,3,1702942869123,275887818,47
0.2,,,,0.2,sell,42593.65,BTC-28JUN24-48000-C,57.22,,0.13785528,0.138,0,1702942831356,275887813,60
0.1,,,,0.1,sell,42601.04,BTC-20DEC23-37500-P,97.27,,0.00014957,0.0003,0,1702942829303,275887795,47
0.6,,,,0.6,sell,42638.14,BTC-20DEC23-42750-P,42.42,,0.01172946,0.0115,0,1702942693894,275887677,13
1.0,,,,1.0,buy,42649.62,BTC-29MAR24-28000-C,62.27,,0.37331066,0.373,0,1702942665938,275887661,497
1.0,,,,1.0,buy,42626.49,BTC-29MAR24-29000-C,61.23,,0.35216432,0.352,0,1702942619730,275887619,574
0.1,,,,0.1,sell,42599.69,BTC-22DEC23-36000-P,74.69,,0.00021655,0.0002,2,1702942538452,275887567,392
0.1,,,,0.1,buy,42602.99,BTC-26JAN24-40000-P,53.75,,0.03633543,0.0365,0,1702942522245,275887562,896
0.3,,,,0.3,buy,42595.95,BTC-22DEC23-45500-C,54.82,,0.00262977,0.0028,0,1702942516815,275887558,525
0.1,,,,0.1,sell,42613.83,BTC-28JUN24-95000-C,64.89,,0.0169729,0.016,0,1702942453628,275887506,292
0.2,,,,0.2,sell,42615.69,BTC-12JAN24-60000-C,71.29,,0.00317827,0.003,1,1702942445342,275887504,50
1.0,,,,1.0,sell,42623.99,BTC-29DEC23-45500-C,49.48,,0.01168712,0.0115,0,1702942432993,275887484,267
0.1,,,,0.1,sell,42628.38,BTC-28JUN24-120000-C,68.94,,0.00821945,0.0075,2,1702942416829,275887476,684
0.1,,,,0.1,sell,42604.57,BTC-19DEC23-41000-P,57.71,,0.0001893,0.0001,2,1702942356170,275887417,225
0.3,,,,0.3,buy,42595.48,BTC-19DEC23-41500-P,53.22,,0.00021968,0.0004,2,1702942289048,275887356,345
1.1,,,,1.1,buy,42595.48,BTC-12JAN24-40000-P,53.85,,0.02546925,0.026,3,1702942288839,275887355,97
0.1,,,,0.1,sell,42612.69,BTC-22DEC23-49000-C,64.97,,0.00031011,0.0003,2,1702942272428,275887341,565
0.1,,,,0.1,buy,42615.7,BTC-21DEC23-46500-C,58.1,,0.00065441,0.0006,1,1702942211214,275887281,8
1.3,,,,1.3,sell,42602.99,BTC-29DEC23-42000-P,46.01,,0.02248221,0.0225,0,1702942208519,275887274,1518
0.4,,,,0.4,sell,42589.5,BTC-19DEC23-40500-P,72.68,,3.692e-05,0.0001,3,1702942185919,275887267,169
0.9,,,,0.9,buy,42593.04,BTC-29DEC23-42000-C,45.65,,0.04014958,0.04,2,1702942173363,275887257,3109
1.1,,,,1.1,buy,42577.34,BTC-5JAN24-42000-C,45.82,,0.05064062,0.05,1,1702942064306,275887191,46
0.1,,,,0.1,sell,42593.68,BTC-29DEC23-45000-C,48.44,,0.01379519,0.0135,0,1702941966003,275887155,9801
