amount,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.4,0.4,buy,51723.07,BTC-26FEB24-51750-P,28.23,0.00364418,0.0036,1,1708905577386,285557164,93
2.9,2.9,buy,51723.48,BTC-15MAR24-49000-P,51.18,0.0207191,0.0205,3,1708905575513,285557162,86
0.1,0.1,buy,51724.0,BTC-29MAR24-41000-P,58.86,0.00528716,0.0055,1,1708905567976,285557157,1512
0.2,0.2,buy,51726.64,BTC-26FEB24-51750-C,28.65,0.00330096,0.0033,2,1708905551406,285557143,112
0.3,0.3,buy,51736.05,BTC-26FEB24-54000-C,71.45,0.00010536,0.0002,1,1708905540639,285557124,52
3.5,3.5,sell,51727.1,BTC-27DEC24-60000-C,62.77,0.20507001,0.2075,3,1708905430049,285557052,404
0.1,0.1,sell,51725.75,BTC-15MAR24-46000-P,52.36,0.00821546,0.008,0,1708905419170,285557041,104
0.2,0.2,buy,51729.09,BTC-1MAR24-50000-P,53.58,0.00963707,0.0095,3,1708905412133,285557039,1533
0.4,0.4,buy,51732.83,BTC-8MAR24-52000-C,51.36,0.03616537,0.036,3,1708905406186,285557031,615
0.1,0.1,sell,51744.3,BTC-28FEB24-54000-C,54.41,0.00418372,0.004,1,1708905308439,285556988,33
0.4,0.4,sell,51743.35,BTC-29MAR24-51000-P,53.54,0.04897978,0.049,3,1708905296777,285556987,617
0.1,0.1,buy,51754.37,BTC-15MAR24-47000-P,51.81,0.01117808,0.011,3,1708905263613,285556984,102
0.3,0.3,buy,51757.1,BTC-29MAR24-53000-C,53.82,0.05988913,0.06,3,1708905237689,285556951,1549
0.3,0.3,buy,51745.46,BTC-27FEB24-51500-P,49.58,0.00907979,0.0095,0,1708905187100,285556930,158
0.1,0.1,sell,51735.97,BTC-8MAR24-49000-P,51.27,0.01362461,0.0135,3,1708905168265,285556919,484
0.1,0.1,sell,51740.44,BTC-28FEB24-58000-C,68.2,0.00043654,0.0004,2,1708905101591,285556879,9
0.2,0.2,buy,51740.58,BTC-29MAR24-54000-C,53.99,0.05200007,0.052,2,1708905092953,285556878,1030
10.0,10.0,sell,51764.84,BTC-15MAR24-58000-C,53.19,0.01347898,0.013,3,1708904896888,285556816,229
1.0,1.0,sell,51762.07,BTC-29MAR24-29000-P,86.88,0.00079549,0.0007,2,1708904881859,285556815,900
1.0,1.0,buy,51764.85,BTC-28FEB24-51000-P,49.28,0.00919057,0.009,2,1708904869500,285556805,12
0.3,0.3,sell,51759.6,BTC-8MAR24-46000-P,53.12,0.00402799,0.0039,3,1708904762469,285556790,326
0.1,0.1,buy,51760.24,BTC-26FEB24-50750-P,43.42,0.0003455,0.0004,1,1708904573997,285556748,58
0.1,0.1,sell,51768.53,BTC-28FEB24-50000-P,49.4,0.00415613,0.0039,2,1708904477291,285556735,27
0.8,0.8,buy,51770.3,BTC-26FEB24-52000-C,36.72,0.00239408,0.0027,0,1708904464033,285556733,479
0.4,0.4,buy,51771.62,BTC-8MAR24-51000-P,51.11,0.02654971,0.0265,2,1708904461328,285556731,497
0.1,0.1,sell,51762.99,BTC-1MAR24-56000-C,57.67,0.00366081,0.0035,0,1708904292319,285556685,1359
0.3,0.3,buy,51757.24,BTC-1MAR24-52000-C,53.81,0.02211154,0.022,1,1708904234180,285556679,1889
0.1,0.1,buy,51776.76,BTC-26FEB24-50500-P,54.18,0.00026089,0.0005,1,1708903879469,285556584,218
0.1,0.1,sell,51749.3,BTC-27FEB24-52000-C,49.37,0.01014634,0.01,2,1708903826621,285556544,179
0.1,0.1,buy,51718.58,BTC-27SEP24-65000-C,63.55,0.13401347,0.1365,0,1708903449207,285556454,416
0.1,0.1,buy,51712.32,BTC-28JUN24-70000-C,64.79,0.06296858,0.064,0,1708903372726,285556433,1199
0.1,0.1,buy,51701.54,BTC-28JUN24-65000-C,63.86,0.08109482,0.0825,1,1708903352834,285556414,2337
0.1,0.1,sell,51705.24,BTC-29MAR24-30000-P,85.01,0.0008005,0.0009,0,1708903315062,285556413,1663
0.2,0.2,sell,51704.18,BTC-26FEB24-49000-P,76.36,6.059e-05,0.0001,3,1708903247741,285556375,98
0.1,0.1,sell,51709.69,BTC-26FEB24-48500-P,88.91,1.528e-05,0.0001,2,1708903229616,285556358,135
0.5,0.5,sell,51710.72,BTC-8MAR24-47000-P,51.91,0.00642431,0.006,2,1708903214045,285556307,277
0.4,0.4,sell,51710.37,BTC-1MAR24-40000-P,88.68,0.00013702,0.0001,3,1708903209615,285556293,473
0.1,0.1,sell,51695.89,BTC-28FEB24-52000-C,50.77,0.01426059,0.014,2,1708903183476,285556280,15
0.3,0.3,buy,51695.41,BTC-1MAR24-47000-P,59.89,0.00166509,0.0019,1,1708903179746,285556278,1067
0.5,0.5,buy,51695.22,BTC-31MAY24-53000-C,58.75,0.12709858,0.1265,0,1708903161268,285556263,31
0.2,0.2,sell,51674.91,BTC-26APR24-50000-C,57.6,0.12228221,0.1225,3,1708903140308,285556221,752
2.8,2.8,sell,51680.59,BTC-27FEB24-56000-C,63.65,0.0004054,0.0003,3,1708903127876,285556211,13
0.4,0.4,buy,51698.88,BTC-1MAR24-51500-P,53.4,0.02055235,0.0205,1,1708903098411,285556183,294
2.6,2.6,sell,51705.6,BTC-27FEB24-56500-C,65.34,0.00027401,0.0002,3,1708903060061,285556102,14
0.1,0.1,sell,51707.06,BTC-1MAR24-49000-P,52.76,0.0054816,0.005,2,1708903051905,285556090,1325
1.1,1.1,buy,51703.21,BTC-27FEB24-51000-P,46.24,0.00563958,0.0055,1,1708903043086,285556083,85
6.7,6.7,sell,51706.42,BTC-1MAR24-53000-C,55.13,0.01430858,0.0145,3,1708903038925,285556065,1349
0.1,0.1,buy,51715.31,BTC-15MAR24-52000-C,51.46,0.04760127,0.0475,0,1708903018977,285556046,245
0.2,0.2,sell,51776.42,BTC-26APR24-62000-C,60.5,0.04280131,0.043,1,1708902756726,285555686,215
0.2,0.2,buy,51783.3,BTC-26APR24-68000-C,63.0,0.02526116,0.026,0,1708902712719,285555661,40
0.2,0.2,sell,51784.5,BTC-27FEB24-53500-C,52.91,0.00297546,0.0028,2,1708902696203,285555659,38
0.6,0.6,buy,51786.15,BTC-26APR24-85000-C,69.13,0.0065072,0.007,0,1708902654852,285555656,56
0.6,0.6,buy,51791.19,BTC-29MAR24-65000-C,60.05,0.01131237,0.0115,0,1708902651456,285555655,3324
0.3,0.3,sell,51787.75,BTC-29MAR24-58000-C,54.93,0.02962598,0.029,2,1708902631443,285555649,946
0.1,0.1,buy,51749.36,BTC-8MAR24-53000-C,52.38,0.02852305,0.0285,0,1708902232115,285555306,471
0.3,0.3,buy,51749.36,BTC-29MAR24-52000-C,53.9,0.06873682,0.069,1,1708902232061,285555305,1741
0.3,0.3,buy,51753.37,BTC-26FEB24-52500-C,40.47,0.0007744,0.0009,1,1708902224033,285555273,220
0.1,0.1,sell,51735.3,BTC-1MAR24-52000-P,53.39,0.02532743,0.025,3,1708902099830,285555155,765
0.1,0.1,sell,51731.65,BTC-1MAR24-53500-C,53.46,0.01161834,0.011,2,1708902058534,285555115,341
