amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,0.3,buy,68476.65,BTC-14JUN24-69000-C,49.86,0.04411113,0.0445,3,1716767997452,303104125,75
27.4,,,27.4,sell,68483.95,BTC-27SEP24-65000-C,61.88,0.18548428,0.187,1,1716767981200,303104119,1206
0.2,,,0.2,sell,68499.15,BTC-27MAY24-71000-C,55.21,0.00017151,0.0001,3,1716767955054,303104067,133
0.1,,,0.1,buy,68508.25,BTC-27SEP24-65000-P,61.01,0.0931892,0.093,0,1716767934865,303104066,409
0.1,,,0.1,buy,68508.18,BTC-27SEP24-60000-P,60.84,0.06401437,0.0635,1,1716767923355,303104065,475
0.1,,,0.1,buy,68508.1,BTC-27SEP24-100000-C,65.17,0.04615542,0.046,3,1716767919695,303104064,1830
1.2,,,1.2,buy,68510.34,BTC-31MAY24-76000-C,54.33,0.00105242,0.0011,2,1716767890877,303104050,2097
0.3,,,0.3,sell,68529.51,BTC-31MAY24-69000-C,47.29,0.01857718,0.0185,1,1716767880487,303104024,2416
0.3,,,0.3,sell,68529.51,BTC-28MAY24-68500-C,38.95,0.01004106,0.01,2,1716767880477,303104023,17
0.1,,,0.1,buy,68521.46,BTC-31MAY24-68500-C,47.45,0.02173025,0.022,0,1716767873138,303103952,21
0.1,,,0.1,buy,68518.57,BTC-31MAY24-68000-C,46.46,0.02555793,0.0255,1,1716767867566,303103946,2388
0.1,,,0.1,sell,68516.81,BTC-28MAY24-70500-C,43.51,0.0018586,0.002,3,1716767850078,303103944,70
0.1,,,0.1,buy,68517.2,BTC-27SEP24-115000-C,67.38,0.02671059,0.027,1,1716767817086,303103937,361
0.1,,,0.1,buy,68512.06,BTC-27SEP24-80000-C,63.15,0.10115125,0.1025,2,1716767784389,303103935,1428
0.1,,,0.1,sell,68510.48,BTC-14JUN24-70000-P,49.01,0.05217993,0.0515,2,1716767728386,303103860,34
0.1,,,0.1,sell,68510.34,BTC-7JUN24-86000-C,60.46,0.00093652,0.0008,2,1716767722995,303103859,83
0.1,,,0.1,sell,68513.64,BTC-31MAY24-62000-P,56.81,0.00119601,0.0012,1,1716767683867,303103856,1854
0.1,,,0.1,sell,68513.64,BTC-14JUN24-70000-C,49.63,0.03814498,0.038,2,1716767680783,303103855,71
1.2,,,1.2,sell,68510.36,BTC-31MAY24-65000-P,48.73,0.00412172,0.004,0,1716767672946,303103850,2403
0.1,,,0.1,sell,68510.34,BTC-28JUN24-68000-P,52.17,0.05209036,0.052,1,1716767672036,303103849,294
0.1,,,0.1,sell,68506.22,BTC-7JUN24-74000-C,50.72,0.01104787,0.011,1,1716767642953,303103839,704
0.3,,,0.3,buy,68506.92,BTC-7JUN24-69000-P,48.22,0.03502956,0.035,0,1716767625794,303103837,379
0.3,,,0.3,buy,68504.17,BTC-31MAY24-66000-P,47.62,0.00642789,0.0065,0,1716767597226,303103836,1455
1.0,,,1.0,sell,68504.15,BTC-28MAY24-68500-P,38.97,0.00904489,0.009,2,1716767590034,303103831,117
1.0,,,1.0,buy,68490.16,BTC-31MAY24-69000-P,46.84,0.02326834,0.023,2,1716767567823,303103816,1473
0.1,,,0.1,buy,68487.37,BTC-27MAY24-70000-C,46.67,0.00039393,0.0004,3,1716767541168,303103814,228
0.1,,,0.1,buy,68489.86,BTC-28JUN24-66000-C,52.24,0.0873436,0.0875,0,1716767517095,303103812,228
0.1,,,0.1,sell,68491.04,BTC-28JUN24-50000-P,62.01,0.00242772,0.0024,2,1716767389025,303103807,1500
0.1,,,0.1,sell,68493.17,BTC-27MAY24-70500-C,50.76,0.00031247,0.0002,3,1716767360054,303103805,227
1.5,,,1.5,sell,68494.28,BTC-28MAY24-65000-P,52.32,0.0007514,0.0006,3,1716767283811,303103773,14
0.1,,,0.1,buy,68493.97,BTC-31MAY24-72000-C,48.62,0.00565118,0.0055,2,1716767265406,303103768,3215
0.1,,,0.1,buy,68471.59,BTC-28JUN24-72000-C,53.36,0.04692186,0.047,1,1716767255321,303103765,330
0.1,,,0.1,sell,68453.25,BTC-14JUN24-68000-C,49.22,0.05066995,0.051,2,1716767159541,303103732,55
0.3,,,0.3,buy,68453.84,BTC-7JUN24-70000-C,48.82,0.02639177,0.0265,2,1716767139694,303103729,459
1.0,,,1.0,sell,68445.16,BTC-31MAY24-75000-C,51.43,0.0015106,0.0014,2,1716767107708,303103721,3498
0.4,,,0.4,buy,68443.16,BTC-27SEP24-140000-C,71.13,0.01180983,0.0125,0,1716767068822,303103691,811
0.1,,,0.1,sell,68419.98,BTC-14JUN24-67000-C,48.87,0.05822789,0.0585,0,1716767032631,303103684,52
0.1,,,0.1,buy,68439.83,BTC-27SEP24-130000-C,68.99,0.01582554,0.016,2,1716766970176,303103651,232
0.2,,,0.2,buy,68440.41,BTC-27SEP24-125000-C,68.53,0.01882682,0.019,2,1716766963122,303103649,244
0.1,,,0.1,sell,68416.59,BTC-7JUN24-71000-C,48.79,0.02113043,0.021,3,1716766891679,303103639,404
0.3,,,0.3,sell,68407.77,BTC-29MAY24-69500-C,43.86,0.00808926,0.008,2,1716766882486,303103614,22
0.1,,,0.1,buy,68397.51,BTC-31MAY24-70500-C,48.13,0.01000821,0.01,3,1716766866916,303103584,36
0.1,,,0.1,sell,68396.03,BTC-14JUN24-67000-P,48.64,0.03040346,0.0305,0,1716766865812,303103569,140
0.1,,,0.1,buy,68380.11,BTC-28JUN24-70000-C,52.83,0.05757534,0.0575,2,1716766848903,303103550,6449
0.1,,,0.1,buy,68363.1,BTC-26JUL24-79000-C,58.08,0.04794817,0.048,2,1716766818580,303103538,24
0.1,,,0.1,sell,68364.8,BTC-28MAY24-66000-P,47.04,0.00157243,0.0014,0,1716766786615,303103532,22
0.1,,,0.1,buy,68377.77,BTC-31MAY24-69500-C,47.46,0.0145489,0.0145,2,1716766751396,303103530,21
0.5,,,0.5,sell,68383.67,BTC-29MAY24-70500-C,44.95,0.00451337,0.0043,2,1716766712928,303103512,30
0.3,,,0.3,buy,68397.86,BTC-29MAY24-67500-P,42.66,0.00748117,0.0075,0,1716766634862,303103456,15
0.1,,,0.1,sell,68406.25,BTC-14JUN24-66000-P,48.34,0.02458784,0.0245,1,1716766625623,303103434,102
0.1,,,0.1,buy,68392.51,BTC-28JUN24-68000-C,52.51,0.07079066,0.071,2,1716766573919,303103424,229
0.9,,,0.9,buy,68348.86,BTC-27MAY24-69500-C,43.14,0.00051359,0.0007,1,1716766511868,303103309,158
0.1,,,0.1,sell,68346.19,BTC-28MAY24-73000-C,53.98,0.000306,0.0003,3,1716766478315,303103298,26
0.2,,,0.2,buy,68359.61,BTC-31MAY24-53000-P,99.9,0.00024955,0.0003,0,1716766373461,303103205,1069
0.6,,,0.6,buy,68380.58,BTC-28JUN24-75000-C,53.95,0.03313708,0.033,3,1716766169346,303103059,5709
0.1,,,0.1,sell,68382.85,BTC-27MAY24-68500-C,32.2,0.00357384,0.0033,2,1716765991630,303102998,71
2.0,,,2.0,sell,68384.19,BTC-28JUN24-70000-P,52.93,0.06898518,0.069,0,1716765983369,303102997,1323
0.1,,,0.1,sell,68382.43,BTC-27MAY24-67500-P,34.84,0.00092282,0.0006,3,1716765848148,303102910,110
0.3,,,0.3,sell,68386.05,BTC-31MAY24-79000-C,62.45,0.00055915,0.0005,2,1716765806073,303102874,1436
0.1,,,0.1,buy,68373.52,BTC-28JUN24-90000-C,59.2,0.00604141,0.006,2,1716765751235,303102837,3361
0.3,,,0.3,sell,68346.54,BTC-14JUN24-72000-C,50.09,0.02682771,0.0265,2,1716765665142,303102684,124
0.1,,,0.1,sell,68369.54,BTC-31MAY24-70000-C,46.55,0.01203618,0.0115,2,1716765659493,303102670,5824
0.1,,,0.1,buy,68430.37,BTC-28JUN24-60000-P,53.06,0.01462283,0.0145,1,1716765571102,303102599,4869
0.1,,,0.1,sell,68432.73,BTC-14JUN24-64000-P,48.65,0.01574408,0.0155,0,1716765561396,303102591,118
0.3,,,0.3,sell,68432.92,BTC-14JUN24-75000-C,51.02,0.01633642,0.016,2,1716765558144,303102590,68
0.1,,,0.1,buy,68459.09,BTC-7JUN24-62000-P,50.41,0.00493638,0.005,1,1716765450270,303102554,206
0.3,,,0.3,sell,68464.64,BTC-14JUN24-78000-C,52.37,0.00974032,0.0095,2,1716765349646,303102499,91
0.1,,,0.1,sell,68456.97,BTC-27MAY24-69000-C,33.77,0.00142617,0.0015,2,1716765304971,303102479,141
0.5,,,0.5,buy,68456.97,BTC-7JUN24-72000-C,49.24,0.01697103,0.017,0,1716765304845,303102478,390
2.2,,,2.2,sell,68464.32,BTC-14JUN24-73000-C,51.05,0.02358841,0.0235,1,1716765302791,303102475,138
0.1,,,0.1,buy,68480.51,BTC-7JUN24-67000-P,47.71,0.02150534,0.0215,0,1716765078298,303102364,427
0.1,,,0.1,buy,68495.76,BTC-28MAY24-70000-C,42.32,0.00296484,0.0031,0,1716764973789,303102315,89
0.1,,,0.1,buy,68486.74,BTC-14JUN24-74000-C,51.49,0.01968616,0.02,2,1716764813964,303102270,77
0.1,,,0.1,buy,68494.62,BTC-29MAY24-68500-P,42.41,0.01303853,0.013,0,1716764797419,303102265,6
0.1,,,0.1,buy,68506.4,BTC-28MAR25-220000-C,76.12,0.02944647,0.031,1,1716764754134,303102215,97
0.1,,,0.1,buy,68493.13,BTC-28MAR25-180000-C,74.51,0.04728368,0.049,2,1716764737748,303102181,88
0.1,,,0.1,buy,68493.13,BTC-28MAR25-200000-C,75.29,0.03740273,0.0385,2,1716764734590,303102179,302
0.1,,,0.1,sell,68491.7,BTC-28MAY24-66500-P,45.23,0.00207971,0.0019,2,1716764732492,303102178,23
0.1,,,0.1,buy,68488.19,BTC-28JUN24-72000-P,53.34,0.08551127,0.0855,1,1716764720157,303102175,101
0.1,,,0.1,buy,68488.19,BTC-27DEC24-45000-P,65.96,0.03228609,0.0335,0,1716764717475,303102172,246
0.1,,,0.1,buy,68488.19,BTC-27DEC24-46000-P,65.79,0.03541015,0.0365,0,1716764714642,303102168,126
0.1,,,0.1,buy,68486.23,BTC-27DEC24-47000-P,65.51,0.03878837,0.0395,0,1716764711924,303102166,76
0.1,,,0.1,buy,68485.8,BTC-27DEC24-48000-P,65.15,0.04234551,0.0425,2,1716764709130,303102158,85
0.1,,,0.1,buy,68485.78,BTC-27DEC24-50000-P,65.32,0.05002367,0.0505,2,1716764705674,303102156,386
0.1,,,0.1,buy,68486.28,BTC-27DEC24-49000-P,65.3,0.04609123,0.0465,2,1716764701953,303102154,63
0.1,,,0.1,buy,68486.53,BTC-27DEC24-32000-P,68.55,0.00774202,0.008,0,1716764698481,303102151,61
0.1,,,0.1,buy,68486.53,BTC-27DEC24-33000-P,68.03,0.00874293,0.009,1,1716764694196,303102149,75
0.1,,,0.1,buy,68486.15,BTC-27DEC24-34000-P,68.15,0.00999811,0.0105,0,1716764687888,303102145,134
0.7,,,0.7,sell,68482.95,BTC-27DEC24-39000-P,66.25,0.01717785,0.018,1,1716764686123,303102134,86
0.1,,,0.1,buy,68483.01,BTC-27DEC24-35000-P,67.36,0.01112841,0.0115,0,1716764684633,303102131,187
0.1,,,0.1,buy,68482.81,BTC-27DEC24-37000-P,66.79,0.01391154,0.0145,0,1716764680705,303102128,64
0.1,,,0.1,buy,68478.97,BTC-27DEC24-36000-P,67.78,0.01275401,0.0135,0,1716764677569,303102127,117
0.1,,,0.1,buy,68478.74,BTC-27DEC24-38000-P,66.31,0.01551928,0.016,0,1716764668497,303102117,85
0.1,,,0.1,buy,68491.18,BTC-27DEC24-40000-P,65.57,0.01929268,0.0195,0,1716764663032,303102076,320
0.1,,,0.1,buy,68491.18,BTC-27DEC24-41000-P,66.6,0.02161561,0.023,0,1716764662705,303102075,79
0.1,,,0.1,buy,68491.41,BTC-27DEC24-42000-P,66.11,0.02406747,0.025,3,1716764660120,303102074,130
0.1,,,0.1,buy,68493.4,BTC-27DEC24-43000-P,65.93,0.02650536,0.0275,2,1716764657325,303102072,135
0.1,,,0.1,buy,68494.22,BTC-26JUL24-71000-C,56.28,0.08524931,0.085,2,1716764654620,303102071,148
1.3,,,1.3,sell,68494.92,BTC-29MAY24-68500-C,41.58,0.01429406,0.014,3,1716764653062,303102064,5
0.1,,,0.1,buy,68494.92,BTC-7JUN24-68000-C,47.79,0.03999073,0.04,3,1716764652526,303102062,247
0.1,,,0.1,buy,68495.05,BTC-27DEC24-44000-P,66.02,0.02932367,0.0305,2,1716764650670,303102060,96
0.1,,,0.1,buy,68504.68,BTC-27SEP24-120000-C,67.85,0.02191176,0.0225,1,1716764629384,303102050,694
5.0,,,5.0,sell,68505.84,BTC-27SEP24-56000-P,61.03,0.04448118,0.045,2,1716764618530,303102046,136
0.1,,,0.1,buy,68509.95,BTC-26JUL24-70000-C,56.32,0.09133833,0.0915,2,1716764610878,303102038,388
0.4,,,0.4,sell,68509.79,BTC-26JUL24-64000-P,55.46,0.04913564,0.0495,1,1716764607136,303102036,140
0.3,,,0.3,sell,68509.74,BTC-14JUN24-76000-C,51.88,0.01377455,0.014,3,1716764565492,303102020,52
0.3,,,0.3,sell,68508.74,BTC-14JUN24-82000-C,54.24,0.00452573,0.0047,3,1716764553647,303102014,39
5.0,,,5.0,buy,68514.29,BTC-14JUN24-63000-P,49.97,0.0120748,0.0125,0,1716764548012,303102010,59
0.1,,,0.1,buy,68507.92,BTC-29MAY24-68000-P,41.91,0.00958563,0.0095,1,1716764524229,303101995,14
3.3,,,3.3,buy,68508.58,BTC-7JUN24-66000-P,48.24,0.01612324,0.0165,1,1716764513819,303101989,402
0.1,,,0.1,buy,68507.76,BTC-14JUN24-62000-P,49.84,0.00934735,0.0095,1,1716764505215,303101976,102
2.3,,,2.3,buy,68509.83,BTC-29MAY24-63000-P,54.13,0.00036123,0.0004,1,1716764503344,303101975,13
5.0,,,5.0,buy,68522.83,BTC-7JUN24-76000-C,52.01,0.00679929,0.007,0,1716764484729,303101940,572
0.1,,,0.1,buy,68522.41,BTC-29MAY24-71500-C,46.87,0.00266624,0.0027,0,1716764459781,303101930,13
