amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.6,,,,1.6,buy,42994.05,BTC-4FEB24-42750-P,17.95,0.00036344,0.0004,2,1707004725623,282560965,69
9.1,,,,9.1,sell,42964.73,BTC-23FEB24-40000-P,39.45,0.01014703,0.01,1,1707004196896,282560818,1439
0.1,,,,0.1,sell,42962.7,BTC-23FEB24-47000-C,39.12,0.0084866,0.0085,2,1707004148736,282560805,1875
0.5,,,,0.5,sell,42960.68,BTC-5FEB24-45000-C,34.34,0.00024624,0.0001,3,1707004000992,282560790,43
0.1,,,,0.1,sell,42960.66,BTC-16FEB24-50000-C,46.47,0.00158825,0.0015,2,1707003998590,282560788,261
2.7,,,,2.7,sell,42960.37,BTC-23FEB24-43000-P,37.5,0.03261344,0.033,1,1707003963866,282560786,964
0.1,,,,0.1,sell,42959.71,BTC-4FEB24-42500-P,20.18,0.00024962,0.0001,3,1707003911999,282560777,223
0.3,,,,0.3,buy,42950.91,BTC-6FEB24-40000-P,44.84,0.00026267,0.0003,0,1707003790910,282560736,27
0.1,,,,0.1,buy,42950.17,BTC-29MAR24-34000-P,48.92,0.0072838,0.0075,1,1707003775011,282560722,454
0.2,,,,0.2,sell,42950.17,BTC-4FEB24-43500-C,22.81,0.00012976,0.0001,3,1707003774892,282560719,206
0.1,,,,0.1,sell,42952.46,BTC-9FEB24-44000-C,34.08,0.00757186,0.0075,3,1707003700976,282560715,1622
2.7,,,,2.7,sell,42956.37,BTC-29MAR24-52000-C,43.5,0.01393617,0.0135,2,1707003598797,282560689,488
0.1,,,,0.1,sell,42956.55,BTC-4FEB24-43250-C,16.09,0.00034359,0.0002,2,1707003580654,282560686,54
0.2,,,,0.2,buy,42958.37,BTC-9FEB24-38000-P,49.46,0.0003483,0.0004,1,1707003551347,282560679,831
0.1,,,,0.1,sell,42958.99,BTC-5FEB24-43000-P,21.24,0.00553128,0.0055,1,1707003427065,282560625,141
0.3,,,,0.3,sell,42978.58,BTC-9FEB24-41000-P,36.03,0.00288999,0.0029,0,1707003329044,282560597,931
0.3,,,,0.3,sell,42958.21,BTC-29MAR24-50000-C,43.11,0.01977578,0.02,2,1707003220977,282560456,4801
0.2,,,,0.2,buy,42961.33,BTC-16FEB24-40000-P,39.17,0.00548805,0.0055,0,1707003205471,282560451,468
0.2,,,,0.2,buy,42979.94,BTC-5FEB24-43000-C,21.03,0.00506281,0.005,2,1707003195421,282560358,83
1.0,,,,1.0,sell,42983.56,BTC-27SEP24-55000-C,54.79,0.10687713,0.1065,2,1707003038331,282560283,256
0.7,,,,0.7,sell,43002.06,BTC-23FEB24-51000-C,45.49,0.0026429,0.0027,3,1707003036607,282560171,685
0.5,,,,0.5,sell,43003.77,BTC-29MAR24-55000-C,46.31,0.00897788,0.009,3,1707002974173,282560091,2030
3.0,,,,3.0,sell,43004.24,BTC-27DEC24-43000-P,55.61,0.16144654,0.1625,2,1707002823078,282560087,34
0.5,,,,0.5,buy,43000.91,BTC-9FEB24-43500-C,33.42,0.01144686,0.0115,2,1707002817174,282560076,299
0.6,,,,0.6,buy,42988.72,BTC-6FEB24-43500-C,26.46,0.00399557,0.004,3,1707002744877,282560015,47
0.5,,,,0.5,sell,42986.84,BTC-9FEB24-46000-C,39.29,0.00178835,0.0018,3,1707002628689,282559889,1259
