amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,,,,0.3,sell,79818.46,BTC-5MAY26-78500-P,40.82,,0.00050537,0.0005,3,1777939194357,428301527,257
0.1,,,,,,0.1,buy,79830.57,BTC-26JUN26-50000-P,65.04,,0.00203391,0.0021,0,1777939160401,428301488,3059
1.0,,,,,,1.0,sell,79830.71,BTC-26JUN26-65000-P,47.52,,0.0103731,0.01,2,1777939144454,428301487,1693
15.0,,BLOCK-273400,3,,,15.0,sell,79834.62,BTC-26JUN26-70000-P,44.4,,0.01893368,0.0191,0,1777939099591,428301467,8220
15.0,,BLOCK-273400,3,,,15.0,buy,79834.62,BTC-26JUN26-90000-C,39.66,,0.0188431,0.0196,0,1777939099591,428301468,7675
0.1,,,,,,0.1,sell,79840.39,BTC-25SEP26-125000-C,41.46,,0.00600713,0.006,1,1777939032478,428301454,808
0.7,,,,,,0.7,sell,79834.05,BTC-6MAY26-80500-C,35.19,,0.00556005,0.005,3,1777938985195,428301439,65
0.1,,,,,,0.1,sell,79832.07,BTC-15MAY26-65000-P,58.6,,0.00057801,0.0006,3,1777938844608,428301424,256
0.3,,,,,,0.3,sell,79832.07,BTC-29MAY26-69000-P,46.42,,0.00611399,0.006,0,1777938844571,428301423,955
4.1,,,,,,4.1,sell,79832.07,BTC-29MAY26-66000-P,49.6,,0.00352578,0.0035,1,1777938844563,428301422,946
5.3,,,,,,5.3,sell,79832.07,BTC-29MAY26-67000-P,48.55,,0.00420031,0.0042,1,1777938844552,428301421,788
20.0,,,,,,20.0,buy,79832.07,BTC-29MAY26-60000-P,55.77,,0.00108085,0.0011,3,1777938844521,428301419,1077
1.0,,,,,,1.0,buy,79818.15,BTC-31JUL26-80000-C,41.11,,0.08108348,0.081,3,1777938802867,428301371,216
1.0,,,,,,1.0,sell,79820.0,BTC-5MAY26-79000-C,38.64,,0.01135521,0.0115,2,1777938699928,428301296,184
10.0,,,,,,10.0,buy,79825.92,BTC-26MAR27-40000-P,58.79,,0.01721044,0.0175,0,1777938653172,428301149,312
0.1,,,,,,0.1,buy,79832.63,BTC-26JUN26-145000-C,55.68,,0.00014364,0.0002,3,1777938649893,428301140,1533
0.1,,,,,,0.1,buy,79828.24,BTC-26JUN26-140000-C,52.79,,0.00017822,0.0002,1,1777938648913,428301137,2240
0.1,,,,,,0.1,buy,79786.03,BTC-22MAY26-80000-C,38.77,,0.03227568,0.0325,2,1777938646536,428301097,96
0.1,,,,,,0.1,buy,79786.03,BTC-6MAY26-79000-C,38.47,,0.01506668,0.015,0,1777938646493,428301078,57
0.1,,,,,,0.1,buy,79793.09,BTC-5MAY26-80000-P,33.39,,0.00559121,0.0055,2,1777938589419,428300953,142
0.1,,,,,,0.1,buy,79783.35,BTC-6MAY26-78000-C,39.23,,0.02462377,0.0245,3,1777938579043,428300921,15
0.1,,,,,,0.1,buy,79755.03,BTC-15MAY26-70000-P,48.02,,0.00166762,0.0017,0,1777938416212,428300777,401
0.1,,,,,,0.1,sell,79754.91,BTC-25SEP26-135000-C,42.33,,0.00330258,0.0033,1,1777938408036,428300774,461
0.1,,,,,,0.1,buy,79755.02,BTC-26JUN26-100000-C,39.67,,0.00519947,0.005,3,1777938405316,428300771,3643
3.5,,,,,,3.5,buy,79745.63,BTC-15MAY26-76000-P,40.67,,0.00940924,0.0095,1,1777938330857,428300732,336
0.5,,,,,,0.5,buy,79750.14,BTC-26JUN26-68000-P,45.64,,0.01500518,0.015,1,1777938183751,428300609,1421
0.1,,,,,,0.1,sell,79746.86,BTC-6MAY26-82000-C,38.9,,0.00148112,0.0014,2,1777938171287,428300601,110
0.1,,,,,,0.1,buy,79748.74,BTC-6MAY26-83000-C,43.93,,0.0006728,0.0008,3,1777938158198,428300597,56
0.1,,,,,,0.1,buy,79786.38,BTC-31JUL26-108000-C,39.59,,0.00601692,0.006,1,1777938025784,428300509,13
0.1,,,,,,0.1,buy,79786.51,BTC-7MAY26-77500-P,40.77,,0.00340079,0.0033,1,1777938024456,428300508,21
1.0,,,,,,1.0,sell,79747.58,BTC-25SEP26-115000-C,40.61,,0.01120109,0.011,3,1777937890677,428300365,1263
0.2,,,,,,0.2,sell,79743.31,BTC-5MAY26-77000-P,53.49,,9.081e-05,0.0001,3,1777937868869,428300332,164
0.1,,,,,,0.1,sell,79744.69,BTC-29MAY26-48000-P,78.26,,0.00024555,0.0003,1,1777937865570,428300326,576
12.2,,,,,,12.2,sell,79747.73,BTC-29MAY26-45000-P,83.6,,0.00018372,0.0002,1,1777937854611,428300315,844
0.1,,,,,,0.1,sell,79761.08,BTC-15MAY26-80000-C,38.69,,0.02459082,0.0245,2,1777937853797,428300312,446
0.2,,,,,,0.2,buy,79785.3,BTC-29MAY26-74000-P,42.04,,0.01508216,0.015,0,1777937852431,428300286,657
20.0,,,,,,20.0,sell,79788.18,BTC-8MAY26-82000-C,38.8,,0.00519044,0.005,3,1777937842386,428300232,1179
4.9,,,,,,4.9,buy,79767.69,BTC-8MAY26-78500-P,39.64,,0.00837484,0.0085,0,1777937809301,428300150,27
0.1,,,,,,0.1,buy,79777.04,BTC-29MAY26-77000-P,40.24,,0.0256072,0.0255,1,1777937797524,428300104,525
10.0,,,,,,10.0,buy,79787.37,BTC-7MAY26-80500-P,38.98,,0.01736463,0.0175,0,1777937794951,428300097,28
0.2,,,,,,0.2,buy,79785.88,BTC-15MAY26-72000-P,44.94,,0.00295512,0.0029,0,1777937794865,428300096,407
0.1,,,,,,0.1,buy,79796.0,BTC-8MAY26-70000-P,62.87,,0.00025835,0.0003,3,1777937791282,428300075,507
0.4,,,,,,0.4,sell,79809.55,BTC-5MAY26-81000-C,38.19,,0.00056588,0.0006,3,1777937777819,428300028,330
0.1,,,,,,0.1,buy,79809.92,BTC-8MAY26-73000-P,53.22,,0.00071621,0.0008,0,1777937773629,428300014,542
0.1,,,,,,0.1,buy,79809.92,BTC-29MAY26-50000-P,72.61,,0.00029146,0.0003,3,1777937773147,428300012,909
0.1,,,,,,0.1,buy,79809.82,BTC-29MAY26-68000-P,47.38,,0.00491698,0.005,0,1777937770375,428300008,1159
0.1,,,,,,0.1,sell,79809.52,BTC-25DEC26-80000-C,45.56,,0.15135297,0.1515,3,1777937762953,428300002,5275
0.4,,,,,,0.4,sell,79816.47,BTC-25DEC26-130000-C,42.93,,0.01744137,0.017,1,1777937743067,428299977,695
0.1,,,,,,0.1,sell,79835.81,BTC-25SEP26-60000-P,49.23,,0.02457885,0.024,0,1777937726824,428299955,2259
1.0,,,,,,1.0,sell,79836.35,BTC-5MAY26-82000-C,42.21,,0.00013215,0.0001,2,1777937704097,428299947,180
0.5,,,,,,0.5,buy,79833.15,BTC-25DEC26-88000-C,44.32,,0.10881039,0.109,3,1777937687883,428299921,319
0.1,,,,,,0.1,sell,79827.24,BTC-29MAY26-73000-P,42.22,,0.01246933,0.012,1,1777937676334,428299912,567
0.1,,,,,,0.1,buy,79824.15,BTC-29MAY26-78000-P,40.36,,0.0300447,0.0305,0,1777937664263,428299907,401
1.0,,,,,,1.0,sell,79831.83,BTC-25SEP26-110000-C,40.42,,0.01583827,0.0155,1,1777937583548,428299799,1464
0.4,,,,,,0.4,sell,79826.81,BTC-15MAY26-82000-C,38.0,,0.01446699,0.0145,3,1777937560589,428299721,493
1.0,,,,,,1.0,sell,79838.96,BTC-7MAY26-83000-C,39.99,,0.00183907,0.0018,2,1777937554326,428299670,45
0.1,,,,,,0.1,sell,79826.27,BTC-15MAY26-78000-P,39.69,,0.01627265,0.0165,1,1777937547647,428299666,203
