amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,sell,26049.71,BTC-19AUG23-25500-P,43.91,,0.00038563,0.0003,3,1692403193638,263109220,228
1.0,,,,sell,26049.72,BTC-1SEP23-34000-C,66.8,,0.00104613,0.001,3,1692403191968,263109219,91
1.7,,,,buy,26049.72,BTC-29DEC23-31000-C,44.91,,0.05106004,0.0515,2,1692403191934,263109218,619
0.9,,,,buy,26049.72,BTC-29DEC23-34000-C,47.16,,0.03391186,0.034,3,1692403190445,263109217,749
0.1,,,,sell,26050.2,BTC-29DEC23-28000-C,42.75,,0.08057449,0.0805,1,1692403174824,263109215,410
0.2,,,,sell,26044.92,BTC-19AUG23-25750-C,33.74,,0.01196062,0.012,1,1692403074768,263109194,31
0.3,,,,sell,26048.82,BTC-21AUG23-25500-P,37.73,,0.00444357,0.0042,2,1692402971575,263109172,138
0.1,,,,sell,26053.81,BTC-28JUN24-30000-P,47.7,,0.23865179,0.2395,2,1692402926254,263109161,127
1.0,,,,sell,26055.69,BTC-8SEP23-26000-C,38.65,,0.03894635,0.0385,3,1692402904585,263109156,108
0.1,,,,sell,26052.39,BTC-25AUG23-25000-P,45.32,,0.00880798,0.0085,2,1692402782648,263109152,2432
0.8,,,,sell,26050.79,BTC-19AUG23-27000-C,55.0,,0.00010565,0.0001,3,1692402694676,263109138,340
1.8,,,,sell,26055.83,BTC-19AUG23-26500-C,38.62,,0.00045222,0.0004,3,1692402652113,263109131,238
1.0,,,,sell,26050.65,BTC-1SEP23-26000-C,39.35,,0.03152468,0.0315,0,1692402611371,263109122,98
0.1,,,,sell,26046.0,BTC-28JUN24-31000-C,47.9,,0.12761867,0.1265,0,1692402563653,263109078,113
1.8,,,,buy,26029.36,BTC-1SEP23-28500-C,44.1,,0.00649582,0.0065,3,1692402371484,263109041,248
0.7,,,,sell,26023.3,BTC-29DEC23-27000-C,42.34,,0.09398036,0.094,2,1692402198825,263108926,374
0.1,,,,sell,26033.38,BTC-21AUG23-25000-P,42.98,,0.00222818,0.002,2,1692401932477,263108790,49
0.2,,,,sell,26029.93,BTC-28JUN24-40000-C,51.44,,0.06932185,0.0675,2,1692401915281,263108782,226
0.1,,,,sell,26024.03,BTC-21AUG23-25250-P,40.27,,0.00317853,0.003,2,1692401899099,263108772,2
0.1,,,,buy,26021.85,BTC-28JUN24-120000-C,77.21,,0.00795866,0.01,0,1692401868899,263108771,143
0.1,,,,buy,26031.07,BTC-29DEC23-26000-P,42.05,,0.08969509,0.0895,0,1692401625576,263108708,647
1.0,,,,buy,26029.26,BTC-19AUG23-26000-P,24.33,,0.0028586,0.0025,1,1692401237212,263108633,206
0.2,,,,sell,26035.17,BTC-19AUG23-26750-C,47.41,,0.0001749,0.0002,3,1692401204261,263108629,307
