amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,sell,25895.87,BTC-15SEP23-26000-C,28.53,,0.01195637,0.012,1,1694303764303,264353606,1318
1.0,,,sell,25892.99,BTC-29DEC23-29000-C,41.9,,0.05268259,0.053,1,1694303299378,264353598,823
0.4,,,sell,25893.91,BTC-29SEP23-27000-C,31.96,,0.01421974,0.014,2,1694303296414,264353591,2735
1.0,,,sell,25901.53,BTC-29DEC23-31000-C,43.3,,0.03716715,0.037,2,1694303247480,264353588,847
1.6,,,sell,25897.64,BTC-29DEC23-40000-C,52.61,,0.01152957,0.0115,3,1694303010219,264353581,3301
0.2,,,sell,25897.32,BTC-10SEP23-26250-C,27.54,,0.00027318,0.0002,3,1694302990067,264353579,177
0.5,,,sell,25886.01,BTC-15SEP23-26000-P,28.66,,0.01600557,0.016,3,1694302796250,264353537,651
0.3,,,sell,25887.92,BTC-27OCT23-29000-C,39.5,,0.01970007,0.0195,3,1694302770274,264353531,840
0.3,,,sell,25889.38,BTC-11SEP23-26000-C,15.72,,0.00225492,0.0021,3,1694302768882,264353528,97
0.1,,,sell,25892.71,BTC-22SEP23-31000-C,43.7,,0.0004462,0.0004,3,1694302468622,264353511,36
0.1,,,sell,25892.7,BTC-29SEP23-28000-C,33.69,,0.00747401,0.007,3,1694302429110,264353508,3443
0.1,,,sell,25892.53,BTC-22SEP23-21000-P,61.15,,0.00125308,0.0012,0,1694302294124,264353506,48
3.4,,,buy,25894.68,BTC-12SEP23-25250-P,32.18,,0.00207217,0.0022,1,1694302115168,264353495,20
1.0,,,sell,25898.53,BTC-27OCT23-32000-C,45.38,,0.00902058,0.009,1,1694301543036,264353492,964
0.1,,,sell,25898.68,BTC-15SEP23-31000-C,64.06,,0.00034449,0.0003,1,1694301512223,264353490,309
0.3,,,sell,25897.95,BTC-12SEP23-25000-P,36.5,,0.00167842,0.0016,2,1694301486182,264353484,40
0.1,,,sell,25897.67,BTC-11SEP23-25000-P,32.65,,0.00039545,0.0003,3,1694301463980,264353481,69
0.1,,,sell,25900.4,BTC-11SEP23-25500-P,23.51,,0.00112546,0.001,2,1694301399850,264353471,124
0.3,,,sell,25900.89,BTC-29SEP23-25000-P,34.48,,0.01635484,0.016,3,1694301194961,264353459,3834
9.0,,,sell,25908.34,BTC-11SEP23-25250-P,28.08,,0.00066959,0.0005,2,1694300784550,264353438,25
0.2,,,sell,25908.43,BTC-11SEP23-26500-C,23.94,,0.00049566,0.0004,3,1694300760888,264353437,76
0.2,,,buy,25909.38,BTC-15SEP23-25000-P,35.2,,0.0050478,0.0047,3,1694300560669,264353429,1279
2.1,,,sell,25908.46,BTC-29DEC23-39000-C,52.3,,0.01350933,0.0135,0,1694300148782,264353374,560
0.3,,,buy,25904.25,BTC-11SEP23-26000-P,15.96,,0.00594208,0.006,3,1694300082225,264353321,36
0.9,,,sell,25901.78,BTC-29SEP23-26500-C,31.97,,0.02072366,0.0205,2,1694299697562,264353305,858
1.0,,,buy,25900.96,BTC-15SEP23-33000-C,73.29,,5.557e-05,0.0001,3,1694299649890,264353304,67
0.3,,,buy,25901.15,BTC-12SEP23-26250-C,22.08,,0.00233295,0.0024,0,1694298972561,264353273,20
0.1,,,sell,25900.71,BTC-15SEP23-21500-P,74.59,,0.00061365,0.0006,3,1694298857999,264353272,69
1.5,,,sell,25900.71,BTC-24NOV23-26000-C,39.1,,0.07372535,0.0735,3,1694298840104,264353271,152
0.4,,,sell,25898.13,BTC-24NOV23-29000-C,39.79,,0.03346117,0.0335,3,1694298799322,264353270,173
0.1,,,sell,25896.88,BTC-15SEP23-26500-C,27.47,,0.0056185,0.005,3,1694298764988,264353263,755
0.1,,,sell,25896.88,BTC-15SEP23-22500-P,61.5,,0.00095133,0.0008,3,1694298759862,264353262,160
0.1,,,buy,25904.11,BTC-22SEP23-26500-C,29.12,,0.01266729,0.0125,2,1694297886594,264353093,251
0.1,,,sell,25900.39,BTC-15SEP23-22000-P,68.1,,0.00073717,0.0007,1,1694297834128,264353082,380
0.1,,,sell,25898.95,BTC-27OCT23-26000-P,37.67,,0.05230953,0.053,2,1694297788388,264353074,1067
1.0,,,buy,25898.84,BTC-24NOV23-32000-C,42.71,,0.01628904,0.0165,3,1694297777786,264353073,130
0.1,,,sell,25894.93,BTC-10SEP23-26500-C,34.63,,0.00019201,0.0001,3,1694297636091,264353051,195
0.1,,,sell,25880.27,BTC-10SEP23-26000-P,19.1,,0.00505878,0.0055,2,1694297399213,264353011,87
2.6,,,sell,25877.01,BTC-10SEP23-25750-P,9.88,,0.00043764,0.0001,3,1694297130328,264352949,293
2.6,,,sell,25877.01,BTC-10SEP23-26000-C,9.52,,0.00050623,0.0001,3,1694297130162,264352948,228
0.5,,,sell,25877.69,BTC-12SEP23-25500-P,27.22,,0.00316963,0.0033,0,1694296989996,264352865,11
3.7,,,sell,25861.66,BTC-27OCT23-46000-C,63.17,,0.00075001,0.0006,2,1694295979402,264352803,88
10.0,,,sell,25861.65,BTC-22SEP23-34000-C,53.55,,0.00021093,0.0001,3,1694295944980,264352801,14
1.1,,,sell,25861.95,BTC-12SEP23-27000-C,28.41,,0.00031468,0.0003,1,1694295891690,264352800,2
1.2,,,sell,25861.93,BTC-29SEP23-29000-C,37.49,,0.0043297,0.0042,0,1694295884276,264352799,3179
0.3,,,sell,25861.17,BTC-15SEP23-25500-P,31.46,,0.00891916,0.009,1,1694295850261,264352798,1108
4.9,,,sell,25860.59,BTC-11SEP23-27000-C,31.3,,0.00017437,0.0001,3,1694295627663,264352762,52
0.1,,,sell,25863.85,BTC-28JUN24-120000-C,75.7,,0.00766006,0.0065,2,1694295533161,264352756,200
1.2,,,buy,25863.79,BTC-29DEC23-19000-P,51.24,,0.01489661,0.015,3,1694295463546,264352755,553
0.1,,,sell,25870.11,BTC-15SEP23-28000-C,38.89,,0.0010587,0.001,0,1694295235963,264352729,813
0.1,,,sell,25870.85,BTC-27OCT23-28000-C,38.24,,0.02693715,0.027,1,1694295091843,264352726,947
0.5,,,buy,25887.66,BTC-15SEP23-27000-C,31.58,,0.00283024,0.0028,0,1694294075123,264352660,930
0.1,,,buy,25884.93,BTC-22SEP23-27000-C,29.95,,0.0073212,0.0075,1,1694294042290,264352645,428
1.0,,,buy,25877.47,BTC-27OCT23-27000-C,36.94,,0.03745325,0.0375,1,1694294041033,264352640,871
0.9,,,sell,25877.47,BTC-29SEP23-25500-P,33.09,,0.02271769,0.0225,3,1694294041024,264352639,657
1.2,,,buy,25871.67,BTC-12SEP23-25750-C,22.54,,0.00989555,0.01,0,1694294040671,264352613,5
200.0,,,buy,25866.29,BTC-11SEP23-26750-C,32.01,,0.00028559,0.0004,1,1694293908715,264352581,16
2.0,,,buy,25861.28,BTC-27OCT23-33000-C,47.08,,0.00674409,0.007,3,1694293530113,264352547,806
0.3,,,buy,25857.88,BTC-29SEP23-26000-C,31.97,,0.02794134,0.028,3,1694293269203,264352493,2917
1.8,,,buy,25863.67,BTC-29DEC23-23000-P,43.84,,0.04207477,0.0415,2,1694292572063,264352470,764
5.0,,,sell,25866.08,BTC-27OCT23-35000-C,50.3,,0.00458336,0.0045,0,1694292489564,264352448,493
1.1,,,sell,25866.18,BTC-29DEC23-24000-P,42.77,,0.05393105,0.0535,1,1694292471470,264352446,793
0.5,,,buy,25867.27,BTC-29DEC23-60000-C,67.52,,0.00263631,0.0025,2,1694292442877,264352445,1021
0.1,,,sell,25869.17,BTC-29SEP23-21000-P,54.01,,0.00224857,0.0021,0,1694292217788,264352443,1579
0.1,,,buy,25863.93,BTC-12SEP23-25750-P,23.1,,0.00521226,0.0055,0,1694292198118,264352437,23
0.1,,,buy,25864.17,BTC-12SEP23-26000-C,21.75,,0.00469436,0.0049,2,1694292175332,264352432,15
0.3,,,sell,25868.31,BTC-27OCT23-30000-C,41.77,,0.01461489,0.015,1,1694291815004,264352402,1353
0.1,,,sell,25870.73,BTC-12SEP23-26750-C,26.32,,0.00054311,0.0006,0,1694291555890,264352394,14
1.0,,,buy,25870.83,BTC-12SEP23-26000-P,20.71,,0.00947127,0.0095,3,1694291511287,264352391,5
1.3,,,buy,25870.83,BTC-29DEC23-32000-C,43.79,,0.03110758,0.0305,2,1694291510958,264352390,1051
0.7,,,sell,25859.69,BTC-29SEP23-24500-P,35.97,,0.0121852,0.012,1,1694290834368,264352289,509
1.5,,,buy,25859.69,BTC-24NOV23-30000-C,40.43,,0.02525503,0.0255,2,1694290834093,264352278,213
1.0,,,sell,25859.13,BTC-29DEC23-30000-C,42.39,,0.04373995,0.0435,2,1694290775809,264352138,2234
3.0,,,sell,25865.1,BTC-27OCT23-22000-P,46.77,,0.01253816,0.013,0,1694289924810,264352065,513
1.6,,,sell,25860.01,BTC-24NOV23-27000-C,38.66,,0.05630361,0.0555,2,1694289180285,264352024,172
1.0,,,sell,25859.95,BTC-24NOV23-24000-P,41.31,,0.03883481,0.0385,3,1694289006899,264352019,204
2.5,,,buy,25860.0,BTC-24NOV23-34000-C,45.2,,0.01049018,0.011,3,1694288999060,264352018,152
0.1,,,buy,25860.0,BTC-24NOV23-16000-P,61.8,,0.00364183,0.0036,0,1694288983409,264352017,53
2.5,,,sell,25860.0,BTC-27OCT23-23000-P,43.36,,0.01841143,0.018,3,1694288972254,264352016,672
2.1,,,sell,25860.42,BTC-12SEP23-23000-P,66.12,,0.00039292,0.0003,1,1694288364555,264351976,3
0.3,,,sell,25871.63,BTC-22SEP23-24000-P,38.57,,0.00520028,0.005,1,1694288144816,264351954,259
0.1,,,sell,25865.42,BTC-22SEP23-25000-P,32.99,,0.01083258,0.0105,3,1694287918422,264351935,346
2.6,,,buy,25862.18,BTC-24NOV23-44000-C,56.52,,0.0024993,0.0026,2,1694286892321,264351858,30
2.1,,,sell,25862.5,BTC-27OCT23-26000-C,36.56,,0.05353992,0.053,2,1694286804941,264351855,689
0.1,,,buy,25864.93,BTC-11SEP23-25750-C,17.0,,0.00717587,0.007,0,1694286445594,264351845,54
3.7,,,sell,25862.81,BTC-27OCT23-21000-P,49.53,,0.00896158,0.009,2,1694286409379,264351835,385
