amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,buy,101453.6,BTC-15DEC24-102000-P,30.33,,0.00966956,0.01,3,1734134363307,333860034,88
0.5,,,,,0.5,sell,101466.34,BTC-20DEC24-95000-P,53.4,,0.0060973,0.006,2,1734134348682,333859982,515
1.2,,,,,1.2,buy,101479.82,BTC-14DEC24-105000-C,59.04,,0.00023205,0.0002,3,1734134316026,333859956,213
3.0,,,,,3.0,sell,101479.82,BTC-14DEC24-102500-C,32.25,,0.00106002,0.0008,2,1734134316006,333859955,59
0.1,,,,,0.1,buy,101480.34,BTC-16DEC24-102000-P,35.19,,0.01357704,0.0135,2,1734134306606,333859952,51
1.0,,,,,1.0,sell,101464.04,BTC-14DEC24-98000-P,60.64,,0.00024085,0.0002,3,1734134274200,333859890,392
0.2,,,,,0.2,buy,101480.54,BTC-14DEC24-92000-P,134.04,,3.793e-05,0.0001,3,1734134248389,333859814,53
0.1,,,,,0.1,sell,101480.56,BTC-31JAN25-145000-C,65.64,,0.0106245,0.01,2,1734134244315,333859807,208
1.0,,,,,1.0,sell,101480.83,BTC-14DEC24-104000-C,44.88,,0.00035533,0.0002,3,1734134236493,333859794,540
0.1,,,,,0.1,sell,101483.0,BTC-15DEC24-103000-C,30.89,,0.00240976,0.0024,2,1734134231926,333859791,179
0.1,,,,,0.1,buy,101446.11,BTC-3JAN25-98000-P,52.65,,0.03071995,0.0305,2,1734134200316,333859683,196
0.1,,,,,0.1,buy,101458.98,BTC-15DEC24-106000-C,42.44,,0.00046919,0.0005,0,1734134187958,333859653,47
0.2,,,,,0.2,buy,101478.71,BTC-20DEC24-108000-C,53.45,T,0.00740532,0.008,0,1734134174777,333859641,429
0.3,,,,,0.3,buy,101492.2,BTC-20DEC24-101000-C,48.95,,0.0287979,0.0295,2,1734134169410,333859541,528
0.6,,,,,0.6,buy,101463.87,BTC-20DEC24-103000-C,49.73,,0.01976995,0.0205,0,1734134169199,333859538,517
0.1,,,,,0.1,sell,101463.87,BTC-14DEC24-101500-P,27.05,,0.0042525,0.0038,2,1734134168644,333859535,122
1.5,,,,,1.5,sell,101386.17,BTC-20DEC24-94000-P,55.05,,0.00511474,0.005,3,1734134168206,333859529,867
0.1,,,,,0.1,buy,101386.17,BTC-27DEC24-120000-C,59.24,,0.00413285,0.0041,0,1734134168206,333859530,5041
0.1,,,,,0.1,buy,101463.87,BTC-14DEC24-102000-C,35.7,,0.00172117,0.002,2,1734134168021,333859510,529
0.1,,,,,0.1,sell,101386.17,BTC-14DEC24-101000-P,31.87,,0.00225489,0.0022,2,1734134167706,333859497,176
0.1,,,,,0.1,buy,101386.17,BTC-16DEC24-106000-C,42.19,,0.00156305,0.0016,0,1734134167241,333859460,25
0.2,,,,,0.2,sell,101385.2,BTC-27DEC24-92000-P,55.58,,0.00885646,0.009,3,1734134167148,333859448,4054
11.2,,,,,11.2,sell,101385.18,BTC-15DEC24-97000-P,47.18,,0.00074384,0.0007,3,1734134166957,333859397,61
0.3,,,,,0.3,buy,101385.2,BTC-27DEC24-112000-C,53.83,,0.01063726,0.0105,2,1734134166814,333859372,307
10.0,,,,,10.0,buy,101385.2,BTC-15DEC24-102000-C,28.59,,0.00450655,0.0045,0,1734134166813,333859370,203
2.0,,,,,2.0,buy,101385.18,BTC-15DEC24-101000-C,27.45,,0.00914868,0.009,3,1734134166695,333859349,215
0.1,,,,,0.1,buy,101385.2,BTC-27DEC24-90000-C,57.24,,0.12376243,0.1235,0,1734134166668,333859324,7634
0.4,,,,,0.4,sell,101385.32,BTC-15DEC24-101000-P,28.86,,0.00484302,0.005,2,1734134136139,333859177,198
0.1,,,,,0.1,buy,101349.36,BTC-16DEC24-103000-C,36.07,,0.00565151,0.0055,3,1734134089417,333859095,81
0.3,,,,,0.3,buy,101349.43,BTC-14DEC24-103000-C,39.29,,0.00058962,0.0005,3,1734134086411,333859094,398
0.1,,,,,0.1,sell,101290.83,BTC-15DEC24-99000-P,34.79,,0.00153839,0.0014,2,1734133835255,333858931,164
0.8,,,,,0.8,sell,101291.02,BTC-14DEC24-94000-P,104.71,,0.00016018,0.0001,3,1734133812181,333858930,146
0.1,,,,,0.1,sell,101309.46,BTC-16DEC24-105000-C,39.99,,0.00227943,0.0023,0,1734133715996,333858882,46
0.1,,,,,0.1,sell,101335.8,BTC-20DEC24-98000-P,49.17,,0.01171603,0.0115,3,1734133677302,333858861,487
0.1,,,,,0.1,buy,101325.06,BTC-3JAN25-108000-C,53.93,,0.02876956,0.0285,1,1734133618719,333858833,218
0.1,,,,,0.1,buy,101328.03,BTC-3JAN25-120000-C,59.47,,0.00931403,0.0095,1,1734133613530,333858831,208
0.1,,,,,0.1,sell,101301.62,BTC-20DEC24-101000-P,49.03,,0.02279258,0.023,0,1734133587189,333858817,281
0.1,,,,,0.1,buy,101298.75,BTC-27DEC24-115000-C,56.54,,0.00730644,0.0075,0,1734133570594,333858789,3476
0.1,,,,,0.1,buy,101298.5,BTC-14DEC24-99000-P,53.86,,0.00045577,0.0006,1,1734133569897,333858788,384
0.1,,,,,0.1,buy,101290.06,BTC-16DEC24-102000-C,35.1,,0.00859676,0.0085,0,1734133562659,333858783,93
0.1,,,,,0.1,buy,101258.01,BTC-28MAR25-90000-C,59.89,,0.20456807,0.2045,2,1734133556991,333858776,2412
0.1,,,,,0.1,buy,101247.26,BTC-28MAR25-220000-C,76.87,,0.00848276,0.0085,1,1734133200729,333858614,1424
0.1,,,,,0.1,sell,101192.03,BTC-16DEC24-100000-P,35.33,,0.00604838,0.006,1,1734133175546,333858555,119
0.9,,,,,0.9,buy,101212.53,BTC-14DEC24-101000-C,26.44,,0.00493532,0.0045,3,1734133102830,333858539,239
0.1,,,,,0.1,buy,101217.72,BTC-16DEC24-104000-C,37.78,,0.00331871,0.0033,2,1734133056270,333858535,44
0.2,,,,,0.2,sell,101249.65,BTC-3JAN25-92000-P,54.53,,0.01490273,0.0145,2,1734132979190,333858474,51
0.2,,,,,0.2,buy,101250.22,BTC-3JAN25-90000-P,57.22,,0.01174868,0.012,0,1734132972150,333858472,141
0.4,,,,,0.4,sell,101247.92,BTC-14DEC24-106000-C,66.7,,0.00016106,0.0001,3,1734132907547,333858471,385
0.3,,,,,0.3,sell,101247.69,BTC-27DEC24-84000-P,66.02,,0.00333623,0.0032,2,1734132892811,333858452,1361
0.2,,,,,0.2,sell,101249.16,BTC-20DEC24-110000-C,53.94,,0.00475852,0.0048,0,1734132880642,333858439,658
5.0,,,,,5.0,buy,101239.05,BTC-14DEC24-100000-P,39.74,,0.00070313,0.001,1,1734132815415,333858377,409
0.4,,,,,0.4,buy,101238.85,BTC-31JAN25-78000-P,65.22,,0.01240841,0.012,3,1734132786994,333858348,273
0.1,,,,,0.1,sell,101185.02,BTC-3JAN25-94000-P,53.62,,0.01947798,0.019,3,1734132694012,333858256,86
0.1,,,,,0.1,sell,101185.05,BTC-31JAN25-90000-P,59.16,,0.03185626,0.032,0,1734132690980,333858255,703
0.3,,,,,0.3,buy,101176.74,BTC-14DEC24-101500-C,31.66,,0.00227037,0.0026,0,1734132640918,333858238,198
0.2,,,,,0.2,sell,101155.21,BTC-20DEC24-85000-P,73.48,,0.00134385,0.0012,2,1734132558933,333858146,550
0.1,,,,,0.1,sell,101173.76,BTC-3JAN25-112000-C,55.34,,0.01951165,0.019,2,1734132461270,333858093,89
0.1,,,,,0.1,sell,101168.73,BTC-28FEB25-140000-C,64.35,,0.02826596,0.028,2,1734132314194,333857917,126
0.1,,,,,0.1,sell,101167.21,BTC-28FEB25-124000-C,61.89,,0.05010453,0.0505,0,1734132195646,333857840,56
0.5,,,,,0.5,sell,101177.41,BTC-14DEC24-93000-P,113.24,,0.00016069,0.0001,3,1734132115675,333857812,135
0.1,,,,,0.1,sell,101179.73,BTC-15DEC24-107000-C,44.04,,0.00026681,0.0002,3,1734132034181,333857757,82
0.1,,,,,0.1,sell,101178.43,BTC-28MAR25-140000-C,64.13,,0.04426206,0.0445,3,1734132019169,333857754,1257
0.5,,,,,0.5,sell,101188.87,BTC-20DEC24-104000-C,48.02,,0.01561945,0.015,2,1734132014934,333857740,524
0.1,,,,,0.1,sell,101206.73,BTC-27DEC24-102000-C,49.41,,0.03703895,0.0365,3,1734131976577,333857689,886
2.8,,,,,2.8,sell,101197.83,BTC-15DEC24-100000-P,31.1,,0.00285803,0.0029,3,1734131861031,333857592,236
0.3,,,,,0.3,buy,101213.8,BTC-27DEC24-102000-P,50.01,,0.03964843,0.0395,0,1734131791303,333857544,517
1.0,,,,,1.0,sell,101246.48,BTC-20DEC24-96000-P,50.98,,0.0078034,0.0075,3,1734131670099,333857370,417
0.1,,,,,0.1,sell,101252.4,BTC-31JAN25-115000-C,59.83,,0.04511648,0.0455,2,1734131505697,333857263,827
0.7,,,,,0.7,buy,101273.37,BTC-16DEC24-101000-P,34.97,,0.0095729,0.0095,3,1734131460173,333857188,62
0.2,,,,,0.2,sell,101290.65,BTC-28MAR25-65000-P,69.99,,0.0139813,0.0135,2,1734131445689,333857182,1385
0.1,,,,,0.1,sell,101293.9,BTC-28MAR25-75000-P,64.77,,0.02475084,0.025,3,1734131402664,333857153,1269
0.4,,,,,0.4,sell,101289.16,BTC-15DEC24-105000-C,37.23,,0.00070492,0.0006,3,1734131372615,333857142,57
4.0,,,,,4.0,sell,101295.05,BTC-26SEP25-160000-C,64.79,,0.10776501,0.109,2,1734131259103,333857094,227
8.0,,,,,8.0,sell,101295.05,BTC-20DEC24-115000-C,60.55,,0.00207281,0.0022,1,1734131258494,333857093,542
1.0,,,,,1.0,buy,101294.11,BTC-28FEB25-50000-P,89.4,,0.00417729,0.004,1,1734131254552,333857074,101
4.7,,,,,4.7,sell,101290.97,BTC-26SEP25-150000-C,64.19,,0.12308537,0.1245,2,1734131220208,333857056,280
2.1,,,,,2.1,buy,101287.41,BTC-20DEC24-130000-C,77.4,,0.00028222,0.0003,3,1734131210307,333857051,162
0.9,,,,,0.9,buy,101276.34,BTC-16DEC24-101000-C,34.41,,0.01337103,0.013,2,1734130944484,333856719,80
0.1,,,,,0.1,buy,101303.04,BTC-28MAR25-50000-P,83.64,,0.00587697,0.006,1,1734130742068,333856406,1435
1.0,,,,,1.0,buy,101294.52,BTC-20DEC24-90000-P,63.19,,0.00251631,0.0026,1,1734130323150,333856120,706
0.1,,,,,0.1,sell,101297.44,BTC-27DEC24-94000-P,52.11,,0.01210152,0.0115,3,1734130282920,333856108,563
2.0,,,,,2.0,sell,101381.43,BTC-20DEC24-120000-C,65.6,,0.00107411,0.001,3,1734130164081,333855920,382
2.0,,,,,2.0,sell,101397.91,BTC-16DEC24-112000-C,57.55,,0.00037103,0.0003,3,1734130140460,333855897,12
1.9,,,,,1.9,buy,101412.07,BTC-28MAR25-80000-P,62.47,,0.0330489,0.033,2,1734130083417,333855837,932
5.0,,,,,5.0,sell,101410.07,BTC-28MAR25-115000-C,60.53,,0.094394,0.094,2,1734130070248,333855820,267
5.0,,,,,5.0,sell,101410.01,BTC-28MAR25-100000-C,59.33,,0.15120781,0.1505,2,1734130067214,333855808,4471
