amount,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.7,0.7,sell,42844.18,BTC-14JAN24-44500-C,57.96,,0.00016996,0.0001,3,1705190251865,280145240,296
1.0,1.0,buy,42835.57,BTC-19JAN24-35000-P,84.54,,0.0008391,0.0008,1,1705190239310,280145232,737
0.1,0.1,sell,42829.56,BTC-16JAN24-46000-C,53.39,,0.00104931,0.0009,2,1705190229552,280145224,7
0.1,0.1,sell,42844.01,BTC-26JAN24-40000-P,57.66,,0.01512299,0.015,1,1705189974764,280145041,3069
0.1,0.1,sell,42832.99,BTC-2FEB24-41000-P,53.89,,0.02790351,0.028,1,1705189954880,280145033,90
0.1,0.1,buy,42832.99,BTC-14JAN24-43250-C,37.92,,0.00113738,0.0013,0,1705189954558,280145032,37
0.1,0.1,sell,42815.05,BTC-14JAN24-41500-P,59.27,,0.00040616,0.0003,3,1705189935170,280145022,177
0.1,0.1,buy,42821.17,BTC-2FEB24-38000-P,58.44,,0.01203289,0.012,1,1705189916557,280145004,102
0.1,0.1,sell,42824.71,BTC-14JAN24-42750-P,26.72,,0.00295494,0.0024,3,1705189787431,280144958,38
1.0,1.0,sell,42807.66,BTC-29MAR24-46000-C,52.8,,0.07372955,0.0735,0,1705189729903,280144940,232
0.3,0.3,sell,42814.81,BTC-19JAN24-36000-P,79.51,,0.00139185,0.0012,2,1705189703754,280144931,649
0.1,0.1,sell,42831.18,BTC-19JAN24-41500-P,53.74,,0.01338385,0.0125,0,1705189663872,280144899,14
0.5,0.5,buy,42831.22,BTC-28JUN24-50000-C,57.3,,0.11063327,0.1105,2,1705189663283,280144898,1714
0.3,0.3,sell,42825.28,BTC-19JAN24-43500-C,50.29,,0.01821725,0.018,3,1705189598427,280144850,43
0.5,0.5,sell,42823.51,BTC-19JAN24-44500-C,49.38,,0.01059554,0.01,3,1705189597828,280144845,143
0.4,0.4,buy,42826.57,BTC-19JAN24-48000-C,61.82,,0.00227517,0.0023,1,1705189415074,280144641,1029
0.1,0.1,buy,42830.08,BTC-2FEB24-46000-C,50.7,,0.02146544,0.0215,1,1705189287949,280144611,91
0.1,0.1,buy,42815.94,BTC-16JAN24-40500-P,58.14,,0.00244501,0.0025,3,1705189214416,280144570,6
0.5,0.5,sell,42844.09,BTC-28JUN24-45000-C,57.38,,0.15157666,0.1515,3,1705188710713,280144253,1249
0.1,0.1,sell,42845.95,BTC-19JAN24-40000-P,60.9,,0.00671802,0.0065,3,1705188681348,280144250,1359
2.3,2.3,sell,42848.93,BTC-29MAR24-50000-C,53.52,,0.04715982,0.047,2,1705188608486,280144208,4138
0.1,0.1,buy,42892.19,BTC-19JAN24-46500-C,55.92,,0.00417201,0.0042,1,1705188138553,280143958,433
0.1,0.1,sell,42868.31,BTC-15JAN24-43500-C,36.08,,0.0032056,0.0034,2,1705188127161,280143933,140
4.0,4.0,sell,42857.99,BTC-26JAN24-48000-C,53.63,,0.00702156,0.007,3,1705188124432,280143866,3475
5.0,5.0,sell,42877.96,BTC-14JAN24-43000-C,33.7,,0.00281825,0.003,2,1705188051230,280143836,333
1.8,1.8,buy,42900.69,BTC-28JUN24-27000-P,63.97,,0.01958561,0.0195,1,1705188020223,280143809,590
0.1,0.1,sell,42927.63,BTC-27DEC24-15000-P,71.04,,0.00879831,0.008,2,1705187963438,280143770,10
3.0,3.0,sell,42918.35,BTC-27DEC24-25000-P,59.96,,0.03308284,0.0305,2,1705187952461,280143763,44
18.0,18.0,buy,42918.36,BTC-29MAR24-31000-P,61.88,,0.01275088,0.0125,2,1705187950510,280143762,394
1.3,1.3,buy,42931.81,BTC-27DEC24-50000-C,61.27,,0.20760602,0.21,0,1705187934389,280143725,103
0.5,0.5,buy,42924.17,BTC-28JUN24-65000-C,60.0,,0.04707504,0.047,3,1705187906658,280143721,1678
0.1,0.1,buy,42910.81,BTC-27DEC24-46000-P,58.77,,0.22029096,0.217,0,1705187828182,280143685,5
0.1,0.1,buy,42909.71,BTC-15JAN24-56000-C,170.25,,1.2e-07,0.0002,1,1705187820264,280143683,1
0.1,0.1,sell,42906.72,BTC-15JAN24-43000-C,36.23,,0.00765432,0.008,0,1705187815050,280143682,76
0.1,0.1,buy,42944.75,BTC-14JAN24-44000-C,51.46,,0.00033024,0.0005,0,1705187619567,280143617,259
0.1,0.1,sell,42951.9,BTC-14JAN24-42000-P,48.94,,0.00061348,0.0005,3,1705187572703,280143597,190
0.3,0.3,sell,42956.38,BTC-16JAN24-44500-C,44.24,,0.00346584,0.0032,0,1705187520197,280143568,31
0.6,0.6,sell,42954.08,BTC-15JAN24-43000-P,35.45,,0.00881614,0.009,1,1705187517493,280143560,146
0.1,0.1,sell,42937.14,BTC-15JAN24-42500-P,37.89,,0.0046144,0.0049,0,1705187056650,280143285,133
0.1,0.1,sell,42917.79,BTC-27SEP24-65000-C,61.18,,0.08998871,0.0885,2,1705186950162,280143190,137
0.8,0.8,sell,42921.15,BTC-26JAN24-39000-P,61.01,,0.01083394,0.011,1,1705186912863,280143167,1999
0.1,0.1,sell,42951.6,BTC-27SEP24-45000-C,60.0,,0.20306419,0.206,2,1705186830323,280143105,315
0.1,0.1,buy,42934.31,BTC-26JAN24-38000-P,63.79,,0.00785336,0.008,1,1705186818971,280143083,2175
1.0,1.0,buy,42972.05,BTC-26JAN24-28000-P,103.14,,0.00048457,0.0006,3,1705186701947,280142918,486
0.4,0.4,buy,42966.66,BTC-2FEB24-48000-C,50.94,,0.01255324,0.0125,1,1705186698186,280142913,167
0.1,0.1,sell,42955.16,BTC-26JAN24-42000-P,53.33,,0.02678014,0.027,0,1705186659951,280142891,2690
0.9,0.9,buy,42927.93,BTC-27DEC24-52000-C,61.3,,0.19073554,0.196,0,1705186584630,280142800,31
0.1,0.1,buy,42911.78,BTC-26JAN24-36000-P,69.65,,0.00403193,0.0043,0,1705186540912,280142760,2037
0.1,0.1,sell,42913.53,BTC-2FEB24-49000-C,52.05,,0.0094395,0.0095,1,1705186506771,280142709,277
0.2,0.2,sell,42914.73,BTC-27DEC24-45000-C,59.71,,0.24495625,0.244,3,1705186502665,280142592,47
0.1,0.1,buy,42916.54,BTC-16JAN24-43000-P,44.64,,0.01470826,0.015,3,1705186468102,280142585,43
0.2,0.2,sell,42916.73,BTC-29MAR24-52000-C,53.11,,0.03719414,0.0365,2,1705186463604,280142584,283
1.0,1.0,buy,42916.34,BTC-16JAN24-38000-P,84.01,,0.00078159,0.0009,0,1705186446711,280142578,13
0.1,0.1,sell,42916.3,BTC-29MAR24-60000-C,57.21,,0.01617296,0.0165,1,1705186442107,280142577,2401
1.8,1.8,sell,42914.54,BTC-26JAN24-41000-P,55.18,,0.01993201,0.02,1,1705186351622,280142531,2676
0.1,0.1,buy,42935.34,BTC-2FEB24-36000-P,62.59,,0.00649024,0.0065,3,1705186320135,280142484,8
0.1,0.1,buy,42935.73,BTC-16JAN24-48500-C,68.63,,0.00022482,0.0003,0,1705186317103,280142455,2
0.1,0.1,sell,42940.09,BTC-15JAN24-42000-P,39.57,,0.00253368,0.0023,0,1705186276645,280142429,102
1.5,1.5,buy,42940.19,BTC-26JAN24-43000-P,51.46,,0.03610634,0.0365,3,1705186267849,280142427,1692
0.2,0.2,sell,42972.09,BTC-2FEB24-54000-C,58.55,,0.00311287,0.0031,3,1705186128622,280142351,146
0.1,0.1,sell,42945.69,BTC-16JAN24-39000-P,69.28,,0.00106557,0.0009,3,1705185904364,280142247,9
0.1,0.1,buy,42935.54,BTC-19JAN24-43000-C,50.51,,0.02465036,0.0245,3,1705185850150,280142231,306
