amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
2.0,,,,2.0,buy,104431.68,BTC-28FEB25-80000-P,70.77,,0.01091867,0.0115,1,1737244786281,341507982,1354
0.1,,,,0.1,sell,104418.13,BTC-31JAN25-67000-P,101.57,,0.00039219,0.0004,3,1737244755751,341507915,279
0.5,,,,0.5,buy,104346.31,BTC-31JAN25-110000-C,65.39,,0.02874681,0.0285,1,1737244624912,341507737,4195
0.1,,,,0.1,sell,104341.62,BTC-31JAN25-63000-P,110.26,,0.00030282,0.0003,3,1737244612597,341507735,228
0.1,,,,0.1,sell,104295.1,BTC-31JAN25-58000-P,121.09,,0.00027763,0.0002,3,1737244546666,341507632,291
2.0,,,,2.0,sell,104296.14,BTC-20JAN25-106000-P,57.52,,0.0219713,0.023,2,1737244491047,341507622,27
0.1,,,,0.1,buy,104300.1,BTC-7FEB25-116000-C,65.68,,0.02456943,0.0245,2,1737244479706,341507612,77
0.1,,,,0.1,buy,104348.54,BTC-31JAN25-100000-P,64.38,,0.02631708,0.0265,3,1737244459416,341507567,1598
0.1,,,,0.1,buy,104352.91,BTC-31JAN25-104000-P,64.54,,0.04274469,0.043,3,1737244459051,341507561,479
2.0,,,,2.0,buy,104359.92,BTC-31JAN25-102000-P,64.33,,0.03381989,0.034,3,1737244456762,341507520,698
0.9,,,,0.9,sell,104358.93,BTC-31JAN25-122000-C,70.74,,0.00860079,0.0085,2,1737244447964,341507516,819
2.0,,,,2.0,sell,104357.26,BTC-20JAN25-106000-C,53.76,,0.00679041,0.007,0,1737244442844,341507515,303
3.0,,,,3.0,sell,104357.11,BTC-31JAN25-94000-P,65.02,,0.01146381,0.011,2,1737244440313,341507514,930
3.0,,,,3.0,sell,104356.88,BTC-20JAN25-105000-P,50.51,,0.0151697,0.015,0,1737244437112,341507513,51
3.9,,,,3.9,buy,104356.95,BTC-31JAN25-112000-C,66.37,,0.0235805,0.0235,2,1737244436765,341507512,1255
0.1,,,,0.1,buy,104356.94,BTC-28FEB25-60000-P,89.58,,0.00244141,0.0024,0,1737244433702,341507508,384
3.0,,,,3.0,sell,104356.04,BTC-20JAN25-105000-C,51.32,,0.00997645,0.01,2,1737244430842,341507506,286
1.1,,,,1.1,buy,104363.45,BTC-28FEB25-100000-P,62.14,,0.05547674,0.055,3,1737244412161,341507494,824
0.1,,,,0.1,buy,104352.83,BTC-28FEB25-70000-P,78.35,,0.00512326,0.005,1,1737244405165,341507484,602
0.1,,,,0.1,sell,104333.84,BTC-21JAN25-118000-C,80.7,,0.00097697,0.0008,3,1737244385835,341507469,20
0.1,,,,0.1,sell,104325.42,BTC-31JAN25-69000-P,98.03,,0.00051191,0.0005,3,1737244378427,341507459,337
0.1,,,,0.1,sell,104325.64,BTC-31JAN25-77000-P,82.51,,0.00120612,0.001,3,1737244377545,341507453,708
1.5,,,,1.5,sell,104321.62,BTC-31JAN25-80000-P,78.64,,0.00168349,0.0015,1,1737244368660,341507447,2522
0.1,,,,0.1,sell,104321.49,BTC-21JAN25-120000-C,83.43,,0.00064517,0.0005,2,1737244359318,341507443,10
0.1,,,,0.1,sell,104321.11,BTC-31JAN25-62000-P,113.39,,0.00034864,0.0003,3,1737244356700,341507442,260
3.6,,,,3.6,buy,104359.01,BTC-31JAN25-97000-P,64.67,,0.01747817,0.0175,2,1737244321115,341507359,156
9.5,,,,9.5,sell,104359.31,BTC-19JAN25-100000-P,64.64,,0.00015789,0.0001,3,1737244317971,341507347,177
0.2,,,,0.2,buy,104367.93,BTC-24JAN25-105000-C,68.43,,0.03232952,0.032,1,1737244308491,341507326,768
0.1,,,,0.1,sell,104298.61,BTC-31JAN25-66000-P,104.43,,0.00039583,0.0004,3,1737244221279,341507117,341
0.6,,,,0.6,sell,104316.43,BTC-21JAN25-105000-C,66.49,,0.01915768,0.019,3,1737244178349,341507037,147
5.9,,,,5.9,sell,104316.43,BTC-31JAN25-105000-C,64.2,,0.04713728,0.0465,3,1737244177545,341507036,2604
0.4,,,,0.4,buy,104303.71,BTC-31JAN25-103000-P,64.43,,0.03862148,0.0385,2,1737244169147,341506990,79
25.0,BLOCK-177771,1,,25.0,buy,104301.4,BTC-28MAR25-150000-C,68.24,,0.02121503,0.0217,1,1737244158800,341506953,2946
25.0,BLOCK-177769,1,,25.0,buy,104287.87,BTC-28MAR25-145000-C,67.36,,0.02526517,0.0257,2,1737244152559,341506932,233
0.1,,,,0.1,sell,104291.28,BTC-27JUN25-140000-C,63.8,,0.08299465,0.083,1,1737244081057,341506799,805
1.4,,,,1.4,buy,104287.39,BTC-24JAN25-120000-C,79.86,,0.00364303,0.0037,2,1737243989299,341506777,387
0.6,,,,0.6,buy,104319.07,BTC-31JAN25-107000-C,65.45,,0.03929527,0.039,2,1737243967170,341506710,150
1.6,,,,1.6,sell,104338.79,BTC-21JAN25-106000-C,67.6,,0.0156323,0.0155,2,1737243963438,341506707,101
0.4,,,,0.4,sell,104355.39,BTC-31JAN25-106000-C,65.15,,0.0433308,0.043,3,1737243952615,341506674,1735
5.3,,,,5.3,sell,104355.39,BTC-31JAN25-114000-C,67.59,,0.01987403,0.0195,1,1737243952250,341506671,1233
0.1,,,,0.1,sell,104355.39,BTC-28FEB25-120000-C,64.87,,0.03979221,0.04,2,1737243952115,341506642,926
2.3,,,,2.3,buy,104355.61,BTC-7FEB25-97000-P,63.5,,0.02551193,0.0255,0,1737243951370,341506641,45
1.2,,,,1.2,sell,104355.61,BTC-31JAN25-130000-C,75.97,,0.00430782,0.0042,3,1737243951210,341506640,1413
