amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,,0.1,sell,109033.89,BTC-28MAY25-103000-P,50.15,0.00128235,0.0013,3,1748217534498,368626345,13
0.9,,,,,,0.9,buy,109042.1,BTC-26MAY25-109000-P,36.98,0.00441826,0.0042,1,1748217522887,368626343,138
0.2,,,,,,0.2,buy,109065.51,BTC-30MAY25-114000-C,54.7,0.00832134,0.0085,2,1748217470719,368626334,219
0.1,,,,,,0.1,buy,109089.15,BTC-6JUN25-100000-P,49.38,0.00622614,0.0065,3,1748217459804,368626326,486
0.1,,,,,,0.1,sell,109075.13,BTC-27MAY25-105000-P,44.42,0.00086401,0.0009,3,1748217444143,368626322,85
0.5,,,,,,0.5,sell,109063.56,BTC-30MAY25-104000-P,48.92,0.00516029,0.005,2,1748217427989,368626288,1294
0.3,,,,,,0.3,sell,109032.9,BTC-27MAY25-111000-C,43.46,0.00429366,0.004,1,1748217400226,368626260,110
1.0,,,,,,1.0,sell,109013.46,BTC-26MAY25-108000-P,43.3,0.00168444,0.0018,2,1748217394753,368626248,335
0.9,,,,,,0.9,buy,109013.46,BTC-30MAY25-112000-C,52.5,0.01240298,0.0125,0,1748217394730,368626247,2173
0.6,,,,,,0.6,sell,108999.66,BTC-30MAY25-100000-P,52.64,0.00148507,0.0015,3,1748217390129,368626241,1662
0.1,,,,,,0.1,buy,108929.89,BTC-27JUN25-125000-C,50.59,0.01710976,0.017,3,1748217366583,368626200,3574
0.4,,,,,,0.4,sell,108917.48,BTC-30MAY25-102000-P,49.18,0.00281601,0.0026,2,1748217357420,368626198,1222
1.0,,,,,,1.0,buy,108912.62,BTC-30MAY25-106000-C,48.71,0.03815526,0.038,0,1748217351011,368626191,3161
0.2,,,,,,0.2,sell,108882.07,BTC-6JUN25-105000-C,48.39,0.05616286,0.056,0,1748217230299,368626150,394
0.4,,,,,,0.4,buy,108923.62,BTC-30MAY25-106000-P,49.58,0.00987269,0.01,0,1748217202407,368626121,740
0.2,,,,,,0.2,sell,108908.21,BTC-25JUL25-105000-C,49.15,0.10411991,0.104,0,1748217166938,368626101,24
0.1,,,,,,0.1,sell,108916.32,BTC-30MAY25-110000-C,49.04,0.01822464,0.0175,2,1748217159582,368626100,6162
1.0,,,,,,1.0,sell,108927.92,BTC-26MAY25-107000-C,45.04,0.01845547,0.0185,3,1748217151953,368626095,77
0.5,,,,,,0.5,sell,108931.14,BTC-30MAY25-117000-C,57.4,0.0041319,0.0043,3,1748217095089,368626075,312
1.0,,,,,,1.0,buy,108923.74,BTC-30MAY25-103000-P,49.31,0.00395378,0.0038,3,1748217037705,368626057,958
0.5,,,,,,0.5,sell,108935.28,BTC-6JUN25-125000-C,55.38,0.00387875,0.004,1,1748217019225,368626054,438
0.3,,,,,,0.3,sell,108935.32,BTC-26MAY25-110000-C,39.89,0.00154873,0.0015,2,1748216941183,368626020,258
0.1,,,,,,0.1,buy,108991.8,BTC-27MAY25-120000-C,74.81,0.00016553,0.0003,0,1748216820893,368625964,23
3.0,,,,,,3.0,sell,109000.64,BTC-27MAY25-107000-P,42.96,0.00359413,0.0035,0,1748216809819,368625957,121
0.1,,,,,,0.1,buy,108944.89,BTC-27JUN25-100000-P,48.17,0.02145645,0.0215,0,1748216750410,368625908,4797
0.1,,,,,,0.1,buy,108949.68,BTC-27MAR26-70000-P,53.78,0.02998911,0.0295,2,1748216710941,368625893,233
1.0,,,,,,1.0,sell,108968.04,BTC-30MAY25-115000-C,54.9,0.00658637,0.0065,3,1748216613450,368625860,4290
1.0,,,,,,1.0,sell,108975.63,BTC-28MAY25-105000-P,46.91,0.00326062,0.003,2,1748216605648,368625855,18
0.5,,,,,,0.5,sell,108994.09,BTC-27MAY25-106000-P,42.74,0.00190415,0.0018,2,1748216591598,368625849,74
0.2,,,,,,0.2,sell,108971.78,BTC-28MAY25-118000-C,60.37,0.00092072,0.0011,1,1748216584977,368625815,9
0.2,,,,,,0.2,buy,109049.62,BTC-28MAY25-110000-C,48.51,0.01201885,0.012,0,1748216518630,368625741,16
0.1,,,,,,0.1,buy,109049.62,BTC-30MAY25-100000-C,51.67,0.08599014,0.086,1,1748216518285,368625724,6151
0.4,,,,,,0.4,sell,109035.77,BTC-26MAY25-106000-P,50.19,0.00015541,0.0002,3,1748216516252,368625719,177
16.8,,,,,,16.8,buy,109003.91,BTC-26MAY25-109500-C,38.39,0.00299159,0.0028,0,1748216494561,368625683,66
0.1,,,,,,0.1,sell,108968.91,BTC-6JUN25-97000-P,50.12,0.00328345,0.0034,2,1748216486461,368625666,221
0.1,,,,,,0.1,buy,108968.91,BTC-6JUN25-112000-C,49.89,0.02476131,0.0245,1,1748216486392,368625664,384
0.1,,,,,,0.1,sell,108967.7,BTC-27MAY25-108000-P,43.45,0.00646531,0.0065,2,1748216485561,368625647,92
