amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,,0.1,buy,118378.7,BTC-25JUL25-122000-C,59.73,0.0002895,0.0004,1,1753401595891,377437703,3549
2.1,,,,,,2.1,buy,118349.75,BTC-25JUL25-121000-C,46.53,0.0003795,0.0004,3,1753401576644,377437676,1775
0.1,,,,,,0.1,sell,118354.44,BTC-25JUL25-120000-C,37.27,0.00073908,0.0007,3,1753401537640,377437662,6093
0.1,,,,,,0.1,sell,118332.28,BTC-25JUL25-115000-C,64.92,0.02925416,0.0295,2,1753401482151,377437584,4828
0.1,,,,,,0.1,buy,118337.84,BTC-31OCT25-170000-C,47.91,0.01147003,0.0115,2,1753401454806,377437574,5
0.1,,,,,,0.1,buy,118366.16,BTC-31OCT25-155000-C,46.12,0.02105645,0.021,3,1753401433099,377437530,7
0.1,,,,,,0.1,sell,118369.94,BTC-1AUG25-123000-C,35.45,0.00746949,0.007,3,1753401401445,377437520,942
1.9,,,,,,1.9,buy,118373.28,BTC-29AUG25-170000-C,53.02,0.00112063,0.0011,1,1753401394985,377437517,351
0.9,,,,,,0.9,buy,118366.18,BTC-29AUG25-80000-P,62.69,0.00120157,0.0012,1,1753401377485,377437507,2250
0.1,,,,,,0.1,buy,118361.84,BTC-8AUG25-105000-P,44.9,0.00314967,0.0032,0,1753401147998,377437370,95
0.1,,,,,,0.1,sell,118312.54,BTC-8AUG25-110000-P,39.21,0.00677036,0.0065,0,1753401031533,377437135,319
0.1,,,,,,0.1,buy,118312.39,BTC-31OCT25-90000-P,46.41,0.01120392,0.011,1,1753401030297,377437132,9
0.2,,,,,,0.2,buy,118315.91,BTC-25JUL25-118000-C,33.55,0.0055738,0.006,2,1753401000978,377437120,3822
0.1,,,,,,0.1,sell,118322.25,BTC-8AUG25-130000-C,39.58,0.00519209,0.005,2,1753400926220,377437054,158
2.0,,,,,,2.0,buy,118379.04,BTC-25JUL25-111000-P,92.41,0.00015406,0.0001,3,1753400889078,377437017,750
1.0,,,,,,1.0,sell,118390.83,BTC-26JUL25-104000-P,86.31,0.00013364,0.0001,3,1753400882272,377437008,38
2.0,,,,,,2.0,buy,118420.56,BTC-27JUL25-115000-P,30.28,0.00132745,0.0012,1,1753400822365,377436962,30
0.1,,,,,,0.1,buy,118421.54,BTC-25JUL25-127000-C,96.57,1.124e-05,0.0001,3,1753400818394,377436961,424
1.0,,,,BTC-PCAL-1AUG25_25JUL25-115000,377436956,1.0,sell,118430.97,BTC-25JUL25-115000-P,60.58,0.00031618,0.0004,3,1753400810550,377436957,1944
1.0,,,,BTC-PCAL-1AUG25_25JUL25-115000,377436956,1.0,buy,118430.97,BTC-1AUG25-115000-P,35.79,0.00822038,0.0082,3,1753400810550,377436958,637
2.0,,,,,,2.0,buy,118432.14,BTC-31OCT25-70000-P,55.91,0.00262035,0.0025,3,1753400806853,377436945,5
3.0,,,,,,3.0,buy,118440.74,BTC-31OCT25-210000-C,52.9,0.00315634,0.003,0,1753400781105,377436938,6
10.0,,,,,,10.0,buy,118378.42,BTC-26JUN26-130000-C,46.48,0.16697133,0.1675,0,1753400729665,377436881,166
0.1,,,,,,0.1,buy,118434.0,BTC-26JUN26-105000-C,47.05,0.26211701,0.2645,0,1753400648179,377436806,84
0.1,,,,,,0.1,sell,118465.83,BTC-26JUL25-119000-C,27.29,0.00540238,0.005,2,1753400621609,377436776,63
