amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.6,,,,,buy,25812.3,BTC-29DEC23-21000-P,46.94,,0.02649854,0.0265,1,1693871981518,264107892,682
0.1,,,,,sell,25808.1,BTC-6SEP23-25000-P,42.46,,0.00121426,0.0013,2,1693871941214,264107889,42
0.1,,,,,sell,25804.53,BTC-8SEP23-26000-C,29.57,,0.00856414,0.008,3,1693871917426,264107871,1533
1.6,,,,,buy,25804.5,BTC-8SEP23-25000-P,39.36,,0.00417849,0.0041,0,1693871905756,264107869,1253
0.1,,,,,buy,25804.5,BTC-29DEC23-27000-P,41.32,,0.11091706,0.1105,0,1693871904801,264107866,727
5.0,,,,,buy,25811.12,BTC-7SEP23-25250-P,35.88,,0.00380034,0.0036,2,1693871770474,264107851,14
0.1,,,,,sell,25823.01,BTC-15SEP23-26000-C,31.13,,0.0179605,0.018,2,1693871692377,264107814,824
2.8,,,,,sell,25823.01,BTC-5SEP23-25750-P,23.98,,0.00181485,0.0017,0,1693871689475,264107813,275
0.1,,,,,sell,25827.69,BTC-7SEP23-26250-C,29.43,,0.00367835,0.0035,0,1693871635283,264107805,34
1.0,,,,,buy,25827.83,BTC-6SEP23-26000-C,27.49,,0.00408552,0.0039,0,1693871507775,264107724,92
0.5,,,,,sell,25830.05,BTC-5SEP23-25000-P,57.02,,0.00021097,0.0002,2,1693871476547,264107695,92
0.1,,,,,sell,25824.56,BTC-15SEP23-25500-P,32.99,,0.016137,0.016,3,1693871425812,264107667,348
0.3,,,,,sell,25824.56,BTC-7SEP23-25500-P,32.98,,0.00567226,0.0055,3,1693871425343,264107659,17
4.0,,,,,sell,25810.31,BTC-22SEP23-25500-P,32.82,,0.02212456,0.022,3,1693871066066,264107480,97
1.1,,,,,sell,25803.99,BTC-29SEP23-25000-P,34.94,,0.02107555,0.021,2,1693871060906,264107477,3357
0.1,,,,,sell,25805.14,BTC-5SEP23-26250-C,29.22,,0.00021151,0.0001,3,1693871008715,264107459,221
1.0,,,,,sell,25803.88,BTC-27OCT23-26000-C,35.89,,0.0538985,0.0535,1,1693870923548,264107452,411
1.0,,,,,sell,25796.85,BTC-22SEP23-26000-C,32.05,,0.02478144,0.025,1,1693870862404,264107389,331
0.2,,,,,sell,25812.28,BTC-8SEP23-25500-P,33.41,,0.00767926,0.0075,2,1693870764777,264107330,1157
0.2,,,,,sell,25812.13,BTC-8SEP23-26000-P,28.84,,0.01582935,0.015,2,1693870764060,264107329,1057
