amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,0.2,buy,64020.47,BTC-29MAR24-64000-P,71.13,,0.0326119,0.0335,0,1711238375335,293598828,347
0.1,,,0.1,buy,64041.46,BTC-29MAR24-64000-C,70.72,,0.03430025,0.035,2,1711238370860,293598803,535
0.1,,,0.1,sell,64072.44,BTC-31MAY24-44000-P,78.34,,0.01500343,0.015,1,1711238332834,293598670,262
0.1,,,0.1,sell,64029.29,BTC-24MAR24-64000-C,43.57,,0.00547115,0.0055,0,1711238310855,293598642,161
1.0,,,1.0,buy,64010.89,BTC-24MAR24-64500-C,44.25,,0.00209266,0.0024,0,1711238296310,293598566,118
1.0,,,1.0,buy,64057.44,BTC-26MAR24-63000-P,61.35,,0.01212137,0.012,0,1711238284150,293598510,13
0.1,,,0.1,buy,64086.9,BTC-31MAY24-30000-P,92.18,,0.00237969,0.0023,0,1711238275123,293598455,190
0.1,,,0.1,sell,64086.98,BTC-26MAR24-65500-C,58.31,,0.0106691,0.01,2,1711238271989,293598446,8
0.1,,,0.1,buy,64069.1,BTC-26APR24-90000-C,79.97,,0.01176658,0.012,3,1711238269103,293598444,974
6.0,,,6.0,buy,64067.7,BTC-24MAR24-64000-P,50.04,,0.00452245,0.0055,2,1711238265341,293598421,147
0.2,,,0.2,buy,63978.81,BTC-24MAR24-63500-P,52.86,,0.00260307,0.0033,0,1711238235785,293598332,182
0.2,,,0.2,buy,63981.43,BTC-24MAR24-59000-P,124.11,,2.222e-05,0.0002,1,1711238228861,293598304,103
0.1,,,0.1,buy,64027.67,BTC-25MAR24-66500-C,55.99,,0.00183888,0.0023,2,1711238205711,293598093,33
0.1,,,0.1,buy,63934.67,BTC-25MAR24-61500-P,56.33,,0.0023417,0.002,0,1711238191164,293597945,40
0.1,,,0.1,buy,63941.58,BTC-31MAY24-62000-P,74.62,,0.09548608,0.0945,0,1711238190775,293597943,112
0.1,,,0.1,buy,63941.58,BTC-26MAR24-61000-P,64.94,,0.00503918,0.0048,0,1711238190361,293597929,22
0.3,,,0.3,buy,63976.09,BTC-12APR24-50000-P,76.51,,0.00513085,0.005,1,1711238189654,293597889,24
1.0,,,1.0,buy,64022.77,BTC-24MAR24-64500-P,48.9,,0.00888388,0.01,0,1711238186662,293597731,151
0.4,,,0.4,sell,64022.77,BTC-5APR24-61000-C,68.87,,0.0805555,0.08,2,1711238186610,293597729,128
0.1,,,0.1,buy,64022.77,BTC-28JUN24-60000-P,76.52,,0.10069913,0.1,0,1711238186015,293597667,911
0.3,,,0.3,buy,64094.12,BTC-31MAY24-35000-P,85.15,,0.00450748,0.0044,3,1711238168579,293597449,246
0.1,,,0.1,buy,64094.12,BTC-28JUN24-64000-P,77.02,,0.13044844,0.13,3,1711238168574,293597447,31
0.3,,,0.3,buy,64094.12,BTC-25MAR24-64500-P,51.96,,0.01557322,0.0155,1,1711238168272,293597422,46
0.1,,,0.1,buy,64114.85,BTC-27DEC24-65000-P,79.38,,0.21287017,0.213,2,1711238167321,293597398,122
0.2,,,0.2,sell,64158.17,BTC-25MAR24-68000-C,57.1,,0.00067258,0.0007,3,1711238165065,293597260,63
