amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,,,0.3,sell,94709.58,BTC-11JAN25-94000-C,34.59,,0.00860184,0.009,3,1736553573440,340021274,205
0.2,,,,,0.2,sell,94696.81,BTC-17JAN25-102000-C,49.45,,0.00475914,0.0045,3,1736553506627,340021212,665
0.4,,,,,0.4,sell,94694.54,BTC-28FEB25-95000-P,56.2,,0.07541002,0.0755,0,1736553443130,340021160,165
2.3,,,,,2.3,sell,94718.36,BTC-11JAN25-98000-C,52.83,,0.00012767,0.0001,3,1736553379425,340021111,894
0.3,,,,,0.3,sell,94732.98,BTC-11JAN25-96000-C,34.07,,0.0004788,0.0005,3,1736553320403,340021096,389
0.1,,,,,0.1,sell,94736.22,BTC-13JAN25-94000-P,33.56,,0.00711951,0.007,1,1736553309842,340021095,69
0.1,,,,,0.1,sell,94735.99,BTC-13JAN25-96000-C,33.22,,0.00568378,0.0055,1,1736553307169,340021094,78
0.1,,,,,0.1,sell,94774.47,BTC-12JAN25-91000-P,42.57,,0.0004807,0.0006,2,1736553183582,340021060,80
3.5,,,,,3.5,buy,94770.9,BTC-31JAN25-85000-P,56.53,,0.01378331,0.0135,3,1736553166413,340021052,1291
0.3,,,,,0.3,sell,94742.96,BTC-26SEP25-95000-C,60.13,,0.23230683,0.231,0,1736553113992,340021017,234
2.0,,,,,2.0,buy,94743.98,BTC-31JAN25-83000-P,58.25,,0.01058717,0.0105,3,1736553102311,340021016,469
0.1,,,,,0.1,sell,94743.88,BTC-12JAN25-98000-C,34.58,,0.0004086,0.0005,0,1736553084992,340021014,117
1.6,,,,,1.6,sell,94743.48,BTC-17JAN25-105000-C,51.82,,0.00230786,0.0022,0,1736552999994,340020989,658
0.1,,,,,0.1,buy,94748.61,BTC-13JAN25-95000-P,32.67,,0.01174184,0.0115,1,1736552898010,340020972,58
0.1,,,,,0.1,sell,94695.73,BTC-13JAN25-97000-C,34.16,,0.00304143,0.003,2,1736552861599,340020911,74
0.1,,,,,0.1,buy,94698.99,BTC-28MAR25-100000-P,57.64,,0.12336115,0.123,2,1736552852664,340020900,1233
0.1,,,,,0.1,sell,94726.41,BTC-28FEB25-80000-P,58.1,,0.02066987,0.0205,3,1736552785435,340020836,873
0.1,,,,,0.1,sell,94750.08,BTC-11JAN25-94500-C,28.13,,0.00490797,0.005,2,1736552736666,340020762,91
0.1,,,,,0.1,buy,94769.77,BTC-13JAN25-93000-P,34.78,,0.00396115,0.0039,2,1736552729801,340020735,48
0.1,,,,,0.1,buy,94780.25,BTC-12JAN25-95000-P,26.97,,0.00771382,0.0075,1,1736552728824,340020729,158
0.1,,,,,0.1,sell,94793.74,BTC-13JAN25-91000-P,38.87,,0.00138961,0.0013,3,1736552719418,340020725,18
0.1,,,,,0.1,buy,94790.53,BTC-12JAN25-88000-P,57.74,,0.00015207,0.0002,3,1736552680673,340020723,115
0.1,,,,,0.1,sell,94791.55,BTC-13JAN25-95000-C,33.68,,0.00986795,0.01,0,1736552645702,340020722,73
0.7,,,,,0.7,sell,94791.5,BTC-12JAN25-95000-C,28.39,,0.0058303,0.006,1,1736552642402,340020721,193
0.5,,,,,0.5,sell,94777.27,BTC-17JAN25-96000-C,48.65,,0.0203964,0.0205,1,1736552565842,340020656,352
0.5,,,,,0.5,sell,94789.14,BTC-12JAN25-84000-P,87.88,,0.00012189,0.0002,0,1736552481334,340020628,38
1.0,,,,,1.0,buy,94781.26,BTC-11JAN25-94500-P,26.05,,0.0020633,0.0019,2,1736552452782,340020607,149
0.1,,,,,0.1,sell,94781.56,BTC-12JAN25-89000-P,50.05,,0.00019893,0.0002,3,1736552435256,340020605,60
0.1,,,,,0.1,buy,94836.22,BTC-12JAN25-82000-P,95.07,,2.861e-05,0.0001,2,1736552330289,340020566,81
0.1,,,,,0.1,sell,94830.06,BTC-24JAN25-108000-C,54.18,,0.00627908,0.006,2,1736552245809,340020540,432
0.1,,,,,0.1,buy,94818.79,BTC-31JAN25-110000-C,56.49,,0.01049645,0.0105,3,1736552235997,340020533,3307
2.0,,,,,2.0,sell,94843.13,BTC-11JAN25-95000-P,27.97,,0.00423123,0.0043,2,1736552198435,340020498,170
0.5,,,,,0.5,sell,94860.57,BTC-17JAN25-95000-P,48.77,,0.02546796,0.0255,2,1736552115576,340020474,559
0.9,,,,,0.9,sell,94847.95,BTC-27JUN25-80000-P,59.46,,0.06516708,0.065,2,1736552042816,340020460,500
1.0,,,,,1.0,buy,94847.41,BTC-26SEP25-90000-P,59.43,,0.13078838,0.13,2,1736552038977,340020436,212
1.5,,,,,1.5,sell,94855.01,BTC-24JAN25-80000-P,63.74,,0.00360471,0.0038,3,1736551797714,340020307,263
0.7,,,,,0.7,buy,94848.21,BTC-11JAN25-94000-P,27.05,,0.00076278,0.0006,3,1736551731815,340020274,362
0.1,,,,,0.1,buy,94857.7,BTC-12JAN25-93000-P,31.19,,0.001169,0.0014,1,1736551691587,340020259,164
0.2,,,,,0.2,buy,94849.06,BTC-31JAN25-52000-P,107.07,,0.00045779,0.0005,3,1736551666515,340020237,257
0.5,,,,,0.5,buy,94864.38,BTC-31JAN25-54000-P,103.31,,0.00052605,0.0006,3,1736551660956,340020226,415
0.1,,,,,0.1,buy,94829.39,BTC-11JAN25-91000-P,61.01,,9.082e-05,0.0001,2,1736551643854,340020151,197
0.1,,,,,0.1,sell,94829.8,BTC-28MAR25-170000-C,68.38,,0.00651506,0.006,3,1736551636364,340020149,252
0.1,,,,,0.1,buy,94829.65,BTC-28MAR25-120000-C,60.75,,0.038756,0.0395,0,1736551636007,340020148,5048
0.1,,,,,0.1,buy,94787.21,BTC-24JAN25-90000-P,53.15,,0.01779871,0.018,0,1736551583287,340020071,349
0.1,,,,,0.1,sell,94787.02,BTC-26SEP25-55000-P,64.36,,0.02367683,0.024,2,1736551579236,340020070,219
0.1,,,,,0.1,buy,94720.29,BTC-11JAN25-93000-P,37.76,,0.00024458,0.0003,3,1736551489824,340020034,450
0.1,,,,,0.1,buy,94736.5,BTC-28FEB25-106000-C,57.05,,0.04524679,0.045,2,1736551268916,340019934,381
0.2,,,,,0.2,sell,94739.99,BTC-24JAN25-106000-C,52.25,,0.00811258,0.0075,2,1736551210215,340019915,174
0.2,,,,,0.2,sell,94764.67,BTC-17JAN25-95000-C,49.13,,0.02523225,0.0255,3,1736551104849,340019869,535
0.1,,,,,0.1,sell,94742.65,BTC-24JAN25-95000-P,50.8,,0.03847679,0.038,2,1736551009025,340019835,187
0.1,,,,,0.1,sell,94780.75,BTC-13JAN25-92000-P,37.28,,0.00222828,0.0024,2,1736550943612,340019812,31
1.0,,,,,1.0,sell,94776.82,BTC-17JAN25-97000-C,48.72,,0.01636643,0.0165,0,1736550921409,340019808,382
0.1,,,,,0.1,sell,94796.23,BTC-12JAN25-90000-P,42.24,,0.00024832,0.0002,3,1736550913490,340019792,95
