amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,sell,51950.82,BTC-16FEB24-51500-P,37.58,,0.0016593,0.0015,1,1708041571280,284274608,632
0.1,,,,,0.1,sell,51937.15,BTC-18FEB24-51000-P,40.04,,0.00598287,0.0055,3,1708041489152,284274584,44
0.1,,,,,0.1,buy,51937.67,BTC-18FEB24-55000-C,52.87,,0.0015655,0.0018,3,1708041487358,284274583,47
0.1,,,,,0.1,sell,51932.27,BTC-1MAR24-50000-P,50.2,,0.0220681,0.0215,1,1708041453006,284274579,403
0.1,,,,,0.1,buy,51931.16,BTC-1MAR24-62000-C,61.81,,0.00451846,0.0048,1,1708041450700,284274578,199
0.2,,,,,0.2,buy,51933.83,BTC-16FEB24-51000-P,48.87,,0.00063947,0.0008,0,1708041440834,284274577,470
0.1,,,,,0.1,buy,51932.23,BTC-29MAR24-50000-P,52.95,,0.04703983,0.047,2,1708041376567,284274538,512
1.0,,,,,1.0,sell,51932.8,BTC-27DEC24-55000-C,61.1,,0.23856482,0.2385,0,1708041374842,284274537,109
0.2,,,,,0.2,sell,51943.5,BTC-16FEB24-49500-P,71.48,,0.00019245,0.0001,2,1708041333376,284274522,513
0.1,,,,,0.1,sell,51958.07,BTC-29MAR24-48000-P,52.84,,0.03267168,0.0325,2,1708041242905,284274475,597
0.1,,,,,0.1,buy,51956.1,BTC-23FEB24-50000-C,49.31,,0.05177031,0.0515,2,1708041202633,284274473,3866
1.0,,,,,1.0,buy,51974.34,BTC-16FEB24-52000-P,34.06,,0.00476188,0.0045,2,1708041179842,284274454,362
0.1,,,,,0.1,buy,51969.56,BTC-1MAR24-42000-C,59.69,,0.19767222,0.197,1,1708041140022,284274436,1
0.4,,,,,0.4,sell,51955.49,BTC-16FEB24-50500-P,54.43,,0.00034981,0.0003,2,1708041091224,284274398,358
0.6,,,,,0.6,buy,51959.29,BTC-16FEB24-53000-C,43.87,,0.00034559,0.0004,3,1708041064932,284274384,683
1.0,,,,,1.0,sell,51960.25,BTC-23FEB24-53000-C,51.02,,0.02084314,0.021,0,1708041048082,284274370,1466
0.1,,,,,0.1,sell,51963.06,BTC-16FEB24-49500-C,85.38,,0.04745319,0.0475,2,1708041038739,284274365,133
0.1,,,,,0.1,sell,51969.59,BTC-16FEB24-41000-C,272.78,,0.21099557,0.211,0,1708041031085,284274350,179
