amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
5.0,,,,,5.0,sell,63425.08,BTC-27DEC24-41000-P,68.21,,0.04271949,0.0435,3,1714262398880,299335637,67
0.1,,,,,0.1,sell,63425.15,BTC-28APR24-61500-P,49.11,,0.00010974,0.0001,3,1714262388061,299335636,101
1.0,,,,,1.0,buy,63425.08,BTC-28APR24-64500-P,28.12,,0.0171972,0.017,0,1714262377945,299335635,21
0.1,,,,,0.1,buy,63420.01,BTC-10MAY24-61000-C,50.57,,0.05979181,0.0595,0,1714262359179,299335618,381
0.1,,,,,0.1,buy,63417.72,BTC-10MAY24-71000-C,55.49,,0.00740094,0.0075,1,1714262324865,299335610,555
0.6,,,,,0.6,buy,63418.61,BTC-29APR24-64500-P,37.69,,0.019987,0.02,0,1714262309349,299335609,7
0.1,,,,,0.1,buy,63422.23,BTC-31MAY24-56000-P,55.75,,0.01957647,0.02,2,1714262258451,299335599,690
0.3,,,,,0.3,buy,63426.63,BTC-29APR24-62500-C,33.7,,0.01768419,0.0175,2,1714262243253,299335594,26
0.1,,,,,0.1,sell,63425.93,BTC-31MAY24-52000-P,57.87,,0.00960814,0.0095,2,1714262237406,299335575,557
0.1,,,,,0.1,sell,63403.91,BTC-17MAY24-61000-C,50.92,,0.06888242,0.069,3,1714262187458,299335551,188
0.1,,,,,0.1,sell,63458.66,BTC-30APR24-70000-C,60.25,,0.00040981,0.0004,2,1714262176152,299335507,13
0.5,,,,,0.5,buy,63466.57,BTC-30APR24-62500-P,42.17,,0.00712674,0.007,2,1714262174341,299335502,41
4.1,,,,,4.1,sell,63476.69,BTC-30APR24-63500-C,40.93,,0.01319975,0.013,0,1714262172046,299335483,20
1.0,,,,,1.0,buy,63486.63,BTC-28APR24-63500-P,24.03,,0.00335603,0.003,0,1714262146258,299335454,129
1.0,,,,,1.0,buy,63496.06,BTC-30APR24-63500-P,41.11,,0.01316325,0.013,2,1714262067666,299335443,8
2.4,,,,,2.4,sell,63494.4,BTC-30APR24-58000-P,70.21,,0.00121355,0.0012,3,1714262029962,299335417,42
0.3,,,,,0.3,buy,63494.34,BTC-17MAY24-61000-P,50.56,,0.02767793,0.0275,2,1714262025930,299335388,62
0.1,,,,,0.1,sell,63488.59,BTC-3MAY24-69000-C,57.19,,0.00436285,0.0041,3,1714261965384,299335294,992
0.1,,,,,0.1,sell,63475.72,BTC-28APR24-62000-P,43.56,,0.00024747,0.0002,3,1714261840682,299335168,353
0.3,,,,,0.3,sell,63475.7,BTC-29APR24-64500-C,36.5,,0.0033641,0.0031,2,1714261834688,299335157,88
1.0,,,,,1.0,sell,63467.08,BTC-29APR24-62000-P,37.04,,0.0017368,0.0017,2,1714261823222,299335151,159
1.1,,,,,1.1,buy,63458.34,BTC-10MAY24-66000-C,50.36,,0.0217092,0.0215,1,1714261821932,299335107,364
0.3,,,,,0.3,sell,63446.97,BTC-3MAY24-60000-P,54.61,,0.00696323,0.007,0,1714261610471,299335042,1746
0.3,,,,,0.3,buy,63407.7,BTC-17MAY24-88000-C,69.02,,0.00137378,0.0014,2,1714261388573,299334878,41
0.2,,,,,0.2,sell,63443.19,BTC-28APR24-61000-C,75.96,,0.0385965,0.039,0,1714261268907,299334817,6
0.1,,,,,0.1,sell,63446.21,BTC-28JUN24-75000-C,58.54,,0.04058878,0.0405,1,1714261103460,299334718,3295
0.2,,,,,0.2,buy,63443.11,BTC-28APR24-63000-C,27.8,,0.00802919,0.008,1,1714261093694,299334713,157
0.3,,,,,0.3,buy,63418.05,BTC-29APR24-63000-P,32.84,,0.00506636,0.005,2,1714261059409,299334641,114
0.1,,,,,0.1,buy,63420.09,BTC-29APR24-63500-P,32.81,,0.00887757,0.0085,0,1714260938695,299334504,31
0.2,,,,,0.2,sell,63396.9,BTC-28APR24-64000-C,26.17,,0.00077927,0.0005,1,1714260720105,299334428,392
1.0,,,,,1.0,buy,63409.25,BTC-3MAY24-65000-C,51.84,,0.01491327,0.015,2,1714260561533,299334327,799
0.1,,,,,0.1,sell,63415.06,BTC-30APR24-65500-C,43.23,,0.00374911,0.0034,2,1714260532960,299334304,30
1.1,,,,,1.1,sell,63418.88,BTC-10MAY24-44000-P,89.26,,0.00062331,0.0006,1,1714260498555,299334297,84
0.1,,,,,0.1,sell,63427.48,BTC-17MAY24-56000-P,53.5,,0.00940157,0.009,2,1714260468349,299334291,101
0.4,,,,,0.4,sell,63410.97,BTC-31MAY24-62000-P,53.25,,0.05079428,0.0505,2,1714260432831,299334274,659
4.2,,,,,4.2,buy,63405.6,BTC-31MAY24-61000-P,53.14,,0.04381294,0.0435,3,1714260374995,299334201,657
0.1,,,,,0.1,sell,63405.25,BTC-29APR24-62500-P,33.29,,0.00310046,0.0028,2,1714260204121,299334177,136
3.3,,,,,3.3,sell,63402.17,BTC-29APR24-60000-P,53.69,,0.00075367,0.0006,3,1714260039727,299334043,122
0.9,,,,,0.9,buy,63410.56,BTC-29APR24-59000-P,64.57,,0.00056188,0.0005,3,1714260029884,299334013,58
0.1,,,,,0.1,sell,63418.79,BTC-17MAY24-63000-P,50.36,,0.04169531,0.0415,2,1714259853452,299333935,86
0.1,,,,,0.1,sell,63407.23,BTC-28APR24-65000-C,38.83,,0.00027143,0.0001,2,1714259788645,299333894,308
0.2,,,,,0.2,sell,63390.02,BTC-28APR24-63000-P,26.45,,0.0013098,0.0011,2,1714259716865,299333827,303
0.4,,,,,0.4,buy,63341.52,BTC-17MAY24-69000-C,51.87,,0.01799944,0.018,1,1714259679701,299333780,91
1.2,,,,,1.2,sell,63347.7,BTC-30APR24-73000-C,74.56,,0.00030023,0.0002,3,1714259636924,299333708,7
1.0,,,,,1.0,buy,63330.2,BTC-10MAY24-68000-C,51.9,,0.01369339,0.0135,3,1714259459931,299333545,509
0.1,,,,,0.1,sell,63308.56,BTC-10MAY24-72000-C,56.64,,0.00604822,0.006,3,1714259418841,299333477,580
0.6,,,,,0.6,sell,63309.55,BTC-3MAY24-73000-C,67.54,,0.00172534,0.0015,2,1714259324021,299333429,1136
0.1,,,,,0.1,sell,63299.5,BTC-10MAY24-84000-C,72.78,,0.00113114,0.001,2,1714259175198,299333358,117
1.3,,,,,1.3,sell,63288.51,BTC-3MAY24-61000-C,52.07,,0.04758934,0.0475,0,1714259125737,299333341,279
