amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,0.2,sell,67318.17,BTC-28JUN24-75000-C,52.03,,0.01098812,0.011,1,1718150383842,304971883,7830
0.1,,,,0.1,buy,67314.04,BTC-30AUG24-66000-P,55.32,,0.07890903,0.079,2,1718150376800,304971879,80
1.6,,,,1.6,buy,67314.04,BTC-30AUG24-54000-P,55.92,,0.02059218,0.021,1,1718150376772,304971875,121
0.8,,,,0.8,sell,67314.04,BTC-12JUN24-65500-P,57.0,,0.00041502,0.0004,1,1718150376342,304971872,35
0.1,,,,0.1,buy,67328.55,BTC-12JUN24-68500-C,41.46,,0.00046591,0.0005,1,1718150339279,304971850,294
0.3,,,,0.3,sell,67339.73,BTC-12JUN24-67500-C,33.3,,0.0029365,0.003,1,1718150299690,304971846,361
3.8,,,,3.8,buy,67340.12,BTC-14JUN24-65000-P,55.08,,0.0052379,0.005,3,1718150288897,304971833,1204
0.1,,,,0.1,sell,67350.16,BTC-30AUG24-105000-C,62.25,,0.01212492,0.012,1,1718150256605,304971827,166
3.8,,,,3.8,buy,67339.44,BTC-30AUG24-40000-P,63.1,,0.00288807,0.0027,2,1718150207612,304971817,188
20.0,,,,20.0,sell,67336.11,BTC-12JUN24-65000-P,65.98,,0.00025428,0.0003,2,1718150201799,304971816,302
2.1,,,,2.1,sell,67339.88,BTC-12JUN24-69500-C,55.24,,0.00017123,0.0002,3,1718150183786,304971798,233
0.1,,,,0.1,sell,67324.19,BTC-12JUN24-67000-P,32.11,,0.00204712,0.0019,2,1718150159382,304971779,295
0.6,,,,0.6,buy,67333.55,BTC-21JUN24-68000-C,48.63,,0.02810969,0.028,2,1718150100230,304971713,540
0.3,,,,0.3,buy,67358.41,BTC-30AUG24-60000-P,55.02,,0.04319527,0.043,3,1718150054468,304971687,104
0.1,,,,0.1,sell,67358.22,BTC-28JUN24-70000-P,49.9,,0.06148713,0.0615,2,1718150051173,304971686,2490
5.0,,,,5.0,sell,67341.97,BTC-12JUN24-70000-C,58.73,,0.00016739,0.0001,3,1718149955665,304971667,229
0.9,,,,0.9,buy,67341.17,BTC-26JUL24-120000-C,69.5,,0.00112102,0.0011,3,1718149941857,304971666,332
1.0,,,,1.0,buy,67338.36,BTC-26JUL24-72000-P,52.83,,0.10501709,0.1045,2,1718149935170,304971664,143
0.1,,,,0.1,buy,67338.06,BTC-21JUN24-70000-C,49.03,,0.01710799,0.017,2,1718149876614,304971657,659
0.1,,,,0.1,sell,67339.56,BTC-27SEP24-100000-C,63.29,,0.0306909,0.031,0,1718149866322,304971656,2103
