amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,buy,25776.99,BTC-8SEP23-26000-C,30.39,0.00609397,0.006,1,1693958054170,264154780,1694
0.1,,,,,buy,25780.58,BTC-15SEP23-26000-P,33.09,0.02517715,0.0255,0,1693958038063,264154772,398
0.1,,,,,sell,25780.65,BTC-29DEC23-32000-C,43.08,0.03052534,0.03,2,1693958034568,264154716,1002
0.3,,,,,sell,25780.65,BTC-29DEC23-31000-C,42.2,0.03624915,0.0355,2,1693958034557,264154715,810
0.1,,,,,sell,25787.59,BTC-15SEP23-31000-C,47.11,0.00028726,0.0002,3,1693957956446,264154706,238
0.4,,,,,sell,25786.35,BTC-6SEP23-26500-C,48.68,0.00027376,0.0002,2,1693957590010,264154657,214
0.3,,,,,sell,25791.74,BTC-7SEP23-26250-C,29.25,0.00152794,0.0015,3,1693957550138,264154636,87
5.2,,,,,sell,25791.22,BTC-29SEP23-27500-C,34.26,0.01248382,0.0125,1,1693957530499,264154632,507
1.5,,,,,buy,25791.43,BTC-8SEP23-27500-C,45.64,0.00048787,0.0006,0,1693957469049,264154629,1004
0.9,,,,,buy,25789.94,BTC-22SEP23-24500-P,37.94,0.01209878,0.012,3,1693957247239,264154617,157
2.0,,,,,sell,25790.16,BTC-7SEP23-27000-C,37.77,0.00020912,0.0002,3,1693957129554,264154593,24
0.1,,,,,sell,25783.05,BTC-6SEP23-25750-P,22.67,0.00257666,0.0022,2,1693957078028,264154572,131
0.7,,,,,sell,25776.66,BTC-29SEP23-25500-P,35.12,0.02886299,0.029,2,1693956957048,264154558,396
0.3,,,,,buy,25778.8,BTC-8SEP23-26000-P,31.36,0.01485919,0.015,3,1693956906679,264154528,1116
0.1,,,,,sell,25784.83,BTC-27OCT23-28000-C,36.38,0.02555904,0.0255,2,1693956772120,264154482,778
0.1,,,,,sell,25779.06,BTC-8SEP23-25000-P,41.06,0.00327513,0.0031,2,1693956581413,264154468,1510
