amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,,0.1,buy,105899.07,BTC-3JUN25-106000-C,27.57,,0.00293858,0.0029,1,1748908774979,369939585,483
0.3,,,,,,0.3,sell,105894.78,BTC-25JUL25-130000-C,45.28,,0.01198922,0.012,1,1748908750907,369939571,1247
2.0,,,,,,2.0,buy,105894.96,BTC-13JUN25-110000-C,37.87,,0.01127137,0.0115,0,1748908747971,369939570,558
0.1,,,,,,0.1,buy,105894.71,BTC-27JUN25-97000-P,42.24,,0.01131425,0.0115,3,1748908746959,369939569,1921
0.1,,,,,,0.1,sell,105895.78,BTC-6JUN25-99000-P,43.9,,0.00094503,0.0009,2,1748908737279,369939568,679
1.0,,,,,,1.0,sell,105901.45,BTC-5JUN25-110000-C,34.33,,0.00123197,0.0011,0,1748908705969,369939553,4
0.4,,,,,,0.4,buy,105902.34,BTC-27JUN25-120000-C,42.42,,0.00812627,0.008,1,1748908677526,369939537,8133
0.1,,,,BTC-PS-13JUN25-100000_95000,369939532,0.1,buy,105902.34,BTC-13JUN25-95000-P,44.5,,0.00199096,0.0022,0,1748908676893,369939533,471
0.1,,,,BTC-PS-13JUN25-100000_95000,369939532,0.1,sell,105902.34,BTC-13JUN25-100000-P,39.03,,0.00652608,0.0064,3,1748908676892,369939534,549
2.0,,,,,,2.0,sell,105916.89,BTC-3JUN25-104500-P,30.69,,0.00040472,0.0003,2,1748908618756,369939510,89
0.1,,,,,,0.1,sell,105927.45,BTC-20JUN25-118000-C,39.68,,0.00547944,0.005,1,1748908579234,369939499,93
0.1,,,,,,0.1,sell,105922.54,BTC-20JUN25-96000-P,42.34,,0.00623258,0.006,3,1748908569746,369939495,44
0.1,,,,,,0.1,buy,105916.28,BTC-29AUG25-140000-C,46.48,,0.0159876,0.016,1,1748908563067,369939493,185
0.1,,,,,,0.1,buy,105934.23,BTC-3JUN25-105500-P,28.11,,0.00182451,0.0017,3,1748908533107,369939480,40
0.1,,,,,,0.1,buy,105925.64,BTC-13JUN25-102000-P,39.34,,0.0104802,0.011,1,1748908502912,369939473,321
0.4,,,,,,0.4,sell,105913.46,BTC-25JUL25-108000-C,43.97,,0.06185204,0.062,0,1748908467679,369939454,920
0.1,,,,,,0.1,buy,105947.38,BTC-3JUN25-105000-P,33.01,,0.00079046,0.001,1,1748908424441,369939370,96
0.5,,,,,,0.5,sell,105938.97,BTC-3JUN25-103000-P,45.15,,7.621e-05,0.0001,3,1748908403298,369939328,317
1.4,,,,,,1.4,buy,105937.33,BTC-6JUN25-107000-C,35.66,,0.00934274,0.0095,1,1748908397176,369939326,780
0.2,,,,,,0.2,buy,105942.41,BTC-4JUN25-105000-C,36.0,,0.01349964,0.014,0,1748908390590,369939324,66
0.2,,,,,,0.2,buy,105942.11,BTC-4JUN25-107000-C,33.58,,0.0039819,0.0042,1,1748908379637,369939321,76
0.8,,,,,,0.8,buy,105935.96,BTC-4JUN25-106000-C,33.8,,0.00784068,0.008,1,1748908375742,369939319,67
0.2,,,,,,0.2,buy,105943.42,BTC-3JUN25-105500-C,33.21,,0.00607841,0.0065,0,1748908366968,369939305,132
0.3,,,,,,0.3,sell,105948.05,BTC-6JUN25-102000-P,39.29,,0.00274098,0.0029,2,1748908323102,369939297,922
0.3,,,,,,0.3,buy,105950.35,BTC-27JUN25-95000-P,43.31,,0.00820191,0.0085,3,1748908299022,369939294,4185
0.1,,,,,,0.1,buy,105953.9,BTC-26SEP25-120000-C,46.39,,0.0630761,0.064,1,1748908274904,369939283,2567
0.1,,,,,,0.1,sell,105952.11,BTC-6JUN25-104000-P,35.62,,0.00623725,0.006,2,1748908263819,369939281,1054
0.2,,,,,,0.2,sell,105953.09,BTC-26SEP25-90000-P,46.08,,0.03295372,0.0325,2,1748908257356,369939280,1132
