amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,sell,26006.95,BTC-8SEP23-25000-P,31.51,0.00848328,0.008,2,1693094385989,263563655,350
0.1,,,sell,26006.96,BTC-27AUG23-26250-C,18.02,0.00021786,0.0001,3,1693094383705,263563654,371
0.1,,,buy,26008.55,BTC-29SEP23-20000-P,52.32,0.00240227,0.0026,0,1693094353509,263563650,1780
1.4,,,buy,26008.3,BTC-29DEC23-33000-C,46.07,0.03437757,0.0345,2,1693094290618,263563636,1063
1.4,,,buy,26008.3,BTC-29DEC23-31000-C,44.07,0.04539585,0.0455,3,1693094276669,263563635,709
0.1,,,sell,26008.92,BTC-8SEP23-33000-C,53.58,0.00034881,0.0003,3,1693094208727,263563630,89
0.4,,,buy,26001.32,BTC-27OCT23-40000-C,56.44,0.00367156,0.0038,0,1693093777864,263563535,341
1.0,,,sell,25999.63,BTC-28AUG23-25000-P,37.93,0.00044443,0.0004,3,1693093666966,263563531,172
0.1,,,sell,26001.02,BTC-28AUG23-26250-C,17.46,0.00117757,0.0011,0,1693093631100,263563530,71
0.8,,,sell,26000.93,BTC-1SEP23-27000-C,30.82,0.00330381,0.0032,3,1693093606228,263563527,735
0.5,,,buy,26000.93,BTC-1SEP23-26500-C,28.42,0.00620676,0.0065,1,1693093606228,263563528,774
1.0,,,sell,26001.34,BTC-29SEP23-29000-C,35.74,0.01024143,0.01,3,1693093545428,263563523,2148
0.8,,,sell,26001.34,BTC-1SEP23-25000-P,32.79,0.00340278,0.0032,1,1693093539601,263563521,491
0.5,,,buy,26001.34,BTC-1SEP23-25500-P,29.95,0.00621984,0.0065,1,1693093539361,263563520,574
0.1,,,buy,25999.65,BTC-27OCT23-18000-P,56.2,0.0040513,0.0041,1,1693093479317,263563515,163
1.0,,,buy,25999.89,BTC-27OCT23-32000-C,45.03,0.01436664,0.0145,3,1693093421114,263563509,710
0.1,,,buy,26000.09,BTC-27OCT23-19000-P,52.72,0.0054806,0.0055,0,1693093377046,263563504,26
2.0,,,buy,26008.25,BTC-27AUG23-25750-P,21.78,6.671e-05,0.0002,1,1693093231164,263563493,161
20.0,,,buy,26010.04,BTC-29SEP23-32000-C,43.92,0.00394894,0.004,1,1693093118323,263563484,3607
0.1,,,sell,26008.85,BTC-1SEP23-22500-P,58.83,0.0005605,0.0005,3,1693092943564,263563442,67
0.1,,,sell,26008.93,BTC-27OCT23-28000-C,37.78,0.03602394,0.0355,2,1693092938165,263563440,321
0.1,,,buy,26006.42,BTC-1SEP23-27500-C,35.14,0.00197411,0.002,0,1693092760143,263563426,711
0.1,,,buy,26006.83,BTC-15SEP23-29000-C,34.04,0.00345046,0.0033,2,1693092621436,263563417,66
0.1,,,sell,26006.26,BTC-1SEP23-27500-P,36.19,0.05874587,0.059,0,1693092505652,263563412,218
2.0,,,sell,26005.57,BTC-8SEP23-27500-C,31.36,0.00571718,0.0055,3,1693092418119,263563406,369
0.2,,,buy,26001.76,BTC-1SEP23-26000-C,26.31,0.0129388,0.013,2,1693092088259,263563364,625
0.9,,,sell,25996.37,BTC-1SEP23-24000-P,44.82,0.00145362,0.0016,1,1693091837628,263563294,464
1.7,,,sell,25996.96,BTC-28AUG23-26500-C,19.76,0.00039199,0.0003,2,1693091828692,263563290,53
0.1,,,sell,25998.43,BTC-15SEP23-32000-C,45.55,0.00109607,0.0011,3,1693091702346,263563275,37
1.0,,,sell,25997.34,BTC-29SEP23-26000-C,31.2,0.03992797,0.0395,3,1693091644146,263563266,1536
0.2,,,sell,25992.11,BTC-29DEC23-23000-P,43.61,0.04363303,0.0435,1,1693091593887,263563261,520
0.3,,,buy,25992.0,BTC-29AUG23-26000-C,18.77,0.00628486,0.006,2,1693091578411,263563241,7
0.1,,,buy,25997.56,BTC-1SEP23-26000-P,26.27,0.01243204,0.0125,0,1693091572364,263563231,935
0.1,,,sell,25997.56,BTC-29AUG23-24500-P,43.24,0.00063257,0.0006,1,1693091567899,263563188,6
