amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,0.1,sell,66925.08,BTC-19MAY24-68000-C,36.93,0.00046216,0.0004,3,1716076770450,302016261,261
0.2,,,0.2,buy,66935.44,BTC-19MAY24-66500-C,25.92,0.00730136,0.0075,3,1716076753631,302016250,80
0.1,,,0.1,sell,66933.72,BTC-19MAY24-66000-P,29.13,0.00039471,0.0002,2,1716076668340,302016239,273
0.2,,,0.2,buy,66926.73,BTC-21MAY24-67500-C,40.45,0.00962173,0.0095,1,1716076512119,302016218,19
0.1,,,0.1,sell,66920.42,BTC-19MAY24-68500-C,42.99,0.00023765,0.0002,3,1716076480178,302016216,173
1.5,,,1.5,sell,66920.36,BTC-20MAY24-67000-C,34.49,0.00845087,0.008,3,1716076468053,302016215,59
0.1,,,0.1,sell,66934.3,BTC-28JUN24-65000-P,56.01,0.05423321,0.0535,2,1716076347456,302016158,1757
0.1,,,0.1,buy,66991.45,BTC-31MAY24-69000-P,48.52,0.05096409,0.0505,2,1716076199684,302016082,469
0.1,,,0.1,sell,67002.27,BTC-31MAY24-72000-P,51.66,0.08377262,0.084,2,1716076181989,302016077,245
3.4,,,3.4,sell,67008.05,BTC-19MAY24-67000-P,20.69,0.00292391,0.0024,2,1716076151759,302016076,157
0.1,,,0.1,sell,67003.9,BTC-31MAY24-67000-C,47.81,0.03746032,0.037,2,1716076035929,302016069,1673
0.1,,,0.1,sell,67013.28,BTC-31MAY24-64000-C,48.75,0.06434693,0.0645,1,1716076029326,302016068,1570
0.1,,,0.1,buy,67014.91,BTC-7JUN24-67000-P,51.04,0.04361821,0.0435,2,1716075917648,302016032,60
0.2,,,0.2,sell,67048.05,BTC-7JUN24-72000-C,52.71,0.02389644,0.0235,2,1716075715578,302015984,55
0.2,,,0.2,sell,67046.52,BTC-24MAY24-63000-P,48.79,0.00399367,0.004,3,1716075687798,302015982,506
0.1,,,0.1,sell,67046.52,BTC-31MAY24-64000-P,48.59,0.01546817,0.0155,3,1716075687784,302015981,1191
