amount,block_trade_id,block_trade_leg_count,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,0.2,sell,67724.09,BTC-3JUN24-71000-C,38.39,0.00019741,0.0002,3,1717286302222,303810473,73
0.1,,,0.1,sell,67724.09,BTC-7JUN24-68000-C,37.42,0.01789573,0.0175,2,1717286301858,303810466,603
0.3,,,0.3,buy,67712.55,BTC-14JUN24-75000-C,45.82,0.0053183,0.0055,3,1717286280041,303810445,341
0.1,,,0.1,sell,67710.38,BTC-28JUN24-68000-C,48.54,0.05511337,0.055,3,1717286150431,303810427,725
0.1,,,0.1,sell,67712.01,BTC-21JUN24-73000-C,46.75,0.01827983,0.018,2,1717286092846,303810404,121
7.5,,,7.5,sell,67712.01,BTC-4JUN24-66500-P,31.15,0.00324518,0.0031,2,1717286089928,303810403,32
0.2,,,0.2,buy,67706.89,BTC-7JUN24-74000-C,43.71,0.0011915,0.0012,0,1717285893887,303810329,1220
0.1,,,0.1,buy,67702.14,BTC-26JUL24-63000-P,53.64,0.042003,0.042,2,1717285835513,303810311,220
0.2,,,0.2,buy,67704.09,BTC-26JUL24-95000-C,58.45,0.00923347,0.0095,1,1717285704893,303810251,306
0.2,,,0.2,buy,67696.15,BTC-28JUN24-58000-P,51.98,0.00728225,0.0075,1,1717285635959,303810203,1815
0.1,,,0.1,buy,67711.29,BTC-4JUN24-68000-P,31.0,0.01174945,0.0115,2,1717285343207,303810101,4
0.2,,,0.2,buy,67711.29,BTC-28JUN24-54000-P,55.98,0.00310824,0.0033,1,1717285341683,303810100,897
0.3,,,0.3,sell,67716.76,BTC-7JUN24-61000-P,46.8,0.00071465,0.0006,2,1717285310830,303810094,371
0.1,,,0.1,sell,67716.43,BTC-3JUN24-68000-C,27.07,0.00504278,0.005,3,1717285012303,303810066,103
0.3,,,0.3,sell,67715.71,BTC-2JUN24-67500-P,14.64,0.00072451,0.0006,2,1717284903031,303810012,213
0.3,,,0.3,sell,67712.24,BTC-21JUN24-72000-C,46.86,0.0219731,0.022,3,1717284809656,303810002,51
0.3,,,0.3,sell,67713.11,BTC-21JUN24-66000-P,45.79,0.02739179,0.027,3,1717284715508,303809999,73
1.0,,,1.0,sell,67713.87,BTC-14JUN24-88000-C,59.56,0.00039127,0.0004,0,1717284707645,303809998,79
1.0,,,1.0,sell,67712.1,BTC-7JUN24-52000-P,82.33,0.00014493,0.0001,3,1717284658699,303809992,155
0.6,,,0.6,sell,67715.14,BTC-4JUN24-60000-P,61.45,3.421e-05,0.0001,1,1717284604980,303809974,1
0.1,,,0.1,sell,67717.83,BTC-3JUN24-71500-C,38.92,0.0001625,0.0001,3,1717284551840,303809953,45
0.1,,,0.1,buy,67723.27,BTC-14JUN24-64000-P,43.92,0.01007824,0.01,3,1717284523313,303809942,348
1.4,,,1.4,sell,67725.17,BTC-7JUN24-63000-P,43.19,0.00166732,0.0017,2,1717284457542,303809924,628
0.1,,,0.1,buy,67730.73,BTC-14JUN24-66000-P,43.6,0.01858075,0.0185,3,1717284344251,303809888,436
0.2,,,0.2,sell,67734.22,BTC-2JUN24-68500-C,25.4,0.00029125,0.0003,3,1717284309896,303809858,233
0.3,,,0.3,buy,67745.94,BTC-28MAR25-120000-C,69.06,0.10341089,0.1015,2,1717284165485,303809845,238
0.3,,,0.3,buy,67750.2,BTC-28MAR25-55000-P,65.28,0.09536777,0.093,1,1717284103539,303809844,96
0.2,,,0.2,buy,67748.83,BTC-14JUN24-78000-C,48.18,0.00255314,0.0026,0,1717284061443,303809840,347
0.1,,,0.1,sell,67752.45,BTC-26JUL24-61000-P,53.53,0.03239244,0.032,2,1717284051124,303809838,236
0.1,,,0.1,sell,67752.45,BTC-26JUL24-60000-P,53.73,0.02836822,0.028,2,1717284051053,303809837,314
6.1,,,6.1,sell,67756.21,BTC-2JUN24-69000-C,33.75,0.00024406,0.0002,3,1717283904747,303809817,186
0.1,,,0.1,sell,67761.81,BTC-4JUN24-66000-P,32.87,0.00195718,0.002,2,1717283271554,303809578,21
0.7,,,0.7,sell,67760.9,BTC-2JUN24-69500-C,39.0,0.00018322,0.0001,2,1717283192075,303809547,166
0.1,,,0.1,sell,67734.26,BTC-28JUN24-64000-P,48.67,0.02456993,0.0245,2,1717282512015,303809293,1227
0.4,,,0.4,buy,67743.79,BTC-7JUN24-70000-C,38.45,0.00749495,0.0075,3,1717282149750,303809171,1226
0.2,,,0.2,sell,67743.37,BTC-4JUN24-68500-C,31.44,0.00612565,0.006,1,1717281598669,303808996,50
0.1,,,0.1,sell,67743.93,BTC-7JUN24-64000-P,40.01,0.00263942,0.0025,3,1717281595049,303808995,634
0.2,,,0.2,sell,67737.29,BTC-28JUN24-42000-P,77.04,0.00050078,0.0005,3,1717281573054,303808984,942
0.1,,,0.1,sell,67737.08,BTC-3JUN24-69000-C,28.14,0.00138073,0.0014,3,1717281559274,303808979,81
0.1,,,0.1,sell,67732.49,BTC-28JUN24-29000-P,109.78,0.00011697,0.0001,2,1717281534349,303808967,523
0.5,,,0.5,sell,67737.5,BTC-28JUN24-28000-P,114.04,8.267e-05,0.0001,3,1717281511255,303808960,749
0.1,,,0.1,buy,67752.55,BTC-30AUG24-35000-P,68.79,0.00180289,0.0018,1,1717281461781,303808927,85
8.0,,,8.0,sell,67752.43,BTC-21JUN24-98000-C,59.05,0.00023691,0.0002,2,1717281441073,303808926,4
0.2,,,0.2,sell,67752.29,BTC-4JUN24-70000-C,31.76,0.00160172,0.0014,2,1717281417555,303808925,15
0.2,,,0.2,sell,67752.29,BTC-4JUN24-65000-P,33.99,0.00083554,0.0007,3,1717281417552,303808924,14
0.1,,,0.1,buy,67752.29,BTC-4JUN24-63000-P,47.8,0.00029611,0.0004,1,1717281417330,303808922,6
0.7,,,0.7,sell,67750.43,BTC-14JUN24-63000-P,44.06,0.00726761,0.007,2,1717281370062,303808914,310
0.1,,,0.1,sell,67751.69,BTC-7JUN24-80000-C,55.98,0.00022034,0.0002,1,1717281359415,303808908,555
0.7,,,0.7,buy,67751.87,BTC-14JUN24-74000-C,44.55,0.00707625,0.007,0,1717281353785,303808906,268
1.0,,,1.0,sell,67748.84,BTC-4JUN24-74000-C,44.62,0.00015494,0.0001,3,1717281342438,303808899,11
0.5,,,0.5,sell,67748.51,BTC-28JUN24-80000-C,50.25,0.00945458,0.009,2,1717281333701,303808896,6023
0.1,,,0.1,sell,67748.71,BTC-4JUN24-73000-C,42.19,0.00018188,0.0002,1,1717281327620,303808894,2
0.2,,,0.2,sell,67747.14,BTC-4JUN24-72000-C,39.51,0.00042201,0.0004,3,1717281310823,303808888,9
0.1,,,0.1,buy,67729.2,BTC-2JUN24-68000-C,22.22,0.00106426,0.0014,2,1717281243762,303808853,200
