amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,sell,27510.91,BTC-3OCT23-28000-C,37.68,0.00018693,0.0003,3,1696291192564,265895144,216
0.1,,,,buy,27510.06,BTC-20OCT23-30000-C,36.2,0.00581154,0.006,1,1696291191810,265895143,257
0.1,,,,sell,27511.56,BTC-24NOV23-19000-P,56.72,0.00313038,0.0028,2,1696291166080,265895097,162
0.9,,,,buy,27508.08,BTC-6OCT23-27000-P,34.2,0.00583433,0.0055,3,1696291160793,265895089,646
0.5,,,,buy,27515.96,BTC-28JUN24-70000-C,67.93,0.02403525,0.024,2,1696291149776,265895055,120
1.3,,,,buy,27531.46,BTC-20OCT23-26000-P,35.5,0.00955573,0.0095,0,1696291110213,265894981,183
1.0,,,,buy,27533.31,BTC-3OCT23-27750-C,30.04,0.00098595,0.001,2,1696291106602,265894975,149
0.2,,,,buy,27569.9,BTC-3OCT23-28250-P,0.0,0.02486944,0.0245,0,1696290982763,265894699,156
0.5,,,,buy,27576.62,BTC-29DEC23-28000-C,40.36,0.07757787,0.0775,2,1696290957707,265894651,1460
2.0,,,,sell,27598.08,BTC-3OCT23-27500-C,29.43,0.00581886,0.0055,2,1696290924397,265894573,274
0.4,,,,buy,27596.96,BTC-4OCT23-27750-P,31.46,0.01065553,0.0105,0,1696290912591,265894542,106
0.9,,,,sell,27597.26,BTC-29DEC23-29000-C,40.73,0.06363168,0.0635,2,1696290911203,265894541,1349
0.1,,,,buy,27601.0,BTC-3OCT23-27750-P,32.79,0.00667369,0.007,2,1696290909219,265894527,229
0.5,,,,sell,27607.9,BTC-4OCT23-27500-C,33.87,0.01036506,0.0105,1,1696290905078,265894488,97
1.3,,,,buy,27622.11,BTC-29DEC23-35000-C,45.95,0.02113101,0.021,0,1696290753663,265894354,2355
0.8,,,,sell,27622.11,BTC-20OCT23-28500-C,33.28,0.01681653,0.017,0,1696290753581,265894353,444
0.1,,,,sell,27620.72,BTC-3OCT23-27500-P,29.61,0.00208962,0.0018,2,1696290728181,265894340,166
0.9,,,,sell,27611.09,BTC-3OCT23-26500-P,62.36,9.54e-05,0.0001,3,1696290708079,265894322,87
0.1,,,,sell,27614.13,BTC-4OCT23-28000-C,31.87,0.00295784,0.0028,2,1696290614118,265894296,96
0.1,,,,buy,27617.37,BTC-5OCT23-27750-P,30.41,0.0123605,0.012,2,1696290578466,265894203,32
0.7,,,,buy,27617.0,BTC-13OCT23-28000-P,32.87,0.02872741,0.029,3,1696290543905,265894197,145
1.6,,,,buy,27617.0,BTC-13OCT23-26000-P,36.7,0.00503611,0.005,3,1696290543895,265894196,410
0.1,,,,sell,27616.43,BTC-13OCT23-31000-C,40.48,0.00152823,0.0014,3,1696290524409,265894194,295
0.4,,,,buy,27615.15,BTC-13OCT23-28000-C,32.85,0.01623862,0.0165,1,1696290522512,265894184,665
0.1,,,,sell,27608.74,BTC-5OCT23-27750-C,29.82,0.00802343,0.0075,0,1696290465886,265894151,20
1.3,,,,buy,27601.6,BTC-20OCT23-28000-C,32.68,0.02289339,0.023,0,1696290312138,265894093,360
1.1,,,,sell,27607.05,BTC-29DEC23-27000-P,40.5,0.06152046,0.0615,2,1696290257857,265894059,1284
5.0,,,,buy,27607.05,BTC-6OCT23-28500-C,35.45,0.00322673,0.0034,1,1696290257585,265894058,1148
0.8,,,,buy,27606.68,BTC-3OCT23-27250-P,38.59,0.0006895,0.0008,2,1696290247360,265894054,170
1.0,,,,buy,27612.59,BTC-3OCT23-27000-P,45.11,0.00021662,0.0003,2,1696290235255,265894030,321
0.1,,,,sell,27604.33,BTC-4OCT23-27000-P,36.8,0.00199293,0.0018,2,1696290211577,265894018,164
0.8,,,,sell,27592.42,BTC-27OCT23-27000-P,33.51,0.02283896,0.023,3,1696290095872,265893957,1497
0.1,,,,buy,27585.81,BTC-6OCT23-27500-C,33.91,0.01451475,0.015,0,1696289951924,265893811,1258
0.5,,,,buy,27582.54,BTC-20OCT23-27500-C,32.54,0.0310067,0.031,0,1696289837418,265893669,140
1.0,,,,buy,27588.03,BTC-5OCT23-27250-P,31.51,0.00519055,0.0049,0,1696289831302,265893660,3
0.8,,,,buy,27587.41,BTC-29DEC23-26000-P,40.87,0.04718629,0.047,1,1696289826988,265893656,1569
0.1,,,,sell,27574.04,BTC-4OCT23-27250-P,35.79,0.0036626,0.0039,2,1696289787727,265893503,69
0.1,,,,buy,27557.76,BTC-24NOV23-23000-P,44.31,0.00989198,0.01,1,1696289717797,265893447,599
9.4,,,,buy,27571.84,BTC-27OCT23-24000-P,43.22,0.00506542,0.005,1,1696289704472,265893377,2044
1.0,,,,sell,27566.86,BTC-6OCT23-27500-P,32.99,0.01080748,0.011,2,1696289574878,265893338,309
7.6,,,,buy,27566.94,BTC-20OCT23-32000-C,41.31,0.0020264,0.0021,2,1696289556242,265893318,82
0.1,,,,sell,27561.34,BTC-3OCT23-28250-C,44.01,0.00030017,0.0002,2,1696289524735,265893297,95
