amount,block_trade_id,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,sell,26719.9,BTC-27MAY23-26750-C,29.21,0.00325917,0.003,3,1685145505420,256002438,276
0.5,,,,sell,26720.15,BTC-27MAY23-27000-C,28.83,0.00092974,0.0005,3,1685145497175,256002437,327
0.1,,,,sell,26719.88,BTC-27MAY23-26250-P,42.72,0.00070232,0.0005,3,1685145490110,256002436,227
0.1,,,,sell,26721.61,BTC-28MAY23-27000-C,31.26,0.00342696,0.0035,1,1685145418977,256002431,112
0.1,,,,sell,26720.77,BTC-29MAY23-28500-C,44.28,0.00072243,0.0005,3,1685145343610,256002430,33
0.1,,,,buy,26727.24,BTC-28MAY23-28000-C,44.9,0.00017186,0.0005,3,1685144839775,256002343,52
0.1,,,,sell,26728.78,BTC-9JUN23-28000-C,38.29,0.01249506,0.012,2,1685144821498,256002337,272
0.6,,,,sell,26725.05,BTC-9JUN23-24500-P,45.72,0.00742588,0.007,0,1685144635944,256002292,216
2.0,,,,buy,26719.07,BTC-28JUL23-30000-C,42.11,0.02786263,0.0285,1,1685144389027,256002269,584
0.1,,,,sell,26719.37,BTC-2JUN23-28000-C,38.31,0.00550001,0.005,2,1685144386423,256002268,978
0.1,,,,sell,26721.47,BTC-28MAY23-27250-C,27.38,0.00137912,0.001,2,1685144193577,256002251,79
10.0,,,,buy,26725.68,BTC-29MAY23-25500-P,40.09,0.00075169,0.001,3,1685144125272,256002229,39
1.0,,,,sell,26726.4,BTC-2JUN23-27500-C,37.73,0.00933461,0.009,3,1685144116897,256002227,1100
0.3,,,,buy,26727.72,BTC-16JUN23-29000-C,41.25,0.0114326,0.0115,2,1685144111674,256002213,101
0.4,,,,buy,26721.17,BTC-28MAY23-26250-P,38.28,0.00293496,0.003,1,1685144102844,256002193,80
0.1,,,,buy,26712.11,BTC-27MAY23-26750-P,30.39,0.00442665,0.0045,1,1685144027042,256002156,75
1.1,,,,sell,26712.17,BTC-9JUN23-24000-P,48.84,0.00549423,0.0055,1,1685143995028,256002141,340
0.1,,,,buy,26712.16,BTC-29MAY23-25750-P,36.98,0.0014502,0.0015,0,1685143992624,256002139,23
30.1,,,,sell,26712.16,BTC-28MAY23-26500-P,34.83,0.00475479,0.005,1,1685143992248,256002135,78
0.2,,,,sell,26708.93,BTC-16JUN23-24000-P,47.39,0.0094749,0.0095,1,1685143806599,256002118,71
