amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,sell,26122.65,BTC-29SEP23-31000-C,42.64,,0.00896607,0.0085,2,1692662367203,263246571,2863
3.4,,,,,sell,26117.11,BTC-25AUG23-27000-C,39.21,,0.00402329,0.004,3,1692662051675,263246536,1493
0.1,,,,,sell,26117.05,BTC-22AUG23-26500-C,36.47,,0.00041819,0.0005,1,1692662032103,263246533,161
0.1,,,,,sell,26117.05,BTC-22AUG23-27000-C,51.69,,0.00014649,0.0001,3,1692662032101,263246532,165
0.3,,,,,sell,26117.94,BTC-25AUG23-26500-C,36.35,,0.00825741,0.008,3,1692662007048,263246522,447
0.3,,,,,sell,26128.37,BTC-23AUG23-27000-C,40.87,,0.00102171,0.0011,2,1692661764035,263246499,76
0.3,,,,,buy,26131.18,BTC-23AUG23-25750-P,39.59,,0.00387915,0.0039,0,1692661739061,263246496,42
0.1,,,,,sell,26140.7,BTC-8SEP23-28500-C,39.79,,0.00831402,0.008,2,1692661518813,263246452,234
0.8,,,,,buy,26140.94,BTC-29SEP23-28000-C,37.78,,0.02428813,0.0245,3,1692661509145,263246449,1589
4.2,,,,,buy,26138.78,BTC-25AUG23-28000-C,45.39,,0.00109643,0.0011,2,1692661496344,263246432,1049
0.1,,,,,buy,26137.36,BTC-25AUG23-30000-C,64.55,,0.00023472,0.0003,2,1692661477359,263246430,5333
2.0,,,,,sell,26121.83,BTC-8SEP23-35000-C,61.09,,0.00084794,0.0008,2,1692661158580,263246409,46
0.4,,,,,sell,26121.83,BTC-25AUG23-28500-C,48.77,,0.00067314,0.0006,3,1692661158054,263246408,680
0.5,,,,,sell,26121.77,BTC-24AUG23-25750-P,39.07,,0.00671591,0.0065,1,1692661150702,263246407,20
1.0,,,,,buy,26123.88,BTC-25AUG23-30000-P,0.0,,0.14817285,0.1475,0,1692661138837,263246405,2090
0.1,,,,,buy,26133.98,BTC-1SEP23-25500-P,40.52,,0.01572383,0.016,2,1692660878208,263246370,294
0.4,,,,,buy,26134.87,BTC-1SEP23-25000-P,43.3,,0.01123446,0.0115,0,1692660819939,263246367,223
0.1,,,,,buy,26135.7,BTC-23AUG23-26000-C,35.57,,0.01177922,0.0115,3,1692660728153,263246364,60
0.1,,,,,sell,26128.52,BTC-24AUG23-24000-P,63.97,,0.00110807,0.001,2,1692660702045,263246357,16
1.0,,,,,buy,26128.31,BTC-29MAR24-37000-C,48.45,,0.0481102,0.049,3,1692660698787,263246356,108
0.5,,,,,sell,26124.52,BTC-25AUG23-35000-C,109.75,,0.00014165,0.0001,3,1692660524298,263246305,1804
0.1,,,,,sell,26126.92,BTC-1SEP23-29000-C,43.52,,0.00301897,0.0028,2,1692660464733,263246245,374
1.0,,,,,buy,26127.24,BTC-22AUG23-25000-P,76.67,,0.00010585,0.0003,0,1692660407517,263246218,60
0.3,,,,,sell,26132.21,BTC-25AUG23-30500-C,67.45,,0.00030574,0.0002,2,1692660319592,263246205,488
5.9,,,,,sell,26132.17,BTC-23AUG23-26750-C,36.3,,0.00191274,0.0017,2,1692660302427,263246195,56
0.3,,,,,sell,26132.15,BTC-25AUG23-31500-C,79.57,,0.00029653,0.0002,2,1692660297651,263246194,369
0.1,,,,,sell,26132.66,BTC-25AUG23-25500-P,40.33,,0.006302,0.006,2,1692660273170,263246191,381
0.1,,,,,sell,26132.66,BTC-25AUG23-32500-C,91.08,,0.00020552,0.0002,2,1692660273063,263246190,116
0.3,,,,,sell,26133.82,BTC-25AUG23-31000-C,73.55,,0.00020553,0.0002,3,1692660244250,263246188,4673
16.8,,,,,sell,26134.22,BTC-25AUG23-33000-C,96.58,,0.00024409,0.0002,2,1692660232077,263246184,2441
0.3,,,,,sell,26134.12,BTC-25AUG23-32000-C,85.34,,0.00030089,0.0002,3,1692660226793,263246181,4541
0.3,,,,,sell,26132.76,BTC-25AUG23-21000-P,105.84,,0.00055036,0.0005,1,1692660208322,263246176,859
0.1,,,,,sell,26135.46,BTC-25AUG23-23000-P,73.51,,0.00110518,0.0009,2,1692660183555,263246175,1767
0.5,,,,,buy,26135.59,BTC-1SEP23-24500-P,46.64,,0.00827367,0.0085,0,1692660179867,263246164,187
0.1,,,,,sell,26135.51,BTC-25AUG23-24000-P,61.23,,0.00183026,0.0018,2,1692660165250,263246109,1618
0.4,,,,,sell,26146.24,BTC-25AUG23-29000-C,52.59,,0.00051702,0.0004,3,1692660040628,263246079,2876
0.1,,,,,sell,26145.65,BTC-22AUG23-26000-C,32.96,,0.00706055,0.0075,1,1692660022325,263246077,152
2.7,,,,,sell,26146.71,BTC-8SEP23-29000-C,40.83,,0.0064826,0.006,2,1692659988311,263246075,156
0.9,,,,,buy,26147.04,BTC-27OCT23-24000-P,40.41,,0.02990946,0.0295,2,1692659959105,263246072,222
2.0,,,,,buy,26146.82,BTC-29SEP23-22000-P,48.29,,0.00915934,0.009,3,1692659958147,263246071,1266
