amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,0.2,sell,43455.94,BTC-28DEC23-42250-C,67.84,0.02857415,0.029,0,1703721526590,276884380,60
1.0,,,,1.0,buy,43450.65,BTC-26JAN24-45000-C,61.53,0.06049084,0.0605,0,1703721513975,276884378,889
0.5,,,,0.5,sell,43450.84,BTC-12JAN24-50000-C,69.38,0.01451544,0.0145,1,1703721513711,276884377,573
0.2,,,,0.2,buy,43442.81,BTC-28DEC23-43000-C,41.54,0.01205651,0.012,2,1703721508403,276884369,209
0.1,,,,0.1,sell,43435.43,BTC-12JAN24-49000-C,68.61,0.01807922,0.018,1,1703721483055,276884336,447
0.2,,,,0.2,buy,43418.93,BTC-30DEC23-49000-C,73.21,0.00040093,0.0005,1,1703721389693,276884244,4
0.1,,,,0.1,sell,43415.67,BTC-12JAN24-51000-C,70.07,0.01170692,0.0115,3,1703721347598,276884238,251
0.1,,,,0.1,sell,43424.49,BTC-28DEC23-41500-P,68.44,0.00012462,0.0001,3,1703721318311,276884220,95
0.6,,,,0.6,sell,43417.14,BTC-12JAN24-44000-C,65.6,0.05134339,0.0515,3,1703721316813,276884211,455
1.9,,,,1.9,sell,43416.13,BTC-29DEC23-45000-C,51.86,0.00255308,0.0023,2,1703721251343,276884206,11653
0.1,,,,0.1,buy,43405.76,BTC-28DEC23-43000-P,39.88,0.00160996,0.0014,2,1703721224926,276884190,132
1.0,,,,1.0,sell,43432.44,BTC-29MAR24-50000-C,60.4,0.07969074,0.08,1,1703721152579,276884123,3243
1.0,,,,1.0,sell,43434.25,BTC-29MAR24-38000-P,60.28,0.04963918,0.0495,2,1703721137601,276884122,226
1.0,,,,1.0,buy,43451.5,BTC-26JAN24-46000-C,61.94,0.05200006,0.052,2,1703721065891,276884047,1424
0.1,,,,0.1,buy,43406.44,BTC-29MAR24-45000-C,59.28,0.11905783,0.119,0,1703721048302,276884028,2441
0.1,,,,0.1,sell,43393.06,BTC-28DEC23-43250-P,36.27,0.0032628,0.0028,2,1703721033925,276884002,122
0.1,,,,0.1,buy,43397.01,BTC-29DEC23-40000-P,75.85,0.00051688,0.0006,1,1703721023389,276883990,4103
0.5,,,,0.5,buy,43397.7,BTC-28DEC23-43500-C,42.29,0.00404473,0.0043,1,1703721018897,276883989,236
0.1,,,,0.1,sell,43391.22,BTC-30DEC23-42250-P,50.52,0.0056519,0.0055,1,1703720975321,276883952,59
0.1,,,,0.1,buy,43389.76,BTC-5JAN24-46000-C,51.94,0.01191561,0.012,3,1703720933392,276883921,478
2.0,,,,2.0,buy,43376.9,BTC-29DEC23-39000-P,88.18,0.0003437,0.0004,3,1703720886595,276883880,2581
1.0,,,,1.0,sell,43395.69,BTC-29DEC23-47000-C,74.22,0.00081294,0.0008,2,1703720849689,276883841,1380
0.1,,,,0.1,sell,43387.4,BTC-30DEC23-42000-P,51.15,0.00457344,0.0044,0,1703720831043,276883832,33
0.1,,,,0.1,buy,43388.15,BTC-5JAN24-44500-C,50.04,0.02165344,0.0215,2,1703720786772,276883795,318
0.1,,,,0.1,sell,43407.56,BTC-28DEC23-42750-C,0.0,0.01663927,0.0155,2,1703720758158,276883753,180
1.0,,,,1.0,buy,43446.88,BTC-28DEC23-43500-P,37.98,0.00534888,0.005,3,1703720710996,276883711,82
1.0,,,,1.0,buy,43442.13,BTC-26JAN24-51000-C,64.72,0.02353303,0.024,1,1703720693737,276883694,460
2.0,,,,2.0,buy,43437.29,BTC-29DEC23-39500-P,83.14,0.00039567,0.0005,3,1703720580916,276883633,712
1.0,,,,1.0,sell,43439.71,BTC-29DEC23-41500-P,57.08,0.00147207,0.0013,2,1703720561834,276883631,1117
1.1,,,,1.1,buy,43428.4,BTC-23FEB24-44000-P,59.83,0.08807102,0.088,2,1703720538222,276883625,148
4.0,,,,4.0,buy,43422.56,BTC-29DEC23-47500-C,79.66,0.00059609,0.0007,0,1703720534701,276883614,579
0.1,,,,0.1,sell,43422.07,BTC-28DEC23-43750-C,44.68,0.00246312,0.0027,2,1703720484881,276883582,181
0.5,,,,0.5,sell,43421.14,BTC-12JAN24-44000-P,65.11,0.05569383,0.0555,1,1703720358475,276883529,129
2.0,,,,2.0,buy,43424.35,BTC-30DEC23-38000-P,73.59,0.00018782,0.0002,2,1703720319678,276883517,26
0.1,,,,0.1,sell,43417.85,BTC-28DEC23-45500-C,74.85,7.195e-05,0.0002,1,1703720309653,276883512,64
0.1,,,,0.1,buy,43396.19,BTC-28JUN24-44000-P,59.76,0.1415824,0.1415,2,1703720197998,276883431,27
