amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.8,,,,buy,41234.3,BTC-26JAN24-44000-C,53.57,,0.05357083,0.054,3,1702339176718,274951074,1111
0.8,,,,sell,41232.06,BTC-29DEC23-44000-C,50.38,,0.02161297,0.021,3,1702339157717,274951062,3291
0.1,,,,buy,41239.82,BTC-29DEC23-41500-P,50.3,,0.04432942,0.044,2,1702339132283,274951020,45
0.1,,,,sell,41238.05,BTC-15DEC23-47000-C,72.5,,0.00092614,0.0009,2,1702339124232,274951019,926
0.5,,,,sell,41246.21,BTC-13DEC23-41500-C,51.84,,0.01053246,0.01,3,1702339089917,274951010,24
0.5,,,,sell,41246.41,BTC-12DEC23-42000-C,51.86,,0.00121124,0.001,3,1702339082866,274951008,124
0.6,,,,sell,41241.44,BTC-12DEC23-42250-C,55.71,,0.00080095,0.0006,3,1702339029904,274950997,162
0.1,,,,sell,41247.27,BTC-13DEC23-40000-P,58.53,,0.00389473,0.0036,2,1702339002657,274950955,86
1.0,,,,buy,41201.29,BTC-13DEC23-42750-C,57.02,,0.00236707,0.0026,2,1702338897222,274950851,45
1.0,,,,buy,41186.41,BTC-29DEC23-33000-C,72.42,,0.20738656,0.208,2,1702338896668,274950850,2717
1.0,,,,buy,41186.02,BTC-15DEC23-43500-C,57.46,,0.00489482,0.005,0,1702338890162,274950802,475
5.0,,,,sell,41194.31,BTC-14DEC23-46000-C,66.15,,0.00057968,0.0004,2,1702338867160,274950785,7
1.9,,,,buy,41185.67,BTC-14DEC23-36000-P,88.46,,0.00089856,0.0007,3,1702338855743,274950782,4
0.1,,,,buy,41175.62,BTC-29DEC23-40000-P,51.43,,0.02919292,0.029,0,1702338848310,274950774,2576
3.0,,,,buy,41165.26,BTC-13DEC23-44000-C,59.7,,0.00060835,0.0005,0,1702338844628,274950741,60
5.0,,,,sell,41165.14,BTC-13DEC23-37500-P,81.06,,0.00069769,0.0005,2,1702338841453,274950740,16
0.1,,,,buy,41168.65,BTC-14DEC23-40000-P,59.25,,0.00768498,0.0075,3,1702338827095,274950722,30
5.0,,,,sell,41169.35,BTC-13DEC23-44250-C,58.65,,0.00048031,0.0003,2,1702338822995,274950721,99
2.0,,,,sell,41169.72,BTC-13DEC23-43750-C,57.3,,0.00076474,0.0006,2,1702338818628,274950718,58
5.0,,,,sell,41169.13,BTC-13DEC23-44500-C,58.9,,0.00038291,0.0002,2,1702338816218,274950717,112
5.0,,,,buy,41172.89,BTC-13DEC23-44750-C,62.43,,0.00030916,0.0002,2,1702338808362,274950711,34
3.0,,,,sell,41202.05,BTC-13DEC23-43500-C,56.76,,0.0010567,0.0009,2,1702338796079,274950678,116
2.2,,,,sell,41211.68,BTC-13DEC23-45000-C,65.45,,0.00030422,0.0002,3,1702338792544,274950632,95
1.3,,,,sell,41213.29,BTC-13DEC23-37000-P,84.62,,0.00048655,0.0003,3,1702338766380,274950626,5
0.3,,,,buy,41212.85,BTC-12DEC23-43000-C,63.52,,0.00017467,0.0001,3,1702338759374,274950622,175
3.0,,,,sell,41212.07,BTC-12DEC23-39500-P,71.26,,0.00032814,0.0002,3,1702338744465,274950613,105
0.5,,,,sell,41200.09,BTC-14DEC23-39500-P,63.59,,0.00536525,0.0055,3,1702338687187,274950589,10
1.0,,,,sell,41183.47,BTC-12DEC23-41750-C,52.47,,0.00174762,0.0018,2,1702338605542,274950479,68
0.1,,,,buy,41186.47,BTC-12DEC23-40750-P,55.8,,0.00243015,0.0027,2,1702338596421,274950450,6
1.0,,,,buy,41195.5,BTC-12DEC23-41000-P,48.27,,0.00379196,0.0037,2,1702338590804,274950449,165
0.4,,,,sell,41207.7,BTC-12DEC23-41250-C,48.57,,0.00556124,0.0055,3,1702338561918,274950410,95
0.1,,,,sell,41216.95,BTC-13DEC23-39000-P,66.83,,0.00175463,0.0015,2,1702338401806,274950292,18
0.1,,,,buy,41253.84,BTC-26JAN24-56000-C,62.43,,0.0106856,0.011,0,1702338333810,274950199,333
0.6,,,,buy,41261.44,BTC-14DEC23-43250-C,55.66,,0.00374764,0.0036,0,1702338279556,274950121,47
0.1,,,,buy,41251.16,BTC-29DEC23-47000-C,55.34,,0.00964935,0.01,0,1702338160445,274950049,563
0.3,,,,buy,41249.8,BTC-29MAR24-46000-P,56.32,,0.17156883,0.1715,0,1702338131139,274950036,13
0.2,,,,sell,41236.28,BTC-29DEC23-42000-P,50.63,,0.05110388,0.051,2,1702338104990,274950025,998
1.0,,,,sell,41235.45,BTC-13DEC23-40750-P,55.23,,0.00826677,0.008,3,1702338096087,274950009,43
5.0,,,,sell,41234.03,BTC-22DEC23-44500-C,52.17,,0.01084936,0.0105,3,1702338092913,274950006,384
2.7,,,,buy,41233.93,BTC-23FEB24-40000-P,53.34,,0.06932668,0.0695,0,1702338089913,274950004,66
0.3,,,,buy,41233.93,BTC-23FEB24-50000-P,55.62,,0.22587524,0.226,0,1702338089913,274950005,9
1.0,,,,sell,41233.7,BTC-23FEB24-50000-C,55.9,,0.03944797,0.04,0,1702338081040,274950002,152
0.3,,,,buy,41172.81,BTC-29DEC23-36000-P,60.28,,0.00854385,0.009,2,1702338001149,274949918,2674
0.1,,,,sell,41172.12,BTC-26JAN24-34000-P,57.2,,0.01460334,0.0145,3,1702337992149,274949895,614
0.1,,,,sell,41181.35,BTC-22DEC23-50000-C,63.7,,0.00191894,0.0018,3,1702337940767,274949862,519
0.2,,,,buy,41194.49,BTC-15DEC23-40500-P,58.22,,0.01391295,0.014,1,1702337868795,274949743,704
1.2,,,,buy,41210.84,BTC-12DEC23-40500-P,57.65,,0.00128239,0.0015,1,1702337800829,274949605,206
0.1,,,,sell,41229.79,BTC-14DEC23-43500-C,57.27,,0.00306308,0.003,0,1702337766183,274949552,38
0.1,,,,buy,41231.51,BTC-15DEC23-41500-P,56.33,,0.02393104,0.024,2,1702337765843,274949551,761
2.1,,,,sell,41237.23,BTC-12DEC23-40000-P,68.66,,0.0005238,0.0007,1,1702337761875,274949522,261
0.3,,,,sell,41238.02,BTC-13DEC23-38500-P,71.74,,0.00118656,0.001,3,1702337741139,274949519,26
5.0,,,,buy,41237.78,BTC-26JAN24-30000-P,66.67,,0.00687007,0.007,3,1702337616139,274949416,821
2.7,,,,buy,41238.21,BTC-29DEC23-39000-C,53.27,,0.08068403,0.081,2,1702337600798,274949412,3426
1.9,,,,buy,41230.89,BTC-14DEC23-41750-C,54.58,,0.01271964,0.0125,3,1702337590157,274949393,19
3.9,,,,sell,41220.87,BTC-15DEC23-45000-C,62.97,,0.00208185,0.0022,1,1702337576151,274949385,1678
1.0,,,,buy,41181.9,BTC-15DEC23-41000-P,56.24,,0.01872052,0.0185,0,1702337409311,274949295,822
1.0,,,,buy,41178.81,BTC-22DEC23-41000-P,52.33,,0.03053322,0.031,0,1702337397532,274949285,240
0.1,,,,sell,41184.66,BTC-29DEC23-37000-P,55.87,,0.01125513,0.011,3,1702337337427,274949269,2313
0.5,,,,sell,41168.68,BTC-12DEC23-41000-C,49.29,,0.00854653,0.0085,2,1702337298053,274949259,111
1.6,,,,sell,41169.71,BTC-22DEC23-58000-C,82.51,,0.00041052,0.0004,3,1702337296610,274949258,36
1.0,,,,sell,41184.48,BTC-26JAN24-22000-P,91.34,,0.00207963,0.002,1,1702337237996,274949225,99
0.2,,,,sell,41180.25,BTC-26JAN24-31000-P,63.26,,0.00824616,0.008,3,1702337218774,274949207,608
0.4,,,,buy,41173.51,BTC-15DEC23-41500-C,56.05,,0.01845957,0.0185,1,1702337211248,274949200,490
0.3,,,,buy,41170.59,BTC-23FEB24-24000-P,75.2,,0.00483065,0.005,1,1702337114526,274949078,78
2.6,,,,sell,41201.29,BTC-12DEC23-42750-C,60.8,,0.00028029,0.0002,3,1702337019929,274948954,253
1.0,,,,sell,41204.69,BTC-22DEC23-41500-C,51.39,,0.03305533,0.033,1,1702337010250,274948952,162
1.0,,,,buy,41203.29,BTC-29DEC23-40500-C,50.91,,0.0562055,0.056,1,1702336988241,274948947,8
0.5,,,,sell,41211.46,BTC-13DEC23-41000-C,54.98,,0.01667121,0.0165,0,1702336984584,274948942,33
2.0,,,,sell,41212.87,BTC-14DEC23-48000-C,79.16,,0.00022744,0.0002,3,1702336967863,274948905,5
19.0,,,,sell,41221.13,BTC-14DEC23-48500-C,77.37,,0.00020416,0.0001,3,1702336956476,274948895,4
1.1,,,,buy,41208.22,BTC-26JAN24-40000-C,52.26,,0.09577299,0.0955,1,1702336928981,274948876,919
0.3,,,,sell,41184.98,BTC-22DEC23-40000-P,51.97,,0.02092683,0.0205,3,1702336921378,274948854,428
1.9,,,,buy,41175.06,BTC-29DEC23-42000-C,51.14,,0.03762733,0.038,2,1702336889830,274948815,2694
1.1,,,,buy,41210.3,BTC-29DEC23-42500-C,51.22,,0.0330116,0.0335,0,1702336837543,274948728,57
1.0,,,,sell,41206.34,BTC-15DEC23-40000-P,58.98,,0.01033471,0.01,0,1702336828268,274948725,1138
0.9,,,,sell,41218.69,BTC-12DEC23-42500-C,59.04,,0.00051729,0.0004,3,1702336816670,274948647,171
0.1,,,,sell,41211.4,BTC-23FEB24-47000-C,54.46,,0.05548207,0.055,3,1702336735396,274948624,86
0.1,,,,sell,41183.24,BTC-22DEC23-31500-P,82.93,,0.00132937,0.0012,3,1702336551645,274948516,98
2.2,,,,sell,41191.57,BTC-22DEC23-57000-C,78.75,,0.00050154,0.0004,3,1702336294966,274948143,49
0.6,,,,buy,41182.11,BTC-23FEB24-48000-C,54.87,,0.04889777,0.049,3,1702336291393,274948141,97
0.3,,,,buy,41182.11,BTC-26JAN24-46000-C,53.97,,0.03886875,0.039,2,1702336291149,274948139,928
0.1,,,,sell,41167.63,BTC-12DEC23-41500-C,50.25,,0.00321871,0.0032,3,1702336242186,274948057,123
21.0,,,,sell,41196.25,BTC-22DEC23-60000-C,82.87,,0.00025687,0.0002,0,1702336196650,274947921,37
0.7,,,,buy,41189.39,BTC-12DEC23-41250-P,46.04,,0.00701456,0.0065,1,1702336152746,274947908,107
0.1,,,,sell,41169.57,BTC-15DEC23-37500-P,70.72,,0.00262664,0.0024,2,1702336074514,274947688,568
0.1,,,,buy,41181.33,BTC-26JAN24-41000-P,52.38,,0.06410138,0.064,2,1702335995587,274947649,386
1.0,,,,buy,41180.82,BTC-26JAN24-45000-C,53.58,,0.04526347,0.0455,2,1702335979243,274947601,387
