amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,sell,28330.26,BTC-19OCT23-28000-P,31.48,0.00054585,0.0005,3,1697673587917,267192211,400
4.0,,,,buy,28329.34,BTC-29DEC23-28000-P,38.76,0.05803851,0.0575,3,1697673545378,267192206,1171
0.7,,,,buy,28330.19,BTC-29MAR24-34000-C,48.31,0.06821338,0.0685,2,1697672994308,267192140,343
2.8,,,,sell,28343.21,BTC-20OCT23-27500-P,36.61,0.00108665,0.0009,2,1697672907103,267192124,1041
0.2,,,,sell,28324.2,BTC-27OCT23-32000-C,48.53,0.00164326,0.0016,2,1697672700226,267192088,2398
0.5,,,,sell,28334.8,BTC-29DEC23-29000-C,39.27,0.06304781,0.063,2,1697672637607,267192072,2290
0.2,,,,sell,28330.83,BTC-20OCT23-27000-P,48.13,0.00056767,0.0006,3,1697672616188,267192069,1158
0.3,,,,sell,28325.18,BTC-20OCT23-26500-P,58.3,0.00043208,0.0004,2,1697672593767,267192059,1362
0.1,,,,sell,28323.43,BTC-20OCT23-27250-P,40.5,0.00076933,0.0006,2,1697672277818,267192042,3
0.2,,,,sell,28325.08,BTC-24NOV23-20000-P,60.43,0.00213925,0.002,2,1697672096137,267192007,540
5.5,,,,buy,28322.04,BTC-20OCT23-24500-P,94.4,0.00010393,0.0001,3,1697672036306,267192006,328
0.1,,,,sell,28325.58,BTC-21OCT23-27500-P,33.97,0.00213275,0.0019,2,1697672022177,267191988,17
1.0,,,,buy,28345.42,BTC-20OCT23-28000-P,30.64,0.00297565,0.0029,3,1697671908380,267191956,975
2.0,,,,buy,28356.64,BTC-24NOV23-34000-C,45.1,0.0081385,0.008,3,1697671891650,267191938,1128
0.6,,,,sell,28356.08,BTC-29DEC23-37000-C,48.27,0.01408609,0.0135,3,1697671870828,267191937,856
0.1,,,,sell,28356.81,BTC-24NOV23-31000-C,38.71,0.01855761,0.0185,1,1697671857448,267191934,1504
0.3,,,,buy,28332.71,BTC-19OCT23-28750-C,35.86,0.00039715,0.0005,2,1697671694168,267191774,303
0.1,,,,buy,28331.17,BTC-27OCT23-27000-C,37.1,0.05339264,0.0535,0,1697671642383,267191771,3818
0.6,,,,buy,28322.87,BTC-24NOV23-29000-C,35.33,0.03624406,0.036,0,1697671227577,267191737,2447
1.0,,,,buy,28322.82,BTC-19OCT23-28250-P,26.69,0.00231323,0.0022,0,1697671172793,267191729,412
0.2,,,,sell,28334.79,BTC-24NOV23-32000-C,40.79,0.01370337,0.0135,3,1697671158273,267191664,1528
0.1,,,,sell,28354.16,BTC-19OCT23-28500-C,26.32,0.00154002,0.0014,2,1697670389741,267191482,353
10.0,,,,sell,28362.92,BTC-21OCT23-25000-P,72.48,0.00043447,0.0003,2,1697670349130,267191457,9
0.6,,,,buy,28363.36,BTC-20OCT23-25000-P,90.11,0.00022411,0.0002,3,1697670313779,267191452,703
0.2,,,,sell,28363.46,BTC-20OCT23-28250-P,29.73,0.00570266,0.0055,2,1697670312303,267191450,13
1.2,,,,sell,28359.9,BTC-29MAR24-40000-C,53.08,0.0403858,0.0405,0,1697670290520,267191439,985
0.1,,,,sell,28356.47,BTC-20OCT23-28500-C,31.86,0.0054215,0.0055,1,1697670266347,267191430,2224
0.2,,,,buy,28365.36,BTC-21OCT23-28750-P,33.89,0.01898978,0.019,3,1697670256439,267191388,3
0.5,,,,buy,28375.01,BTC-21OCT23-28250-C,31.57,0.01259408,0.0125,0,1697670126681,267191311,6
0.9,,,,sell,28375.75,BTC-27OCT23-27500-P,34.78,0.00835282,0.0085,3,1697670125371,267191307,934
0.4,,,,buy,28373.49,BTC-19OCT23-28250-C,27.08,0.00631127,0.006,1,1697670115209,267191291,179
0.3,,,,buy,28371.99,BTC-20OCT23-26000-P,72.42,0.0002993,0.0004,1,1697670105545,267191252,1143
0.1,,,,sell,28371.67,BTC-27OCT23-22000-P,76.65,0.00057784,0.0005,2,1697670099821,267191248,1253
0.1,,,,sell,28367.82,BTC-19OCT23-29500-C,56.54,7.028e-05,0.0001,3,1697670090759,267191241,109
0.1,,,,buy,28367.62,BTC-3NOV23-32000-C,43.62,0.00419979,0.0041,2,1697670072875,267191227,238
0.1,,,,sell,28353.29,BTC-27OCT23-28000-P,33.34,0.01393575,0.014,3,1697669979831,267191166,1615
0.2,,,,buy,28348.8,BTC-27OCT23-30000-C,38.69,0.00536292,0.0055,0,1697669862860,267191148,4650
0.7,,,,buy,28343.09,BTC-20OCT23-30500-C,61.87,0.00031521,0.0004,0,1697669597364,267191090,570
