amount,block_trade_id,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
25.0,76036,BTC-CDIAG-30JUN23_26MAY23-31000_29000,,sell,26850.24,BTC-26MAY23-29000-C,50.24,0.00122045,0.0012,3,1684799889623,255569311,2701
25.0,76036,BTC-CDIAG-30JUN23_26MAY23-31000_29000,,buy,26850.24,BTC-30JUN23-31000-C,47.39,0.01547726,0.0158,0,1684799889623,255569312,1696
0.3,,,,buy,26852.37,BTC-26MAY23-25000-P,51.6,0.00156999,0.0015,3,1684799701510,255569153,2123
0.5,,,,sell,26853.08,BTC-23MAY23-26750-P,29.92,0.00231959,0.002,3,1684799646040,255569151,267
0.2,,,,sell,26868.42,BTC-25MAY23-26000-P,40.45,0.00296332,0.0025,2,1684799216256,255569092,10
0.4,,,,sell,26868.82,BTC-24MAY23-26000-P,40.64,0.00143973,0.001,3,1684799110919,255569090,32
1.0,,,,sell,26868.03,BTC-2JUN23-27000-C,41.22,0.0257157,0.026,0,1684798922405,255569049,1354
2.0,,,,sell,26870.67,BTC-29SEP23-65000-C,67.11,0.00322051,0.003,3,1684798775640,255569005,153
0.2,,,,sell,26869.51,BTC-26MAY23-27500-C,40.89,0.00694664,0.007,2,1684798718303,255569002,327
11.0,,,,buy,26860.2,BTC-23MAY23-27250-C,43.36,0.00072792,0.001,3,1684798369943,255568956,197
0.3,,,,sell,26860.22,BTC-23MAY23-27500-C,51.18,0.00067776,0.0005,3,1684798342338,255568955,129
1.0,,,,sell,26856.32,BTC-29DEC23-5000-C,100.49,0.81777041,0.818,2,1684797985801,255568916,2
0.2,,,,sell,26857.04,BTC-2JUN23-24500-P,45.64,0.00427692,0.004,2,1684797955271,255568915,108
0.2,,,,sell,26857.32,BTC-2JUN23-29000-C,43.48,0.00636032,0.006,3,1684797941622,255568914,291
0.1,,,,sell,26859.91,BTC-24MAY23-27500-C,38.45,0.00249636,0.002,2,1684797914158,255568904,73
1.6,,,,sell,26844.99,BTC-26MAY23-27000-P,38.4,0.01765565,0.0175,0,1684797637106,255568700,2725
1.9,,,,sell,26850.61,BTC-23MAY23-26500-P,40.75,0.00089298,0.001,3,1684797572566,255568622,118
20.0,,,,buy,26852.2,BTC-26MAY23-26000-P,43.34,0.00476078,0.005,0,1684797530003,255568575,2588
