amount,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,sell,30174.84,BTC-25AUG23-31000-C,41.56,0.05104517,0.0505,3,1688947143624,260589493,1326
1.0,,,sell,30173.11,BTC-28JUL23-30000-C,39.59,0.03983362,0.04,1,1688946961754,260589480,3126
1.0,,,sell,30167.79,BTC-10JUL23-29500-P,45.35,0.00034013,0.0003,3,1688946719625,260589439,111
0.1,,,sell,30167.32,BTC-28JUL23-30000-P,39.57,0.0308326,0.031,0,1688946698190,260589437,1113
0.1,,,buy,30167.32,BTC-11JUL23-30000-C,38.74,0.01287002,0.0125,2,1688946698136,260589436,11
0.1,,,sell,30158.59,BTC-10JUL23-30250-P,31.34,0.00567946,0.0055,1,1688946674771,260589434,224
0.1,,,sell,30157.17,BTC-11JUL23-29750-P,39.76,0.00457521,0.0042,0,1688946562182,260589407,60
0.2,,,sell,30151.61,BTC-11JUL23-30750-C,37.43,0.00276033,0.0025,2,1688946485894,260589391,32
1.1,,,sell,30158.86,BTC-11JUL23-28000-P,64.07,0.00041422,0.0004,1,1688945879102,260589307,9
0.1,,,sell,30153.58,BTC-10JUL23-30000-P,34.9,0.00244874,0.0022,2,1688945850233,260589299,336
0.1,,,sell,30148.81,BTC-12JUL23-28500-P,48.26,0.00130313,0.0012,0,1688945731387,260589286,2
0.3,,,sell,30148.66,BTC-10JUL23-29250-P,52.64,0.00025843,0.0002,1,1688945649877,260589264,131
0.1,,,sell,30161.12,BTC-28JUL23-28000-P,41.31,0.01015209,0.01,1,1688945602285,260589247,1346
1.0,,,buy,30171.92,BTC-14JUL23-37000-C,82.05,0.00034507,0.0004,1,1688945311856,260589192,320
3.0,,,buy,30171.43,BTC-14JUL23-38000-C,87.95,0.00021401,0.0003,0,1688945271632,260589184,174
0.3,,,sell,30167.29,BTC-21JUL23-31500-C,38.28,0.01167717,0.0115,2,1688944912126,260589114,256
1.2,,,sell,30162.32,BTC-11JUL23-29000-P,48.26,0.00140818,0.0012,1,1688944884853,260589077,18
0.3,,,sell,30160.3,BTC-10JUL23-30250-C,31.71,0.0029441,0.0027,3,1688944827554,260589074,143
0.4,,,sell,30173.7,BTC-29SEP23-23000-P,50.41,0.01128183,0.0115,0,1688944617796,260588918,643
0.1,,,sell,30177.82,BTC-14JUL23-31500-C,41.4,0.00467239,0.0044,0,1688944543801,260588829,763
0.2,,,sell,30176.21,BTC-14JUL23-28500-P,44.97,0.00307033,0.0028,0,1688944533643,260588769,551
0.2,,,sell,30181.73,BTC-14JUL23-32000-C,44.09,0.00300313,0.0028,2,1688944519764,260588738,955
0.1,,,buy,30187.45,BTC-14JUL23-30000-C,39.69,0.02107354,0.021,0,1688944283010,260588680,589
1.5,,,buy,30177.54,BTC-11JUL23-30250-C,36.92,0.00842444,0.008,3,1688944264119,260588658,55
0.1,,,sell,30189.92,BTC-10JUL23-31000-C,45.71,0.00028557,0.0002,2,1688944200368,260588603,148
0.6,,,sell,30188.11,BTC-10JUL23-29750-P,38.78,0.00094097,0.0007,3,1688944073569,260588589,152
0.1,,,sell,30185.56,BTC-11JUL23-30500-C,36.46,0.0051758,0.0048,2,1688943618209,260588459,96
1.0,,,sell,30178.1,BTC-28JUL23-31000-C,40.4,0.02575603,0.026,1,1688943542378,260588428,3443
0.1,,,buy,30188.02,BTC-14JUL23-27000-P,56.56,0.00081558,0.0008,0,1688943194160,260588363,257
0.1,,,sell,30187.75,BTC-11JUL23-28500-P,57.01,0.0008074,0.0007,0,1688943181104,260588357,17
0.1,,,sell,30200.64,BTC-11JUL23-32500-C,55.32,0.00025004,0.0002,2,1688943115777,260588348,4
1.0,,,buy,30193.91,BTC-14JUL23-29000-P,42.49,0.0045969,0.0047,0,1688942958475,260588261,845
0.2,,,buy,30197.04,BTC-11JUL23-30250-P,39.82,0.01009499,0.0105,0,1688942943077,260588255,42
0.1,,,sell,30193.27,BTC-14JUL23-30000-P,40.01,0.01379746,0.014,2,1688942896294,260588244,939
1.0,,,sell,30193.33,BTC-10JUL23-30750-C,40.59,0.00046093,0.0005,0,1688942894884,260588243,253
0.4,,,sell,30193.27,BTC-25AUG23-23000-P,53.05,0.00518036,0.005,3,1688942603750,260588207,713
0.2,,,sell,30200.59,BTC-11JUL23-30000-P,39.12,0.00636102,0.0065,3,1688942539951,260588142,104
2.0,,,sell,30196.46,BTC-21JUL23-31000-C,36.9,0.01639174,0.016,0,1688942485620,260588124,308
0.3,,,buy,30186.45,BTC-10JUL23-30500-C,34.21,0.00101962,0.0011,0,1688942412068,260588078,259
0.1,,,buy,30177.35,BTC-12JUL23-31000-C,37.6,0.00338184,0.0033,0,1688942362104,260588030,11
0.2,,,sell,30173.09,BTC-11JUL23-29250-P,43.69,0.00166594,0.0016,1,1688942332579,260587981,31
0.3,,,sell,30170.44,BTC-25AUG23-36000-C,45.9,0.01418457,0.014,2,1688942130108,260587925,1254
0.1,,,sell,30169.19,BTC-12JUL23-29000-P,41.7,0.00190833,0.0019,0,1688942123050,260587924,7
0.1,,,sell,30164.9,BTC-10JUL23-31250-C,50.51,0.00012909,0.0001,3,1688942110167,260587923,60
0.3,,,sell,30163.7,BTC-10JUL23-30000-C,40.35,0.0083351,0.0085,1,1688942108118,260587918,57
0.3,,,buy,30161.1,BTC-12JUL23-30500-C,35.68,0.00723207,0.007,1,1688942053341,260587893,9
0.3,,,sell,30154.21,BTC-12JUL23-29750-P,36.44,0.00624231,0.006,2,1688942034431,260587885,21
0.2,,,sell,30145.03,BTC-14JUL23-31000-C,40.43,0.00754216,0.0075,1,1688942001272,260587860,1004
4.0,,,sell,30138.57,BTC-29SEP23-50000-C,58.98,0.00576506,0.0055,3,1688941652812,260587782,1352
0.1,,,sell,30137.5,BTC-29SEP23-45000-C,55.09,0.00953015,0.0095,2,1688941625818,260587770,1098
0.4,,,sell,30122.07,BTC-29SEP23-32000-C,44.44,0.06500562,0.064,3,1688941596811,260587757,1386
0.1,,,sell,30123.67,BTC-29SEP23-40000-C,50.84,0.01801286,0.018,2,1688941571530,260587745,2569
0.2,,,sell,30115.32,BTC-14JUL23-29500-P,38.14,0.00849163,0.008,2,1688941429672,260587651,675
0.9,,,sell,30116.68,BTC-29SEP23-36000-C,46.92,0.03306951,0.032,3,1688941331653,260587639,426
0.1,,,buy,30153.37,BTC-14JUL23-30500-P,39.28,0.0231918,0.023,2,1688941027868,260587534,708
0.1,,,buy,30143.25,BTC-28JUL23-33000-C,41.99,0.00960921,0.0095,3,1688941026157,260587526,1784
0.1,,,buy,30101.83,BTC-12JUL23-28000-P,50.55,0.00052613,0.0006,0,1688940835311,260587429,5
0.6,,,sell,30094.27,BTC-29SEP23-28000-P,45.43,0.04667633,0.047,1,1688940737781,260587388,568
0.4,,,sell,30093.06,BTC-12JUL23-30250-P,36.64,0.01427813,0.0145,0,1688940714123,260587379,15
1.0,,,buy,30086.0,BTC-28JUL23-31000-P,39.56,0.05099006,0.051,0,1688940676558,260587331,888
0.2,,,buy,30079.79,BTC-12JUL23-30500-P,37.24,0.01951017,0.02,1,1688940662333,260587252,1
0.5,,,sell,30079.79,BTC-28JUL23-32000-C,40.89,0.01469668,0.015,2,1688940662225,260587251,2436
0.1,,,buy,30083.36,BTC-28JUL23-29000-P,39.47,0.01862221,0.0185,0,1688940661151,260587241,1355
0.1,,,sell,30101.12,BTC-14JUL23-33000-C,52.69,0.00147199,0.0015,2,1688940536904,260587043,722
0.1,,,sell,30099.2,BTC-21JUL23-38000-C,58.24,0.00056143,0.0005,3,1688940525204,260586999,94
0.1,,,buy,30104.28,BTC-29DEC23-30000-P,50.02,0.1201701,0.12,0,1688940490989,260586915,287
0.1,,,buy,30109.82,BTC-21JUL23-29500-P,36.92,0.01573812,0.016,0,1688940486055,260586876,205
1.0,,,sell,30117.98,BTC-21JUL23-30000-C,36.06,0.02869403,0.0285,2,1688940484514,260586840,202
0.7,,,sell,30113.39,BTC-25AUG23-34000-C,44.17,0.02284891,0.023,3,1688940448963,260586717,1148
1.2,,,sell,30116.29,BTC-25AUG23-33000-C,43.4,0.03002699,0.03,3,1688940382291,260586560,721
0.1,,,sell,30130.67,BTC-29DEC23-30000-C,50.23,0.15072634,0.151,2,1688940380362,260586501,1136
0.3,,,buy,30137.92,BTC-12JUL23-30750-C,35.6,0.00430953,0.0043,2,1688940262758,260586405,9
0.3,,,buy,30150.41,BTC-12JUL23-29500-P,37.18,0.00390822,0.004,1,1688940121594,260586261,9
0.1,,,sell,30150.65,BTC-11JUL23-27500-P,61.79,0.00021486,0.0001,1,1688940102395,260586250,5
5.0,,,buy,30153.94,BTC-29SEP23-31000-C,44.64,0.07843959,0.078,2,1688939790373,260586175,1086
