amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,buy,27239.49,BTC-29DEC23-45000-C,51.88,0.02442628,0.0245,1,1686095994048,257231273,459
0.3,,,,,buy,27238.84,BTC-16JUN23-28500-C,44.39,0.01209271,0.012,1,1686095975582,257231270,505
0.3,,,,,sell,27241.39,BTC-8JUN23-27000-P,42.36,0.00620247,0.006,3,1686095886782,257231224,54
0.3,,,,,buy,27241.18,BTC-29SEP23-35000-C,45.26,0.02510098,0.0255,1,1686095885612,257231223,1421
1.3,,,,,sell,27240.01,BTC-9JUN23-27000-P,44.24,0.00964552,0.0095,1,1686095864349,257231211,958
2.4,,,,,sell,27246.09,BTC-7JUN23-26500-C,53.34,0.02784846,0.028,1,1686095855731,257231191,210
97.0,,,,,sell,27253.81,BTC-23JUN23-31000-C,46.81,0.00532601,0.005,1,1686095834266,257231139,198
1.5,,,,,buy,27256.12,BTC-28JUL23-28000-P,38.39,0.07027726,0.0705,2,1686095829780,257231132,160
5.0,,,,,buy,27260.12,BTC-16JUN23-32000-C,56.07,0.00129527,0.0015,0,1686095821234,257231130,223
1.0,,,,,sell,27260.44,BTC-25AUG23-16000-P,61.27,0.00262511,0.0025,2,1686095817726,257231104,23
1.0,,,,,buy,27252.56,BTC-9JUN23-27000-C,44.25,0.02014372,0.02,0,1686095809441,257231064,2066
0.4,,,,,buy,27245.76,BTC-7JUN23-27000-P,39.61,0.00161974,0.0015,3,1686095793776,257231005,113
1.2,,,,,sell,27247.05,BTC-9JUN23-26500-P,46.38,0.00434874,0.0045,1,1686095791693,257230986,1164
0.1,,,,,buy,27239.54,BTC-8JUN23-27500-P,45.98,0.01605616,0.016,0,1686095746715,257230768,3
0.5,,,,,sell,27236.63,BTC-30JUN23-27000-P,40.1,0.0347363,0.035,1,1686095728258,257230690,2381
0.1,,,,,buy,27236.63,BTC-28JUL23-31000-C,41.82,0.01984739,0.02,0,1686095728131,257230681,766
0.1,,,,,buy,27223.01,BTC-9JUN23-28500-C,53.88,0.00353477,0.0035,1,1686095715782,257230650,1044
9.9,,,,,buy,27208.41,BTC-16JUN23-29000-C,46.16,0.00843198,0.0085,3,1686095688160,257230595,746
