amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,sell,84657.86,BTC-14MAR25-96000-C,48.76,,0.00524232,0.005,2,1740700773527,350018541,249
0.1,,,,,0.1,buy,84661.43,BTC-28FEB25-85000-C,45.66,,0.00382026,0.0037,2,1740700767518,350018533,421
0.1,,,,,0.1,sell,84710.08,BTC-7MAR25-70000-P,80.95,,0.00212073,0.002,2,1740700743290,350018499,108
0.2,,,,,0.2,sell,84732.98,BTC-14MAR25-75000-P,57.89,,0.00741082,0.0075,2,1740700690863,350018469,176
0.1,,,,,0.1,buy,84733.56,BTC-7MAR25-93000-C,50.05,,0.00359268,0.0035,1,1740700671318,350018466,369
0.8,,,,,0.8,buy,84738.51,BTC-28FEB25-98000-C,187.38,,3.2e-07,0.0001,3,1740700658953,350018456,2354
1.6,,,,,1.6,sell,84759.07,BTC-2MAR25-81000-P,60.33,,0.00428215,0.0043,2,1740700639074,350018430,19
0.1,,,,,0.1,buy,84761.82,BTC-28FEB25-85000-P,45.35,,0.00715205,0.007,3,1740700638847,350018429,3675
0.1,,,,,0.1,sell,84773.86,BTC-21MAR25-96000-C,47.74,,0.00982321,0.0095,1,1740700633398,350018421,38
0.1,,,,,0.1,sell,84773.12,BTC-21MAR25-100000-C,49.75,,0.00585401,0.0055,1,1740700626718,350018420,45
2.0,,,,,2.0,buy,84763.95,BTC-28FEB25-80000-P,98.91,,0.0002602,0.0003,3,1740700601787,350018402,4956
1.0,,,,,1.0,buy,84749.63,BTC-14MAR25-88000-P,46.65,,0.05780615,0.0575,2,1740700555049,350018349,326
0.1,,,,,0.1,sell,84744.71,BTC-7MAR25-80000-P,54.61,,0.00974908,0.0095,2,1740700522249,350018345,824
0.1,,,,,0.1,sell,84644.11,BTC-25APR25-100000-C,49.61,,0.02575451,0.0255,0,1740700264562,350018096,880
0.9,,,,,0.9,buy,84625.82,BTC-2MAR25-83000-P,52.28,,0.00865116,0.0085,2,1740700188624,350018049,37
0.1,,,,,0.1,buy,84626.91,BTC-1MAR25-90000-P,0.0,,0.06385509,0.063,2,1740700164471,350018030,11
0.2,,,,,0.2,sell,84632.89,BTC-1MAR25-87000-P,50.9,,0.03116319,0.031,0,1740700155111,350018027,120
4.0,,,,,4.0,buy,84704.57,BTC-28FEB25-89000-C,80.05,,0.00015059,0.0002,3,1740700120393,350018000,641
0.5,,,,,0.5,buy,84687.38,BTC-21MAR25-90000-C,46.66,,0.02332164,0.023,0,1740700108582,350017976,46
0.1,,,,,0.1,sell,84689.86,BTC-7MAR25-86000-C,47.74,,0.02140013,0.021,0,1740700099552,350017902,109
0.1,,,,,0.1,sell,84658.12,BTC-28FEB25-90000-C,86.94,,0.00017769,0.0001,2,1740700079843,350017868,1309
1.7,,,,,1.7,buy,84658.24,BTC-7MAR25-97000-C,56.67,,0.00150495,0.0017,2,1740700074550,350017867,370
0.3,,,,,0.3,buy,84662.46,BTC-1MAR25-86000-C,52.45,,0.00637045,0.0065,0,1740700054684,350017863,156
0.3,,,,,0.3,buy,84601.1,BTC-28FEB25-84000-P,49.97,,0.00343649,0.0032,2,1740700017716,350017826,361
0.1,,,,,0.1,sell,84590.25,BTC-25APR25-86000-C,48.01,,0.07299062,0.073,0,1740700002386,350017822,72
2.0,,,,,2.0,buy,84607.26,BTC-28FEB25-81000-P,84.98,,0.0004592,0.0005,3,1740699996952,350017821,151
0.1,,,,,0.1,buy,84569.81,BTC-1MAR25-83000-P,60.13,,0.00689523,0.007,3,1740699982344,350017809,106
0.1,,,,,0.1,buy,84587.13,BTC-14MAR25-78000-P,52.93,,0.01207778,0.012,2,1740699968837,350017774,53
0.1,,,,,0.1,sell,84611.3,BTC-28FEB25-86000-C,49.58,,0.00106457,0.0011,3,1740699901239,350017731,455
0.1,,,,,0.1,sell,84642.72,BTC-7MAR25-88000-C,47.3,,0.01313348,0.0125,2,1740699880582,350017672,251
0.1,,,BTC-PS-7MAR25-85000_80000,350017624,0.1,buy,84658.25,BTC-7MAR25-85000-P,49.01,,0.02880282,0.0287,2,1740699832692,350017626,1111
0.9,,,,,0.9,buy,84661.77,BTC-14MAR25-84000-P,48.12,,0.03239845,0.0325,2,1740699831135,350017592,196
0.6,,,,,0.6,buy,84671.22,BTC-27JUN25-85000-P,51.48,,0.10575096,0.1055,2,1740699814394,350017569,1196
1.1,,,,,1.1,buy,84651.72,BTC-7MAR25-88000-P,47.32,,0.0505744,0.05,3,1740699747470,350017478,1208
0.5,,,,,0.5,buy,84691.18,BTC-25APR25-80000-P,48.61,,0.04497871,0.045,2,1740699726040,350017454,847
0.4,,,,,0.4,sell,84734.48,BTC-28FEB25-83000-C,65.39,,0.02176234,0.022,1,1740699619129,350017344,86
0.1,,,,,0.1,buy,84838.81,BTC-28FEB25-84000-C,51.88,,0.01255121,0.0125,0,1740699525467,350017039,144
0.1,,,,,0.1,sell,84811.52,BTC-1MAR25-76000-P,106.12,,0.00096222,0.0011,2,1740699521809,350017014,79
0.1,,,,,0.1,sell,84748.77,BTC-28FEB25-87000-C,50.5,,0.00050274,0.0003,2,1740699495146,350016879,545
1.5,,,,,1.5,buy,84754.22,BTC-14MAR25-85000-P,47.75,,0.03734225,0.0375,2,1740699441394,350016643,528
0.5,,,,,0.5,buy,84705.31,BTC-7MAR25-95000-C,52.77,,0.00228627,0.0023,1,1740699427763,350016588,550
1.0,,,,,1.0,buy,84705.31,BTC-1MAR25-82000-C,66.95,,0.03653576,0.037,0,1740699427530,350016586,3
0.6,,,,,0.6,sell,84678.8,BTC-28FEB25-82000-C,75.31,,0.0324446,0.0325,1,1740699384111,350016451,10
0.1,,,,,0.1,sell,84728.58,BTC-27JUN25-170000-C,64.63,,0.00738568,0.007,3,1740699343643,350015799,663
1.2,,,,,1.2,buy,84690.19,BTC-7MAR25-85000-C,48.99,,0.02696419,0.027,1,1740699340517,350015790,136
4.2,,,,,4.2,sell,84690.55,BTC-28MAR25-80000-P,49.2,,0.02817655,0.028,2,1740699337890,350015670,5794
0.5,,,,,0.5,buy,84645.18,BTC-21MAR25-92000-C,46.89,,0.01725123,0.017,1,1740699330960,350015416,36
0.1,,,,,0.1,sell,84550.23,BTC-27JUN25-130000-C,57.91,,0.02159137,0.0215,3,1740699261957,350015095,1514
0.1,,,,,0.1,sell,84568.64,BTC-28FEB25-82000-P,73.25,,0.00079063,0.0009,3,1740699248773,350015092,260
0.6,,,,,0.6,buy,84571.59,BTC-7MAR25-98000-C,56.6,,0.00118986,0.0012,3,1740699243947,350015088,417
0.5,,,,,0.5,buy,84549.48,BTC-21MAR25-91000-C,46.86,,0.01969703,0.0195,2,1740699238703,350015079,40
0.5,,,,,0.5,sell,84549.87,BTC-1MAR25-88000-P,55.12,,0.04225176,0.0425,2,1740699221889,350015045,57
0.1,,,,,0.1,sell,84549.42,BTC-7MAR25-89000-C,47.81,,0.00987591,0.0095,0,1740699218847,350015043,153
0.9,,,,,0.9,buy,84473.39,BTC-7MAR25-106000-C,68.93,,0.00037288,0.0004,3,1740699195817,350014997,649
0.5,,,,,0.5,buy,84468.25,BTC-28FEB25-88000-P,60.77,,0.04208084,0.042,0,1740699188510,350014979,3386
2.0,,,,,2.0,buy,84471.96,BTC-30MAY25-60000-P,56.94,,0.01157111,0.0115,1,1740699186356,350014978,5
0.2,,,,,0.2,sell,84438.29,BTC-25APR25-60000-P,61.65,,0.00679856,0.0065,3,1740699160675,350014946,293
0.1,,,,,0.1,sell,84439.96,BTC-7MAR25-108000-C,71.34,,0.00029765,0.0003,3,1740699152951,350014944,439
0.1,,,,,0.1,sell,84458.12,BTC-7MAR25-105000-C,66.49,,0.00043387,0.0004,2,1740699139946,350014934,371
12.5,BLOCK-183420,4,,,12.5,buy,84501.75,BTC-28MAR25-88000-C,47.61,,0.03781583,0.0379,0,1740699048365,350014798,237
12.5,BLOCK-183420,4,,,12.5,buy,84501.75,BTC-28MAR25-95000-C,48.96,,0.01673455,0.0168,0,1740699048365,350014801,1982
12.5,BLOCK-183420,4,,,12.5,sell,84501.75,BTC-28MAR25-98000-C,50.13,,0.01190184,0.012,0,1740699048365,350014800,1196
12.5,BLOCK-183420,4,,,12.5,sell,84501.75,BTC-28MAR25-92000-C,47.8,,0.02368492,0.0235,0,1740699048365,350014799,428
0.1,,,,,0.1,sell,84522.5,BTC-1MAR25-88000-C,52.22,,0.00166653,0.0016,0,1740699007191,350014776,191
0.2,,,,,0.2,buy,84518.32,BTC-1MAR25-84000-P,55.34,,0.01075971,0.0105,3,1740698830773,350014698,125
1.0,,,,,1.0,sell,84526.87,BTC-28MAR25-75000-P,52.58,,0.01516879,0.015,2,1740698811999,350014690,4092
1.0,,,,,1.0,sell,84561.45,BTC-7MAR25-102000-C,60.26,,0.00062703,0.0005,2,1740698767673,350014623,584
3.6,,,,,3.6,sell,84562.91,BTC-28MAR25-180000-C,96.25,,0.00038151,0.0003,3,1740698763930,350014618,2989
1.0,,,,,1.0,sell,84561.54,BTC-2MAR25-91000-C,48.83,,0.00062145,0.0005,2,1740698747262,350014616,19
1.9,,,,,1.9,buy,84575.02,BTC-27JUN25-65000-P,53.57,,0.02465616,0.0245,2,1740698718482,350014590,878
0.1,,,,,0.1,buy,84585.86,BTC-7MAR25-82000-P,51.83,,0.01568841,0.0155,2,1740698710478,350014567,345
0.1,,,,,0.1,sell,84586.54,BTC-27JUN25-60000-P,55.61,,0.01633197,0.016,1,1740698685236,350014545,783
0.1,,,,,0.1,buy,84589.71,BTC-14MAR25-106000-C,60.08,,0.0014083,0.0016,2,1740698673180,350014534,153
0.1,,,,,0.1,sell,84583.25,BTC-25APR25-104000-C,50.71,,0.01926131,0.019,0,1740698667715,350014524,282
0.5,,,,,0.5,buy,84630.67,BTC-14MAR25-115000-C,70.93,,0.00079686,0.0009,2,1740698630094,350014444,210
0.3,,,,,0.3,buy,84646.68,BTC-28FEB25-88000-C,63.93,,0.00026855,0.0002,3,1740698619770,350014427,939
0.3,,,,,0.3,buy,84661.04,BTC-2MAR25-90000-C,48.12,,0.00108335,0.001,0,1740698527287,350014082,20
0.2,,,,,0.2,buy,84630.12,BTC-27JUN25-115000-C,55.36,,0.03697599,0.037,0,1740698504002,350013592,660
10.0,,,,,10.0,buy,84610.7,BTC-28FEB25-75000-P,155.11,,0.00013986,0.0001,3,1740698494707,350013446,2102
