amount,block_trade_id,block_trade_leg_count,combo_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,0.1,sell,42492.12,BTC-16JAN24-40500-C,96.72,0.04704794,0.0475,1,1705363179030,280373810,19
0.1,,,,0.1,buy,42486.22,BTC-16JAN24-42250-C,43.42,0.00879277,0.0085,2,1705363175494,280373805,44
4.4,,,,4.4,buy,42479.32,BTC-17JAN24-40000-P,75.64,0.00190633,0.0019,3,1705363170640,280373803,81
0.1,,,,0.1,buy,42478.97,BTC-19JAN24-44000-C,54.22,0.00816064,0.008,2,1705363145590,280373677,733
0.1,,,,0.1,buy,42475.69,BTC-29MAR24-33000-P,59.77,0.01922301,0.019,0,1705363139229,280373663,398
0.1,,,,0.1,sell,42521.8,BTC-16JAN24-42250-P,44.15,0.00292437,0.0027,0,1705363030115,280373433,114
0.1,,,,0.1,sell,42521.8,BTC-16JAN24-42500-C,38.85,0.00554003,0.005,2,1705363030096,280373432,184
0.1,,,,0.1,sell,42529.98,BTC-16JAN24-43500-C,50.72,0.00047631,0.0005,3,1705363005807,280373423,312
1.1,,,,1.1,sell,42536.66,BTC-26JAN24-47000-C,54.08,0.00706383,0.007,3,1705363001051,280373415,2527
0.1,,,,0.1,buy,42539.63,BTC-16JAN24-42000-P,46.83,0.0016331,0.0014,2,1705362998988,280373403,320
0.4,,,,0.4,sell,42543.09,BTC-23FEB24-35000-P,59.8,0.01302421,0.013,1,1705362986113,280373385,395
0.1,,,,0.1,sell,42563.57,BTC-29MAR24-51000-C,54.52,0.0398733,0.04,0,1705362940245,280373363,256
0.9,,,,0.9,buy,42571.21,BTC-19JAN24-41000-P,60.27,0.00848125,0.0085,3,1705362938179,280373338,1199
0.2,,,,0.2,sell,42574.62,BTC-16JAN24-42500-P,42.59,0.00439239,0.0043,3,1705362844958,280373306,329
11.9,,,,11.9,sell,42585.66,BTC-16JAN24-42750-C,39.17,0.00353988,0.0031,1,1705362678323,280373144,92
0.1,,,,0.1,sell,42582.12,BTC-2FEB24-46000-C,51.94,0.01853467,0.0185,2,1705362604427,280373126,202
5.0,,,,5.0,buy,42584.4,BTC-27SEP24-36000-P,59.24,0.08951921,0.09,0,1705362594826,280373114,54
0.1,,,,0.1,sell,42604.7,BTC-26JAN24-45000-C,52.25,0.0154879,0.0155,0,1705362540960,280373046,2346
0.1,,,,0.1,sell,42581.74,BTC-17JAN24-42000-P,57.37,0.00816189,0.008,2,1705362466525,280372983,126
0.1,,,,0.1,sell,42567.45,BTC-23FEB24-40000-P,54.26,0.03838736,0.0385,0,1705362465944,280372982,546
5.0,,,,5.0,buy,42567.45,BTC-26JAN24-48000-C,55.06,0.00477864,0.0048,2,1705362465813,280372979,3656
5.0,,,,5.0,sell,42567.45,BTC-27DEC24-28000-P,61.63,0.05007833,0.051,0,1705362465408,280372965,46
0.2,,,,0.2,sell,42544.21,BTC-16JAN24-44000-C,65.45,0.00041021,0.0004,1,1705362374016,280372922,349
0.1,,,,0.1,buy,42550.19,BTC-17JAN24-41000-P,64.72,0.0036801,0.0035,0,1705362364494,280372912,88
0.1,,,,0.1,sell,42515.41,BTC-29MAR24-40000-P,54.37,0.05971494,0.06,2,1705362225733,280372858,778
2.0,,,,2.0,sell,42511.83,BTC-16JAN24-44500-C,74.26,0.00027753,0.0002,3,1705362197727,280372847,258
0.5,,,,0.5,sell,42514.55,BTC-23FEB24-43000-C,53.21,0.06780608,0.068,1,1705362125493,280372817,322
0.1,,,,0.1,sell,42537.98,BTC-19JAN24-45500-C,55.53,0.00301144,0.0028,2,1705362037867,280372721,381
1.4,,,,1.4,buy,42523.02,BTC-27SEP24-59000-C,59.88,0.10873462,0.107,3,1705362020874,280372718,26
0.1,,,,0.1,sell,42535.45,BTC-17JAN24-44000-C,51.32,0.00267336,0.0023,2,1705362008655,280372706,148
0.1,,,,0.1,sell,42535.36,BTC-16JAN24-41000-C,79.13,0.03663223,0.037,0,1705361913821,280372678,27
0.5,,,,0.5,sell,42533.14,BTC-23FEB24-38000-P,55.6,0.02502259,0.025,2,1705361908986,280372658,567
10.0,,,,10.0,buy,42523.04,BTC-28JUN24-30000-P,61.82,0.0304566,0.031,0,1705361898936,280372575,484
2.4,,,,2.4,sell,42537.3,BTC-29MAR24-47000-C,53.57,0.06261489,0.063,3,1705361877044,280372529,565
0.1,,,,0.1,buy,42508.51,BTC-23FEB24-34000-P,61.45,0.01050833,0.0105,3,1705361839406,280372507,313
1.0,,,,1.0,buy,42521.9,BTC-23FEB24-51000-C,55.79,0.01786327,0.018,3,1705361823979,280372486,351
0.3,,,,0.3,sell,42527.35,BTC-23FEB24-37000-P,56.66,0.01996819,0.02,3,1705361816259,280372485,646
5.0,,,,5.0,sell,42520.54,BTC-17JAN24-43000-P,52.74,0.01920091,0.019,0,1705361755867,280372457,34
10.0,,,,10.0,sell,42547.53,BTC-27DEC24-200000-C,74.34,0.01289329,0.0115,2,1705361720004,280372418,6
1.0,,,,1.0,buy,42552.1,BTC-2FEB24-48000-C,52.74,0.01002567,0.01,0,1705361706534,280372416,233
0.6,,,,0.6,sell,42533.39,BTC-2FEB24-44000-C,51.96,0.03238657,0.0325,0,1705361645828,280372406,165
0.1,,,,0.1,buy,42531.03,BTC-19JAN24-44500-C,54.78,0.00597118,0.006,3,1705361619313,280372358,265
0.8,,,,0.8,buy,42524.98,BTC-16JAN24-43250-C,49.53,0.00089298,0.0011,3,1705361607043,280372351,118
0.1,,,,0.1,sell,42537.46,BTC-17JAN24-44500-C,56.44,0.00140836,0.0016,3,1705361595466,280372311,111
1.0,,,,1.0,buy,42503.08,BTC-19JAN24-45000-C,56.31,0.00404864,0.0043,0,1705361404894,280372148,955
0.5,,,,0.5,sell,42486.18,BTC-26JAN24-44000-C,51.16,0.02160544,0.021,3,1705361275059,280372089,2601
0.2,,,,0.2,sell,42486.68,BTC-17JAN24-40500-P,68.58,0.0027695,0.0025,0,1705361267085,280372075,58
0.7,,,,0.7,sell,42484.98,BTC-19JAN24-45000-P,42.19,0.06196211,0.0595,2,1705361250423,280372064,675
2.0,,,,2.0,buy,42468.48,BTC-19JAN24-48000-C,71.21,0.00087345,0.0011,0,1705361229645,280372001,1152
0.5,,,,0.5,sell,42480.24,BTC-16JAN24-41500-P,53.42,0.00086829,0.0006,2,1705361028927,280371893,149
2.0,,,,2.0,buy,42491.92,BTC-2FEB24-65000-C,80.53,0.00052732,0.0006,1,1705361012223,280371887,48
0.2,,,,0.2,buy,42470.38,BTC-29MAR24-58000-C,57.09,0.01868351,0.0185,3,1705360953518,280371844,30
0.2,,,,0.2,buy,42460.36,BTC-26JAN24-46000-C,53.14,0.00968545,0.01,2,1705360892622,280371791,3474
1.0,,,,1.0,buy,42462.0,BTC-26JAN24-42000-P,54.69,0.02955123,0.03,0,1705360867417,280371764,3139
0.1,,,,0.1,sell,42501.65,BTC-17JAN24-42500-C,54.51,0.01353146,0.0135,2,1705360850264,280371685,70
0.1,,,,0.1,buy,42503.67,BTC-16JAN24-42750-P,40.86,0.00858063,0.0085,0,1705360827927,280371668,77
0.2,,,,0.2,sell,42488.24,BTC-19JAN24-30000-P,132.88,0.00021827,0.0001,2,1705360781321,280371636,237
0.1,,,,0.1,sell,42493.45,BTC-26JAN24-38000-P,62.61,0.0072126,0.007,2,1705360771599,280371618,2326
0.3,,,,0.3,sell,42496.02,BTC-29MAR24-50000-C,53.93,0.0443914,0.044,2,1705360761778,280371615,4194
0.5,,,,0.5,buy,42500.98,BTC-19JAN24-38000-P,77.76,0.00193716,0.002,2,1705360687693,280371581,864
0.1,,,,0.1,sell,42545.8,BTC-29MAR24-35000-P,57.26,0.02649756,0.026,2,1705360479054,280371190,691
0.2,,,,0.2,sell,42579.68,BTC-29MAR24-54000-C,55.65,0.02882406,0.029,1,1705360348333,280371134,84
1.0,,,,1.0,buy,42575.32,BTC-17JAN24-37500-P,103.9,0.00053703,0.0005,1,1705360324423,280371115,31
0.1,,,,0.1,sell,42534.0,BTC-19JAN24-39000-P,69.4,0.00304118,0.0028,2,1705360189044,280371002,1044
0.3,,,,0.3,sell,42541.06,BTC-18JAN24-43500-C,53.05,0.00865515,0.0085,2,1705359965343,280370876,15
0.1,,,,0.1,sell,42555.21,BTC-19JAN24-54000-C,91.01,7.696e-05,0.0001,2,1705359817396,280370736,40
1.0,,,,1.0,sell,42510.23,BTC-23FEB24-52000-C,56.61,0.01555248,0.0155,3,1705359766566,280370685,617
1.0,,,,1.0,sell,42547.18,BTC-17JAN24-47000-C,71.87,0.00026046,0.0002,2,1705359731606,280370592,213
2.0,,,,2.0,sell,42572.34,BTC-17JAN24-46500-C,68.75,0.00034864,0.0003,2,1705359658482,280370513,52
0.1,,,,0.1,sell,42567.11,BTC-29MAR24-42000-C,53.43,0.11059418,0.1105,2,1705359623448,280370492,309
6.0,,,,6.0,buy,42539.96,BTC-18JAN24-48500-C,69.31,0.00016145,0.0002,3,1705359409421,280370260,7
0.1,,,,0.1,sell,42638.53,BTC-18JAN24-44000-C,50.84,0.00623422,0.0055,0,1705359284984,280370077,45
0.1,,,,0.1,sell,42638.13,BTC-27SEP24-46000-C,58.89,0.18986997,0.1905,2,1705359278018,280370076,62
16.0,,,,16.0,sell,42632.02,BTC-23FEB24-50000-C,54.84,0.02178576,0.0215,0,1705359223512,280370071,1386
0.4,,,,0.4,sell,42598.32,BTC-17JAN24-46000-C,63.74,0.0004275,0.0004,3,1705359196500,280370043,22
