amount,block_trade_id,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,buy,27218.52,BTC-2JUN23-26500-P,49.94,0.00270213,0.003,0,1685577598071,256502226,960
0.1,,,buy,27218.31,BTC-1JUN23-27250-C,45.79,0.00427002,0.005,0,1685577580329,256502218,157
0.2,,,sell,27217.46,BTC-2JUN23-26750-P,44.02,0.00423687,0.004,2,1685577538403,256502201,10
0.1,,,sell,27210.53,BTC-3JUN23-27250-P,40.77,0.01368775,0.0135,2,1685577496803,256502177,31
0.1,,,buy,27205.59,BTC-2JUN23-27000-C,43.77,0.01495542,0.015,2,1685577430718,256502091,3073
0.1,,,buy,27205.59,BTC-2JUN23-28000-C,47.55,0.00236284,0.0025,1,1685577430691,256502089,1814
0.2,,,buy,27213.41,BTC-16JUN23-30500-C,44.44,0.00489833,0.005,3,1685577417282,256502056,61
0.2,,,buy,27213.41,BTC-1JUN23-27250-P,36.05,0.00543752,0.005,1,1685577417249,256502055,118
5.0,,,buy,27228.39,BTC-2JUN23-25500-P,60.52,0.00073215,0.0005,3,1685577329713,256501923,649
0.1,,,buy,27235.22,BTC-3JUN23-27000-C,42.16,0.01854277,0.0185,2,1685577252176,256501799,59
0.5,,,buy,27232.38,BTC-1JUN23-27500-P,37.93,0.01145038,0.011,3,1685577213527,256501758,147
0.1,,,buy,27245.13,BTC-2JUN23-27000-P,43.93,0.0064442,0.0065,0,1685577183049,256501640,948
0.2,,,buy,27252.13,BTC-3JUN23-26750-P,44.25,0.00645763,0.0065,2,1685577089748,256501598,25
0.1,,,sell,27268.21,BTC-2JUN23-27500-C,41.23,0.00675751,0.0065,1,1685577072709,256501563,1722
0.1,,,sell,27247.29,BTC-30JUN23-25000-P,43.4,0.01666698,0.0165,3,1685577030952,256501510,2230
0.1,,,sell,27245.43,BTC-30JUN23-30000-C,40.14,0.01374199,0.0135,1,1685577014585,256501497,5482
0.1,,,sell,27244.5,BTC-30JUN23-27000-P,38.67,0.03890401,0.0385,2,1685577011310,256501496,1895
0.2,,,sell,27244.89,BTC-29DEC23-35000-C,45.45,0.05705771,0.0565,2,1685576998796,256501487,627
0.1,,,buy,27263.05,BTC-3JUN23-28000-C,42.97,0.00435792,0.0045,0,1685576734923,256501237,15
0.1,,,buy,27286.03,BTC-29DEC23-30000-C,43.95,0.10012009,0.1,1,1685576643172,256500989,752
0.2,,,buy,27279.88,BTC-2JUN23-27500-P,42.32,0.01429297,0.0145,2,1685576619173,256500855,612
0.1,,,sell,27296.57,BTC-3JUN23-27250-C,41.53,0.01422426,0.014,0,1685576618568,256500845,25
0.1,,,buy,27296.57,BTC-3JUN23-27500-P,39.78,0.01704293,0.017,2,1685576618473,256500839,2
0.3,,,buy,27288.03,BTC-9JUN23-28000-C,39.57,0.01329343,0.0135,1,1685576616880,256500734,1424
0.1,,,buy,27273.51,BTC-16JUN23-29500-C,42.09,0.00905008,0.009,0,1685576616559,256500718,126
1.6,,,buy,27273.51,BTC-28JUL23-28000-C,39.28,0.05178296,0.0515,0,1685576616211,256500695,267
0.1,,,buy,27273.51,BTC-30JUN23-32000-C,44.0,0.00653061,0.0065,1,1685576616207,256500693,2294
0.1,,,buy,27273.51,BTC-9JUN23-31000-C,49.83,0.00132813,0.0015,1,1685576616001,256500673,650
0.1,,,sell,27273.51,BTC-16JUN23-24000-P,51.92,0.00524318,0.0055,2,1685576615827,256500665,223
