amount,block_trade_id,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,sell,26750.71,BTC-22MAY23-27250-C,43.8,0.00051506,0.0005,3,1684713596426,255475640,167
0.1,,,sell,26737.27,BTC-30JUN23-31000-C,46.78,0.01476278,0.015,2,1684713367227,255475464,1668
0.5,,,buy,26740.12,BTC-28JUL23-25000-P,45.05,0.04558672,0.0455,1,1684713365146,255475448,204
1.0,,,sell,26742.37,BTC-2JUN23-27000-C,43.06,0.02638282,0.0265,2,1684713364151,255475421,987
0.1,,,sell,26746.8,BTC-22MAY23-27000-C,39.47,0.0015413,0.0015,2,1684713363891,255475390,145
0.2,,,sell,26761.32,BTC-24MAY23-28500-C,49.41,0.00117155,0.001,2,1684713228802,255475333,8
0.2,,,sell,26760.22,BTC-23MAY23-26000-P,41.46,0.00157837,0.0015,3,1684713163855,255475319,47
0.1,,,sell,26775.86,BTC-2JUN23-31000-C,52.5,0.00263355,0.0025,3,1684713092718,255475183,226
0.3,,,sell,26784.6,BTC-23MAY23-28000-C,43.01,0.00091015,0.0005,2,1684713028039,255475136,47
0.1,,,buy,26786.0,BTC-2JUN23-28500-C,45.89,0.01046643,0.011,3,1684712918872,255475118,169
50.0,75953,BTC-CS-30JUN23-33000_50000,buy,26785.96,BTC-30JUN23-33000-C,48.93,0.00823473,0.0083,2,1684712744414,255475050,1360
50.0,75953,BTC-CS-30JUN23-33000_50000,sell,26785.96,BTC-30JUN23-50000-C,74.81,0.00071893,0.0006,2,1684712744414,255475049,1418
0.2,,,sell,26787.42,BTC-26MAY23-26000-P,43.0,0.00713184,0.007,2,1684712665342,255475046,2486
0.1,,,buy,26777.18,BTC-30JUN23-25000-P,45.64,0.03017617,0.03,0,1684712240087,255474887,1585
10.0,,,sell,26779.64,BTC-24MAY23-25000-P,47.56,0.0007336,0.0005,1,1684712211765,255474886,7
0.1,,,buy,26782.39,BTC-23MAY23-26750-C,37.89,0.00929315,0.01,0,1684712165552,255474784,6
1.0,,,sell,26785.25,BTC-26MAY23-29000-C,50.45,0.00221738,0.002,1,1684712031985,255474746,2641
2.0,,,sell,26797.19,BTC-24MAY23-26250-P,38.62,0.00496076,0.0045,2,1684711631925,255474666,7
0.2,,,sell,26796.53,BTC-29MAR24-29000-C,49.69,0.15727103,0.1585,2,1684711414821,255474648,41
1.0,,,buy,26796.93,BTC-26MAY23-31000-C,70.85,0.00072208,0.001,0,1684711138851,255474549,2455
0.1,,,sell,26799.28,BTC-22MAY23-26500-P,36.47,0.00119144,0.001,2,1684710576963,255474218,94
2.0,,,sell,26792.45,BTC-30JUN23-21000-P,55.12,0.00681254,0.0065,0,1684710499378,255474186,1187
0.1,,,buy,26780.03,BTC-22MAY23-26750-C,34.38,0.00494549,0.005,3,1684710322701,255474136,47
0.9,,,buy,26766.7,BTC-30JUN23-36000-C,55.06,0.00395852,0.0045,0,1684710015866,255474063,583
0.9,,,buy,26772.07,BTC-29DEC23-55000-C,57.68,0.01413792,0.0155,3,1684709481973,255473845,258
0.1,,,sell,26773.26,BTC-22MAY23-26250-P,43.38,0.00053407,0.0005,3,1684709209688,255473718,50
1.0,,,sell,26760.05,BTC-2JUN23-30000-C,48.53,0.00425032,0.004,2,1684708931335,255473451,382
4.8,,,buy,26762.86,BTC-23MAY23-26750-P,34.12,0.00844639,0.008,3,1684708710597,255473333,72
1.0,,,sell,26760.4,BTC-23MAY23-27000-C,39.27,0.00599897,0.006,1,1684708626510,255473216,77
4.6,,,buy,26777.2,BTC-9JUN23-35000-C,57.06,0.00123347,0.001,3,1684708579795,255473152,9
12.0,,,sell,26774.93,BTC-28JUL23-30000-C,43.85,0.03379739,0.034,1,1684708335399,255473120,452
0.1,,,sell,26761.26,BTC-2JUN23-28000-C,43.64,0.01429792,0.014,2,1684708193776,255472959,242
1.0,,,sell,26780.91,BTC-26MAY23-30000-C,57.55,0.00122827,0.001,3,1684708033904,255472797,3786
0.2,,,sell,26785.11,BTC-22MAY23-26750-P,39.07,0.00454283,0.0045,3,1684707516217,255472591,159
0.1,,,buy,26785.02,BTC-22MAY23-27000-P,38.14,0.01015662,0.01,1,1684707480644,255472538,161
0.1,,,sell,26778.84,BTC-2JUN23-23500-P,52.42,0.0030037,0.003,1,1684707423897,255472487,125
2.6,,,sell,26780.98,BTC-23MAY23-27750-C,45.62,0.00140274,0.0015,3,1684706800935,255472156,28
1.0,,,sell,26775.93,BTC-24MAY23-28000-C,44.44,0.00236477,0.002,2,1684706447406,255471917,14
0.1,,,buy,26753.84,BTC-9JUN23-29500-C,46.33,0.01069245,0.0105,2,1684706422628,255471851,125
0.3,,,sell,26773.99,BTC-26MAY23-28000-C,44.0,0.00522918,0.005,3,1684706199417,255471560,3801
1.0,,,buy,26795.32,BTC-24MAY23-27000-C,38.89,0.0096765,0.0095,0,1684705928337,255471431,16
1.3,,,sell,26790.41,BTC-2JUN23-29500-C,48.21,0.00602791,0.006,1,1684705917680,255471422,212
0.3,,,sell,26787.68,BTC-23MAY23-27250-C,36.05,0.00368139,0.003,2,1684705890675,255471409,46
0.1,,,buy,26787.68,BTC-29SEP23-25000-P,47.1,0.07562674,0.076,1,1684705889465,255471408,401
13.9,,,sell,26766.0,BTC-23MAY23-25500-P,45.75,0.00067559,0.0005,3,1684705553547,255471318,22
0.1,,,buy,26737.19,BTC-30JUN23-26000-P,44.81,0.04440697,0.0445,1,1684705020112,255470973,1509
0.3,,,sell,26737.0,BTC-30JUN23-18000-P,66.79,0.00274189,0.0025,2,1684705018417,255470971,1109
4.7,,,buy,26721.51,BTC-26MAY23-27000-C,42.43,0.0140851,0.0145,3,1684704365250,255469997,2028
0.2,,,sell,26719.46,BTC-29DEC23-27000-C,48.22,0.14754641,0.15,0,1684704352518,255469994,119
0.8,,,sell,26700.66,BTC-30JUN23-24000-P,47.59,0.0217654,0.0215,1,1684704280958,255469920,1448
0.4,,,sell,26700.92,BTC-2JUN23-26000-C,45.59,0.04617231,0.0475,2,1684704279121,255469919,49
1.0,,,buy,26686.86,BTC-24MAY23-26000-P,41.04,0.00424959,0.004,0,1684704194454,255469851,10
2.0,,,sell,26708.31,BTC-30JUN23-27000-P,44.49,0.0637982,0.0635,0,1684704156482,255469729,1235
0.1,,,buy,26699.34,BTC-26MAY23-27000-P,41.87,0.02378257,0.024,0,1684704134974,255469621,2579
0.1,,,buy,26720.97,BTC-23MAY23-26500-P,36.74,0.00559561,0.0055,0,1684704088659,255469488,25
0.2,,,buy,26754.02,BTC-29MAR24-26000-P,49.04,0.15053928,0.152,0,1684703832322,255468842,21
0.9,,,buy,26763.77,BTC-9JUN23-23000-P,51.13,0.00439839,0.0045,0,1684703831397,255468836,35
1.0,,,buy,26777.04,BTC-26MAY23-26500-P,42.77,0.0129512,0.0135,2,1684703784577,255468761,167
0.3,,,buy,26774.34,BTC-28JUL23-18000-P,58.8,0.00522909,0.005,2,1684703731227,255468743,51
0.1,,,buy,26780.87,BTC-9JUN23-29000-C,46.7,0.01374701,0.0145,1,1684703637711,255468706,68
0.2,,,buy,26777.89,BTC-26MAY23-25000-P,49.44,0.0024395,0.0025,0,1684703572331,255468585,2039
2.2,,,buy,26751.05,BTC-29DEC23-10000-P,72.03,0.00448949,0.005,2,1684703480767,255468463,228
2.0,,,buy,26736.23,BTC-24MAY23-24500-P,56.71,0.00038813,0.0005,1,1684703288618,255467930,2
1.6,,,buy,26732.78,BTC-22MAY23-27500-C,52.01,0.00048467,0.0005,3,1684703269797,255467918,138
0.2,,,buy,26740.78,BTC-24MAY23-27500-C,43.12,0.00440858,0.0045,2,1684703167606,255467449,53
0.1,,,buy,26740.78,BTC-26MAY23-26500-C,41.95,0.02350207,0.024,2,1684703166905,255467448,102
