amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.4,,,,sell,25753.46,BTC-7SEP23-26250-C,36.72,0.00027781,0.0002,3,1694044536295,264213861,216
0.3,,,,sell,25757.72,BTC-29SEP23-28000-C,32.66,0.00749514,0.007,2,1694044524114,264213853,3273
1.6,,,,sell,25758.27,BTC-27OCT23-30000-C,39.21,0.01323236,0.013,1,1694044507935,264213851,1199
0.1,,,,buy,25758.34,BTC-8SEP23-24000-P,64.11,0.00038507,0.0005,3,1694044495532,264213850,593
0.1,,,,sell,25758.45,BTC-15SEP23-24000-P,43.56,0.00465901,0.0045,2,1694044484155,264213837,235
1.0,,,,buy,25758.78,BTC-27OCT23-29000-C,38.31,0.01822927,0.0185,0,1694044478625,264213836,682
1.9,,,,sell,25763.61,BTC-27OCT23-34000-C,46.41,0.00476506,0.0049,0,1694044421414,264213812,1333
0.1,,,,sell,25763.92,BTC-24NOV23-27000-C,37.77,0.05395584,0.054,0,1694044351001,264213806,139
0.1,,,,buy,25763.73,BTC-29SEP23-27000-C,31.94,0.01449096,0.0145,1,1694044131592,264213799,2592
0.2,,,,sell,25756.4,BTC-29MAR24-29000-C,46.34,0.10055666,0.101,0,1694044075669,264213787,133
1.0,,,,sell,25750.55,BTC-27OCT23-26000-C,36.4,0.05277913,0.0525,2,1694043969403,264213785,575
0.1,,,,sell,25750.28,BTC-15SEP23-29500-C,43.35,0.00054853,0.0005,3,1694043917148,264213784,89
0.1,,,,buy,25751.52,BTC-22SEP23-23000-P,46.43,0.00522783,0.005,1,1694043894190,264213781,52
0.1,,,,sell,25748.95,BTC-9SEP23-26250-C,30.63,0.00322724,0.0031,3,1694043783454,264213779,61
2.7,,,,buy,25754.06,BTC-29SEP23-26000-C,33.2,0.02895258,0.0295,0,1694043704505,264213776,2775
3.4,,,,sell,25753.4,BTC-29SEP23-26500-C,31.45,0.02048424,0.02,1,1694043695050,264213775,720
0.2,,,,sell,25744.47,BTC-29DEC23-28000-C,40.2,0.06186536,0.061,2,1694043378617,264213760,779
0.1,,,,sell,25748.39,BTC-9SEP23-26500-C,31.83,0.00180781,0.0017,3,1694043378120,264213757,50
0.9,,,,sell,25743.04,BTC-8SEP23-27000-C,45.67,0.00051815,0.0005,1,1694043352796,264213739,1172
2.0,,,,sell,25737.32,BTC-7SEP23-26500-C,50.91,0.00017608,0.0002,2,1694043334507,264213726,173
0.1,,,,sell,25734.22,BTC-9SEP23-28500-C,51.71,0.00017115,0.0001,1,1694043270003,264213721,2
1.8,,,,buy,25733.95,BTC-15SEP23-26500-C,31.28,0.00804635,0.008,3,1694043199509,264213715,427
3.0,,,,buy,25737.99,BTC-7SEP23-24500-P,71.45,3.748e-05,0.0001,3,1694043117328,264213705,127
2.0,,,,buy,25732.46,BTC-29SEP23-28500-C,35.64,0.00560534,0.006,0,1694043100963,264213697,480
0.2,,,,buy,25736.26,BTC-29SEP23-20000-P,60.02,0.00225129,0.0023,3,1694043092425,264213691,1988
0.5,,,,buy,25746.9,BTC-29SEP23-24000-C,38.44,0.08240064,0.082,0,1694043068250,264213677,330
3.2,,,,buy,25748.79,BTC-27OCT23-23000-P,42.77,0.01939592,0.0195,3,1694043063471,264213663,540
1.3,,,,sell,25764.92,BTC-29SEP23-25000-C,35.57,0.05285977,0.053,2,1694043009122,264213617,1296
0.1,,,,sell,25760.88,BTC-8SEP23-26000-C,29.77,0.0037776,0.0036,0,1694042901195,264213575,1927
0.3,,,,sell,25760.97,BTC-29DEC23-27000-C,40.25,0.07586496,0.0755,1,1694042726576,264213535,812
0.6,,,,sell,25770.25,BTC-8SEP23-25500-P,33.18,0.00400882,0.0038,2,1694042585796,264213506,1439
0.1,,,,sell,25761.42,BTC-8SEP23-27500-C,56.4,0.00040918,0.0004,1,1694042217370,264213376,1093
0.1,,,,buy,25753.86,BTC-9SEP23-24500-P,50.0,0.00183864,0.002,3,1694042064868,264213316,56
1.0,,,,buy,25755.58,BTC-8SEP23-28000-C,66.09,0.00021716,0.0003,0,1694042043800,264213314,1228
1.5,,,,sell,25753.68,BTC-7SEP23-25250-P,39.54,0.00025001,0.0003,3,1694042021570,264213311,108
1.0,,,,sell,25753.03,BTC-7SEP23-26000-C,25.91,0.00045924,0.0005,1,1694042017787,264213310,364
0.3,,,,buy,25738.51,BTC-15SEP23-28000-C,36.33,0.0016433,0.0016,2,1694041873878,264213290,538
0.1,,,,buy,25729.13,BTC-9SEP23-25000-P,40.04,0.00310804,0.0032,3,1694041599694,264213270,72
0.1,,,,buy,25724.62,BTC-29SEP23-24000-P,39.2,0.01228048,0.0125,3,1694041007441,264213158,2643
0.3,,,,buy,25726.18,BTC-9SEP23-25500-P,33.99,0.00681142,0.007,3,1694041005177,264213157,69
1.0,,,,sell,25726.98,BTC-15SEP23-28500-C,37.74,0.00098171,0.0009,2,1694040989808,264213152,342
0.4,,,,sell,25731.4,BTC-27OCT23-28000-P,36.67,0.10588165,0.106,2,1694040814627,264213102,471
