amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,buy,43780.15,BTC-26JAN24-49000-C,54.8,0.03979847,0.04,3,1702252754853,274646306,91
0.1,,,,buy,43779.85,BTC-22DEC23-44000-C,47.33,0.03211985,0.0325,0,1702252684335,274646282,608
1.0,,,,sell,43765.28,BTC-13DEC23-49500-C,66.21,0.00027416,0.0002,2,1702252569882,274646274,10
0.1,,,,buy,43766.53,BTC-11DEC23-42750-P,47.42,0.00037158,0.0003,3,1702252531894,274646202,204
0.1,,,,sell,43768.66,BTC-11DEC23-43500-P,28.66,0.00175438,0.0012,2,1702252524669,274646200,377
0.8,,,,buy,43761.09,BTC-11DEC23-43750-C,30.63,0.00381844,0.0037,2,1702252517957,274646199,217
0.1,,,,sell,43756.8,BTC-11DEC23-43000-P,42.14,0.00061341,0.0005,1,1702252357776,274646119,274
0.1,,,,buy,43745.02,BTC-23FEB24-43000-P,53.4,0.07787659,0.077,2,1702252256930,274646098,28
0.1,,,,buy,43753.64,BTC-22DEC23-43500-P,46.87,0.02844638,0.0285,3,1702252010887,274645966,220
0.3,,,,sell,43749.77,BTC-12DEC23-39500-P,80.58,0.00036127,0.0003,0,1702251985343,274645921,14
0.1,,,,sell,43755.71,BTC-12DEC23-44750-C,46.25,0.00355012,0.0035,2,1702251977310,274645920,47
0.8,,,,buy,43735.46,BTC-11DEC23-43750-P,31.05,0.00400712,0.0039,2,1702251947653,274645883,406
0.4,,,,sell,43735.55,BTC-26JAN24-50000-C,55.25,0.03441607,0.0345,2,1702251904280,274645822,1694
1.0,,,,sell,43730.18,BTC-15DEC23-46000-C,51.36,0.0063667,0.006,2,1702251772138,274645799,810
2.7,,,,buy,43719.79,BTC-15DEC23-52000-C,73.55,0.00039927,0.0005,3,1702251747283,274645782,164
1.1,,,,sell,43715.2,BTC-13DEC23-47000-C,53.86,0.00106816,0.0009,0,1702251716002,274645775,12
0.5,,,,sell,43715.3,BTC-15DEC23-45500-C,50.47,0.00828512,0.008,3,1702251712201,274645774,274
2.9,,,,sell,43721.8,BTC-12DEC23-47000-C,61.45,0.0004132,0.0004,0,1702251663634,274645764,27
1.0,,,,sell,43723.41,BTC-13DEC23-46000-C,50.72,0.00240116,0.0022,2,1702251654570,274645763,8
0.1,,,,sell,43714.94,BTC-13DEC23-44750-C,47.32,0.00663482,0.0065,2,1702251623667,274645756,18
0.4,,,,sell,43710.19,BTC-22DEC23-44000-P,46.58,0.03468008,0.0345,1,1702251619504,274645752,263
0.1,,,,sell,43707.93,BTC-13DEC23-44500-C,46.88,0.00815174,0.008,0,1702251610015,274645751,29
1.7,,,,buy,43703.8,BTC-13DEC23-49000-C,68.27,0.00027289,0.0004,3,1702251594806,274645743,8
0.4,,,,sell,43696.47,BTC-11DEC23-41750-P,67.32,6.511e-05,0.0001,3,1702251564976,274645736,92
1.0,,,,sell,43705.23,BTC-11DEC23-45250-C,58.69,0.00022812,0.0002,3,1702251470082,274645679,39
0.2,,,,sell,43708.2,BTC-29DEC23-40000-P,49.18,0.01194807,0.0115,2,1702251453320,274645677,1990
0.3,,,,buy,43689.57,BTC-22DEC23-43000-P,46.85,0.0240908,0.024,0,1702251437147,274645663,147
1.5,,,,sell,43714.43,BTC-29DEC23-60000-C,70.51,0.0018244,0.0017,0,1702251341640,274645580,3467
0.2,,,,sell,43703.22,BTC-29DEC23-44000-C,47.16,0.04162333,0.0415,2,1702251249639,274645427,3091
2.2,,,,sell,43703.32,BTC-12DEC23-45500-C,50.08,0.00168226,0.0014,2,1702251201945,274645400,55
1.8,,,,sell,43687.82,BTC-12DEC23-46000-C,53.03,0.00100837,0.0008,3,1702251181430,274645384,31
1.0,,,,buy,43687.66,BTC-29DEC23-45000-C,47.09,0.03183065,0.0315,0,1702251172773,274645378,8829
0.1,,,,sell,43691.93,BTC-23FEB24-48000-C,54.91,0.06801785,0.0685,0,1702251171721,274645377,88
4.5,,,,sell,43706.15,BTC-12DEC23-46500-C,56.03,0.00062266,0.0005,2,1702251157857,274645371,12
0.5,,,,buy,43707.21,BTC-12DEC23-39000-P,83.34,0.00018112,0.0002,1,1702251130618,274645359,40
3.0,,,,sell,43715.59,BTC-13DEC23-45000-C,46.82,0.00558127,0.005,2,1702251112601,274645345,36
4.2,,,,buy,43684.63,BTC-12DEC23-45000-C,48.21,0.00272478,0.0025,3,1702251045233,274645268,44
5.0,,,,sell,43690.42,BTC-11DEC23-45000-C,54.62,0.00036566,0.0003,0,1702251012087,274645250,177
3.1,,,,sell,43674.36,BTC-11DEC23-46000-C,81.57,3.793e-05,0.0002,1,1702250988390,274645217,163
1.1,,,,buy,43685.32,BTC-22DEC23-36000-P,66.18,0.00189334,0.002,3,1702250956768,274645199,209
0.1,,,,buy,43687.07,BTC-22DEC23-35000-P,70.12,0.00148614,0.0015,0,1702250950661,274645196,131
0.1,,,,sell,43686.7,BTC-11DEC23-44250-C,35.4,0.00089037,0.0007,1,1702250929589,274645180,403
0.1,,,,buy,43686.7,BTC-23FEB24-38000-P,55.11,0.03630717,0.036,0,1702250928921,274645175,85
1.0,,,,buy,43692.22,BTC-15DEC23-48000-C,57.84,0.00216824,0.0021,2,1702250859532,274645117,915
1.5,,,,sell,43724.28,BTC-15DEC23-40500-P,57.05,0.003029,0.003,3,1702250795640,274644957,523
1.5,,,,sell,43708.24,BTC-15DEC23-42000-P,51.85,0.00724921,0.0075,0,1702250757612,274644947,656
0.1,,,,buy,43674.22,BTC-12DEC23-44000-C,45.63,0.00790622,0.008,3,1702250697894,274644893,109
0.1,,,,sell,43671.87,BTC-29DEC23-42000-P,47.66,0.0234967,0.0235,0,1702250661777,274644824,807
