amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.2,,,,,,0.2,buy,86533.29,BTC-28NOV25-96000-C,58.13,,0.00426334,0.0044,0,1763683189675,399687121,1092
0.2,,,,,,0.2,sell,86546.76,BTC-28NOV25-105000-C,70.12,,0.00107992,0.0011,2,1763683180396,399687104,1443
0.2,,,,,,0.2,sell,86539.89,BTC-22NOV25-89000-C,64.66,,0.0054955,0.0055,3,1763683179426,399687099,34
25.0,,BLOCK-245100,2,BTC-PS-28NOV25-90000_80000,,25.0,sell,86522.7,BTC-28NOV25-90000-P,55.18,,0.05537057,0.0552,2,1763683176052,399687083,8766
25.0,,BLOCK-245100,2,BTC-PS-28NOV25-90000_80000,,25.0,buy,86522.7,BTC-28NOV25-80000-P,64.34,,0.0090061,0.0093,0,1763683176052,399687084,5632
0.3,,,,,,0.3,sell,86509.62,BTC-26DEC25-120000-P,58.75,,0.38427466,0.3845,1,1763683175112,399687081,2249
0.2,,,,,,0.2,buy,86509.72,BTC-22NOV25-92000-C,70.9,,0.00137384,0.0015,1,1763683175036,399687077,135
0.2,,,,,,0.2,buy,86512.44,BTC-27MAR26-130000-C,52.27,,0.01775617,0.018,1,1763683172264,399687061,3639
4.1,,,,,,4.1,sell,86489.75,BTC-26DEC25-85000-P,53.52,,0.05533942,0.0555,1,1763683152934,399687036,13734
0.3,,,,,,0.3,sell,86489.75,BTC-26DEC25-80000-P,55.55,,0.03393794,0.034,1,1763683152033,399687018,6682
0.4,,,,,,0.4,sell,86486.2,BTC-21NOV25-86000-P,66.05,,0.0055644,0.0055,1,1763683150859,399687011,528
0.1,,,,,,0.1,sell,86485.78,BTC-28NOV25-93000-C,55.47,,0.00794831,0.008,2,1763683149301,399687001,404
9.0,,,,,,9.0,buy,86471.74,BTC-22NOV25-98000-C,98.21,,0.00023332,0.0004,0,1763683146048,399686994,109
0.9,,,,,,0.9,sell,86471.62,BTC-28NOV25-95000-C,56.28,,0.00500079,0.005,3,1763683141124,399686983,1273
0.2,,,,,,0.2,sell,86495.87,BTC-28NOV25-98000-C,60.42,,0.00287195,0.003,3,1763683134227,399686981,825
0.2,,,,,,0.2,sell,86486.11,BTC-24NOV25-88000-C,53.28,,0.01276702,0.013,2,1763683127463,399686889,16
0.1,,,,,,0.1,sell,86506.12,BTC-26DEC25-106000-C,52.15,,0.00923281,0.0095,2,1763683122487,399686876,693
0.2,,,,,,0.2,buy,86527.23,BTC-28NOV25-100000-C,63.16,,0.00210382,0.0022,3,1763683120155,399686869,1628
0.1,,,,,,0.1,sell,86569.8,BTC-27MAR26-200000-C,64.0,,0.00281395,0.0029,2,1763683107589,399686816,1291
0.1,,,,,,0.1,buy,86578.5,BTC-22NOV25-97000-C,90.43,,0.00030851,0.0004,1,1763683107113,399686814,58
0.3,,,,,,0.3,sell,86590.53,BTC-12DEC25-95000-C,51.58,,0.01834388,0.018,0,1763683105334,399686811,27
0.1,,,,,,0.1,sell,86620.58,BTC-21NOV25-88000-P,66.05,,0.01824245,0.0185,0,1763683101446,399686788,1585
0.2,,,,,,0.2,sell,86657.74,BTC-28NOV25-103000-C,66.63,,0.00140034,0.0014,2,1763683088611,399686753,777
0.1,,,,,,0.1,buy,86657.74,BTC-28NOV25-88000-P,55.7,,0.03906334,0.0395,1,1763683088222,399686751,344
1.7,,,,,,1.7,buy,86657.74,BTC-26DEC25-86000-P,52.93,,0.05912142,0.0595,0,1763683087969,399686749,314
0.5,,,,,,0.5,buy,86687.04,BTC-26DEC25-95000-P,51.03,,0.12109611,0.1215,2,1763683087891,399686747,8065
0.8,,,,,,0.8,sell,86687.04,BTC-21NOV25-86500-C,61.63,,0.00882604,0.0085,2,1763683087498,399686734,3
0.1,,,,,,0.1,buy,86687.04,BTC-21NOV25-82000-P,95.67,,0.0002819,0.0003,0,1763683087436,399686717,256
0.2,,,,,,0.2,sell,86684.25,BTC-26DEC25-96000-P,50.47,,0.12958475,0.1295,0,1763683082795,399686669,1070
0.4,,,,,,0.4,sell,86684.25,BTC-26JUN26-150000-C,52.73,,0.02468428,0.025,1,1763683082562,399686666,651
0.2,,,,,,0.2,sell,86705.97,BTC-28NOV25-99000-C,60.05,,0.0025264,0.0024,2,1763683019812,399686539,820
0.1,,,,,,0.1,buy,86734.62,BTC-23NOV25-87000-P,55.02,,0.01892019,0.019,0,1763682968623,399686490,83
0.1,,,,,,0.1,sell,86738.19,BTC-23NOV25-86000-P,56.87,,0.01383611,0.014,0,1763682960700,399686481,90
0.3,,,,,,0.3,buy,86735.45,BTC-22NOV25-100000-C,105.07,,0.00016777,0.0003,1,1763682958229,399686479,101
4.1,,,,,,4.1,sell,86711.93,BTC-28NOV25-101000-P,64.03,,0.1654256,0.1655,1,1763682950410,399686466,492
0.1,,,,,,0.1,buy,86699.84,BTC-28NOV25-115000-P,86.5,,0.32547129,0.3255,1,1763682921802,399686443,941
0.1,,,,,,0.1,buy,86707.88,BTC-28NOV25-120000-C,94.34,,0.00039961,0.0004,1,1763682918316,399686438,8360
1.0,,,,BTC-CS-27MAR26-100000_125000,399686418,1.0,buy,86700.65,BTC-27MAR26-100000-C,50.12,,0.06908518,0.0691,0,1763682913054,399686420,837
1.0,,,,BTC-CS-27MAR26-100000_125000,399686418,1.0,sell,86700.65,BTC-27MAR26-125000-C,51.48,,0.02204562,0.0221,0,1763682913054,399686419,1034
0.1,,,,,,0.1,buy,86685.21,BTC-23NOV25-88000-P,54.59,,0.02578109,0.026,0,1763682874769,399686357,123
0.1,,,,,,0.1,sell,86633.76,BTC-22NOV25-86000-P,66.19,,0.01240634,0.0125,0,1763682859444,399686284,106
4.3,,,,,,4.3,buy,86625.83,BTC-5DEC25-84000-P,56.05,,0.02923927,0.0295,1,1763682846793,399686201,85
0.2,,,,,,0.2,buy,86619.02,BTC-28NOV25-110000-C,79.58,,0.00070661,0.0008,1,1763682838744,399686142,4901
0.1,,,,,,0.1,buy,86586.03,BTC-30JAN26-110000-C,50.35,,0.01903042,0.019,2,1763682816652,399685985,506
0.1,,,,,,0.1,buy,86591.13,BTC-28NOV25-109000-C,78.48,,0.00077278,0.0009,1,1763682813105,399685980,464
0.2,,,,,,0.2,buy,86574.9,BTC-28NOV25-98000-P,60.96,,0.13362065,0.134,1,1763682805197,399685930,1125
0.1,,,,,,0.1,sell,86595.59,BTC-30JAN26-90000-C,50.77,,0.07611047,0.076,2,1763682776218,399685793,103
0.2,,,,,,0.2,buy,86595.59,BTC-27MAR26-95000-P,50.48,,0.16574168,0.166,0,1763682776167,399685792,2328
0.1,,,,,,0.1,sell,86595.59,BTC-12DEC25-92000-C,51.7,,0.02721695,0.027,2,1763682776124,399685774,41
0.2,,,,,,0.2,buy,86604.08,BTC-21NOV25-90000-P,83.8,,0.03956212,0.04,0,1763682775641,399685773,1845
0.5,,,,,,0.5,sell,86617.54,BTC-21NOV25-88000-C,64.27,,0.00216382,0.0023,2,1763682761879,399685693,259
0.1,,,,,,0.1,sell,86628.38,BTC-12DEC25-88000-C,52.84,,0.04481049,0.045,2,1763682759660,399685676,33
0.8,,,,,,0.8,sell,86688.0,BTC-12DEC25-80000-P,56.77,,0.02254716,0.022,1,1763682713906,399685582,54
0.1,,,,,,0.1,buy,86688.22,BTC-28NOV25-122000-C,95.29,,0.00028363,0.0003,1,1763682682598,399685560,4796
0.1,,,,,,0.1,sell,86692.65,BTC-26DEC25-75000-P,57.81,,0.01950129,0.019,0,1763682679741,399685559,4423
0.1,,,,,,0.1,sell,86693.79,BTC-21NOV25-90000-C,68.23,,0.0003189,0.0003,2,1763682676792,399685558,434
