amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
2.3,,,,,,2.3,sell,123521.74,BTC-6OCT25-125000-C,38.98,,0.00115674,0.001,3,1759708796202,388246290,309
0.6,,,,,,0.6,sell,123519.6,BTC-31OCT25-122000-C,36.14,,0.04814704,0.0485,2,1759708776336,388246289,4108
0.5,,,,,,0.5,sell,123513.98,BTC-26DEC25-142000-C,40.14,,0.03253842,0.032,2,1759708743276,388246257,60
3.2,,,,,,3.2,sell,123513.98,BTC-28NOV25-130000-C,37.74,,0.04170852,0.0415,1,1759708742404,388246248,1161
0.1,,,,,,0.1,buy,123518.04,BTC-10OCT25-105000-P,70.5,,0.00037957,0.0004,3,1759708735884,388246234,751
8.7,,,,,,8.7,buy,123517.87,BTC-17OCT25-106000-P,49.18,,0.00120871,0.0011,3,1759708728298,388246229,305
0.1,,,,,,0.1,sell,123518.33,BTC-10OCT25-123000-P,37.31,,0.01304183,0.013,1,1759708722784,388246224,113
0.1,,,,,,0.1,buy,123519.39,BTC-31OCT25-200000-C,65.55,,0.00020992,0.0002,3,1759708719255,388246222,193
0.5,,,,,,0.5,sell,123520.48,BTC-31OCT25-126000-C,35.64,,0.03196358,0.032,0,1759708712467,388246199,3331
0.1,,,,,,0.1,sell,123521.37,BTC-24OCT25-130000-C,34.82,,0.01465533,0.014,2,1759708703428,388246193,320
17.1,,,,,,17.1,buy,123521.77,BTC-10OCT25-122000-P,37.99,,0.00987421,0.01,1,1759708695343,388246169,273
0.1,,,,,,0.1,sell,123522.38,BTC-24OCT25-127000-C,35.09,,0.02248923,0.022,1,1759708684556,388246165,128
0.1,,,,,,0.1,sell,123523.75,BTC-31OCT25-150000-C,41.94,,0.00239319,0.0023,2,1759708671915,388246143,1756
0.1,,,,,,0.1,buy,123524.95,BTC-26DEC25-120000-P,40.39,T,0.05278887,0.053,0,1759708665380,388246134,1498
0.1,,,,,,0.1,buy,123532.19,BTC-10OCT25-102000-P,74.23,,0.00019662,0.0002,3,1759708643539,388246088,518
0.2,,,,BTC-ICOND-31OCT25-106000_112000_138000_145000,388246016,0.2,sell,123534.66,BTC-31OCT25-106000-P,43.72,,0.00378881,0.0039,2,1759708555453,388246019,1543
0.2,,,,BTC-ICOND-31OCT25-106000_112000_138000_145000,388246016,0.2,sell,123534.66,BTC-31OCT25-145000-C,40.54,,0.00365442,0.004,0,1759708555453,388246018,1354
0.2,,,,BTC-ICOND-31OCT25-106000_112000_138000_145000,388246016,0.2,buy,123534.66,BTC-31OCT25-138000-C,36.98,,0.00775069,0.0077,0,1759708555453,388246017,915
0.2,,,,BTC-ICOND-31OCT25-106000_112000_138000_145000,388246016,0.2,buy,123534.66,BTC-31OCT25-112000-P,39.3,,0.00786097,0.0078,2,1759708555453,388246020,2668
0.1,,,,,,0.1,sell,123535.16,BTC-27MAR26-100000-P,46.01,,0.03424953,0.034,3,1759708553352,388246014,1013
0.1,,,,,,0.1,sell,123532.32,BTC-17OCT25-125000-C,36.21,,0.0217969,0.022,1,1759708542103,388246011,838
0.9,,,,,,0.9,buy,123522.37,BTC-8OCT25-119000-P,41.11,,0.00193611,0.0019,1,1759708421074,388245888,27
1.9,,,,,,1.9,buy,123535.93,BTC-8OCT25-120000-P,39.07,,0.00281348,0.0027,2,1759708378815,388245867,36
0.3,,,,,,0.3,buy,123536.54,BTC-26DEC25-112000-P,41.4,,0.03094934,0.031,3,1759708358759,388245853,79
1.0,,,,,,1.0,sell,123518.11,BTC-26DEC25-115000-P,40.79,,0.03808994,0.038,3,1759708354409,388245821,1947
1.5,,,,,,1.5,buy,123515.73,BTC-9OCT25-122000-P,36.87,,0.00789196,0.008,3,1759708354208,388245808,23
1.0,,,,,,1.0,sell,123515.73,BTC-26DEC25-140000-C,40.21,,0.03638621,0.036,3,1759708354011,388245805,8541
0.3,,,,,,0.3,sell,123502.83,BTC-31OCT25-125000-C,35.62,,0.03537135,0.0355,1,1759708319534,388245712,2701
0.2,,,,BTC-ICOND-24OCT25-110000_115000_135000_140000,388245657,0.2,buy,123521.57,BTC-24OCT25-115000-P,38.44,,0.00821232,0.0083,2,1759708291941,388245659,66
0.2,,,,BTC-ICOND-24OCT25-110000_115000_135000_140000,388245657,0.2,sell,123521.57,BTC-24OCT25-140000-C,39.01,,0.00348131,0.0037,0,1759708291941,388245661,132
