amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
3.0,,,3.0,buy,60787.61,BTC-11MAY24-60000-P,50.0,,0.00115953,0.0016,0,1715385575241,301115003,235
0.6,,,0.6,buy,60784.78,BTC-31MAY24-64000-C,49.97,,0.02767569,0.0275,1,1715385563484,301114998,1260
6.5,,,6.5,sell,60796.03,BTC-11MAY24-59500-P,55.95,,0.00060381,0.0008,1,1715385536592,301114981,309
0.1,,,0.1,sell,60798.54,BTC-31MAY24-70000-C,52.63,,0.00886026,0.009,3,1715385534295,301114975,3257
4.8,,,4.8,sell,60788.8,BTC-12MAY24-61000-P,34.21,,0.01078566,0.01,2,1715385514725,301114959,135
2.4,,,2.4,buy,60788.64,BTC-28JUN24-105000-C,71.29,,0.0022726,0.0024,3,1715385507652,301114956,821
0.3,,,0.3,sell,60788.64,BTC-27DEC24-75000-C,63.79,,0.1423334,0.1425,2,1715385507647,301114955,647
0.1,,,0.1,sell,60788.99,BTC-28JUN24-70000-C,54.53,,0.03293046,0.0325,1,1715385499145,301114952,4769
0.1,,,0.1,sell,60781.3,BTC-26JUL24-105000-C,66.44,,0.00690179,0.0065,2,1715385462601,301114919,48
0.2,,,0.2,buy,60781.95,BTC-12MAY24-62500-C,41.96,,0.00162399,0.0018,2,1715385456372,301114917,74
0.8,,,0.8,buy,60797.39,BTC-11MAY24-59000-P,60.98,,0.00031251,0.0004,0,1715385376347,301114879,339
0.1,,,0.1,sell,60786.0,BTC-17MAY24-57000-P,53.44,,0.00682097,0.0065,0,1715385361087,301114875,579
0.2,,,0.2,sell,60785.32,BTC-17MAY24-59000-P,48.93,,0.0135386,0.013,3,1715385360133,301114869,942
0.4,,,0.4,sell,60773.56,BTC-28JUN24-65000-C,54.11,,0.05468914,0.055,1,1715385356439,301114859,4401
0.1,,,0.1,buy,60773.56,BTC-31MAY24-45000-P,69.84,,0.00181049,0.0018,0,1715385355850,301114858,556
0.1,,,0.1,sell,60783.11,BTC-31MAY24-62000-C,50.33,,0.03979076,0.04,0,1715385355245,301114855,1066
0.5,,,0.5,sell,60825.6,BTC-11MAY24-61000-C,32.02,,0.0033444,0.003,3,1715385325192,301114823,125
1.0,,,1.0,buy,60825.6,BTC-31MAY24-58000-P,52.49,,0.02667005,0.027,0,1715385324451,301114813,1430
2.4,,,2.4,sell,60879.55,BTC-12MAY24-61000-C,36.61,,0.00820462,0.008,1,1715385323932,301114790,90
1.0,,,1.0,sell,60879.55,BTC-26JUL24-67000-C,56.09,,0.07058075,0.0705,2,1715385323839,301114785,134
0.1,,,0.1,buy,60879.55,BTC-12MAY24-57000-P,60.51,,0.00050523,0.0005,2,1715385323544,301114760,70
0.1,,,0.1,buy,60879.12,BTC-31MAY24-57000-C,52.47,,0.08864685,0.0885,0,1715385261146,301114687,322
2.6,,,2.6,sell,60887.1,BTC-31MAY24-63000-C,50.18,,0.0339346,0.034,0,1715385191027,301114648,1085
0.1,,,0.1,sell,60900.45,BTC-11MAY24-63500-C,62.82,,0.00016342,0.0001,3,1715385163621,301114605,201
0.2,,,0.2,buy,60904.78,BTC-17MAY24-68000-C,53.85,,0.00186929,0.002,3,1715385147551,301114604,1072
0.1,,,0.1,buy,60904.4,BTC-17MAY24-67000-C,52.2,,0.00269046,0.0028,0,1715385141737,301114600,1132
0.1,,,0.1,sell,60906.03,BTC-11MAY24-62000-C,42.25,,0.00059241,0.0005,0,1715385076324,301114589,181
5.0,,,5.0,buy,60904.77,BTC-26JUL24-48000-P,57.84,,0.02005601,0.0205,0,1715385057913,301114587,72
0.4,,,0.4,buy,60893.88,BTC-13MAY24-60000-P,41.69,,0.00718518,0.007,3,1715385002123,301114548,43
4.4,,,4.4,sell,60902.07,BTC-13MAY24-61000-P,40.23,,0.01316131,0.0135,1,1715384985411,301114541,44
1.0,,,1.0,sell,60909.21,BTC-11MAY24-62500-C,50.16,,0.00035449,0.0003,2,1715384950523,301114521,256
1.2,,,1.2,sell,60913.64,BTC-11MAY24-61500-C,35.03,,0.00129343,0.0011,2,1715384907745,301114514,129
0.1,,,0.1,sell,60912.89,BTC-13MAY24-60500-P,41.66,,0.00973597,0.01,1,1715384896043,301114513,35
