amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.3,,,,buy,26758.29,BTC-14OCT23-27500-C,35.78,,0.00098397,0.0011,3,1697155085572,266598627,139
0.2,,,,sell,26756.58,BTC-13OCT23-26000-P,55.92,,0.00028928,0.0003,1,1697155083211,266598626,1329
0.1,,,,buy,26756.58,BTC-24NOV23-29000-C,32.47,,0.01653952,0.0165,0,1697155082671,266598625,1777
0.1,,,,sell,26756.56,BTC-24NOV23-34000-C,43.44,,0.00399298,0.0039,2,1697155082240,266598623,811
0.5,,,,buy,26760.14,BTC-24NOV23-33000-C,42.37,,0.0052759,0.0055,0,1697155017117,266598610,661
1.1,,,,buy,26758.51,BTC-14OCT23-26500-C,34.31,,0.0142084,0.014,0,1697155008870,266598597,29
0.1,,,,sell,26758.06,BTC-20OCT23-27500-C,28.23,,0.00631636,0.006,3,1697154994903,266598594,540
2.8,,,,buy,26757.4,BTC-14OCT23-26250-P,38.77,,0.00253741,0.0027,2,1697154988961,266598592,72
0.1,,,,buy,26757.59,BTC-24NOV23-30000-C,34.51,,0.01157589,0.0115,3,1697154979169,266598591,1489
1.9,,,,sell,26758.53,BTC-14OCT23-26500-P,35.35,,0.00447847,0.0045,3,1697154974562,266598590,111
1.5,,,,sell,26759.02,BTC-13OCT23-24500-P,121.82,,0.00013047,0.0001,3,1697154970803,266598587,573
0.6,,,,buy,26759.02,BTC-27OCT23-27000-C,28.11,,0.01846603,0.0185,1,1697154970774,266598585,3221
0.1,,,,buy,26748.45,BTC-20OCT23-26500-C,29.77,,0.02199744,0.022,1,1697154922023,266598544,121
0.2,,,,sell,26737.96,BTC-14OCT23-27750-C,40.25,,0.00064949,0.0007,3,1697154874301,266598531,70
0.4,,,,buy,26737.96,BTC-20OCT23-26000-C,32.65,,0.03527028,0.0355,1,1697154874078,266598529,71
0.3,,,,sell,26738.94,BTC-20OCT23-28000-C,31.09,,0.00360317,0.0035,3,1697154865995,266598524,1204
0.3,,,,buy,26737.38,BTC-20OCT23-26000-P,32.56,,0.00731712,0.0075,2,1697154838735,266598504,667
0.2,,,,buy,26746.25,BTC-27OCT23-23000-P,50.86,,0.00265064,0.0027,3,1697154563204,266598439,1811
0.1,,,,sell,26747.12,BTC-13OCT23-27000-C,28.13,,0.00057907,0.0006,1,1697154550260,266598436,1101
1.8,,,,sell,26742.74,BTC-15OCT23-23500-P,77.7,,0.00048289,0.0004,3,1697154216318,266598364,15
1.0,,,,buy,26744.75,BTC-24NOV23-27000-C,30.79,,0.0394115,0.039,3,1697154034147,266598323,1196
0.1,,,,sell,26756.96,BTC-15OCT23-26000-P,34.08,,0.00214838,0.002,2,1697153968837,266598256,23
0.1,,,,sell,26756.61,BTC-13OCT23-28500-C,88.16,,3.713e-05,0.0001,3,1697153907886,266598234,2085
