amount,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,1.0,sell,69303.34,BTC-3NOV24-69500-P,21.13,0.0040371,0.0042,2,1730591994184,323418866,299
0.1,,,0.1,buy,69303.34,BTC-29NOV24-80000-C,62.31,0.02106343,0.021,2,1730591994053,323418862,2815
0.5,,,0.5,buy,69303.34,BTC-15NOV24-78000-C,67.58,0.01256531,0.0125,3,1730591993897,323418857,255
0.1,,,0.1,sell,69303.34,BTC-8NOV24-80000-P,79.73,0.15672385,0.1565,2,1730591993699,323418854,57
1.0,,,1.0,buy,69303.37,BTC-28MAR25-80000-C,55.27,0.09746216,0.0975,2,1730591993360,323418827,3579
18.2,,,18.2,sell,69303.37,BTC-8NOV24-69000-P,78.14,0.03502,0.035,1,1730591993250,323418811,749
0.1,,,0.1,sell,69291.19,BTC-8NOV24-90000-P,99.69,0.29840371,0.2985,2,1730591927895,323418708,11
0.1,,,0.1,sell,69269.75,BTC-8NOV24-85000-C,84.87,0.00117799,0.001,3,1730591906897,323418685,351
0.1,,,0.1,sell,69275.46,BTC-8NOV24-80000-C,80.06,0.00332695,0.0032,2,1730591892109,323418677,3301
5.0,,,5.0,sell,69275.53,BTC-31JAN25-69000-C,54.81,0.12057032,0.121,0,1730591877464,323418676,20
0.1,,,0.1,buy,69284.48,BTC-8NOV24-50000-P,125.22,0.00057231,0.0007,3,1730591730271,323418650,1969
0.1,,,0.1,buy,69291.85,BTC-8NOV24-60000-P,85.51,0.00349364,0.0035,0,1730591701039,323418612,3231
4.3,,,4.3,buy,69290.46,BTC-28MAR25-65000-C,54.21,0.18384096,0.184,2,1730591692594,323418611,815
9.3,,,9.3,sell,69283.84,BTC-4NOV24-66500-P,44.27,0.00070359,0.0007,1,1730591684059,323418609,28
1.0,,,1.0,sell,69283.82,BTC-3NOV24-68000-P,36.27,0.00020741,0.0002,3,1730591583455,323418576,192
1.0,,,1.0,buy,69283.23,BTC-8NOV24-67000-C,77.28,0.05608128,0.056,2,1730591454520,323418556,1574
0.1,,,0.1,buy,69283.39,BTC-22NOV24-78000-C,64.33,0.01965503,0.02,3,1730591441595,323418549,45
0.2,,,0.2,buy,69284.1,BTC-8NOV24-69000-C,76.7,0.03983636,0.0395,3,1730591348896,323418535,613
0.1,,,0.1,buy,69283.57,BTC-8NOV24-90000-C,94.37,0.00050549,0.0005,3,1730591324265,323418500,1724
0.1,,,0.1,sell,69282.89,BTC-5NOV24-63000-P,62.15,0.00051271,0.0005,1,1730591291128,323418490,30
0.1,,,0.1,sell,69283.31,BTC-5NOV24-62000-P,65.53,0.00039915,0.0003,3,1730591287761,323418489,5
0.1,,,0.1,sell,69284.82,BTC-4NOV24-71500-C,32.74,0.00070664,0.0005,3,1730591276596,323418486,63
