amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
1.0,,,,,1.0,buy,104827.06,BTC-14FEB25-101000-P,54.0,0.03113264,0.0315,3,1737763140924,343759242,96
2.0,,,,,2.0,sell,104819.31,BTC-28FEB25-104000-P,55.33,0.05822564,0.0585,0,1737763118183,343759226,476
0.1,,,,,0.1,sell,104813.98,BTC-25JAN25-104000-C,31.75,0.00883841,0.009,3,1737763115394,343759221,136
0.1,,,,,0.1,buy,104831.68,BTC-7FEB25-112000-C,55.09,0.01838031,0.0185,0,1737763109567,343759203,279
0.3,,,,,0.3,sell,104838.45,BTC-28FEB25-114000-C,57.09,0.04024777,0.0405,3,1737763102299,343759194,555
0.7,,,,,0.7,buy,104844.32,BTC-7FEB25-150000-C,79.47,0.00060239,0.0006,2,1737763075067,343759162,43
0.1,,,,,0.1,buy,104838.74,BTC-25JAN25-107500-C,49.41,0.00018269,0.0003,2,1737763045862,343759133,156
0.1,,,,,0.1,buy,104855.39,BTC-25JAN25-105500-C,31.29,0.0016083,0.0015,0,1737763015923,343759097,46
0.3,,,,,0.3,buy,104855.39,BTC-25JAN25-105000-C,29.27,0.00303832,0.0029,1,1737763015906,343759096,289
1.0,,,,,1.0,sell,104819.94,BTC-26JAN25-105000-P,23.92,0.00702412,0.0065,3,1737762979443,343759055,228
0.5,,,,,0.5,sell,104819.88,BTC-7FEB25-109000-C,52.91,0.02628314,0.0255,2,1737762966599,343759043,170
0.1,,,,,0.1,buy,104820.02,BTC-31JAN25-100000-P,52.27,0.00952675,0.0095,2,1737762954941,343759039,2554
1.7,,,,,1.7,sell,104820.03,BTC-7FEB25-102000-P,52.45,0.02639158,0.026,1,1737762947503,343759030,126
0.3,,,,,0.3,buy,104811.99,BTC-27JAN25-105000-C,33.23,0.01003424,0.01,0,1737762927376,343759022,37
0.2,,,,,0.2,sell,104800.26,BTC-31JAN25-110000-C,52.5,0.01103091,0.0105,3,1737762917423,343759016,5695
0.2,,,,,0.2,buy,104795.75,BTC-31JAN25-103000-P,51.46,0.01837963,0.0185,2,1737762870833,343758995,598
1.2,,,,,1.2,buy,104781.3,BTC-26JAN25-105000-C,26.23,0.00549156,0.0055,0,1737762853914,343758991,166
0.5,,,,,0.5,buy,104781.3,BTC-14FEB25-116000-C,56.06,0.01912018,0.019,3,1737762853754,343758985,36
0.1,,,,,0.1,buy,104770.95,BTC-25JAN25-106500-C,39.75,0.00049867,0.0005,0,1737762815496,343758972,91
0.1,,,,,0.1,buy,104752.37,BTC-14FEB25-112000-C,55.33,0.02802373,0.028,1,1737762764850,343758961,118
0.1,,,,,0.1,sell,104757.14,BTC-27JAN25-113000-C,43.54,0.00025502,0.0002,1,1737762760030,343758959,1
0.5,,,,,0.5,sell,104745.2,BTC-27JUN25-240000-C,72.41,0.0135681,0.0135,2,1737762746758,343758958,117
0.1,,,,,0.1,sell,104697.31,BTC-27JAN25-98000-P,44.32,0.00052273,0.0004,2,1737762700030,343758908,33
0.1,,,,,0.1,sell,104704.85,BTC-14FEB25-125000-C,60.09,0.00845426,0.0085,3,1737762686983,343758907,157
0.5,,,,,0.5,buy,104774.03,BTC-14FEB25-107000-P,53.72,0.05958733,0.059,0,1737762585624,343758847,7
4.3,,,,,4.3,sell,104777.54,BTC-25JAN25-103000-P,39.07,0.00040083,0.0004,2,1737762565041,343758841,154
0.5,,,,,0.5,sell,104773.82,BTC-25JAN25-107000-P,43.69,0.02150993,0.0215,1,1737762545727,343758832,38
0.5,,,,,0.5,buy,104767.57,BTC-31JAN25-107000-P,51.73,0.03872526,0.0385,0,1737762525002,343758821,181
1.0,,,,,1.0,buy,104770.13,BTC-26JAN25-106000-C,27.61,0.00252937,0.0025,2,1737762482939,343758798,145
2.7,,,,,2.7,sell,104775.57,BTC-31JAN25-77000-P,101.41,0.00044055,0.0004,1,1737762475705,343758795,852
0.1,,,,,0.1,sell,104771.29,BTC-27JAN25-110000-C,38.45,0.00095113,0.0008,2,1737762451038,343758781,98
2.0,,,,,2.0,sell,104773.48,BTC-31JAN25-85000-P,78.2,0.0006877,0.0007,1,1737762398063,343758733,1884
0.1,,,,,0.1,sell,104773.16,BTC-27JAN25-101000-P,35.91,0.00141631,0.0013,2,1737762397034,343758731,53
6.8,,,,,6.8,sell,104735.01,BTC-25JAN25-108000-C,47.87,0.00014398,0.0001,3,1737762336934,343758687,494
0.1,,,,,0.1,buy,104732.67,BTC-27JAN25-106000-C,33.6,0.00607406,0.006,1,1737762327105,343758680,40
0.1,,,,,0.1,sell,104748.76,BTC-26DEC25-400000-C,71.88,0.01894925,0.0175,2,1737762202676,343758583,107
3.0,,,,,3.0,buy,104762.64,BTC-31JAN25-111000-C,55.4,0.00914373,0.0095,2,1737762162710,343758561,503
0.1,,,,,0.1,sell,104761.57,BTC-31JAN25-95000-P,56.97,0.00323472,0.0031,2,1737762157766,343758551,2091
1.0,,,,,1.0,sell,104753.14,BTC-7FEB25-105000-P,53.29,0.03995061,0.04,0,1737762149502,343758546,142
1.0,,,,,1.0,sell,104685.95,BTC-31JAN25-112000-C,55.38,0.00753076,0.0075,2,1737761824963,343758366,1956
0.3,,,,,0.3,sell,104712.81,BTC-7FEB25-100000-C,53.47,0.0684414,0.0685,1,1737761820961,343758346,46
0.1,,,,,0.1,sell,104734.57,BTC-27JUN25-105000-P,58.6,0.12663689,0.1265,0,1737761789440,343758334,284
12.0,BLOCK-178897,4,,,12.0,sell,104733.66,BTC-31JAN25-107000-C,51.81,0.01878723,0.0186,0,1737761787636,343758332,577
