amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
5.0,,,,,buy,25832.62,BTC-13SEP23-25750-C,30.91,,0.0110769,0.0115,2,1694390317128,264382289,13
0.4,,,,,buy,25832.66,BTC-13SEP23-25750-P,29.79,,0.00792508,0.008,0,1694390305375,264382287,25
16.8,BLOCK-94915,2,BTC-PSR12-29DEC23-25000_23000,,sell,25835.71,BTC-29DEC23-23000-P,44.98,,0.0428205,0.0435,2,1694390185270,264382280,766
8.4,BLOCK-94915,2,BTC-PSR12-29DEC23-25000_23000,,buy,25835.71,BTC-29DEC23-25000-P,42.73,,0.06914776,0.07,3,1694390185270,264382279,1403
0.1,,,,,sell,25830.77,BTC-11SEP23-25750-P,27.44,,0.00231151,0.002,3,1694389936904,264382252,379
0.4,,,,,buy,25830.72,BTC-15SEP23-29000-C,52.76,,0.00049134,0.0005,0,1694389935200,264382251,482
0.1,,,,,sell,25830.92,BTC-11SEP23-25250-P,45.83,,0.00040442,0.0003,0,1694389911895,264382249,86
0.4,,,,,sell,25831.63,BTC-13SEP23-25500-P,31.63,,0.00514988,0.0049,0,1694389849147,264382238,15
0.6,,,,,buy,25845.02,BTC-22SEP23-24500-P,40.56,,0.00897468,0.009,1,1694389773898,264382223,425
5.0,,,,,sell,25841.44,BTC-29SEP23-30000-C,42.15,,0.00277502,0.0026,2,1694389733721,264382216,5825
1.8,,,,,sell,25842.42,BTC-15SEP23-22000-P,71.2,,0.00062851,0.0005,3,1694389718594,264382215,434
3.2,,,,,buy,25842.42,BTC-29SEP23-22000-P,51.48,,0.00387405,0.0038,3,1694389718085,264382213,1940
5.0,,,,,sell,25842.17,BTC-15SEP23-21500-P,77.41,,0.00052676,0.0004,2,1694389712746,264382209,80
0.3,,,,,sell,25841.4,BTC-24NOV23-23000-P,43.44,,0.02968493,0.029,3,1694389686495,264382204,214
4.7,,,,,sell,25836.3,BTC-15SEP23-29500-C,54.92,,0.00035847,0.0003,3,1694389615708,264382196,158
5.0,,,,,buy,25837.11,BTC-29DEC23-24000-P,43.29,,0.05467636,0.0545,2,1694389571038,264382183,795
5.0,,,,,sell,25836.11,BTC-29DEC23-26000-C,41.57,,0.09453955,0.094,0,1694389549569,264382182,645
0.5,,,,,sell,25839.11,BTC-12SEP23-25250-P,36.63,,0.00186965,0.0017,0,1694389538845,264382181,60
1.0,,,,,sell,25832.67,BTC-29SEP23-28500-C,37.48,,0.0054221,0.0055,3,1694389505726,264382136,617
0.1,,,,,sell,25835.41,BTC-29SEP23-26000-C,33.13,,0.02750834,0.0275,0,1694389364380,264382096,3027
0.1,,,,,sell,25836.39,BTC-29SEP23-25500-C,33.21,,0.03854398,0.0375,2,1694389358281,264382093,197
4.1,,,,,buy,25838.37,BTC-29DEC23-29000-C,42.18,,0.05263273,0.0525,3,1694389345463,264382092,826
0.1,,,,,sell,25838.37,BTC-29SEP23-27000-C,33.14,,0.01358472,0.0135,2,1694389344366,264382091,2757
5.0,,,,,buy,25832.23,BTC-22SEP23-29500-C,41.52,,0.00095842,0.0011,0,1694389277375,264382062,120
5.0,,,,,sell,25832.42,BTC-29SEP23-21000-P,57.22,,0.00262013,0.0025,2,1694389259455,264382061,1585
4.0,,,,,sell,25832.5,BTC-29SEP23-23000-P,45.78,,0.00620344,0.006,3,1694389240097,264382059,2086
0.1,,,,,sell,25832.47,BTC-29SEP23-28000-C,35.42,,0.00705571,0.007,2,1694389217390,264382056,3465
2.8,,,,,sell,25831.91,BTC-27OCT23-28000-C,37.61,,0.02489384,0.025,3,1694389212324,264382055,962
