amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,sell,57342.1,BTC-12SEP24-58500-C,44.05,0.00052344,0.0004,3,1726099135796,317319754,119
0.1,,,,,0.1,sell,57342.24,BTC-20SEP24-63000-C,53.98,0.00565683,0.0055,2,1726099127897,317319751,1059
0.1,,,,,0.1,sell,57342.63,BTC-20SEP24-53000-P,56.24,0.00775662,0.0075,3,1726099098618,317319746,266
0.1,,,,,0.1,buy,57338.49,BTC-14SEP24-58500-C,47.8,0.00758954,0.0075,2,1726099063791,317319720,38
0.1,,,,,0.1,sell,57340.55,BTC-20SEP24-59000-C,51.1,0.01986613,0.0195,2,1726099061480,317319719,432
0.1,,,,,0.1,buy,57344.46,BTC-14SEP24-56500-P,48.89,0.00927656,0.009,0,1726099027530,317319713,24
1.0,,,,,1.0,sell,57349.22,BTC-27SEP24-60000-C,52.5,0.02533452,0.0255,3,1726099027111,317319706,3514
0.3,,,,,0.3,sell,57352.18,BTC-25OCT24-72000-C,57.0,0.0143942,0.0145,3,1726099026510,317319705,481
0.1,,,,,0.1,sell,57370.73,BTC-13SEP24-58000-C,47.9,0.00702293,0.007,3,1726099010420,317319686,1130
0.5,,,,,0.5,sell,57370.73,BTC-29NOV24-90000-C,67.53,0.01446026,0.0145,2,1726099009054,317319679,165
0.1,,,,,0.1,buy,57379.97,BTC-13SEP24-60000-C,53.64,0.0013607,0.0013,2,1726098982364,317319636,1861
0.9,,,,,0.9,buy,57383.72,BTC-27SEP24-67000-C,57.81,0.0057467,0.006,1,1726098968545,317319635,1232
1.0,,,,,1.0,sell,57383.59,BTC-25OCT24-80000-C,60.89,0.00671136,0.0065,2,1726098880002,317319610,447
0.1,,,,,0.1,buy,57388.62,BTC-20SEP24-56000-P,52.51,0.02012345,0.02,3,1726098852275,317319605,511
1.2,,,,,1.2,sell,57388.62,BTC-12SEP24-58000-C,42.28,0.00145667,0.0015,1,1726098852173,317319604,234
0.1,,,,,0.1,sell,57434.45,BTC-8NOV24-70000-C,60.68,0.03381515,0.033,2,1726098680730,317319536,780
0.1,,,,,0.1,buy,57445.69,BTC-12SEP24-57000-C,43.15,0.00986576,0.01,3,1726098646430,317319521,252
0.1,,,,,0.1,sell,57443.0,BTC-8NOV24-50000-P,60.25,0.0358418,0.0355,1,1726098640989,317319510,761
0.1,,,,,0.1,sell,57422.56,BTC-13SEP24-61000-C,59.0,0.00083255,0.0007,0,1726098592905,317319490,1155
0.1,,,,,0.1,buy,57402.11,BTC-14SEP24-57000-P,48.44,0.01211513,0.012,1,1726098350431,317319404,20
1.0,,,,,1.0,sell,57412.29,BTC-13SEP24-54000-P,63.88,0.00084141,0.0009,0,1726098331053,317319395,1153
1.0,,,,,1.0,sell,57417.25,BTC-13SEP24-55000-P,55.96,0.00174534,0.0016,3,1726098290568,317319381,968
0.7,,,,,0.7,buy,57415.43,BTC-13SEP24-57000-P,46.9,0.00825029,0.008,3,1726098231517,317319373,923
0.1,,,,,0.1,buy,57432.26,BTC-14SEP24-57500-C,48.37,0.01496224,0.015,2,1726098171411,317319324,48
0.1,,,,,0.1,buy,57423.58,BTC-25OCT24-40000-P,66.25,0.00422308,0.0042,2,1726098123165,317319301,322
1.0,,,,,1.0,buy,57427.63,BTC-13SEP24-53000-P,73.21,0.00044361,0.0006,1,1726097946283,317319214,233
0.1,,,,,0.1,buy,57428.64,BTC-12SEP24-56000-P,48.96,0.00031837,0.0003,3,1726097678514,317319132,369
0.1,,,,,0.1,buy,57397.44,BTC-14SEP24-57500-P,47.93,0.01615796,0.016,3,1726097461184,317319027,15
0.1,,,,,0.1,sell,57399.68,BTC-12SEP24-57000-P,38.05,0.00236769,0.002,2,1726097458940,317319005,110
0.1,,,,,0.1,buy,57397.34,BTC-20SEP24-55000-C,53.56,0.05820658,0.058,2,1726097399171,317318991,387
0.1,,,,,0.1,sell,57395.48,BTC-27DEC24-36000-P,66.37,0.01146698,0.011,2,1726097147457,317318909,275
0.3,,,,,0.3,sell,57394.23,BTC-27DEC24-33000-P,68.42,0.00753511,0.007,2,1726097115497,317318906,206
1.0,,,,,1.0,sell,57397.34,BTC-13SEP24-58500-C,47.62,0.00483008,0.0046,2,1726097109269,317318905,132
0.2,,,,,0.2,sell,57413.89,BTC-28MAR25-40000-P,63.71,0.04138181,0.0405,0,1726097034173,317318872,667
0.1,,,,,0.1,sell,57412.35,BTC-28MAR25-20000-P,76.28,0.00347018,0.003,2,1726096975137,317318850,449
1.4,,,,,1.4,sell,57411.54,BTC-20SEP24-48000-P,67.17,0.00160313,0.0014,2,1726096958951,317318845,272
1.0,,,,,1.0,buy,57411.12,BTC-13SEP24-53500-P,63.56,0.00058749,0.0005,3,1726096943942,317318838,104
2.1,,,,,2.1,buy,57396.35,BTC-12SEP24-57500-P,38.12,0.00580536,0.0055,1,1726096905428,317318799,59
0.1,,,,,0.1,buy,57424.7,BTC-14SEP24-50000-P,74.76,0.0001595,0.0002,2,1726096878751,317318773,20
5.0,,,,,5.0,buy,57454.17,BTC-14SEP24-52000-P,64.4,0.00054285,0.0005,3,1726096819840,317318732,13
0.4,,,,,0.4,sell,57484.13,BTC-13SEP24-63000-C,71.43,0.00027333,0.0003,3,1726096774047,317318669,843
0.8,,,,,0.8,buy,57482.53,BTC-27DEC24-70000-C,61.86,0.06898156,0.069,3,1726096756577,317318659,3346
0.1,,,,,0.1,sell,57482.55,BTC-8NOV24-65000-C,59.68,0.05200694,0.0515,0,1726096755864,317318658,639
0.1,,,,,0.1,sell,57486.11,BTC-8NOV24-55000-P,58.91,0.06646549,0.066,2,1726096721330,317318641,830
0.4,,,,,0.4,sell,57482.8,BTC-12SEP24-55500-P,58.62,0.0002293,0.0002,3,1726096701842,317318634,204
