amount,block_trade_id,combo_id,combo_trade_id,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.8,,,,sell,27692.77,BTC-1JUN23-27000-P,41.75,0.00240756,0.002,3,1685490907849,256378328,126
0.8,,,,sell,27692.77,BTC-1JUN23-28500-C,40.22,0.0017485,0.0015,2,1685490887324,256378325,84
0.2,,,,sell,27698.85,BTC-2JUN23-28500-C,42.3,0.00428429,0.004,3,1685490877564,256378287,948
0.1,,,,sell,27700.47,BTC-16JUN23-27500-C,39.37,0.03865896,0.038,3,1685490857763,256378275,170
0.1,,,,sell,27700.76,BTC-28JUL23-27000-P,40.76,0.049692,0.05,0,1685490850487,256378268,295
2.0,,,,sell,27702.34,BTC-2JUN23-28000-C,39.95,0.00904765,0.0085,2,1685490815147,256378126,1658
0.1,,,,sell,27695.34,BTC-2JUN23-28000-P,41.62,0.01905975,0.019,0,1685490807300,256378119,304
0.1,,,,sell,27702.93,BTC-1JUN23-28250-C,39.94,0.00308397,0.003,2,1685490789236,256378057,62
0.4,,,,sell,27714.7,BTC-2JUN23-27500-P,42.19,0.00976094,0.0095,2,1685490678571,256377985,523
0.1,,,,sell,27718.34,BTC-1JUN23-29000-C,43.49,0.00077138,0.0005,2,1685490464403,256377943,35
0.1,,,,sell,27727.1,BTC-31MAY23-27250-P,41.5,0.00076318,0.0005,3,1685490073456,256377666,273
0.1,,,,buy,27727.1,BTC-16JUN23-27000-P,41.31,0.0218267,0.022,1,1685490073404,256377665,165
0.1,,,,sell,27727.24,BTC-31MAY23-27500-P,36.56,0.00178715,0.0015,3,1685490071259,256377651,334
0.6,,,,sell,27733.77,BTC-28JUL23-40000-C,52.86,0.00459264,0.0045,2,1685490016277,256377608,182
0.2,,,,sell,27733.49,BTC-29MAR24-41000-C,49.21,0.06164409,0.062,2,1685489989772,256377604,33
0.1,,,,sell,27732.65,BTC-31MAY23-27750-C,38.62,0.00446258,0.0045,0,1685489971355,256377603,166
0.1,,,,sell,27730.59,BTC-31MAY23-27750-P,38.07,0.00501699,0.005,2,1685489900990,256377551,301
0.1,,,,buy,27704.93,BTC-31MAY23-28000-C,41.13,0.00130606,0.0015,1,1685489454214,256377281,334
0.1,,,,buy,27705.76,BTC-16JUN23-28000-P,40.19,0.03790766,0.0385,1,1685489387997,256377239,103
0.1,,,,sell,27702.04,BTC-30JUN23-26000-P,41.91,0.02153786,0.0215,2,1685489373066,256377232,2277
0.1,,,,buy,27707.37,BTC-30JUN23-30000-C,41.46,0.01880196,0.0195,0,1685489081396,256377014,5432
0.8,,,,buy,27712.39,BTC-16JUN23-30500-C,42.98,0.007309,0.0075,3,1685489063078,256376981,53
0.1,,,,buy,27697.0,BTC-1JUN23-27500-C,40.78,0.013865,0.014,2,1685488845409,256376844,43
0.1,,,,buy,27693.7,BTC-29SEP23-19000-P,54.2,0.01308345,0.0135,2,1685488814062,256376817,835
0.4,,,,sell,27699.86,BTC-1JUN23-27750-P,38.06,0.01028879,0.01,1,1685488641327,256376672,89
0.3,,,,sell,27724.02,BTC-29MAR24-30000-P,46.48,0.20146147,0.2015,1,1685488455641,256376421,16
0.1,,,,buy,27730.59,BTC-30JUN23-29000-C,39.89,0.02825225,0.0285,3,1685488425287,256376358,2600
0.1,,,,buy,27736.83,BTC-9JUN23-28500-C,40.65,0.01498811,0.0155,0,1685488380781,256376349,456
0.1,,,,buy,27733.75,BTC-9JUN23-27500-P,40.7,0.02065112,0.021,2,1685488364814,256376348,219
0.5,,,,sell,27733.16,BTC-1JUN23-27250-P,41.4,0.00369172,0.0035,1,1685488322578,256376340,72
0.1,,,,sell,27732.99,BTC-9JUN23-28000-C,39.95,0.02181819,0.022,0,1685488318432,256376332,1350
1.6,,,,sell,27738.52,BTC-9JUN23-25000-P,52.66,0.00419748,0.004,3,1685488216059,256376296,420
0.7,,,,sell,27729.5,BTC-25AUG23-28000-P,40.82,0.08107639,0.081,2,1685488074953,256376248,33
0.2,,,,sell,27728.73,BTC-1JUN23-28000-C,38.43,0.00571292,0.0055,3,1685487950207,256376223,50
0.3,,,,sell,27732.37,BTC-31MAY23-27000-P,55.7,0.00033243,0.0005,3,1685487827236,256376056,190
0.7,,,,buy,27743.73,BTC-9JUN23-24000-P,60.29,0.00241162,0.0025,3,1685487704682,256375930,506
0.2,,,,sell,27744.33,BTC-1JUN23-27750-C,38.02,0.0099354,0.0095,2,1685487593801,256375836,79
0.1,,,,sell,27749.61,BTC-1JUN23-27500-P,39.19,0.00577963,0.0055,2,1685487190112,256375559,118
