amount,block_trade_id,block_trade_leg_count,combo_id,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
2.4,,,,sell,29694.98,BTC-4AUG23-33500-C,64.66,,0.00020277,0.0002,3,1690934398267,261937235,179
4.2,,,,sell,29694.08,BTC-29SEP23-38000-C,45.71,,0.00923717,0.0095,1,1690934395879,261937233,923
0.9,,,,buy,29696.3,BTC-25AUG23-36000-C,45.18,,0.00243,0.0026,1,1690934395342,261937224,1999
15.0,,,,buy,29697.71,BTC-4AUG23-33000-C,60.82,,0.00019016,0.0003,0,1690934393769,261937213,291
2.1,,,,sell,29707.91,BTC-29MAR24-15000-P,59.03,,0.00927139,0.0095,2,1690934392325,261937191,178
1.0,,,,sell,29713.52,BTC-29SEP23-25000-C,43.07,M,0.17758276,0.179,1,1690934389849,261937185,1108
15.0,,,,buy,29716.2,BTC-4AUG23-32500-C,55.26,,0.00032895,0.0004,0,1690934389261,261937179,294
0.1,,,,buy,29709.06,BTC-2AUG23-30500-C,59.55,,0.00056418,0.0006,1,1690934386202,261937145,51
0.1,,,,sell,29709.06,BTC-29DEC23-25000-P,45.05,,0.03779048,0.038,2,1690934386193,261937144,699
0.1,,,,sell,29703.58,BTC-2AUG23-29500-P,35.02,,0.00195281,0.0016,2,1690934381866,261937118,47
0.5,,,,buy,29701.8,BTC-29SEP23-30000-P,36.54,,0.05829199,0.058,2,1690934381289,261937114,1147
11.0,,,,buy,29698.59,BTC-3AUG23-31500-C,51.72,,0.0003185,0.0004,0,1690934373584,261937098,6
1.6,,,,buy,29692.1,BTC-3AUG23-29750-C,33.29,,0.00712073,0.0075,0,1690934370190,261937057,78
3.9,,,,buy,29692.1,BTC-4AUG23-30500-C,35.9,,0.0030396,0.003,1,1690934370094,261937021,1127
1.7,,,,buy,29692.1,BTC-29SEP23-30000-C,36.71,,0.05852772,0.0585,0,1690934369643,261937001,2441
0.1,,,,sell,29681.39,BTC-3AUG23-28500-P,41.4,,0.00040216,0.0005,2,1690934343621,261936946,64
1.0,,,,sell,29685.41,BTC-27OCT23-26000-P,40.15,,0.02343725,0.0235,2,1690934318334,261936877,21
2.4,,,,buy,29695.65,BTC-2AUG23-30000-C,46.61,,0.0017828,0.002,0,1690934312613,261936858,152
0.8,,,,buy,29695.65,BTC-2AUG23-29750-C,41.2,,0.00397053,0.0042,0,1690934312288,261936856,158
1.0,,,,buy,29691.35,BTC-27OCT23-32000-C,38.81,,0.0504806,0.0505,0,1690934303375,261936825,38
0.9,,,,sell,29692.39,BTC-29SEP23-29000-P,36.81,,0.0423873,0.0425,2,1690934299467,261936818,794
0.1,,,,buy,29692.39,BTC-29SEP23-28000-P,37.21,,0.02994147,0.03,3,1690934299459,261936817,954
0.1,,,,sell,29690.03,BTC-11AUG23-31000-C,32.45,,0.00701231,0.0065,1,1690934297973,261936809,353
0.1,,,,sell,29690.03,BTC-29SEP23-32000-C,37.48,,0.03463954,0.034,1,1690934297882,261936805,2209
0.1,,,,buy,29693.45,BTC-4AUG23-29500-C,33.21,,0.01452143,0.015,0,1690934288294,261936762,875
9.7,,,,buy,29686.14,BTC-4AUG23-31500-C,44.87,,0.0009332,0.0008,1,1690934281737,261936706,575
0.9,,,,sell,29665.68,BTC-2AUG23-29500-C,42.46,M,0.00805599,0.0085,1,1690934270291,261936610,321
2.0,,,,buy,29665.21,BTC-29SEP23-27000-P,37.97,,0.02106158,0.021,3,1690934225617,261936464,1145
1.0,,,,sell,29638.52,BTC-18AUG23-28000-P,32.37,,0.0070928,0.007,2,1690934174468,261936200,69
0.1,,,,buy,29634.44,BTC-25AUG23-30000-C,31.56,,0.02815321,0.028,2,1690934158771,261936163,3015
0.1,,,,buy,29641.49,BTC-18AUG23-27000-P,35.91,,0.00363019,0.0035,2,1690934156995,261936156,95
