amount,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,0.1,buy,60007.19,BTC-20SEP24-50000-P,78.77,0.00073333,0.0009,0,1726358394843,317605809,534
0.1,,,,,0.1,buy,60008.75,BTC-27SEP24-63000-C,47.96,0.01711006,0.017,0,1726358238736,317605679,1709
0.1,,,,,0.1,sell,60005.43,BTC-20SEP24-51000-P,72.79,0.00094231,0.001,3,1726358213648,317605678,290
0.8,,,,,0.8,sell,60009.87,BTC-17SEP24-64000-C,45.56,0.00066905,0.0006,2,1726358192062,317605677,6
0.1,,,,,0.1,sell,60003.22,BTC-16SEP24-60000-C,32.59,0.00799258,0.008,1,1726358016863,317605668,121
0.1,,,,,0.1,sell,59993.05,BTC-4OCT24-63000-C,48.03,0.02599141,0.0255,2,1726357980678,317605667,123
0.1,,,,,0.1,sell,60009.45,BTC-4OCT24-58000-P,48.69,0.02854099,0.028,3,1726357884817,317605510,80
1.0,,,,,1.0,sell,60013.19,BTC-15SEP24-61500-C,39.54,0.00018717,0.0001,3,1726357829030,317605316,76
0.1,,,,,0.1,sell,59979.67,BTC-17SEP24-57500-P,41.17,0.0017234,0.0015,2,1726357434912,317604962,38
1.0,,,,,1.0,buy,59979.84,BTC-27SEP24-58000-C,48.84,0.05590055,0.0555,3,1726357386190,317604959,1530
1.0,,,,,1.0,sell,59994.18,BTC-4OCT24-57000-C,49.19,0.07587945,0.0755,3,1726357170016,317604925,14
0.6,,,,,0.6,sell,59994.18,BTC-15SEP24-60500-C,28.34,0.00084124,0.0008,3,1726357169993,317604924,232
1.0,,,,,1.0,sell,59994.18,BTC-17SEP24-62000-C,42.25,0.00310636,0.0031,0,1726357169942,317604922,20
0.7,,,,,0.7,sell,59994.18,BTC-17SEP24-61000-C,40.57,0.00655353,0.0065,2,1726357169503,317604889,55
0.2,,,,,0.2,sell,59998.91,BTC-15SEP24-60000-P,25.22,0.0034617,0.0031,3,1726356842677,317604828,122
0.1,,,,,0.1,sell,59999.06,BTC-25OCT24-51000-P,54.35,0.01598195,0.0155,2,1726356831939,317604826,436
11.5,,,,,11.5,buy,59999.32,BTC-17SEP24-53000-P,75.0,0.00034993,0.0004,1,1726356814930,317604825,33
0.9,,,,,0.9,sell,59998.95,BTC-27DEC24-115000-C,69.28,0.00897391,0.009,3,1726356803120,317604824,993
0.1,,,,,0.1,sell,60000.61,BTC-16SEP24-62500-C,38.39,0.00045914,0.0004,2,1726356773910,317604820,28
0.8,,,,,0.8,buy,59991.21,BTC-17SEP24-54000-P,65.11,0.00026382,0.0004,1,1726356595657,317604791,2
